epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.341,0.266,0.138,0.087,
1,0.259,0.244,0.125,0.077,
2,0.237,0.231,0.12,0.075,
3,0.23,0.229,0.119,0.074,
4,0.229,0.228,0.118,0.073,
5,0.226,0.227,0.117,0.072,
6,0.226,0.225,0.116,0.071,
7,0.224,0.226,0.116,0.071,
8,0.223,0.224,0.114,0.069,
9,0.222,0.224,0.113,0.07,
10,0.221,0.223,0.113,0.069,
11,0.221,0.223,0.112,0.069,
12,0.22,0.222,0.112,0.069,
13,0.22,0.223,0.112,0.068,
14,0.22,0.223,0.112,0.069,
15,0.219,0.221,0.111,0.068,
16,0.22,0.222,0.111,0.068,
17,0.22,0.223,0.112,0.068,
18,0.218,0.223,0.111,0.068,
19,0.218,0.221,0.111,0.067,
20,0.218,0.22,0.11,0.067,
21,0.217,0.22,0.109,0.066,
22,0.217,0.22,0.11,0.067,
23,0.217,0.221,0.11,0.067,
24,0.219,0.224,0.112,0.068,
25,0.216,0.222,0.111,0.067,
26,0.217,0.22,0.109,0.066,
27,0.216,0.221,0.11,0.067,
28,0.216,0.221,0.109,0.066,
29,0.215,0.221,0.11,0.066,
30,0.215,0.22,0.109,0.066,
31,0.215,0.22,0.109,0.066,
32,0.215,0.22,0.108,0.066,
33,0.214,0.22,0.109,0.066,
34,0.215,0.22,0.109,0.066,
35,0.216,0.22,0.109,0.066,
36,0.214,0.219,0.109,0.066,
37,0.215,0.221,0.109,0.066,
38,0.215,0.22,0.109,0.065,
39,0.213,0.22,0.108,0.066,
40,0.212,0.219,0.108,0.065,
41,0.213,0.221,0.11,0.067,
42,0.213,0.218,0.107,0.065,
43,0.213,0.222,0.11,0.067,
44,0.212,0.219,0.108,0.065,
45,0.213,0.218,0.108,0.065,
46,0.211,0.22,0.109,0.066,
47,0.212,0.218,0.107,0.065,
48,0.212,0.219,0.108,0.065,
49,0.212,0.219,0.108,0.065,
50,0.22,0.246,0.129,0.077,
51,0.211,0.238,0.12,0.072,
52,0.2,0.22,0.108,0.064,
53,0.194,0.22,0.107,0.062,
54,0.191,0.217,0.105,0.061,
55,0.186,0.221,0.105,0.06,
56,0.184,0.223,0.109,0.063,
57,0.182,0.213,0.099,0.056,
58,0.181,0.214,0.101,0.059,
59,0.179,0.218,0.104,0.059,
60,0.178,0.212,0.099,0.057,
61,0.177,0.211,0.098,0.056,
62,0.176,0.21,0.096,0.053,
63,0.175,0.212,0.099,0.056,
64,0.175,0.213,0.098,0.055,
65,0.175,0.211,0.097,0.055,
66,0.174,0.209,0.096,0.054,
67,0.173,0.214,0.1,0.055,
68,0.174,0.215,0.1,0.056,
69,0.174,0.216,0.102,0.056,
70,0.174,0.213,0.1,0.055,
71,0.174,0.212,0.097,0.055,
72,0.173,0.212,0.097,0.054,
73,0.173,0.211,0.098,0.054,
74,0.172,0.21,0.096,0.053,
75,0.172,0.212,0.096,0.054,
76,0.171,0.21,0.096,0.053,
77,0.171,0.21,0.096,0.053,
78,0.172,0.212,0.098,0.054,
79,0.171,0.211,0.096,0.054,
80,0.17,0.209,0.096,0.053,
81,0.171,0.211,0.095,0.053,
82,0.171,0.213,0.098,0.054,
83,0.17,0.212,0.097,0.054,
84,0.171,0.213,0.098,0.054,
85,0.17,0.211,0.096,0.053,
86,0.171,0.211,0.097,0.054,
87,0.17,0.213,0.098,0.054,
88,0.171,0.212,0.097,0.053,
89,0.171,0.213,0.097,0.054,
90,0.171,0.214,0.099,0.054,
91,0.171,0.21,0.095,0.053,
92,0.17,0.211,0.096,0.054,
93,0.171,0.212,0.096,0.053,
94,0.17,0.212,0.097,0.053,
95,0.17,0.213,0.097,0.054,
96,0.17,0.212,0.098,0.054,
97,0.169,0.211,0.097,0.053,
98,0.17,0.211,0.095,0.053,
99,0.169,0.21,0.096,0.053,"[0.054, 0.137, 0.023, 0.182, 0.042, 0.116, 0.158, 0.086, 0.098, 0.064]"
