epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.029,0.009,0.003,0.003,
1,0.006,0.004,0.004,0.002,
2,0.005,0.009,0.003,0.003,
3,0.004,0.002,0.002,0.001,
4,0.0,0.003,0.001,0.001,
5,0.003,0.007,0.006,0.004,
6,0.002,0.002,0.0,0.001,
7,0.002,0.001,0.001,0.001,
8,0.002,0.001,0.001,0.001,
9,0.003,0.004,0.003,0.002,
10,0.002,0.003,0.002,0.001,
11,0.003,0.003,0.001,0.001,
12,0.001,0.001,0.002,0.001,
13,0.002,0.001,0.001,0.001,
14,0.001,0.003,0.003,0.002,
15,0.001,0.002,0.001,0.001,
16,0.002,0.001,0.0,0.0,
17,0.0,0.004,0.002,0.002,
18,0.001,0.001,0.001,0.0,
19,0.001,0.001,0.001,0.001,
20,0.002,0.003,0.002,0.002,
21,0.001,0.003,0.001,0.001,
22,0.002,0.001,0.001,0.001,
23,0.002,0.003,0.002,0.001,
24,0.002,0.002,0.002,0.001,
25,0.001,0.002,0.003,0.001,
26,0.002,0.003,0.003,0.002,
27,0.002,0.003,0.002,0.001,
28,0.003,0.002,0.002,0.001,
29,0.001,0.002,0.002,0.001,
30,0.002,0.003,0.002,0.001,
31,0.002,0.0,0.001,0.001,
32,0.003,0.001,0.001,0.001,
33,0.002,0.004,0.003,0.002,
34,0.002,0.003,0.002,0.001,
35,0.002,0.003,0.003,0.001,
36,0.003,0.001,0.002,0.001,
37,0.002,0.002,0.002,0.002,
38,0.002,0.002,0.001,0.0,
39,0.001,0.007,0.005,0.003,
40,0.002,0.002,0.002,0.001,
41,0.001,0.002,0.002,0.001,
42,0.001,0.001,0.002,0.001,
43,0.001,0.003,0.002,0.001,
44,0.002,0.002,0.001,0.001,
45,0.002,0.001,0.002,0.001,
46,0.003,0.002,0.002,0.001,
47,0.002,0.002,0.002,0.001,
48,0.002,0.003,0.001,0.001,
49,0.003,0.004,0.003,0.002,
50,0.002,0.012,0.011,0.006,
51,0.002,0.003,0.003,0.002,
52,0.001,0.008,0.006,0.004,
53,0.001,0.003,0.002,0.002,
54,0.001,0.004,0.005,0.003,
55,0.001,0.002,0.002,0.001,
56,0.001,0.001,0.002,0.001,
57,0.001,0.001,0.001,0.001,
58,0.003,0.004,0.003,0.003,
59,0.002,0.001,0.001,0.0,
60,0.002,0.002,0.002,0.001,
61,0.002,0.002,0.002,0.001,
62,0.001,0.003,0.001,0.001,
63,0.001,0.001,0.001,0.001,
64,0.001,0.002,0.0,0.001,
65,0.001,0.001,0.001,0.001,
66,0.0,0.002,0.001,0.0,
67,0.001,0.002,0.001,0.001,
68,0.001,0.002,0.003,0.002,
69,0.001,0.001,0.001,0.001,
70,0.001,0.0,0.001,0.001,
71,0.001,0.001,0.001,0.001,
72,0.001,0.001,0.001,0.001,
73,0.001,0.002,0.001,0.001,
74,0.001,0.003,0.002,0.001,
75,0.001,0.002,0.002,0.002,
76,0.002,0.003,0.003,0.001,
77,0.001,0.001,0.0,0.001,
78,0.001,0.003,0.003,0.003,
79,0.0,0.001,0.001,0.001,
80,0.001,0.002,0.001,0.001,
81,0.001,0.003,0.002,0.001,
82,0.001,0.001,0.001,0.001,
83,0.001,0.002,0.001,0.001,
84,0.001,0.001,0.001,0.001,
85,0.0,0.002,0.0,0.0,
86,0.001,0.001,0.001,0.001,
87,0.002,0.002,0.002,0.0,
88,0.001,0.003,0.002,0.001,
89,0.001,0.002,0.001,0.001,
90,0.001,0.001,0.001,0.001,
91,0.0,0.0,0.001,0.001,
92,0.001,0.002,0.001,0.0,
93,0.001,0.002,0.001,0.0,
94,0.001,0.001,0.001,0.001,
95,0.001,0.001,0.001,0.001,
96,0.001,0.002,0.001,0.0,
97,0.001,0.002,0.001,0.001,
98,0.001,0.001,0.001,0.001,
99,0.002,0.001,0.001,0.001,"[0.002, 0.0, 0.0, 0.002, 0.001, 0.0, 0.005, 0.0, 0.002, 0.001]"
