epoch,train_loss,val_loss,rmse,mae
0,0.268+-0.005,0.225+-0.006,0.116+-0.006,0.069+-0.004
1,0.217+-0.003,0.22+-0.005,0.11+-0.005,0.065+-0.003
2,0.21+-0.002,0.215+-0.002,0.105+-0.005,0.061+-0.002
3,0.206+-0.001,0.212+-0.009,0.101+-0.008,0.06+-0.006
4,0.203+-0.001,0.206+-0.005,0.094+-0.005,0.054+-0.003
5,0.2+-0.001,0.222+-0.016,0.107+-0.014,0.062+-0.01
6,0.199+-0.002,0.206+-0.003,0.094+-0.002,0.052+-0.0
7,0.197+-0.001,0.207+-0.008,0.097+-0.01,0.056+-0.006
8,0.195+-0.002,0.205+-0.005,0.094+-0.006,0.054+-0.004
9,0.194+-0.0,0.204+-0.005,0.09+-0.006,0.051+-0.004
10,0.191+-0.002,0.204+-0.002,0.092+-0.001,0.052+-0.001
11,0.19+-0.001,0.2+-0.001,0.086+-0.002,0.048+-0.001
12,0.19+-0.001,0.21+-0.006,0.097+-0.006,0.055+-0.004
13,0.188+-0.002,0.206+-0.004,0.092+-0.004,0.051+-0.004
14,0.187+-0.002,0.204+-0.006,0.09+-0.004,0.05+-0.002
15,0.185+-0.001,0.206+-0.002,0.093+-0.002,0.053+-0.001
16,0.185+-0.001,0.211+-0.003,0.098+-0.004,0.055+-0.003
17,0.184+-0.001,0.204+-0.006,0.09+-0.007,0.051+-0.006
18,0.183+-0.001,0.203+-0.004,0.088+-0.004,0.048+-0.002
19,0.182+-0.001,0.202+-0.003,0.088+-0.004,0.047+-0.001
20,0.181+-0.001,0.204+-0.005,0.09+-0.006,0.051+-0.004
21,0.18+-0.0,0.208+-0.007,0.096+-0.008,0.053+-0.006
22,0.18+-0.001,0.199+-0.001,0.085+-0.002,0.047+-0.001
23,0.179+-0.001,0.204+-0.004,0.09+-0.004,0.05+-0.004
24,0.178+-0.001,0.208+-0.008,0.093+-0.007,0.051+-0.004
25,0.178+-0.001,0.2+-0.002,0.086+-0.002,0.047+-0.002
26,0.177+-0.001,0.202+-0.002,0.089+-0.002,0.05+-0.002
27,0.177+-0.001,0.201+-0.005,0.085+-0.003,0.047+-0.002
28,0.176+-0.001,0.201+-0.001,0.088+-0.001,0.049+-0.002
29,0.176+-0.001,0.198+-0.0,0.085+-0.0,0.047+-0.001
30,0.175+-0.001,0.207+-0.009,0.092+-0.008,0.051+-0.004
31,0.175+-0.001,0.203+-0.003,0.089+-0.005,0.049+-0.003
32,0.175+-0.001,0.202+-0.003,0.088+-0.004,0.048+-0.003
33,0.174+-0.001,0.199+-0.002,0.085+-0.002,0.046+-0.001
34,0.174+-0.002,0.208+-0.008,0.094+-0.006,0.052+-0.004
35,0.174+-0.001,0.199+-0.002,0.086+-0.003,0.047+-0.003
36,0.174+-0.0,0.198+-0.001,0.084+-0.001,0.046+-0.0
37,0.173+-0.0,0.199+-0.001,0.086+-0.002,0.047+-0.001
38,0.173+-0.001,0.198+-0.0,0.084+-0.001,0.046+-0.001
39,0.173+-0.0,0.202+-0.002,0.088+-0.002,0.049+-0.002
40,0.173+-0.001,0.2+-0.002,0.087+-0.003,0.048+-0.003
