epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.268,0.225,0.116,0.069,
1,0.217,0.22,0.11,0.065,
2,0.21,0.215,0.105,0.061,
3,0.206,0.212,0.101,0.06,
4,0.203,0.206,0.094,0.054,
5,0.2,0.222,0.107,0.062,
6,0.199,0.206,0.094,0.052,
7,0.197,0.207,0.097,0.056,
8,0.195,0.205,0.094,0.054,
9,0.194,0.204,0.09,0.051,
10,0.191,0.204,0.092,0.052,
11,0.19,0.2,0.086,0.048,
12,0.19,0.21,0.097,0.055,
13,0.188,0.206,0.092,0.051,
14,0.187,0.204,0.09,0.05,
15,0.185,0.206,0.093,0.053,
16,0.185,0.211,0.098,0.055,
17,0.184,0.204,0.09,0.051,
18,0.183,0.203,0.088,0.048,
19,0.182,0.202,0.088,0.047,
20,0.181,0.204,0.09,0.051,
21,0.18,0.208,0.096,0.053,
22,0.18,0.199,0.085,0.047,
23,0.179,0.204,0.09,0.05,
24,0.178,0.208,0.093,0.051,
25,0.178,0.2,0.086,0.047,
26,0.177,0.202,0.089,0.05,
27,0.177,0.201,0.085,0.047,
28,0.176,0.201,0.088,0.049,
29,0.176,0.198,0.085,0.047,
30,0.175,0.207,0.092,0.051,
31,0.175,0.203,0.089,0.049,
32,0.175,0.202,0.088,0.048,
33,0.174,0.199,0.085,0.046,
34,0.174,0.208,0.094,0.052,
35,0.174,0.199,0.086,0.047,
36,0.174,0.198,0.084,0.046,
37,0.173,0.199,0.086,0.047,
38,0.173,0.198,0.084,0.046,
39,0.173,0.202,0.088,0.049,
40,0.173,0.2,0.087,0.048,
41,0.173,0.199,0.085,0.046,
42,0.172,0.2,0.085,0.046,
43,0.172,0.198,0.084,0.045,
44,0.172,0.198,0.085,0.046,
45,0.172,0.201,0.087,0.047,
46,0.172,0.2,0.086,0.047,
47,0.172,0.198,0.084,0.046,
48,0.171,0.2,0.085,0.046,
49,0.171,0.201,0.086,0.047,
50,0.171,0.201,0.087,0.048,
51,0.171,0.201,0.087,0.047,
52,0.171,0.199,0.084,0.046,
53,0.171,0.199,0.084,0.045,
54,0.171,0.199,0.085,0.046,
55,0.171,0.2,0.086,0.047,
56,0.17,0.198,0.084,0.045,
57,0.17,0.198,0.083,0.046,
58,0.171,0.204,0.09,0.05,
59,0.171,0.198,0.084,0.046,
60,0.17,0.2,0.085,0.046,
61,0.17,0.199,0.084,0.046,
62,0.17,0.201,0.086,0.047,
63,0.17,0.198,0.083,0.045,
64,0.17,0.2,0.085,0.046,
65,0.17,0.2,0.085,0.046,
66,0.169,0.199,0.084,0.046,
67,0.17,0.199,0.084,0.047,
68,0.17,0.2,0.086,0.047,
69,0.17,0.2,0.085,0.046,
70,0.169,0.199,0.084,0.045,
71,0.17,0.199,0.085,0.047,
72,0.17,0.2,0.085,0.046,
73,0.17,0.198,0.083,0.045,
74,0.169,0.199,0.085,0.046,
75,0.169,0.199,0.085,0.047,
76,0.169,0.198,0.084,0.046,
77,0.169,0.198,0.083,0.045,
78,0.169,0.198,0.083,0.045,
79,0.169,0.199,0.084,0.046,
80,0.169,0.199,0.084,0.046,
81,0.169,0.198,0.083,0.045,
82,0.169,0.198,0.083,0.045,
83,0.169,0.198,0.084,0.046,
84,0.169,0.199,0.084,0.045,
85,0.169,0.199,0.084,0.046,
86,0.169,0.199,0.084,0.046,
87,0.169,0.198,0.083,0.045,
88,0.169,0.2,0.085,0.046,
89,0.168,0.198,0.083,0.045,
90,0.168,0.199,0.084,0.046,
91,0.169,0.199,0.084,0.046,
92,0.168,0.199,0.084,0.046,
93,0.169,0.199,0.083,0.045,
94,0.169,0.199,0.084,0.045,
95,0.168,0.2,0.084,0.045,
96,0.169,0.2,0.085,0.046,
97,0.169,0.199,0.083,0.045,
98,0.168,0.199,0.085,0.047,
99,0.168,0.199,0.084,0.046,"[0.048, 0.111, 0.022, 0.147, 0.039, 0.109, 0.138, 0.081, 0.09, 0.053]"
