epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.294,0.235,0.123,0.075,
1,0.233,0.225,0.115,0.071,
2,0.229,0.228,0.116,0.072,
3,0.227,0.222,0.112,0.069,
4,0.226,0.222,0.111,0.068,
5,0.224,0.22,0.109,0.067,
6,0.223,0.223,0.111,0.068,
7,0.223,0.221,0.11,0.067,
8,0.223,0.222,0.111,0.068,
9,0.222,0.22,0.108,0.066,
10,0.221,0.219,0.108,0.066,
11,0.22,0.219,0.107,0.065,
12,0.22,0.22,0.108,0.066,
13,0.22,0.22,0.108,0.066,
14,0.22,0.221,0.108,0.066,
15,0.219,0.218,0.107,0.065,
16,0.219,0.219,0.108,0.066,
17,0.219,0.218,0.106,0.065,
18,0.219,0.218,0.106,0.064,
19,0.219,0.218,0.107,0.064,
20,0.218,0.219,0.107,0.064,
21,0.217,0.22,0.108,0.065,
22,0.219,0.217,0.105,0.063,
23,0.217,0.217,0.106,0.064,
24,0.217,0.218,0.105,0.064,
25,0.217,0.217,0.105,0.063,
26,0.216,0.217,0.105,0.063,
27,0.216,0.216,0.104,0.063,
28,0.217,0.216,0.104,0.062,
29,0.216,0.217,0.104,0.063,
30,0.216,0.216,0.104,0.063,
31,0.216,0.216,0.105,0.063,
32,0.216,0.217,0.105,0.064,
33,0.215,0.216,0.104,0.063,
34,0.215,0.218,0.105,0.064,
35,0.216,0.217,0.105,0.063,
36,0.215,0.215,0.103,0.062,
37,0.216,0.215,0.103,0.062,
38,0.214,0.215,0.103,0.062,
39,0.215,0.217,0.105,0.063,
40,0.215,0.217,0.104,0.063,
41,0.215,0.216,0.105,0.062,
42,0.215,0.216,0.104,0.062,
43,0.215,0.217,0.105,0.063,
44,0.215,0.216,0.103,0.062,
45,0.215,0.217,0.104,0.062,
46,0.215,0.217,0.104,0.063,
47,0.214,0.215,0.103,0.061,
48,0.214,0.217,0.105,0.062,
49,0.213,0.215,0.103,0.062,
50,0.231,0.258,0.133,0.081,
51,0.211,0.22,0.108,0.063,
52,0.202,0.224,0.106,0.059,
53,0.195,0.228,0.105,0.061,
54,0.191,0.21,0.097,0.056,
55,0.187,0.213,0.096,0.056,
56,0.184,0.206,0.091,0.052,
57,0.182,0.204,0.089,0.051,
58,0.18,0.203,0.089,0.051,
59,0.177,0.205,0.092,0.052,
60,0.177,0.203,0.088,0.049,
61,0.176,0.204,0.09,0.05,
62,0.175,0.206,0.09,0.05,
63,0.175,0.204,0.09,0.049,
64,0.175,0.203,0.088,0.049,
65,0.174,0.207,0.092,0.051,
66,0.174,0.205,0.09,0.05,
67,0.174,0.204,0.089,0.049,
68,0.173,0.207,0.092,0.05,
69,0.173,0.208,0.093,0.051,
70,0.172,0.204,0.089,0.049,
71,0.172,0.206,0.09,0.049,
72,0.172,0.205,0.091,0.05,
73,0.171,0.205,0.089,0.049,
74,0.172,0.203,0.088,0.049,
75,0.171,0.205,0.089,0.049,
76,0.171,0.204,0.089,0.049,
77,0.171,0.205,0.09,0.049,
78,0.172,0.206,0.091,0.05,
79,0.171,0.207,0.092,0.051,
80,0.171,0.206,0.091,0.05,
81,0.171,0.204,0.089,0.048,
82,0.171,0.204,0.089,0.049,
83,0.171,0.204,0.089,0.049,
84,0.17,0.204,0.088,0.049,
85,0.17,0.204,0.089,0.049,
86,0.17,0.205,0.089,0.049,
87,0.17,0.204,0.088,0.049,
88,0.17,0.206,0.09,0.049,
89,0.17,0.204,0.089,0.048,
90,0.17,0.204,0.089,0.049,
91,0.17,0.205,0.088,0.049,
92,0.17,0.204,0.088,0.048,
93,0.17,0.206,0.091,0.049,
94,0.17,0.204,0.09,0.049,
95,0.17,0.206,0.09,0.049,
96,0.17,0.205,0.089,0.049,
97,0.169,0.205,0.089,0.048,
98,0.17,0.207,0.09,0.05,
99,0.17,0.205,0.088,0.048,"[0.051, 0.117, 0.023, 0.161, 0.04, 0.114, 0.145, 0.082, 0.091, 0.056]"
