epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.293,0.244,0.131,0.079,
1,0.238,0.237,0.127,0.078,
2,0.231,0.238,0.128,0.075,
3,0.226,0.243,0.13,0.079,
4,0.223,0.24,0.126,0.074,
5,0.218,0.236,0.124,0.074,
6,0.216,0.23,0.12,0.072,
7,0.215,0.239,0.12,0.069,
8,0.213,0.229,0.12,0.07,
9,0.213,0.23,0.117,0.068,
10,0.21,0.217,0.106,0.06,
11,0.208,0.224,0.116,0.066,
12,0.206,0.223,0.111,0.063,
13,0.205,0.224,0.107,0.061,
14,0.202,0.213,0.102,0.059,
15,0.2,0.213,0.1,0.057,
16,0.199,0.222,0.108,0.064,
17,0.196,0.217,0.104,0.06,
18,0.193,0.22,0.108,0.062,
19,0.192,0.216,0.103,0.059,
20,0.19,0.216,0.105,0.059,
21,0.188,0.214,0.102,0.058,
22,0.187,0.217,0.103,0.058,
23,0.185,0.219,0.104,0.059,
24,0.183,0.212,0.1,0.057,
25,0.183,0.217,0.101,0.056,
26,0.182,0.212,0.1,0.057,
27,0.181,0.217,0.104,0.059,
28,0.18,0.212,0.1,0.057,
29,0.179,0.214,0.101,0.058,
30,0.179,0.213,0.102,0.058,
31,0.178,0.216,0.104,0.059,
32,0.177,0.212,0.099,0.057,
33,0.177,0.213,0.099,0.056,
34,0.176,0.211,0.098,0.055,
35,0.176,0.214,0.101,0.057,
36,0.176,0.213,0.1,0.057,
37,0.175,0.215,0.101,0.057,
38,0.175,0.213,0.1,0.056,
39,0.175,0.214,0.101,0.058,
40,0.174,0.213,0.099,0.055,
41,0.174,0.212,0.1,0.056,
42,0.174,0.213,0.099,0.056,
43,0.173,0.212,0.099,0.055,
44,0.174,0.214,0.102,0.057,
45,0.173,0.211,0.099,0.056,
46,0.172,0.212,0.098,0.055,
47,0.173,0.215,0.103,0.057,
48,0.173,0.213,0.101,0.056,
49,0.172,0.212,0.099,0.056,
50,0.173,0.214,0.101,0.056,
51,0.172,0.217,0.103,0.057,
52,0.172,0.213,0.1,0.056,
53,0.172,0.213,0.099,0.055,
54,0.172,0.214,0.1,0.057,
55,0.171,0.212,0.099,0.055,
56,0.171,0.212,0.099,0.055,
57,0.171,0.211,0.098,0.055,
58,0.171,0.216,0.102,0.057,
59,0.171,0.212,0.098,0.055,
60,0.171,0.215,0.102,0.058,
61,0.171,0.212,0.098,0.054,
62,0.171,0.214,0.101,0.057,
63,0.171,0.212,0.098,0.055,
64,0.171,0.212,0.099,0.056,
65,0.17,0.213,0.1,0.055,
66,0.17,0.213,0.1,0.056,
67,0.17,0.213,0.1,0.056,
68,0.17,0.212,0.099,0.056,
69,0.17,0.214,0.101,0.056,
70,0.17,0.213,0.1,0.056,
71,0.17,0.213,0.1,0.056,
72,0.17,0.213,0.099,0.056,
73,0.17,0.213,0.099,0.055,
74,0.17,0.211,0.098,0.055,
75,0.17,0.211,0.098,0.055,
76,0.17,0.212,0.099,0.056,
77,0.17,0.212,0.099,0.055,
78,0.17,0.214,0.1,0.056,
79,0.169,0.212,0.098,0.055,
80,0.169,0.212,0.099,0.055,
81,0.17,0.212,0.098,0.055,
82,0.169,0.214,0.1,0.056,
83,0.169,0.212,0.099,0.055,
84,0.169,0.212,0.099,0.055,
85,0.169,0.213,0.099,0.055,
86,0.169,0.213,0.099,0.055,
87,0.169,0.212,0.099,0.055,
88,0.169,0.213,0.099,0.055,
89,0.169,0.213,0.1,0.056,
90,0.169,0.212,0.099,0.055,
91,0.169,0.211,0.098,0.055,
92,0.169,0.213,0.1,0.056,
93,0.17,0.213,0.1,0.056,
94,0.169,0.212,0.1,0.055,
95,0.169,0.213,0.1,0.056,
96,0.169,0.213,0.1,0.057,
97,0.169,0.213,0.099,0.055,
98,0.169,0.212,0.1,0.056,
99,0.169,0.211,0.099,0.055,"[0.054, 0.14, 0.025, 0.197, 0.043, 0.121, 0.161, 0.086, 0.096, 0.062]"
