epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.298,0.228,0.11,0.065,
1,0.224,0.217,0.106,0.063,
2,0.217,0.214,0.102,0.061,
3,0.214,0.218,0.104,0.062,
4,0.213,0.214,0.1,0.059,
5,0.212,0.214,0.101,0.06,
6,0.211,0.217,0.102,0.06,
7,0.212,0.214,0.1,0.059,
8,0.212,0.216,0.101,0.06,
9,0.212,0.212,0.097,0.057,
10,0.21,0.212,0.097,0.058,
11,0.209,0.215,0.099,0.059,
12,0.209,0.214,0.099,0.058,
13,0.209,0.221,0.103,0.061,
14,0.21,0.217,0.1,0.059,
15,0.209,0.213,0.098,0.058,
16,0.208,0.22,0.103,0.061,
17,0.208,0.214,0.098,0.058,
18,0.208,0.214,0.099,0.059,
19,0.208,0.216,0.099,0.058,
20,0.208,0.215,0.099,0.058,
21,0.208,0.217,0.102,0.06,
22,0.207,0.214,0.097,0.057,
23,0.208,0.213,0.098,0.057,
24,0.208,0.214,0.098,0.058,
25,0.208,0.214,0.098,0.058,
26,0.207,0.214,0.099,0.058,
27,0.207,0.216,0.1,0.059,
28,0.206,0.22,0.102,0.06,
29,0.207,0.214,0.099,0.058,
30,0.207,0.216,0.099,0.059,
31,0.207,0.217,0.1,0.059,
32,0.207,0.219,0.101,0.059,
33,0.208,0.213,0.097,0.057,
34,0.206,0.213,0.097,0.057,
35,0.206,0.215,0.099,0.058,
36,0.207,0.215,0.099,0.058,
37,0.207,0.216,0.099,0.058,
38,0.206,0.215,0.099,0.058,
39,0.207,0.216,0.1,0.058,
40,0.207,0.216,0.099,0.058,
41,0.206,0.214,0.098,0.057,
42,0.206,0.215,0.099,0.058,
43,0.206,0.218,0.1,0.059,
44,0.207,0.215,0.098,0.057,
45,0.206,0.214,0.097,0.057,
46,0.205,0.217,0.1,0.059,
47,0.207,0.217,0.099,0.058,
48,0.207,0.217,0.1,0.058,
49,0.206,0.216,0.099,0.058,
50,0.206,0.216,0.099,0.058,
51,0.206,0.218,0.1,0.058,
52,0.205,0.215,0.098,0.057,
53,0.206,0.218,0.101,0.059,
54,0.204,0.215,0.098,0.057,
55,0.206,0.215,0.1,0.058,
56,0.206,0.217,0.1,0.058,
57,0.206,0.215,0.098,0.058,
58,0.205,0.217,0.1,0.059,
59,0.205,0.215,0.098,0.057,
60,0.205,0.217,0.1,0.059,
61,0.206,0.217,0.099,0.058,
62,0.207,0.215,0.099,0.058,
63,0.206,0.216,0.1,0.059,
64,0.205,0.214,0.098,0.058,
65,0.204,0.216,0.099,0.058,
66,0.205,0.217,0.1,0.058,
67,0.206,0.215,0.098,0.057,
68,0.206,0.215,0.099,0.057,
69,0.205,0.216,0.099,0.058,
70,0.205,0.217,0.099,0.057,
71,0.206,0.223,0.103,0.061,
72,0.206,0.216,0.1,0.058,
73,0.207,0.217,0.1,0.058,
74,0.206,0.22,0.102,0.059,
75,0.206,0.218,0.1,0.059,
76,0.205,0.216,0.098,0.057,
77,0.206,0.217,0.1,0.058,
78,0.206,0.216,0.1,0.059,
79,0.205,0.216,0.099,0.058,
80,0.205,0.218,0.101,0.059,
81,0.206,0.22,0.102,0.059,
82,0.207,0.219,0.102,0.059,
83,0.206,0.217,0.099,0.058,
84,0.205,0.218,0.101,0.059,
85,0.205,0.219,0.101,0.06,
86,0.204,0.218,0.1,0.058,
87,0.206,0.217,0.099,0.058,
88,0.205,0.216,0.1,0.058,
89,0.205,0.216,0.099,0.058,
90,0.206,0.221,0.102,0.06,
91,0.207,0.217,0.1,0.057,
92,0.205,0.216,0.099,0.058,
93,0.206,0.218,0.101,0.059,
94,0.205,0.218,0.1,0.058,
95,0.206,0.217,0.1,0.058,
96,0.206,0.217,0.099,0.058,
97,0.207,0.22,0.101,0.059,
98,0.206,0.216,0.099,0.058,
99,0.206,0.218,0.1,0.058,"[0.054, 0.147, 0.03, 0.186, 0.043, 0.123, 0.16, 0.093, 0.101, 0.068]"
