epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.321,0.251,0.139,0.09,
1,0.253,0.246,0.135,0.086,
2,0.248,0.242,0.132,0.083,
3,0.246,0.244,0.132,0.082,
4,0.244,0.241,0.129,0.081,
5,0.243,0.239,0.128,0.081,
6,0.242,0.24,0.129,0.08,
7,0.242,0.241,0.129,0.081,
8,0.241,0.242,0.129,0.081,
9,0.24,0.238,0.126,0.079,
10,0.238,0.235,0.125,0.078,
11,0.239,0.242,0.129,0.082,
12,0.238,0.237,0.126,0.078,
13,0.238,0.24,0.126,0.078,
14,0.238,0.239,0.127,0.078,
15,0.237,0.237,0.126,0.078,
16,0.238,0.238,0.126,0.078,
17,0.237,0.235,0.124,0.077,
18,0.236,0.235,0.124,0.077,
19,0.237,0.236,0.124,0.077,
20,0.236,0.235,0.123,0.077,
21,0.235,0.238,0.126,0.078,
22,0.235,0.234,0.123,0.077,
23,0.235,0.234,0.123,0.077,
24,0.235,0.234,0.123,0.076,
25,0.234,0.234,0.123,0.077,
26,0.234,0.235,0.124,0.077,
27,0.235,0.235,0.123,0.077,
28,0.233,0.236,0.124,0.076,
29,0.234,0.235,0.123,0.077,
30,0.233,0.237,0.124,0.078,
31,0.234,0.235,0.123,0.077,
32,0.233,0.235,0.123,0.077,
33,0.233,0.235,0.123,0.077,
34,0.232,0.233,0.122,0.076,
35,0.233,0.235,0.124,0.076,
36,0.234,0.234,0.122,0.076,
37,0.232,0.235,0.124,0.076,
38,0.233,0.234,0.122,0.076,
39,0.233,0.233,0.122,0.077,
40,0.233,0.234,0.122,0.076,
41,0.232,0.234,0.122,0.075,
42,0.233,0.234,0.122,0.075,
43,0.231,0.235,0.123,0.076,
44,0.233,0.233,0.121,0.075,
45,0.231,0.234,0.122,0.076,
46,0.231,0.239,0.124,0.077,
47,0.232,0.234,0.122,0.076,
48,0.232,0.236,0.124,0.077,
49,0.231,0.233,0.121,0.076,
50,0.232,0.236,0.123,0.077,
51,0.231,0.234,0.122,0.075,
52,0.23,0.234,0.122,0.076,
53,0.23,0.235,0.123,0.075,
54,0.23,0.233,0.121,0.075,
55,0.231,0.235,0.123,0.076,
56,0.231,0.234,0.122,0.075,
57,0.23,0.234,0.122,0.076,
58,0.23,0.233,0.121,0.075,
59,0.23,0.232,0.121,0.075,
60,0.23,0.234,0.121,0.075,
61,0.231,0.237,0.123,0.076,
62,0.231,0.234,0.122,0.075,
63,0.23,0.232,0.121,0.075,
64,0.229,0.233,0.121,0.075,
65,0.229,0.234,0.121,0.075,
66,0.229,0.236,0.123,0.075,
67,0.229,0.233,0.121,0.074,
68,0.23,0.234,0.121,0.075,
69,0.229,0.233,0.121,0.075,
70,0.229,0.235,0.122,0.076,
71,0.23,0.237,0.124,0.077,
72,0.23,0.234,0.121,0.076,
73,0.231,0.235,0.123,0.076,
74,0.23,0.235,0.123,0.076,
75,0.229,0.235,0.123,0.076,
76,0.229,0.234,0.121,0.074,
77,0.231,0.233,0.121,0.075,
78,0.229,0.233,0.121,0.075,
79,0.229,0.235,0.122,0.075,
80,0.229,0.235,0.122,0.076,
81,0.23,0.236,0.122,0.075,
82,0.23,0.234,0.122,0.075,
83,0.229,0.233,0.121,0.075,
84,0.228,0.234,0.121,0.074,
85,0.228,0.234,0.122,0.075,
86,0.229,0.236,0.122,0.075,
87,0.23,0.234,0.121,0.075,
88,0.229,0.236,0.123,0.077,
89,0.228,0.236,0.123,0.076,
90,0.228,0.234,0.121,0.075,
91,0.229,0.233,0.121,0.074,
92,0.228,0.233,0.121,0.074,
93,0.229,0.233,0.121,0.075,
94,0.228,0.235,0.123,0.076,
95,0.229,0.234,0.122,0.075,
96,0.229,0.237,0.123,0.076,
97,0.23,0.236,0.122,0.075,
98,0.228,0.233,0.121,0.076,
99,0.229,0.234,0.122,0.076,"[0.078, 0.178, 0.029, 0.25, 0.049, 0.142, 0.199, 0.085, 0.125, 0.083]"
