epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.005,0.006,0.006,0.004,
1,0.003,0.005,0.005,0.003,
2,0.002,0.002,0.005,0.002,
3,0.001,0.009,0.008,0.006,
4,0.001,0.005,0.005,0.003,
5,0.001,0.016,0.014,0.01,
6,0.002,0.003,0.002,0.0,
7,0.001,0.008,0.01,0.006,
8,0.002,0.005,0.006,0.004,
9,0.0,0.005,0.006,0.004,
10,0.002,0.002,0.001,0.001,
11,0.001,0.001,0.002,0.001,
12,0.001,0.006,0.006,0.004,
13,0.002,0.004,0.004,0.004,
14,0.002,0.006,0.004,0.002,
15,0.001,0.002,0.002,0.001,
16,0.001,0.003,0.004,0.003,
17,0.001,0.006,0.007,0.006,
18,0.001,0.004,0.004,0.002,
19,0.001,0.003,0.004,0.001,
20,0.001,0.005,0.006,0.004,
21,0.0,0.007,0.008,0.006,
22,0.001,0.001,0.002,0.001,
23,0.001,0.004,0.004,0.004,
24,0.001,0.008,0.007,0.004,
25,0.001,0.002,0.002,0.002,
26,0.001,0.002,0.002,0.002,
27,0.001,0.005,0.003,0.002,
28,0.001,0.001,0.001,0.002,
29,0.001,0.0,0.0,0.001,
30,0.001,0.009,0.008,0.004,
31,0.001,0.003,0.005,0.003,
32,0.001,0.003,0.004,0.003,
33,0.001,0.002,0.002,0.001,
34,0.002,0.008,0.006,0.004,
35,0.001,0.002,0.003,0.003,
36,0.0,0.001,0.001,0.0,
37,0.0,0.001,0.002,0.001,
38,0.001,0.0,0.001,0.001,
39,0.0,0.002,0.002,0.002,
40,0.001,0.002,0.003,0.003,
41,0.001,0.001,0.001,0.001,
42,0.0,0.001,0.001,0.001,
43,0.001,0.001,0.001,0.002,
44,0.001,0.001,0.001,0.001,
45,0.001,0.002,0.001,0.0,
46,0.001,0.002,0.003,0.002,
47,0.001,0.0,0.001,0.001,
48,0.001,0.004,0.004,0.002,
49,0.001,0.003,0.003,0.003,
50,0.001,0.005,0.005,0.004,
51,0.001,0.001,0.001,0.001,
52,0.0,0.001,0.001,0.001,
53,0.001,0.001,0.001,0.001,
54,0.0,0.001,0.003,0.002,
55,0.001,0.001,0.002,0.001,
56,0.001,0.002,0.002,0.001,
57,0.001,0.001,0.001,0.001,
58,0.001,0.002,0.004,0.003,
59,0.001,0.001,0.001,0.002,
60,0.001,0.002,0.002,0.001,
61,0.0,0.001,0.001,0.001,
62,0.0,0.003,0.004,0.002,
63,0.001,0.001,0.001,0.001,
64,0.001,0.003,0.003,0.001,
65,0.0,0.001,0.001,0.001,
66,0.001,0.001,0.001,0.001,
67,0.001,0.001,0.003,0.002,
68,0.001,0.005,0.004,0.002,
69,0.001,0.001,0.001,0.001,
70,0.001,0.002,0.001,0.0,
71,0.001,0.002,0.001,0.001,
72,0.001,0.004,0.003,0.002,
73,0.001,0.001,0.001,0.001,
74,0.001,0.001,0.002,0.002,
75,0.001,0.002,0.002,0.002,
76,0.001,0.002,0.002,0.002,
77,0.001,0.001,0.001,0.001,
78,0.001,0.001,0.001,0.001,
79,0.001,0.001,0.0,0.001,
80,0.001,0.001,0.002,0.001,
81,0.0,0.001,0.001,0.0,
82,0.0,0.001,0.002,0.001,
83,0.001,0.001,0.001,0.001,
84,0.001,0.001,0.001,0.001,
85,0.001,0.0,0.002,0.001,
86,0.001,0.002,0.002,0.001,
87,0.001,0.001,0.001,0.001,
88,0.001,0.001,0.002,0.001,
89,0.001,0.001,0.001,0.001,
90,0.001,0.001,0.002,0.001,
91,0.001,0.001,0.002,0.001,
92,0.001,0.002,0.002,0.001,
93,0.001,0.001,0.002,0.001,
94,0.001,0.001,0.003,0.002,
95,0.001,0.002,0.001,0.001,
96,0.001,0.001,0.002,0.001,
97,0.001,0.001,0.0,0.0,
98,0.001,0.002,0.004,0.003,
99,0.001,0.001,0.001,0.001,"[0.0, 0.005, 0.001, 0.004, 0.0, 0.002, 0.003, 0.001, 0.0, 0.0]"
