epoch,train_loss,val_loss,rmse,mae
0,0.267+-0.005,0.255+-0.017,0.138+-0.01,0.084+-0.002
1,0.232+-0.002,0.237+-0.011,0.124+-0.009,0.074+-0.008
2,0.225+-0.001,0.232+-0.012,0.12+-0.011,0.072+-0.006
3,0.22+-0.001,0.227+-0.008,0.118+-0.008,0.069+-0.007
4,0.216+-0.001,0.241+-0.033,0.123+-0.018,0.071+-0.012
5,0.214+-0.002,0.219+-0.002,0.107+-0.003,0.062+-0.003
6,0.212+-0.002,0.225+-0.016,0.114+-0.014,0.066+-0.008
7,0.21+-0.0,0.215+-0.008,0.104+-0.008,0.059+-0.004
8,0.208+-0.001,0.218+-0.003,0.109+-0.006,0.063+-0.002
9,0.206+-0.001,0.218+-0.01,0.106+-0.009,0.06+-0.008
10,0.204+-0.001,0.211+-0.004,0.1+-0.005,0.056+-0.001
11,0.203+-0.002,0.206+-0.003,0.095+-0.005,0.054+-0.004
12,0.202+-0.001,0.205+-0.003,0.093+-0.003,0.053+-0.003
13,0.199+-0.001,0.207+-0.004,0.096+-0.006,0.053+-0.003
14,0.197+-0.001,0.208+-0.006,0.096+-0.006,0.055+-0.004
15,0.195+-0.001,0.206+-0.003,0.096+-0.005,0.054+-0.002
16,0.193+-0.001,0.205+-0.004,0.09+-0.003,0.052+-0.002
17,0.191+-0.001,0.21+-0.012,0.097+-0.014,0.054+-0.007
18,0.19+-0.002,0.209+-0.006,0.097+-0.005,0.054+-0.003
19,0.187+-0.001,0.214+-0.008,0.104+-0.011,0.057+-0.005
20,0.186+-0.001,0.205+-0.002,0.092+-0.003,0.051+-0.002
21,0.184+-0.001,0.207+-0.003,0.094+-0.004,0.053+-0.002
22,0.183+-0.002,0.218+-0.015,0.107+-0.018,0.06+-0.008
23,0.182+-0.001,0.207+-0.003,0.095+-0.003,0.052+-0.002
24,0.181+-0.002,0.208+-0.004,0.095+-0.003,0.053+-0.002
25,0.18+-0.001,0.207+-0.003,0.094+-0.003,0.052+-0.002
