epoch,train_loss,val_loss,rmse,mae
0,0.406+-0.032,0.353+-0.007,0.132+-0.002,0.07+-0.002
1,0.311+-0.01,0.268+-0.016,0.122+-0.007,0.069+-0.006
2,0.249+-0.001,0.229+-0.003,0.109+-0.004,0.062+-0.002
3,0.223+-0.002,0.219+-0.004,0.102+-0.004,0.058+-0.001
4,0.216+-0.001,0.216+-0.002,0.1+-0.001,0.059+-0.001
5,0.216+-0.001,0.218+-0.005,0.102+-0.004,0.059+-0.004
6,0.216+-0.002,0.213+-0.001,0.098+-0.0,0.058+-0.001
7,0.212+-0.001,0.212+-0.001,0.096+-0.001,0.057+-0.001
8,0.212+-0.001,0.212+-0.002,0.097+-0.001,0.057+-0.001
9,0.212+-0.002,0.216+-0.007,0.099+-0.004,0.059+-0.003
10,0.212+-0.002,0.212+-0.001,0.096+-0.001,0.056+-0.001
11,0.21+-0.001,0.211+-0.002,0.096+-0.002,0.057+-0.002
12,0.211+-0.002,0.215+-0.006,0.099+-0.005,0.058+-0.003
13,0.212+-0.001,0.213+-0.001,0.096+-0.002,0.057+-0.002
14,0.212+-0.003,0.212+-0.001,0.097+-0.002,0.057+-0.001
15,0.21+-0.003,0.214+-0.003,0.096+-0.002,0.058+-0.001
16,0.212+-0.003,0.212+-0.001,0.096+-0.001,0.056+-0.001
17,0.21+-0.002,0.212+-0.002,0.096+-0.001,0.057+-0.001
18,0.21+-0.002,0.213+-0.003,0.097+-0.001,0.058+-0.001
19,0.211+-0.003,0.213+-0.001,0.096+-0.001,0.057+-0.001
20,0.211+-0.001,0.216+-0.001,0.098+-0.001,0.058+-0.001
21,0.21+-0.001,0.212+-0.002,0.096+-0.001,0.056+-0.001
22,0.21+-0.001,0.214+-0.002,0.097+-0.001,0.058+-0.001
23,0.21+-0.003,0.212+-0.001,0.096+-0.001,0.057+-0.0
24,0.209+-0.001,0.215+-0.003,0.098+-0.003,0.058+-0.002
25,0.211+-0.001,0.214+-0.003,0.097+-0.002,0.057+-0.001
26,0.21+-0.001,0.212+-0.002,0.096+-0.003,0.057+-0.001
27,0.21+-0.001,0.213+-0.001,0.097+-0.001,0.058+-0.001
28,0.209+-0.001,0.211+-0.001,0.095+-0.001,0.056+-0.001
29,0.209+-0.0,0.214+-0.002,0.096+-0.002,0.057+-0.001
30,0.209+-0.002,0.212+-0.001,0.095+-0.001,0.056+-0.001
31,0.209+-0.001,0.211+-0.001,0.096+-0.001,0.056+-0.001
32,0.211+-0.002,0.215+-0.004,0.098+-0.003,0.058+-0.003
33,0.21+-0.003,0.212+-0.002,0.096+-0.001,0.057+-0.001
34,0.21+-0.003,0.213+-0.001,0.097+-0.001,0.057+-0.0
35,0.21+-0.002,0.21+-0.001,0.095+-0.001,0.056+-0.001
36,0.209+-0.001,0.211+-0.001,0.095+-0.001,0.056+-0.001
37,0.209+-0.001,0.212+-0.002,0.096+-0.001,0.056+-0.001
38,0.209+-0.001,0.212+-0.002,0.095+-0.001,0.056+-0.001
39,0.209+-0.001,0.213+-0.002,0.096+-0.002,0.056+-0.001
40,0.209+-0.001,0.211+-0.001,0.095+-0.001,0.056+-0.001
41,0.209+-0.001,0.211+-0.002,0.095+-0.001,0.056+-0.001
42,0.21+-0.003,0.214+-0.004,0.097+-0.003,0.057+-0.002
43,0.209+-0.002,0.214+-0.003,0.097+-0.003,0.057+-0.002
44,0.21+-0.001,0.214+-0.002,0.097+-0.001,0.057+-0.001
45,0.209+-0.001,0.211+-0.001,0.095+-0.002,0.056+-0.001
46,0.209+-0.001,0.212+-0.002,0.096+-0.002,0.056+-0.001
47,0.209+-0.003,0.212+-0.002,0.095+-0.001,0.056+-0.001
48,0.211+-0.002,0.219+-0.008,0.1+-0.007,0.059+-0.005
49,0.212+-0.002,0.216+-0.004,0.099+-0.003,0.058+-0.002
50,0.214+-0.002,0.207+-0.001,0.09+-0.002,0.051+-0.002
51,0.194+-0.001,0.201+-0.003,0.083+-0.002,0.046+-0.002
52,0.186+-0.001,0.201+-0.004,0.082+-0.002,0.046+-0.002
53,0.181+-0.001,0.194+-0.0,0.076+-0.001,0.042+-0.001
54,0.179+-0.001,0.196+-0.002,0.078+-0.004,0.043+-0.003
55,0.177+-0.001,0.195+-0.001,0.076+-0.001,0.042+-0.001
56,0.176+-0.0,0.195+-0.001,0.077+-0.002,0.042+-0.001
57,0.175+-0.0,0.194+-0.001,0.074+-0.001,0.04+-0.0
58,0.174+-0.001,0.194+-0.001,0.076+-0.001,0.041+-0.001
59,0.174+-0.0,0.194+-0.001,0.076+-0.001,0.041+-0.001
60,0.174+-0.001,0.193+-0.001,0.075+-0.001,0.04+-0.001
61,0.174+-0.001,0.195+-0.005,0.077+-0.007,0.042+-0.004
62,0.173+-0.0,0.192+-0.001,0.075+-0.0,0.04+-0.0
63,0.172+-0.0,0.193+-0.001,0.074+-0.001,0.04+-0.001
64,0.172+-0.0,0.192+-0.001,0.073+-0.001,0.039+-0.001
65,0.172+-0.001,0.193+-0.001,0.075+-0.001,0.04+-0.001
66,0.171+-0.001,0.193+-0.002,0.074+-0.001,0.04+-0.001
67,0.171+-0.001,0.193+-0.001,0.075+-0.001,0.04+-0.001
68,0.171+-0.0,0.192+-0.001,0.073+-0.001,0.039+-0.0
69,0.171+-0.0,0.193+-0.002,0.076+-0.002,0.041+-0.001
70,0.171+-0.0,0.192+-0.0,0.073+-0.001,0.04+-0.001
71,0.17+-0.001,0.192+-0.001,0.073+-0.001,0.039+-0.001
72,0.17+-0.001,0.192+-0.001,0.073+-0.001,0.039+-0.0
73,0.171+-0.001,0.192+-0.002,0.074+-0.002,0.04+-0.001
74,0.171+-0.001,0.192+-0.001,0.074+-0.001,0.039+-0.001
75,0.171+-0.001,0.192+-0.001,0.074+-0.001,0.04+-0.001
76,0.17+-0.001,0.193+-0.001,0.074+-0.001,0.04+-0.001
77,0.17+-0.0,0.192+-0.002,0.073+-0.001,0.039+-0.0
78,0.17+-0.0,0.192+-0.001,0.074+-0.001,0.039+-0.001
79,0.17+-0.0,0.192+-0.001,0.072+-0.001,0.039+-0.0
80,0.17+-0.0,0.192+-0.001,0.074+-0.001,0.039+-0.001
81,0.169+-0.001,0.192+-0.001,0.074+-0.001,0.04+-0.0
82,0.169+-0.001,0.193+-0.002,0.075+-0.002,0.04+-0.001
83,0.17+-0.001,0.191+-0.001,0.073+-0.001,0.039+-0.001
84,0.169+-0.001,0.192+-0.001,0.072+-0.001,0.039+-0.0
85,0.169+-0.001,0.193+-0.001,0.074+-0.001,0.04+-0.0
86,0.169+-0.0,0.192+-0.002,0.073+-0.002,0.039+-0.001
87,0.169+-0.0,0.191+-0.001,0.072+-0.001,0.039+-0.001
88,0.169+-0.0,0.193+-0.002,0.075+-0.002,0.041+-0.002
89,0.169+-0.001,0.192+-0.001,0.073+-0.001,0.039+-0.001
90,0.169+-0.0,0.191+-0.001,0.073+-0.001,0.039+-0.0
91,0.169+-0.0,0.191+-0.001,0.073+-0.001,0.039+-0.0
92,0.169+-0.001,0.191+-0.001,0.073+-0.001,0.039+-0.0
93,0.169+-0.001,0.191+-0.0,0.072+-0.001,0.039+-0.001
94,0.169+-0.001,0.192+-0.001,0.073+-0.001,0.039+-0.001
95,0.168+-0.001,0.192+-0.001,0.073+-0.001,0.039+-0.001
96,0.169+-0.0,0.191+-0.001,0.072+-0.001,0.039+-0.0
97,0.169+-0.0,0.191+-0.002,0.073+-0.001,0.039+-0.001
98,0.169+-0.001,0.191+-0.0,0.072+-0.0,0.039+-0.0
99,0.168+-0.001,0.191+-0.001,0.072+-0.001,0.039+-0.001
