epoch,train_loss,val_loss,rmse,mae
0,0.291+-0.002,0.245+-0.004,0.134+-0.002,0.086+-0.003
1,0.249+-0.002,0.246+-0.004,0.134+-0.003,0.086+-0.001
2,0.246+-0.001,0.243+-0.005,0.13+-0.004,0.082+-0.002
3,0.245+-0.002,0.241+-0.004,0.13+-0.003,0.081+-0.003
4,0.242+-0.002,0.238+-0.001,0.127+-0.001,0.079+-0.002
5,0.242+-0.002,0.237+-0.002,0.125+-0.002,0.079+-0.001
6,0.241+-0.001,0.236+-0.001,0.126+-0.001,0.079+-0.002
7,0.241+-0.002,0.238+-0.006,0.126+-0.003,0.079+-0.002
8,0.241+-0.001,0.235+-0.002,0.124+-0.002,0.077+-0.001
9,0.24+-0.001,0.234+-0.002,0.123+-0.002,0.077+-0.002
10,0.238+-0.002,0.235+-0.002,0.124+-0.002,0.077+-0.001
11,0.239+-0.001,0.234+-0.001,0.123+-0.001,0.077+-0.001
12,0.238+-0.002,0.233+-0.001,0.123+-0.001,0.076+-0.001
13,0.238+-0.002,0.234+-0.002,0.123+-0.001,0.077+-0.0
14,0.237+-0.001,0.234+-0.002,0.123+-0.002,0.076+-0.001
15,0.237+-0.001,0.237+-0.005,0.125+-0.004,0.078+-0.002
16,0.237+-0.002,0.235+-0.003,0.124+-0.003,0.077+-0.001
17,0.237+-0.001,0.235+-0.002,0.123+-0.001,0.077+-0.001
18,0.236+-0.001,0.233+-0.002,0.122+-0.002,0.076+-0.001
19,0.236+-0.001,0.233+-0.001,0.122+-0.002,0.076+-0.001
20,0.236+-0.001,0.233+-0.001,0.122+-0.001,0.076+-0.001
21,0.236+-0.001,0.233+-0.003,0.122+-0.003,0.076+-0.001
22,0.235+-0.001,0.235+-0.002,0.123+-0.001,0.076+-0.001
23,0.236+-0.001,0.236+-0.003,0.123+-0.003,0.076+-0.002
24,0.236+-0.002,0.233+-0.002,0.122+-0.002,0.076+-0.002
25,0.236+-0.002,0.237+-0.006,0.124+-0.003,0.077+-0.002
26,0.235+-0.002,0.233+-0.002,0.122+-0.003,0.076+-0.001
27,0.235+-0.001,0.232+-0.001,0.121+-0.002,0.076+-0.001
28,0.236+-0.001,0.233+-0.002,0.121+-0.001,0.076+-0.002
29,0.235+-0.002,0.234+-0.002,0.122+-0.001,0.076+-0.001
30,0.235+-0.002,0.233+-0.003,0.121+-0.003,0.075+-0.002
31,0.235+-0.002,0.235+-0.002,0.123+-0.002,0.075+-0.002
32,0.235+-0.001,0.231+-0.002,0.12+-0.002,0.075+-0.001
33,0.235+-0.002,0.233+-0.002,0.122+-0.002,0.075+-0.002
34,0.235+-0.002,0.232+-0.003,0.121+-0.002,0.075+-0.002
35,0.235+-0.001,0.235+-0.004,0.123+-0.003,0.076+-0.003
36,0.235+-0.001,0.233+-0.002,0.122+-0.002,0.076+-0.002
37,0.235+-0.001,0.235+-0.002,0.122+-0.001,0.077+-0.002
38,0.235+-0.001,0.234+-0.001,0.122+-0.001,0.076+-0.001
39,0.234+-0.001,0.231+-0.001,0.12+-0.001,0.075+-0.001
40,0.235+-0.001,0.232+-0.003,0.121+-0.003,0.075+-0.001
