epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.291,0.245,0.134,0.086,
1,0.249,0.246,0.134,0.086,
2,0.246,0.243,0.13,0.082,
3,0.245,0.241,0.13,0.081,
4,0.242,0.238,0.127,0.079,
5,0.242,0.237,0.125,0.079,
6,0.241,0.236,0.126,0.079,
7,0.241,0.238,0.126,0.079,
8,0.241,0.235,0.124,0.077,
9,0.24,0.234,0.123,0.077,
10,0.238,0.235,0.124,0.077,
11,0.239,0.234,0.123,0.077,
12,0.238,0.233,0.123,0.076,
13,0.238,0.234,0.123,0.077,
14,0.237,0.234,0.123,0.076,
15,0.237,0.237,0.125,0.078,
16,0.237,0.235,0.124,0.077,
17,0.237,0.235,0.123,0.077,
18,0.236,0.233,0.122,0.076,
19,0.236,0.233,0.122,0.076,
20,0.236,0.233,0.122,0.076,
21,0.236,0.233,0.122,0.076,
22,0.235,0.235,0.123,0.076,
23,0.236,0.236,0.123,0.076,
24,0.236,0.233,0.122,0.076,
25,0.236,0.237,0.124,0.077,
26,0.235,0.233,0.122,0.076,
27,0.235,0.232,0.121,0.076,
28,0.236,0.233,0.121,0.076,
29,0.235,0.234,0.122,0.076,
30,0.235,0.233,0.121,0.075,
31,0.235,0.235,0.123,0.075,
32,0.235,0.231,0.12,0.075,
33,0.235,0.233,0.122,0.075,
34,0.235,0.232,0.121,0.075,
35,0.235,0.235,0.123,0.076,
36,0.235,0.233,0.122,0.076,
37,0.235,0.235,0.122,0.077,
38,0.235,0.234,0.122,0.076,
39,0.234,0.231,0.12,0.075,
40,0.235,0.232,0.121,0.075,
41,0.234,0.237,0.123,0.076,
42,0.234,0.232,0.12,0.075,
43,0.234,0.233,0.121,0.075,
44,0.234,0.237,0.123,0.077,
45,0.234,0.234,0.122,0.076,
46,0.235,0.236,0.123,0.077,
47,0.234,0.233,0.121,0.075,
48,0.234,0.232,0.12,0.075,
49,0.234,0.232,0.121,0.075,
50,0.255,0.252,0.131,0.079,
51,0.231,0.228,0.116,0.071,
52,0.221,0.226,0.112,0.066,
53,0.213,0.226,0.111,0.066,
54,0.205,0.224,0.109,0.064,
55,0.2,0.233,0.118,0.069,
56,0.194,0.226,0.111,0.065,
57,0.189,0.217,0.103,0.061,
58,0.187,0.223,0.107,0.062,
59,0.184,0.217,0.103,0.06,
60,0.183,0.216,0.101,0.059,
61,0.181,0.219,0.104,0.061,
62,0.18,0.219,0.104,0.06,
63,0.178,0.216,0.101,0.059,
64,0.178,0.218,0.103,0.058,
65,0.178,0.217,0.103,0.059,
66,0.176,0.217,0.101,0.058,
67,0.176,0.219,0.103,0.058,
68,0.176,0.219,0.102,0.058,
69,0.175,0.22,0.104,0.059,
70,0.175,0.216,0.101,0.058,
71,0.174,0.216,0.101,0.057,
72,0.174,0.216,0.101,0.057,
73,0.174,0.219,0.104,0.059,
74,0.174,0.22,0.103,0.058,
75,0.174,0.218,0.102,0.057,
76,0.173,0.22,0.103,0.058,
77,0.173,0.217,0.101,0.058,
78,0.173,0.217,0.102,0.058,
79,0.173,0.218,0.101,0.057,
80,0.173,0.218,0.102,0.057,
81,0.173,0.216,0.101,0.057,
82,0.172,0.217,0.102,0.057,
83,0.172,0.219,0.101,0.056,
84,0.172,0.216,0.101,0.057,
85,0.172,0.219,0.103,0.058,
86,0.171,0.216,0.101,0.057,
87,0.172,0.216,0.101,0.056,
88,0.171,0.217,0.101,0.056,
89,0.171,0.218,0.102,0.057,
90,0.171,0.217,0.101,0.056,
91,0.171,0.219,0.102,0.057,
92,0.171,0.217,0.101,0.056,
93,0.171,0.217,0.1,0.057,
94,0.171,0.218,0.101,0.056,
95,0.17,0.217,0.102,0.057,
96,0.171,0.216,0.101,0.057,
97,0.171,0.218,0.101,0.057,
98,0.171,0.217,0.101,0.056,
99,0.171,0.217,0.102,0.057,"[0.056, 0.146, 0.026, 0.213, 0.046, 0.126, 0.163, 0.085, 0.094, 0.063]"
