epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.006,0.021,0.01,0.005,
1,0.008,0.01,0.005,0.003,
2,0.004,0.001,0.002,0.002,
3,0.002,0.002,0.001,0.001,
4,0.001,0.002,0.002,0.002,
5,0.001,0.003,0.002,0.002,
6,0.0,0.001,0.002,0.001,
7,0.0,0.001,0.001,0.001,
8,0.0,0.001,0.001,0.001,
9,0.001,0.002,0.002,0.001,
10,0.001,0.002,0.001,0.001,
11,0.001,0.001,0.001,0.001,
12,0.001,0.002,0.002,0.001,
13,0.001,0.003,0.002,0.001,
14,0.002,0.001,0.001,0.001,
15,0.001,0.004,0.003,0.002,
16,0.002,0.004,0.003,0.002,
17,0.002,0.002,0.001,0.001,
18,0.002,0.002,0.002,0.002,
19,0.001,0.002,0.002,0.001,
20,0.002,0.001,0.0,0.001,
21,0.001,0.002,0.001,0.001,
22,0.0,0.001,0.002,0.001,
23,0.0,0.001,0.001,0.001,
24,0.0,0.001,0.001,0.001,
25,0.001,0.002,0.001,0.0,
26,0.001,0.001,0.001,0.001,
27,0.001,0.001,0.0,0.0,
28,0.001,0.001,0.001,0.001,
29,0.001,0.001,0.001,0.0,
30,0.002,0.001,0.001,0.001,
31,0.002,0.003,0.002,0.002,
32,0.002,0.001,0.001,0.0,
33,0.001,0.002,0.001,0.002,
34,0.002,0.001,0.001,0.001,
35,0.001,0.002,0.002,0.002,
36,0.001,0.002,0.001,0.0,
37,0.002,0.001,0.001,0.001,
38,0.003,0.005,0.004,0.002,
39,0.002,0.002,0.001,0.001,
40,0.002,0.001,0.0,0.001,
41,0.001,0.001,0.001,0.001,
42,0.001,0.002,0.001,0.001,
43,0.001,0.001,0.002,0.001,
44,0.001,0.001,0.001,0.001,
45,0.001,0.001,0.001,0.001,
46,0.0,0.002,0.003,0.002,
47,0.001,0.001,0.001,0.001,
48,0.001,0.003,0.002,0.001,
49,0.001,0.001,0.002,0.001,
50,0.001,0.001,0.002,0.001,
51,0.001,0.004,0.003,0.002,
52,0.001,0.002,0.001,0.001,
53,0.001,0.002,0.001,0.001,
54,0.0,0.002,0.001,0.001,
55,0.001,0.001,0.001,0.0,
56,0.001,0.001,0.002,0.001,
57,0.001,0.002,0.002,0.002,
58,0.002,0.0,0.001,0.001,
59,0.001,0.001,0.001,0.001,
60,0.002,0.001,0.001,0.001,
61,0.001,0.003,0.002,0.002,
62,0.001,0.001,0.001,0.001,
63,0.001,0.001,0.002,0.002,
64,0.001,0.001,0.001,0.001,
65,0.0,0.001,0.002,0.001,
66,0.001,0.003,0.002,0.001,
67,0.0,0.002,0.003,0.002,
68,0.001,0.001,0.001,0.001,
69,0.0,0.002,0.001,0.001,
70,0.001,0.002,0.001,0.001,
71,0.0,0.001,0.002,0.001,
72,0.001,0.001,0.001,0.001,
73,0.002,0.001,0.001,0.001,
74,0.002,0.003,0.002,0.001,
75,0.001,0.001,0.001,0.001,
76,0.002,0.002,0.001,0.001,
77,0.002,0.001,0.0,0.001,
78,0.001,0.002,0.002,0.001,
79,0.001,0.001,0.001,0.0,
80,0.0,0.002,0.001,0.001,
81,0.001,0.001,0.001,0.001,
82,0.001,0.001,0.001,0.0,
83,0.001,0.001,0.001,0.001,
84,0.001,0.001,0.001,0.001,
85,0.001,0.001,0.001,0.0,
86,0.001,0.002,0.001,0.001,
87,0.0,0.002,0.002,0.001,
88,0.0,0.002,0.002,0.002,
89,0.001,0.001,0.001,0.001,
90,0.001,0.001,0.001,0.001,
91,0.001,0.001,0.001,0.0,
92,0.001,0.001,0.001,0.001,
93,0.001,0.001,0.001,0.0,
94,0.0,0.002,0.001,0.001,
95,0.001,0.0,0.0,0.001,
96,0.001,0.001,0.001,0.001,
97,0.0,0.0,0.001,0.0,
98,0.001,0.002,0.001,0.0,
99,0.001,0.002,0.002,0.001,"[0.0, 0.007, 0.0, 0.004, 0.0, 0.001, 0.004, 0.0, 0.0, 0.0]"
