epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.242,0.215,0.101,0.061,
1,0.217,0.213,0.098,0.058,
2,0.216,0.213,0.097,0.058,
3,0.215,0.213,0.096,0.057,
4,0.214,0.215,0.097,0.058,
5,0.214,0.21,0.094,0.055,
6,0.213,0.21,0.095,0.056,
7,0.213,0.212,0.096,0.057,
8,0.213,0.21,0.094,0.056,
9,0.214,0.213,0.096,0.057,
10,0.213,0.213,0.096,0.057,
11,0.213,0.21,0.094,0.056,
12,0.213,0.211,0.095,0.056,
13,0.214,0.212,0.095,0.056,
14,0.213,0.21,0.093,0.055,
15,0.213,0.212,0.095,0.056,
16,0.212,0.21,0.093,0.055,
17,0.213,0.211,0.094,0.056,
18,0.212,0.211,0.094,0.056,
19,0.212,0.212,0.095,0.056,
20,0.213,0.212,0.095,0.056,
21,0.212,0.21,0.093,0.054,
22,0.213,0.212,0.095,0.057,
23,0.212,0.212,0.094,0.055,
24,0.212,0.213,0.095,0.056,
25,0.214,0.214,0.096,0.057,
26,0.213,0.211,0.094,0.056,
27,0.213,0.212,0.095,0.056,
28,0.212,0.209,0.093,0.055,
29,0.212,0.214,0.097,0.057,
30,0.212,0.215,0.097,0.057,
31,0.212,0.214,0.096,0.057,
32,0.213,0.212,0.095,0.056,
33,0.213,0.215,0.097,0.057,
34,0.213,0.214,0.096,0.057,
35,0.212,0.213,0.096,0.057,
36,0.212,0.214,0.096,0.057,
37,0.212,0.214,0.096,0.057,
38,0.212,0.212,0.094,0.056,
39,0.212,0.212,0.095,0.056,
40,0.212,0.212,0.095,0.056,
41,0.212,0.211,0.095,0.056,
42,0.212,0.212,0.096,0.056,
43,0.212,0.213,0.095,0.056,
44,0.212,0.215,0.098,0.058,
45,0.213,0.21,0.093,0.055,
46,0.213,0.214,0.096,0.057,
47,0.212,0.21,0.094,0.055,
48,0.212,0.212,0.095,0.056,
49,0.213,0.211,0.094,0.056,
50,0.207,0.2,0.084,0.047,
51,0.193,0.195,0.076,0.042,
52,0.186,0.192,0.073,0.04,
53,0.182,0.191,0.072,0.039,
54,0.179,0.19,0.072,0.039,
55,0.177,0.192,0.072,0.039,
56,0.176,0.191,0.071,0.038,
57,0.175,0.19,0.071,0.038,
58,0.174,0.191,0.071,0.038,
59,0.174,0.19,0.07,0.038,
60,0.173,0.191,0.072,0.038,
61,0.173,0.191,0.072,0.038,
62,0.172,0.19,0.071,0.038,
63,0.172,0.192,0.072,0.039,
64,0.171,0.191,0.072,0.038,
65,0.171,0.19,0.07,0.037,
66,0.171,0.191,0.071,0.038,
67,0.171,0.189,0.07,0.037,
68,0.171,0.191,0.072,0.038,
69,0.171,0.19,0.071,0.038,
70,0.171,0.191,0.071,0.038,
71,0.17,0.191,0.072,0.038,
72,0.17,0.191,0.071,0.038,
73,0.17,0.19,0.071,0.037,
74,0.17,0.19,0.07,0.037,
75,0.17,0.191,0.071,0.038,
76,0.17,0.19,0.07,0.038,
77,0.17,0.19,0.07,0.037,
78,0.169,0.19,0.07,0.037,
79,0.17,0.19,0.07,0.038,
80,0.169,0.19,0.071,0.037,
81,0.169,0.19,0.07,0.037,
82,0.169,0.19,0.07,0.037,
83,0.169,0.191,0.071,0.037,
84,0.169,0.19,0.07,0.037,
85,0.169,0.19,0.071,0.037,
86,0.169,0.19,0.07,0.037,
87,0.169,0.19,0.07,0.037,
88,0.169,0.191,0.07,0.037,
89,0.169,0.19,0.07,0.037,
90,0.169,0.19,0.07,0.037,
91,0.169,0.19,0.07,0.037,
92,0.169,0.19,0.07,0.037,
93,0.169,0.191,0.07,0.037,
94,0.169,0.19,0.07,0.037,
95,0.168,0.19,0.07,0.037,
96,0.168,0.19,0.07,0.037,
97,0.169,0.191,0.071,0.037,
98,0.168,0.19,0.07,0.037,
99,0.168,0.19,0.07,0.037,"[0.042, 0.085, 0.016, 0.107, 0.035, 0.097, 0.122, 0.072, 0.082, 0.041]"
