epoch,train_loss,val_loss,rmse,mae
0,0.27+-0.003,0.243+-0.006,0.131+-0.004,0.083+-0.002
1,0.245+-0.002,0.242+-0.006,0.128+-0.002,0.08+-0.001
2,0.243+-0.002,0.236+-0.004,0.125+-0.003,0.079+-0.002
3,0.242+-0.001,0.236+-0.002,0.125+-0.002,0.078+-0.003
4,0.24+-0.002,0.238+-0.005,0.124+-0.001,0.079+-0.001
5,0.24+-0.002,0.236+-0.003,0.124+-0.002,0.077+-0.001
6,0.239+-0.001,0.235+-0.002,0.123+-0.003,0.077+-0.002
7,0.238+-0.001,0.235+-0.002,0.122+-0.002,0.076+-0.002
8,0.238+-0.001,0.237+-0.005,0.123+-0.003,0.077+-0.002
9,0.238+-0.001,0.233+-0.001,0.122+-0.001,0.075+-0.001
10,0.237+-0.001,0.234+-0.001,0.122+-0.002,0.076+-0.001
11,0.237+-0.001,0.233+-0.001,0.121+-0.001,0.076+-0.001
12,0.237+-0.001,0.232+-0.002,0.12+-0.001,0.074+-0.001
13,0.236+-0.001,0.233+-0.0,0.121+-0.001,0.076+-0.001
14,0.236+-0.001,0.234+-0.003,0.121+-0.002,0.075+-0.001
15,0.236+-0.001,0.234+-0.005,0.121+-0.003,0.075+-0.002
16,0.236+-0.002,0.233+-0.002,0.121+-0.002,0.074+-0.002
17,0.236+-0.001,0.231+-0.001,0.119+-0.001,0.074+-0.002
18,0.235+-0.002,0.234+-0.005,0.122+-0.003,0.076+-0.003
19,0.235+-0.001,0.232+-0.002,0.12+-0.002,0.075+-0.002
20,0.235+-0.002,0.23+-0.001,0.119+-0.0,0.074+-0.001
21,0.235+-0.001,0.233+-0.003,0.121+-0.003,0.075+-0.002
22,0.236+-0.002,0.232+-0.001,0.12+-0.001,0.074+-0.001
23,0.235+-0.001,0.233+-0.004,0.12+-0.002,0.074+-0.001
24,0.235+-0.001,0.232+-0.002,0.12+-0.002,0.074+-0.001
25,0.235+-0.002,0.235+-0.003,0.121+-0.002,0.075+-0.002
26,0.235+-0.002,0.231+-0.001,0.12+-0.001,0.074+-0.001
27,0.235+-0.002,0.233+-0.002,0.12+-0.0,0.074+-0.001
28,0.234+-0.001,0.232+-0.003,0.12+-0.003,0.075+-0.002
29,0.235+-0.001,0.235+-0.005,0.122+-0.004,0.076+-0.003
30,0.234+-0.001,0.233+-0.001,0.12+-0.001,0.074+-0.001
31,0.234+-0.001,0.233+-0.004,0.12+-0.002,0.075+-0.002
32,0.234+-0.002,0.231+-0.002,0.119+-0.002,0.073+-0.001
33,0.234+-0.002,0.232+-0.002,0.12+-0.001,0.075+-0.001
34,0.234+-0.002,0.231+-0.002,0.119+-0.002,0.074+-0.001
35,0.234+-0.001,0.232+-0.003,0.119+-0.003,0.075+-0.003
36,0.234+-0.002,0.233+-0.003,0.12+-0.001,0.074+-0.001
37,0.234+-0.001,0.232+-0.002,0.12+-0.001,0.074+-0.002
38,0.234+-0.001,0.231+-0.001,0.118+-0.001,0.073+-0.001
39,0.234+-0.0,0.233+-0.002,0.12+-0.002,0.074+-0.0
40,0.234+-0.001,0.231+-0.001,0.119+-0.001,0.074+-0.002
41,0.234+-0.001,0.232+-0.002,0.121+-0.001,0.075+-0.001
42,0.234+-0.001,0.231+-0.002,0.119+-0.001,0.073+-0.0
43,0.234+-0.001,0.233+-0.003,0.12+-0.001,0.074+-0.001
44,0.234+-0.001,0.232+-0.003,0.12+-0.003,0.075+-0.001
45,0.234+-0.001,0.23+-0.001,0.119+-0.001,0.074+-0.001
