epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.221,0.196,0.081,0.046,
1,0.194,0.194,0.075,0.042,
2,0.189,0.192,0.072,0.039,
3,0.186,0.19,0.071,0.039,
4,0.183,0.19,0.071,0.039,
5,0.18,0.189,0.069,0.037,
6,0.178,0.19,0.071,0.038,
7,0.176,0.189,0.068,0.037,
8,0.175,0.189,0.069,0.037,
9,0.175,0.19,0.07,0.037,
10,0.174,0.192,0.073,0.039,
11,0.173,0.189,0.069,0.037,
12,0.173,0.189,0.069,0.037,
13,0.173,0.188,0.069,0.037,
14,0.172,0.189,0.07,0.037,
15,0.171,0.189,0.069,0.036,
16,0.171,0.189,0.069,0.037,
17,0.171,0.189,0.069,0.036,
18,0.171,0.189,0.07,0.037,
19,0.171,0.189,0.069,0.037,
20,0.17,0.189,0.07,0.037,
21,0.17,0.189,0.069,0.037,
22,0.17,0.189,0.069,0.036,
23,0.17,0.188,0.068,0.036,
24,0.17,0.189,0.069,0.036,
25,0.17,0.189,0.069,0.037,
26,0.169,0.19,0.069,0.037,
27,0.169,0.189,0.069,0.036,
28,0.169,0.189,0.069,0.037,
29,0.169,0.189,0.069,0.036,
30,0.169,0.189,0.069,0.036,
31,0.169,0.189,0.068,0.036,
32,0.169,0.189,0.069,0.036,
33,0.169,0.189,0.068,0.036,
34,0.169,0.189,0.069,0.037,
35,0.169,0.189,0.069,0.037,
36,0.169,0.189,0.069,0.036,
37,0.169,0.189,0.069,0.037,
38,0.169,0.189,0.069,0.036,
39,0.168,0.19,0.069,0.037,
40,0.168,0.189,0.068,0.036,
41,0.168,0.189,0.069,0.036,
42,0.168,0.189,0.069,0.036,
43,0.168,0.189,0.069,0.037,
44,0.168,0.189,0.069,0.036,
45,0.168,0.189,0.068,0.036,
46,0.168,0.189,0.069,0.037,
47,0.168,0.189,0.069,0.036,
48,0.168,0.189,0.069,0.036,
49,0.168,0.189,0.069,0.036,
50,0.168,0.189,0.068,0.036,
51,0.168,0.189,0.069,0.036,
52,0.168,0.188,0.068,0.036,
53,0.168,0.189,0.068,0.036,
54,0.168,0.189,0.068,0.036,
55,0.168,0.189,0.069,0.037,
56,0.168,0.189,0.069,0.036,
57,0.168,0.189,0.069,0.036,
58,0.168,0.189,0.069,0.036,
59,0.168,0.189,0.068,0.036,
60,0.168,0.189,0.068,0.036,
61,0.168,0.189,0.069,0.036,
62,0.168,0.189,0.069,0.036,
63,0.168,0.189,0.068,0.036,
64,0.168,0.189,0.068,0.036,
65,0.167,0.189,0.068,0.036,
66,0.168,0.189,0.069,0.036,
67,0.168,0.189,0.069,0.036,
68,0.167,0.189,0.069,0.036,
69,0.167,0.189,0.069,0.036,
70,0.167,0.189,0.069,0.036,
71,0.167,0.189,0.069,0.036,
72,0.167,0.189,0.069,0.036,
73,0.167,0.189,0.068,0.036,
74,0.167,0.189,0.069,0.036,
75,0.167,0.189,0.068,0.036,
76,0.167,0.189,0.069,0.036,
77,0.167,0.189,0.069,0.036,
78,0.167,0.189,0.069,0.036,
79,0.167,0.189,0.068,0.037,
80,0.167,0.189,0.069,0.036,
81,0.167,0.189,0.068,0.036,
82,0.167,0.189,0.068,0.036,
83,0.167,0.189,0.069,0.036,
84,0.167,0.189,0.069,0.036,
85,0.167,0.189,0.069,0.037,
86,0.167,0.189,0.068,0.036,
87,0.167,0.189,0.069,0.036,
88,0.167,0.189,0.069,0.037,
89,0.167,0.189,0.069,0.036,
90,0.167,0.189,0.069,0.037,
91,0.167,0.189,0.069,0.036,
92,0.167,0.189,0.069,0.036,
93,0.167,0.189,0.069,0.037,
94,0.167,0.189,0.069,0.036,
95,0.167,0.189,0.069,0.036,
96,0.167,0.189,0.068,0.036,
97,0.167,0.189,0.069,0.037,
98,0.167,0.189,0.069,0.037,
99,0.167,0.189,0.069,0.037,"[0.04, 0.085, 0.016, 0.105, 0.036, 0.096, 0.115, 0.071, 0.082, 0.04]"
