epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.27,0.243,0.131,0.083,
1,0.245,0.242,0.128,0.08,
2,0.243,0.236,0.125,0.079,
3,0.242,0.236,0.125,0.078,
4,0.24,0.238,0.124,0.079,
5,0.24,0.236,0.124,0.077,
6,0.239,0.235,0.123,0.077,
7,0.238,0.235,0.122,0.076,
8,0.238,0.237,0.123,0.077,
9,0.238,0.233,0.122,0.075,
10,0.237,0.234,0.122,0.076,
11,0.237,0.233,0.121,0.076,
12,0.237,0.232,0.12,0.074,
13,0.236,0.233,0.121,0.076,
14,0.236,0.234,0.121,0.075,
15,0.236,0.234,0.121,0.075,
16,0.236,0.233,0.121,0.074,
17,0.236,0.231,0.119,0.074,
18,0.235,0.234,0.122,0.076,
19,0.235,0.232,0.12,0.075,
20,0.235,0.23,0.119,0.074,
21,0.235,0.233,0.121,0.075,
22,0.236,0.232,0.12,0.074,
23,0.235,0.233,0.12,0.074,
24,0.235,0.232,0.12,0.074,
25,0.235,0.235,0.121,0.075,
26,0.235,0.231,0.12,0.074,
27,0.235,0.233,0.12,0.074,
28,0.234,0.232,0.12,0.075,
29,0.235,0.235,0.122,0.076,
30,0.234,0.233,0.12,0.074,
31,0.234,0.233,0.12,0.075,
32,0.234,0.231,0.119,0.073,
33,0.234,0.232,0.12,0.075,
34,0.234,0.231,0.119,0.074,
35,0.234,0.232,0.119,0.075,
36,0.234,0.233,0.12,0.074,
37,0.234,0.232,0.12,0.074,
38,0.234,0.231,0.118,0.073,
39,0.234,0.233,0.12,0.074,
40,0.234,0.231,0.119,0.074,
41,0.234,0.232,0.121,0.075,
42,0.234,0.231,0.119,0.073,
43,0.234,0.233,0.12,0.074,
44,0.234,0.232,0.12,0.075,
45,0.234,0.23,0.119,0.074,
46,0.234,0.233,0.12,0.075,
47,0.234,0.233,0.12,0.074,
48,0.233,0.234,0.121,0.075,
49,0.234,0.231,0.119,0.073,
50,0.252,0.235,0.122,0.073,
51,0.222,0.223,0.111,0.066,
52,0.214,0.221,0.108,0.062,
53,0.208,0.215,0.102,0.059,
54,0.202,0.219,0.109,0.064,
55,0.198,0.219,0.104,0.06,
56,0.194,0.214,0.098,0.057,
57,0.19,0.209,0.095,0.054,
58,0.187,0.211,0.098,0.056,
59,0.185,0.209,0.095,0.055,
60,0.183,0.216,0.101,0.058,
61,0.181,0.21,0.096,0.054,
62,0.179,0.211,0.096,0.054,
63,0.178,0.21,0.095,0.054,
64,0.177,0.211,0.095,0.054,
65,0.177,0.209,0.095,0.053,
66,0.176,0.21,0.094,0.053,
67,0.175,0.207,0.093,0.052,
68,0.175,0.211,0.096,0.054,
69,0.175,0.207,0.092,0.052,
70,0.174,0.209,0.094,0.053,
71,0.174,0.21,0.095,0.053,
72,0.174,0.21,0.095,0.053,
73,0.173,0.209,0.093,0.052,
74,0.173,0.211,0.095,0.053,
75,0.172,0.21,0.094,0.053,
76,0.172,0.209,0.093,0.052,
77,0.172,0.209,0.094,0.052,
78,0.172,0.209,0.093,0.052,
79,0.172,0.209,0.095,0.053,
80,0.171,0.209,0.093,0.051,
81,0.171,0.209,0.093,0.051,
82,0.171,0.208,0.093,0.052,
83,0.171,0.21,0.093,0.052,
84,0.171,0.209,0.093,0.051,
85,0.171,0.209,0.092,0.051,
86,0.171,0.21,0.094,0.052,
87,0.17,0.209,0.093,0.052,
88,0.17,0.208,0.093,0.051,
89,0.17,0.209,0.093,0.051,
90,0.17,0.21,0.094,0.051,
91,0.17,0.209,0.094,0.052,
92,0.17,0.209,0.093,0.051,
93,0.17,0.211,0.095,0.052,
94,0.17,0.208,0.093,0.051,
95,0.17,0.209,0.093,0.051,
96,0.17,0.21,0.094,0.051,
97,0.17,0.209,0.093,0.052,
98,0.17,0.208,0.093,0.051,
99,0.17,0.211,0.094,0.052,"[0.053, 0.127, 0.022, 0.184, 0.043, 0.119, 0.168, 0.084, 0.089, 0.054]"
