epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.002,0.014,0.008,0.002,
1,0.001,0.016,0.008,0.004,
2,0.0,0.019,0.02,0.015,
3,0.001,0.003,0.005,0.004,
4,0.001,0.006,0.005,0.003,
5,0.001,0.0,0.001,0.001,
6,0.001,0.008,0.011,0.006,
7,0.001,0.009,0.012,0.006,
8,0.0,0.006,0.01,0.005,
9,0.001,0.011,0.013,0.007,
10,0.001,0.002,0.002,0.0,
11,0.001,0.016,0.019,0.011,
12,0.001,0.005,0.004,0.003,
13,0.001,0.004,0.004,0.003,
14,0.0,0.005,0.007,0.004,
15,0.001,0.011,0.014,0.008,
16,0.0,0.003,0.005,0.004,
17,0.001,0.006,0.008,0.004,
18,0.001,0.003,0.004,0.003,
19,0.001,0.003,0.005,0.003,
20,0.0,0.002,0.002,0.002,
21,0.001,0.002,0.003,0.002,
22,0.001,0.004,0.004,0.003,
23,0.001,0.002,0.003,0.002,
24,0.0,0.002,0.003,0.002,
25,0.001,0.005,0.008,0.005,
26,0.001,0.002,0.001,0.001,
27,0.0,0.001,0.002,0.002,
28,0.001,0.001,0.002,0.002,
29,0.001,0.001,0.002,0.001,
30,0.0,0.002,0.004,0.003,
31,0.001,0.003,0.003,0.002,
32,0.001,0.002,0.002,0.001,
33,0.0,0.003,0.003,0.003,
34,0.0,0.002,0.002,0.001,
35,0.0,0.001,0.002,0.001,
36,0.001,0.0,0.001,0.0,
37,0.001,0.002,0.004,0.002,
38,0.001,0.001,0.001,0.0,
39,0.0,0.001,0.003,0.001,
40,0.0,0.002,0.002,0.001,
41,0.0,0.001,0.002,0.001,
42,0.0,0.001,0.002,0.002,
43,0.001,0.002,0.003,0.002,
44,0.0,0.001,0.002,0.002,
45,0.0,0.002,0.001,0.001,
46,0.0,0.001,0.001,0.001,
47,0.001,0.001,0.001,0.001,
48,0.001,0.001,0.002,0.001,
49,0.0,0.001,0.001,0.001,
50,0.001,0.001,0.002,0.001,
51,0.0,0.001,0.001,0.001,
52,0.0,0.001,0.002,0.001,
53,0.0,0.001,0.002,0.001,
54,0.0,0.002,0.002,0.001,
55,0.0,0.001,0.001,0.001,
56,0.001,0.002,0.002,0.001,
57,0.0,0.0,0.001,0.001,
58,0.001,0.001,0.002,0.001,
59,0.001,0.001,0.001,0.001,
60,0.0,0.001,0.001,0.001,
61,0.0,0.001,0.002,0.001,
62,0.0,0.002,0.003,0.002,
63,0.0,0.0,0.002,0.001,
64,0.0,0.001,0.002,0.001,
65,0.0,0.001,0.001,0.001,
66,0.0,0.001,0.001,0.001,
67,0.0,0.001,0.002,0.001,
68,0.0,0.001,0.002,0.001,
69,0.0,0.001,0.003,0.002,
70,0.0,0.0,0.002,0.001,
71,0.0,0.002,0.002,0.001,
72,0.0,0.002,0.003,0.002,
73,0.0,0.001,0.002,0.002,
74,0.0,0.001,0.0,0.001,
75,0.0,0.002,0.002,0.002,
76,0.001,0.001,0.001,0.001,
77,0.001,0.001,0.002,0.001,
78,0.001,0.001,0.001,0.001,
79,0.001,0.002,0.003,0.001,
80,0.001,0.0,0.001,0.001,
81,0.0,0.001,0.001,0.001,
82,0.0,0.001,0.002,0.001,
83,0.0,0.001,0.002,0.001,
84,0.0,0.002,0.002,0.001,
85,0.0,0.001,0.002,0.001,
86,0.0,0.001,0.001,0.001,
87,0.0,0.001,0.001,0.001,
88,0.0,0.002,0.002,0.001,
89,0.0,0.001,0.002,0.001,
90,0.0,0.001,0.001,0.001,
91,0.0,0.002,0.002,0.001,
92,0.0,0.001,0.002,0.001,
93,0.0,0.002,0.002,0.001,
94,0.0,0.001,0.001,0.0,
95,0.0,0.001,0.002,0.001,
96,0.0,0.001,0.001,0.001,
97,0.0,0.001,0.001,0.001,
98,0.0,0.001,0.001,0.001,
99,0.0,0.001,0.001,0.001,"[0.0, 0.002, 0.002, 0.003, 0.001, 0.001, 0.0, 0.001, 0.0, 0.001]"
