epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.003,0.006,0.004,0.002,
1,0.002,0.006,0.002,0.001,
2,0.002,0.004,0.003,0.002,
3,0.001,0.002,0.002,0.003,
4,0.002,0.005,0.001,0.001,
5,0.002,0.003,0.002,0.001,
6,0.001,0.002,0.003,0.002,
7,0.001,0.002,0.002,0.002,
8,0.001,0.005,0.003,0.002,
9,0.001,0.001,0.001,0.001,
10,0.001,0.001,0.002,0.001,
11,0.001,0.001,0.001,0.001,
12,0.001,0.002,0.001,0.001,
13,0.001,0.0,0.001,0.001,
14,0.001,0.003,0.002,0.001,
15,0.001,0.005,0.003,0.002,
16,0.002,0.002,0.002,0.002,
17,0.001,0.001,0.001,0.002,
18,0.002,0.005,0.003,0.003,
19,0.001,0.002,0.002,0.002,
20,0.002,0.001,0.0,0.001,
21,0.001,0.003,0.003,0.002,
22,0.002,0.001,0.001,0.001,
23,0.001,0.004,0.002,0.001,
24,0.001,0.002,0.002,0.001,
25,0.002,0.003,0.002,0.002,
26,0.002,0.001,0.001,0.001,
27,0.002,0.002,0.0,0.001,
28,0.001,0.003,0.003,0.002,
29,0.001,0.005,0.004,0.003,
30,0.001,0.001,0.001,0.001,
31,0.001,0.004,0.002,0.002,
32,0.002,0.002,0.002,0.001,
33,0.002,0.002,0.001,0.001,
34,0.002,0.002,0.002,0.001,
35,0.001,0.003,0.003,0.003,
36,0.002,0.003,0.001,0.001,
37,0.001,0.002,0.001,0.002,
38,0.001,0.001,0.001,0.001,
39,0.0,0.002,0.002,0.0,
40,0.001,0.001,0.001,0.002,
41,0.001,0.002,0.001,0.001,
42,0.001,0.002,0.001,0.0,
43,0.001,0.003,0.001,0.001,
44,0.001,0.003,0.003,0.001,
45,0.001,0.001,0.001,0.001,
46,0.001,0.003,0.002,0.002,
47,0.001,0.001,0.002,0.002,
48,0.001,0.004,0.003,0.001,
49,0.001,0.001,0.001,0.001,
50,0.002,0.011,0.009,0.002,
51,0.001,0.004,0.006,0.004,
52,0.002,0.012,0.013,0.007,
53,0.003,0.002,0.002,0.001,
54,0.004,0.006,0.007,0.004,
55,0.005,0.011,0.005,0.002,
56,0.005,0.003,0.003,0.002,
57,0.006,0.006,0.006,0.003,
58,0.006,0.003,0.004,0.003,
59,0.004,0.002,0.003,0.001,
60,0.005,0.007,0.008,0.005,
61,0.004,0.002,0.002,0.001,
62,0.004,0.0,0.001,0.001,
63,0.003,0.003,0.003,0.002,
64,0.002,0.003,0.003,0.002,
65,0.002,0.002,0.001,0.001,
66,0.002,0.002,0.002,0.002,
67,0.002,0.002,0.003,0.002,
68,0.001,0.002,0.001,0.0,
69,0.001,0.004,0.004,0.003,
70,0.001,0.003,0.003,0.002,
71,0.001,0.004,0.004,0.002,
72,0.001,0.006,0.006,0.004,
73,0.001,0.004,0.003,0.002,
74,0.001,0.005,0.006,0.003,
75,0.001,0.001,0.002,0.001,
76,0.001,0.005,0.005,0.003,
77,0.001,0.001,0.002,0.002,
78,0.001,0.004,0.004,0.002,
79,0.001,0.001,0.001,0.001,
80,0.001,0.005,0.005,0.003,
81,0.001,0.004,0.004,0.003,
82,0.001,0.002,0.003,0.002,
83,0.001,0.003,0.003,0.002,
84,0.001,0.002,0.004,0.002,
85,0.0,0.004,0.004,0.002,
86,0.0,0.003,0.002,0.002,
87,0.001,0.004,0.004,0.003,
88,0.001,0.002,0.003,0.002,
89,0.001,0.004,0.003,0.003,
90,0.0,0.005,0.005,0.002,
91,0.001,0.003,0.003,0.002,
92,0.0,0.004,0.004,0.003,
93,0.0,0.003,0.004,0.002,
94,0.0,0.003,0.003,0.002,
95,0.0,0.005,0.005,0.003,
96,0.0,0.002,0.002,0.002,
97,0.0,0.004,0.004,0.003,
98,0.0,0.004,0.005,0.003,
99,0.001,0.006,0.006,0.003,"[0.002, 0.007, 0.001, 0.012, 0.003, 0.002, 0.019, 0.002, 0.001, 0.001]"
