epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.376,0.312,0.150,0.096,"[0.106, 0.222, 0.044, 0.26, 0.055, 0.191, 0.225, 0.156, 0.135, 0.101]"
01,0.305,0.271,0.141,0.087,"[0.167, 0.2, 0.044, 0.246, 0.055, 0.154, 0.2, 0.116, 0.129, 0.098]"
02,0.264,0.258,0.130,0.078,"[0.077, 0.189, 0.044, 0.24, 0.055, 0.161, 0.19, 0.133, 0.124, 0.088]"
03,0.246,0.247,0.126,0.077,"[0.069, 0.187, 0.044, 0.237, 0.055, 0.144, 0.195, 0.119, 0.122, 0.088]"
04,0.233,0.235,0.124,0.075,"[0.067, 0.193, 0.044, 0.237, 0.055, 0.14, 0.187, 0.105, 0.122, 0.085]"
05,0.225,0.230,0.121,0.076,"[0.066, 0.181, 0.042, 0.231, 0.053, 0.143, 0.185, 0.102, 0.12, 0.082]"
06,0.221,0.229,0.120,0.074,"[0.068, 0.177, 0.041, 0.235, 0.052, 0.136, 0.183, 0.104, 0.12, 0.087]"
07,0.219,0.231,0.121,0.075,"[0.062, 0.181, 0.042, 0.25, 0.052, 0.136, 0.184, 0.1, 0.118, 0.084]"
08,0.219,0.227,0.120,0.074,"[0.063, 0.177, 0.041, 0.229, 0.052, 0.14, 0.193, 0.098, 0.118, 0.087]"
09,0.217,0.227,0.118,0.073,"[0.063, 0.177, 0.039, 0.23, 0.051, 0.137, 0.186, 0.1, 0.12, 0.082]"
10,0.216,0.225,0.117,0.072,"[0.062, 0.174, 0.038, 0.226, 0.051, 0.133, 0.183, 0.101, 0.118, 0.084]"
11,0.214,0.225,0.116,0.071,"[0.065, 0.172, 0.038, 0.227, 0.051, 0.131, 0.181, 0.096, 0.118, 0.082]"
12,0.214,0.224,0.116,0.071,"[0.061, 0.171, 0.038, 0.224, 0.05, 0.132, 0.181, 0.098, 0.118, 0.082]"
13,0.213,0.224,0.115,0.070,"[0.062, 0.17, 0.036, 0.225, 0.05, 0.131, 0.181, 0.098, 0.118, 0.081]"
14,0.213,0.225,0.116,0.070,"[0.062, 0.173, 0.036, 0.226, 0.05, 0.132, 0.181, 0.096, 0.118, 0.084]"
15,0.214,0.226,0.117,0.072,"[0.062, 0.179, 0.038, 0.237, 0.05, 0.131, 0.18, 0.096, 0.117, 0.081]"
16,0.214,0.226,0.116,0.071,"[0.061, 0.171, 0.036, 0.236, 0.05, 0.131, 0.184, 0.095, 0.117, 0.081]"
17,0.216,0.228,0.118,0.072,"[0.063, 0.174, 0.035, 0.243, 0.05, 0.129, 0.192, 0.094, 0.115, 0.081]"
18,0.215,0.225,0.115,0.071,"[0.061, 0.166, 0.034, 0.224, 0.05, 0.142, 0.182, 0.096, 0.116, 0.079]"
19,0.213,0.224,0.114,0.071,"[0.059, 0.166, 0.035, 0.226, 0.049, 0.13, 0.179, 0.094, 0.122, 0.081]"
20,0.212,0.223,0.113,0.069,"[0.061, 0.167, 0.034, 0.224, 0.049, 0.129, 0.179, 0.094, 0.116, 0.079]"
21,0.211,0.225,0.115,0.070,"[0.06, 0.172, 0.034, 0.233, 0.049, 0.131, 0.181, 0.094, 0.116, 0.08]"
22,0.211,0.227,0.116,0.070,"[0.06, 0.176, 0.034, 0.242, 0.049, 0.129, 0.183, 0.094, 0.116, 0.079]"
23,0.211,0.222,0.114,0.070,"[0.059, 0.165, 0.034, 0.222, 0.049, 0.131, 0.186, 0.093, 0.117, 0.08]"
24,0.211,0.225,0.116,0.071,"[0.059, 0.166, 0.034, 0.229, 0.049, 0.143, 0.185, 0.093, 0.117, 0.08]"
25,0.213,0.231,0.119,0.073,"[0.059, 0.163, 0.033, 0.252, 0.049, 0.129, 0.214, 0.098, 0.115, 0.08]"
26,0.212,0.222,0.113,0.069,"[0.058, 0.164, 0.034, 0.226, 0.049, 0.13, 0.179, 0.094, 0.116, 0.082]"
27,0.209,0.223,0.113,0.070,"[0.059, 0.165, 0.033, 0.221, 0.049, 0.137, 0.18, 0.095, 0.115, 0.079]"
28,0.208,0.222,0.114,0.069,"[0.06, 0.171, 0.034, 0.225, 0.049, 0.127, 0.179, 0.093, 0.116, 0.083]"
29,0.207,0.222,0.113,0.068,"[0.06, 0.167, 0.033, 0.222, 0.049, 0.128, 0.178, 0.094, 0.116, 0.08]"
30,0.208,0.222,0.113,0.069,"[0.059, 0.165, 0.033, 0.221, 0.049, 0.131, 0.181, 0.095, 0.115, 0.08]"
31,0.206,0.222,0.113,0.069,"[0.059, 0.17, 0.033, 0.225, 0.049, 0.128, 0.179, 0.093, 0.115, 0.079]"
