epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.298,0.235,0.122,0.073,"[0.065, 0.18, 0.044, 0.233, 0.054, 0.14, 0.19, 0.11, 0.119, 0.081]"
01,0.232,0.225,0.115,0.071,"[0.062, 0.171, 0.038, 0.225, 0.05, 0.137, 0.178, 0.098, 0.116, 0.076]"
02,0.230,0.226,0.115,0.072,"[0.067, 0.173, 0.036, 0.223, 0.05, 0.135, 0.177, 0.096, 0.119, 0.075]"
03,0.225,0.222,0.112,0.068,"[0.059, 0.163, 0.033, 0.224, 0.048, 0.13, 0.179, 0.094, 0.113, 0.075]"
04,0.224,0.223,0.112,0.069,"[0.061, 0.172, 0.032, 0.219, 0.048, 0.131, 0.175, 0.093, 0.117, 0.075]"
05,0.223,0.219,0.110,0.067,"[0.058, 0.164, 0.031, 0.219, 0.047, 0.128, 0.172, 0.092, 0.111, 0.073]"
06,0.222,0.227,0.116,0.070,"[0.058, 0.168, 0.031, 0.251, 0.047, 0.133, 0.19, 0.093, 0.112, 0.072]"
07,0.221,0.219,0.108,0.066,"[0.057, 0.158, 0.031, 0.216, 0.047, 0.126, 0.172, 0.091, 0.112, 0.072]"
08,0.222,0.221,0.110,0.067,"[0.056, 0.172, 0.03, 0.219, 0.046, 0.127, 0.17, 0.091, 0.111, 0.076]"
09,0.223,0.220,0.109,0.066,"[0.057, 0.164, 0.03, 0.217, 0.047, 0.126, 0.177, 0.09, 0.109, 0.071]"
10,0.220,0.218,0.107,0.065,"[0.057, 0.155, 0.031, 0.214, 0.046, 0.124, 0.17, 0.09, 0.109, 0.071]"
11,0.219,0.218,0.107,0.065,"[0.056, 0.152, 0.029, 0.219, 0.046, 0.125, 0.172, 0.092, 0.109, 0.072]"
12,0.219,0.218,0.109,0.066,"[0.056, 0.152, 0.03, 0.212, 0.046, 0.137, 0.181, 0.089, 0.109, 0.072]"
13,0.220,0.225,0.113,0.068,"[0.056, 0.165, 0.03, 0.254, 0.046, 0.128, 0.174, 0.092, 0.11, 0.073]"
