epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.260,0.221,0.113,0.068,"[0.064, 0.151, 0.043, 0.219, 0.053, 0.131, 0.17, 0.095, 0.122, 0.081]"
01,0.221,0.213,0.104,0.062,"[0.059, 0.139, 0.035, 0.2, 0.049, 0.126, 0.159, 0.086, 0.112, 0.075]"
02,0.213,0.208,0.098,0.059,"[0.058, 0.128, 0.031, 0.187, 0.046, 0.121, 0.154, 0.083, 0.105, 0.069]"
03,0.210,0.204,0.093,0.054,"[0.054, 0.121, 0.029, 0.172, 0.043, 0.118, 0.146, 0.082, 0.1, 0.067]"
04,0.207,0.203,0.091,0.052,"[0.052, 0.12, 0.027, 0.17, 0.041, 0.115, 0.145, 0.08, 0.098, 0.064]"
05,0.204,0.201,0.088,0.050,"[0.051, 0.112, 0.026, 0.157, 0.04, 0.112, 0.14, 0.08, 0.095, 0.062]"
06,0.202,0.201,0.088,0.050,"[0.051, 0.112, 0.026, 0.156, 0.039, 0.115, 0.143, 0.078, 0.094, 0.063]"
07,0.201,0.199,0.086,0.049,"[0.05, 0.114, 0.025, 0.156, 0.038, 0.11, 0.138, 0.077, 0.092, 0.06]"
08,0.199,0.198,0.084,0.047,"[0.05, 0.106, 0.024, 0.146, 0.039, 0.109, 0.135, 0.079, 0.091, 0.057]"
09,0.199,0.198,0.084,0.048,"[0.05, 0.11, 0.024, 0.149, 0.037, 0.108, 0.139, 0.079, 0.09, 0.056]"
10,0.198,0.197,0.082,0.047,"[0.048, 0.105, 0.024, 0.144, 0.038, 0.107, 0.135, 0.08, 0.089, 0.055]"
11,0.198,0.201,0.087,0.051,"[0.048, 0.124, 0.023, 0.166, 0.038, 0.109, 0.142, 0.082, 0.089, 0.054]"
12,0.196,0.203,0.092,0.051,"[0.051, 0.134, 0.023, 0.17, 0.037, 0.109, 0.159, 0.097, 0.089, 0.053]"
13,0.195,0.196,0.081,0.046,"[0.048, 0.104, 0.022, 0.144, 0.037, 0.106, 0.135, 0.074, 0.088, 0.053]"
14,0.195,0.195,0.081,0.045,"[0.049, 0.105, 0.022, 0.142, 0.037, 0.105, 0.132, 0.074, 0.088, 0.054]"
15,0.194,0.197,0.082,0.047,"[0.048, 0.11, 0.022, 0.148, 0.037, 0.105, 0.132, 0.077, 0.087, 0.052]"
16,0.194,0.200,0.086,0.050,"[0.047, 0.11, 0.022, 0.154, 0.037, 0.111, 0.149, 0.092, 0.09, 0.051]"
17,0.193,0.197,0.081,0.047,"[0.048, 0.103, 0.022, 0.153, 0.037, 0.105, 0.131, 0.074, 0.088, 0.05]"
18,0.192,0.196,0.080,0.045,"[0.047, 0.104, 0.021, 0.146, 0.037, 0.104, 0.133, 0.074, 0.087, 0.05]"
19,0.192,0.194,0.079,0.045,"[0.046, 0.102, 0.021, 0.136, 0.037, 0.105, 0.131, 0.073, 0.086, 0.05]"
20,0.191,0.194,0.078,0.044,"[0.048, 0.098, 0.021, 0.135, 0.037, 0.104, 0.129, 0.076, 0.086, 0.049]"
21,0.191,0.195,0.079,0.045,"[0.046, 0.099, 0.021, 0.138, 0.037, 0.105, 0.135, 0.074, 0.086, 0.048]"
22,0.190,0.195,0.079,0.045,"[0.047, 0.104, 0.021, 0.138, 0.037, 0.104, 0.13, 0.073, 0.086, 0.049]"
23,0.190,0.197,0.082,0.045,"[0.046, 0.112, 0.021, 0.159, 0.037, 0.103, 0.131, 0.077, 0.087, 0.047]"
24,0.189,0.194,0.078,0.045,"[0.047, 0.101, 0.021, 0.137, 0.036, 0.103, 0.128, 0.073, 0.087, 0.048]"
25,0.189,0.199,0.083,0.046,"[0.046, 0.119, 0.021, 0.165, 0.036, 0.103, 0.133, 0.075, 0.087, 0.047]"
26,0.189,0.193,0.078,0.044,"[0.045, 0.099, 0.021, 0.136, 0.036, 0.103, 0.129, 0.074, 0.086, 0.049]"
27,0.188,0.195,0.079,0.044,"[0.046, 0.1, 0.022, 0.137, 0.037, 0.102, 0.13, 0.073, 0.092, 0.047]"
28,0.188,0.194,0.078,0.045,"[0.047, 0.098, 0.02, 0.135, 0.037, 0.102, 0.132, 0.078, 0.086, 0.049]"
29,0.187,0.193,0.078,0.043,"[0.045, 0.099, 0.021, 0.135, 0.036, 0.102, 0.129, 0.075, 0.088, 0.047]"
30,0.187,0.196,0.080,0.045,"[0.046, 0.103, 0.021, 0.146, 0.037, 0.105, 0.134, 0.077, 0.088, 0.048]"
31,0.187,0.194,0.078,0.044,"[0.046, 0.098, 0.02, 0.137, 0.036, 0.103, 0.131, 0.074, 0.088, 0.047]"
32,0.186,0.194,0.078,0.044,"[0.046, 0.098, 0.02, 0.135, 0.036, 0.102, 0.135, 0.08, 0.086, 0.047]"
33,0.186,0.196,0.081,0.047,"[0.047, 0.103, 0.02, 0.156, 0.036, 0.103, 0.132, 0.075, 0.089, 0.048]"
34,0.185,0.195,0.079,0.045,"[0.046, 0.107, 0.02, 0.14, 0.036, 0.103, 0.13, 0.075, 0.086, 0.047]"
35,0.185,0.195,0.079,0.044,"[0.046, 0.106, 0.02, 0.141, 0.036, 0.102, 0.132, 0.077, 0.086, 0.046]"
36,0.185,0.195,0.080,0.046,"[0.045, 0.098, 0.02, 0.145, 0.036, 0.107, 0.137, 0.077, 0.087, 0.047]"
37,0.184,0.196,0.081,0.045,"[0.045, 0.1, 0.02, 0.137, 0.036, 0.106, 0.144, 0.084, 0.087, 0.047]"
38,0.184,0.196,0.080,0.044,"[0.045, 0.109, 0.02, 0.145, 0.036, 0.103, 0.131, 0.073, 0.087, 0.047]"
