epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.385,0.341,0.142,0.082,"[0.077, 0.2, 0.044, 0.243, 0.055, 0.169, 0.198, 0.19, 0.134, 0.112]"
01,0.314,0.277,0.134,0.080,"[0.077, 0.2, 0.044, 0.26, 0.055, 0.144, 0.189, 0.124, 0.15, 0.098]"
02,0.255,0.236,0.120,0.071,"[0.061, 0.189, 0.042, 0.235, 0.055, 0.13, 0.175, 0.093, 0.114, 0.108]"
03,0.235,0.227,0.112,0.066,"[0.057, 0.173, 0.044, 0.229, 0.05, 0.127, 0.169, 0.093, 0.109, 0.073]"
04,0.226,0.219,0.108,0.064,"[0.056, 0.157, 0.034, 0.219, 0.047, 0.124, 0.169, 0.089, 0.109, 0.073]"
05,0.224,0.217,0.108,0.065,"[0.059, 0.155, 0.031, 0.214, 0.047, 0.124, 0.168, 0.097, 0.109, 0.071]"
06,0.222,0.219,0.108,0.065,"[0.065, 0.152, 0.029, 0.217, 0.047, 0.128, 0.17, 0.094, 0.11, 0.07]"
07,0.221,0.216,0.105,0.064,"[0.058, 0.155, 0.029, 0.211, 0.046, 0.123, 0.165, 0.088, 0.108, 0.069]"
08,0.221,0.216,0.105,0.063,"[0.057, 0.15, 0.028, 0.212, 0.046, 0.121, 0.166, 0.089, 0.108, 0.07]"
09,0.220,0.218,0.106,0.064,"[0.058, 0.153, 0.028, 0.22, 0.045, 0.121, 0.17, 0.088, 0.107, 0.069]"
10,0.219,0.215,0.104,0.063,"[0.055, 0.146, 0.028, 0.209, 0.045, 0.123, 0.165, 0.089, 0.107, 0.069]"
11,0.219,0.217,0.105,0.064,"[0.056, 0.15, 0.028, 0.214, 0.045, 0.122, 0.172, 0.087, 0.107, 0.071]"
12,0.220,0.216,0.105,0.063,"[0.055, 0.155, 0.027, 0.211, 0.044, 0.126, 0.164, 0.09, 0.106, 0.069]"
13,0.218,0.215,0.104,0.064,"[0.054, 0.146, 0.027, 0.208, 0.045, 0.124, 0.171, 0.09, 0.108, 0.07]"
14,0.217,0.217,0.105,0.063,"[0.055, 0.144, 0.026, 0.218, 0.044, 0.127, 0.166, 0.087, 0.106, 0.071]"
15,0.219,0.215,0.103,0.062,"[0.056, 0.149, 0.027, 0.209, 0.044, 0.121, 0.163, 0.09, 0.105, 0.068]"
16,0.218,0.215,0.103,0.062,"[0.054, 0.15, 0.026, 0.208, 0.044, 0.12, 0.163, 0.086, 0.106, 0.068]"
17,0.219,0.215,0.103,0.063,"[0.055, 0.145, 0.026, 0.213, 0.044, 0.12, 0.166, 0.089, 0.108, 0.067]"
18,0.219,0.216,0.105,0.064,"[0.054, 0.15, 0.026, 0.208, 0.044, 0.121, 0.179, 0.091, 0.107, 0.069]"
19,0.217,0.216,0.104,0.062,"[0.059, 0.149, 0.027, 0.211, 0.044, 0.121, 0.163, 0.09, 0.105, 0.067]"
20,0.217,0.215,0.103,0.062,"[0.054, 0.148, 0.026, 0.207, 0.044, 0.126, 0.161, 0.086, 0.109, 0.068]"
21,0.218,0.217,0.104,0.063,"[0.054, 0.145, 0.026, 0.215, 0.044, 0.125, 0.163, 0.097, 0.107, 0.066]"
