epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.375,0.320,0.150,0.083,"[0.088, 0.231, 0.044, 0.252, 0.055, 0.152, 0.226, 0.23, 0.127, 0.093]"
01,0.298,0.258,0.127,0.074,"[0.074, 0.182, 0.044, 0.253, 0.05, 0.152, 0.196, 0.103, 0.121, 0.088]"
02,0.250,0.237,0.123,0.074,"[0.07, 0.183, 0.044, 0.26, 0.073, 0.139, 0.183, 0.093, 0.111, 0.078]"
03,0.231,0.223,0.111,0.067,"[0.057, 0.155, 0.033, 0.215, 0.055, 0.141, 0.175, 0.093, 0.113, 0.07]"
04,0.225,0.222,0.111,0.068,"[0.058, 0.159, 0.031, 0.22, 0.049, 0.13, 0.178, 0.095, 0.118, 0.07]"
05,0.224,0.220,0.109,0.066,"[0.058, 0.162, 0.031, 0.221, 0.046, 0.13, 0.168, 0.092, 0.109, 0.07]"
06,0.222,0.218,0.106,0.064,"[0.057, 0.163, 0.029, 0.216, 0.045, 0.123, 0.166, 0.089, 0.107, 0.069]"
07,0.221,0.217,0.106,0.065,"[0.056, 0.152, 0.028, 0.214, 0.045, 0.125, 0.166, 0.095, 0.108, 0.07]"
08,0.221,0.216,0.104,0.063,"[0.055, 0.15, 0.028, 0.211, 0.045, 0.121, 0.166, 0.088, 0.109, 0.067]"
09,0.221,0.215,0.103,0.062,"[0.054, 0.148, 0.027, 0.21, 0.045, 0.121, 0.163, 0.088, 0.107, 0.067]"
10,0.220,0.219,0.106,0.064,"[0.058, 0.15, 0.027, 0.225, 0.045, 0.126, 0.164, 0.089, 0.105, 0.069]"
11,0.220,0.215,0.103,0.063,"[0.054, 0.147, 0.028, 0.208, 0.045, 0.124, 0.165, 0.088, 0.106, 0.068]"
12,0.219,0.219,0.107,0.064,"[0.057, 0.151, 0.028, 0.219, 0.045, 0.126, 0.171, 0.095, 0.105, 0.069]"
13,0.220,0.220,0.108,0.065,"[0.054, 0.164, 0.028, 0.237, 0.045, 0.122, 0.165, 0.088, 0.106, 0.068]"
