epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.230,0.208,0.097,0.055,"[0.053, 0.126, 0.026, 0.188, 0.045, 0.12, 0.156, 0.098, 0.096, 0.065]"
01,0.206,0.214,0.106,0.062,"[0.049, 0.182, 0.024, 0.206, 0.041, 0.126, 0.188, 0.081, 0.105, 0.062]"
02,0.202,0.205,0.094,0.053,"[0.062, 0.138, 0.03, 0.188, 0.037, 0.111, 0.142, 0.081, 0.093, 0.059]"
03,0.198,0.215,0.102,0.059,"[0.049, 0.137, 0.022, 0.231, 0.039, 0.12, 0.166, 0.114, 0.089, 0.053]"
04,0.196,0.202,0.091,0.051,"[0.047, 0.12, 0.022, 0.145, 0.04, 0.109, 0.171, 0.116, 0.086, 0.055]"
05,0.195,0.204,0.091,0.051,"[0.045, 0.104, 0.03, 0.156, 0.037, 0.115, 0.186, 0.093, 0.088, 0.057]"
06,0.193,0.201,0.087,0.050,"[0.043, 0.109, 0.021, 0.181, 0.036, 0.104, 0.144, 0.097, 0.083, 0.049]"
07,0.192,0.192,0.075,0.042,"[0.045, 0.096, 0.019, 0.123, 0.035, 0.106, 0.13, 0.071, 0.083, 0.045]"
08,0.191,0.203,0.086,0.046,"[0.048, 0.138, 0.019, 0.172, 0.035, 0.112, 0.13, 0.072, 0.085, 0.049]"
09,0.190,0.205,0.093,0.052,"[0.054, 0.106, 0.025, 0.159, 0.037, 0.117, 0.143, 0.144, 0.092, 0.052]"
10,0.189,0.199,0.085,0.047,"[0.043, 0.099, 0.018, 0.165, 0.036, 0.103, 0.168, 0.077, 0.085, 0.051]"
11,0.188,0.196,0.082,0.046,"[0.048, 0.117, 0.024, 0.144, 0.037, 0.115, 0.133, 0.072, 0.088, 0.046]"
12,0.187,0.198,0.083,0.047,"[0.045, 0.119, 0.023, 0.163, 0.036, 0.103, 0.123, 0.072, 0.1, 0.047]"
13,0.186,0.204,0.090,0.050,"[0.043, 0.141, 0.019, 0.185, 0.036, 0.111, 0.154, 0.075, 0.094, 0.044]"
14,0.185,0.195,0.080,0.044,"[0.047, 0.12, 0.019, 0.142, 0.035, 0.11, 0.121, 0.075, 0.082, 0.053]"
15,0.184,0.192,0.075,0.040,"[0.042, 0.089, 0.017, 0.117, 0.034, 0.099, 0.142, 0.085, 0.084, 0.043]"
16,0.183,0.192,0.075,0.041,"[0.041, 0.103, 0.017, 0.134, 0.034, 0.099, 0.122, 0.075, 0.083, 0.047]"
17,0.182,0.190,0.070,0.039,"[0.039, 0.09, 0.017, 0.114, 0.034, 0.097, 0.118, 0.072, 0.083, 0.042]"
18,0.181,0.198,0.084,0.046,"[0.044, 0.14, 0.02, 0.157, 0.035, 0.096, 0.124, 0.095, 0.086, 0.041]"
19,0.180,0.199,0.083,0.045,"[0.048, 0.106, 0.019, 0.156, 0.035, 0.1, 0.148, 0.083, 0.09, 0.044]"
20,0.179,0.195,0.078,0.042,"[0.042, 0.107, 0.017, 0.151, 0.034, 0.1, 0.128, 0.075, 0.084, 0.042]"
21,0.179,0.193,0.075,0.041,"[0.042, 0.093, 0.018, 0.122, 0.039, 0.113, 0.125, 0.073, 0.085, 0.044]"
22,0.178,0.193,0.076,0.042,"[0.054, 0.096, 0.019, 0.124, 0.035, 0.104, 0.126, 0.076, 0.086, 0.039]"
23,0.177,0.192,0.075,0.040,"[0.041, 0.096, 0.018, 0.122, 0.037, 0.104, 0.121, 0.082, 0.086, 0.043]"
24,0.176,0.193,0.077,0.042,"[0.042, 0.103, 0.016, 0.129, 0.037, 0.098, 0.129, 0.085, 0.086, 0.044]"
25,0.175,0.195,0.079,0.042,"[0.041, 0.105, 0.018, 0.13, 0.037, 0.108, 0.123, 0.1, 0.085, 0.043]"
26,0.175,0.197,0.082,0.046,"[0.043, 0.114, 0.024, 0.159, 0.035, 0.102, 0.126, 0.087, 0.089, 0.041]"
27,0.175,0.199,0.084,0.046,"[0.048, 0.121, 0.02, 0.163, 0.037, 0.106, 0.135, 0.084, 0.084, 0.044]"
28,0.174,0.193,0.076,0.040,"[0.048, 0.096, 0.017, 0.122, 0.036, 0.102, 0.131, 0.083, 0.083, 0.041]"
29,0.174,0.192,0.073,0.039,"[0.042, 0.092, 0.017, 0.117, 0.036, 0.101, 0.124, 0.075, 0.086, 0.039]"
30,0.173,0.193,0.076,0.041,"[0.05, 0.097, 0.017, 0.125, 0.036, 0.104, 0.129, 0.083, 0.083, 0.041]"
31,0.173,0.193,0.078,0.042,"[0.051, 0.094, 0.018, 0.118, 0.038, 0.107, 0.142, 0.084, 0.084, 0.042]"
32,0.172,0.196,0.079,0.042,"[0.041, 0.107, 0.019, 0.155, 0.035, 0.101, 0.127, 0.075, 0.084, 0.042]"
33,0.172,0.192,0.074,0.040,"[0.042, 0.093, 0.017, 0.12, 0.037, 0.103, 0.128, 0.076, 0.085, 0.042]"
