epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.361,0.286,0.138,0.079,"[0.094, 0.167, 0.044, 0.246, 0.055, 0.243, 0.19, 0.107, 0.133, 0.101]"
01,0.250,0.252,0.118,0.071,"[0.085, 0.154, 0.044, 0.217, 0.055, 0.132, 0.165, 0.09, 0.134, 0.101]"
02,0.210,0.233,0.116,0.068,"[0.072, 0.193, 0.044, 0.233, 0.054, 0.124, 0.16, 0.095, 0.106, 0.076]"
03,0.190,0.217,0.100,0.058,"[0.067, 0.136, 0.044, 0.17, 0.05, 0.12, 0.155, 0.086, 0.098, 0.072]"
04,0.178,0.220,0.103,0.060,"[0.068, 0.139, 0.044, 0.177, 0.049, 0.123, 0.154, 0.099, 0.099, 0.075]"
05,0.176,0.214,0.098,0.056,"[0.056, 0.12, 0.043, 0.176, 0.048, 0.135, 0.153, 0.087, 0.095, 0.067]"
06,0.170,0.209,0.095,0.054,"[0.055, 0.122, 0.041, 0.17, 0.048, 0.117, 0.151, 0.089, 0.092, 0.067]"
07,0.167,0.212,0.096,0.054,"[0.056, 0.119, 0.034, 0.171, 0.048, 0.132, 0.151, 0.086, 0.094, 0.066]"
08,0.166,0.218,0.096,0.055,"[0.063, 0.132, 0.03, 0.171, 0.047, 0.116, 0.161, 0.085, 0.094, 0.064]"
09,0.166,0.215,0.098,0.055,"[0.058, 0.127, 0.031, 0.18, 0.047, 0.132, 0.152, 0.089, 0.095, 0.066]"
10,0.166,0.211,0.095,0.053,"[0.057, 0.125, 0.031, 0.179, 0.046, 0.117, 0.151, 0.086, 0.093, 0.062]"
11,0.165,0.208,0.093,0.052,"[0.055, 0.12, 0.032, 0.169, 0.047, 0.114, 0.15, 0.086, 0.093, 0.065]"
12,0.163,0.213,0.097,0.054,"[0.055, 0.142, 0.03, 0.183, 0.047, 0.116, 0.151, 0.087, 0.092, 0.067]"
13,0.163,0.211,0.096,0.053,"[0.054, 0.133, 0.031, 0.171, 0.047, 0.116, 0.154, 0.091, 0.092, 0.068]"
14,0.163,0.208,0.093,0.052,"[0.055, 0.118, 0.031, 0.168, 0.047, 0.116, 0.153, 0.089, 0.092, 0.065]"
15,0.162,0.212,0.095,0.053,"[0.054, 0.125, 0.031, 0.169, 0.047, 0.116, 0.163, 0.087, 0.093, 0.062]"
16,0.161,0.208,0.093,0.052,"[0.057, 0.123, 0.032, 0.171, 0.047, 0.116, 0.149, 0.086, 0.091, 0.063]"
17,0.161,0.212,0.094,0.053,"[0.055, 0.116, 0.032, 0.169, 0.046, 0.118, 0.159, 0.094, 0.093, 0.063]"
18,0.163,0.208,0.092,0.052,"[0.054, 0.116, 0.032, 0.168, 0.047, 0.115, 0.15, 0.089, 0.092, 0.062]"
19,0.162,0.208,0.094,0.052,"[0.054, 0.117, 0.03, 0.167, 0.047, 0.117, 0.164, 0.089, 0.092, 0.065]"
20,0.163,0.207,0.093,0.051,"[0.054, 0.116, 0.032, 0.166, 0.047, 0.116, 0.154, 0.091, 0.091, 0.062]"
21,0.161,0.210,0.094,0.052,"[0.054, 0.12, 0.033, 0.174, 0.046, 0.115, 0.153, 0.088, 0.091, 0.062]"
22,0.165,0.211,0.095,0.053,"[0.055, 0.115, 0.032, 0.169, 0.046, 0.124, 0.162, 0.087, 0.092, 0.064]"
23,0.162,0.209,0.094,0.052,"[0.054, 0.126, 0.034, 0.169, 0.047, 0.115, 0.154, 0.089, 0.091, 0.065]"
24,0.166,0.211,0.097,0.053,"[0.055, 0.122, 0.033, 0.167, 0.046, 0.12, 0.174, 0.095, 0.091, 0.064]"
25,0.164,0.210,0.096,0.053,"[0.055, 0.126, 0.031, 0.174, 0.047, 0.117, 0.162, 0.087, 0.093, 0.071]"
26,0.160,0.208,0.093,0.051,"[0.053, 0.119, 0.031, 0.168, 0.046, 0.116, 0.151, 0.087, 0.092, 0.063]"
27,0.160,0.208,0.094,0.052,"[0.054, 0.118, 0.032, 0.168, 0.047, 0.115, 0.16, 0.09, 0.092, 0.063]"
28,0.160,0.208,0.093,0.051,"[0.054, 0.116, 0.033, 0.165, 0.048, 0.115, 0.154, 0.087, 0.092, 0.062]"
29,0.161,0.208,0.094,0.052,"[0.053, 0.121, 0.032, 0.168, 0.047, 0.122, 0.156, 0.086, 0.092, 0.064]"
30,0.162,0.208,0.094,0.052,"[0.054, 0.118, 0.032, 0.166, 0.048, 0.118, 0.159, 0.088, 0.091, 0.061]"
31,0.159,0.208,0.094,0.051,"[0.054, 0.126, 0.032, 0.167, 0.048, 0.116, 0.152, 0.087, 0.092, 0.068]"
32,0.159,0.207,0.092,0.051,"[0.054, 0.118, 0.033, 0.165, 0.047, 0.116, 0.148, 0.087, 0.091, 0.064]"
33,0.160,0.209,0.094,0.052,"[0.053, 0.119, 0.031, 0.174, 0.047, 0.117, 0.154, 0.09, 0.091, 0.061]"
34,0.159,0.209,0.093,0.052,"[0.055, 0.121, 0.031, 0.169, 0.047, 0.115, 0.149, 0.086, 0.092, 0.063]"
35,0.159,0.209,0.095,0.052,"[0.053, 0.131, 0.031, 0.17, 0.047, 0.116, 0.154, 0.087, 0.092, 0.064]"
36,0.159,0.209,0.095,0.052,"[0.054, 0.126, 0.032, 0.173, 0.048, 0.115, 0.154, 0.087, 0.092, 0.064]"
37,0.158,0.210,0.095,0.052,"[0.054, 0.125, 0.031, 0.173, 0.047, 0.116, 0.165, 0.087, 0.092, 0.064]"
38,0.158,0.208,0.092,0.050,"[0.055, 0.117, 0.033, 0.167, 0.048, 0.115, 0.149, 0.086, 0.091, 0.061]"
39,0.158,0.209,0.094,0.052,"[0.054, 0.119, 0.031, 0.172, 0.047, 0.116, 0.155, 0.087, 0.092, 0.063]"
40,0.159,0.208,0.094,0.052,"[0.054, 0.123, 0.032, 0.17, 0.047, 0.117, 0.156, 0.087, 0.091, 0.062]"
41,0.158,0.210,0.095,0.052,"[0.053, 0.129, 0.031, 0.173, 0.048, 0.115, 0.157, 0.088, 0.092, 0.062]"
42,0.159,0.209,0.093,0.051,"[0.054, 0.118, 0.032, 0.167, 0.047, 0.116, 0.149, 0.092, 0.091, 0.063]"
43,0.157,0.208,0.094,0.051,"[0.054, 0.12, 0.032, 0.173, 0.047, 0.116, 0.15, 0.091, 0.092, 0.061]"
44,0.157,0.209,0.095,0.052,"[0.056, 0.123, 0.031, 0.173, 0.047, 0.116, 0.155, 0.088, 0.092, 0.066]"
45,0.160,0.209,0.094,0.052,"[0.053, 0.128, 0.031, 0.172, 0.047, 0.121, 0.149, 0.089, 0.092, 0.063]"
46,0.157,0.207,0.092,0.050,"[0.054, 0.118, 0.031, 0.164, 0.047, 0.115, 0.149, 0.087, 0.092, 0.064]"
47,0.158,0.209,0.095,0.052,"[0.054, 0.131, 0.032, 0.176, 0.047, 0.115, 0.154, 0.088, 0.092, 0.064]"
48,0.158,0.208,0.094,0.051,"[0.053, 0.124, 0.033, 0.179, 0.047, 0.117, 0.15, 0.086, 0.092, 0.062]"
49,0.159,0.207,0.093,0.051,"[0.054, 0.119, 0.032, 0.167, 0.047, 0.116, 0.15, 0.087, 0.092, 0.065]"
50,0.158,0.207,0.093,0.051,"[0.054, 0.12, 0.032, 0.167, 0.048, 0.119, 0.148, 0.086, 0.091, 0.064]"
51,0.158,0.207,0.093,0.051,"[0.053, 0.121, 0.031, 0.167, 0.048, 0.117, 0.148, 0.089, 0.092, 0.064]"
52,0.158,0.210,0.094,0.051,"[0.055, 0.12, 0.033, 0.166, 0.048, 0.116, 0.149, 0.092, 0.092, 0.065]"
53,0.158,0.208,0.092,0.051,"[0.053, 0.118, 0.032, 0.167, 0.047, 0.116, 0.148, 0.088, 0.092, 0.063]"
54,0.157,0.208,0.093,0.051,"[0.054, 0.121, 0.03, 0.167, 0.048, 0.116, 0.154, 0.086, 0.093, 0.067]"
55,0.158,0.208,0.094,0.052,"[0.054, 0.127, 0.033, 0.167, 0.048, 0.115, 0.152, 0.089, 0.092, 0.066]"
56,0.158,0.209,0.094,0.052,"[0.054, 0.124, 0.032, 0.168, 0.048, 0.117, 0.15, 0.092, 0.093, 0.066]"
57,0.159,0.209,0.096,0.052,"[0.054, 0.135, 0.032, 0.174, 0.048, 0.116, 0.153, 0.088, 0.092, 0.066]"
58,0.158,0.207,0.095,0.052,"[0.054, 0.125, 0.032, 0.167, 0.048, 0.115, 0.161, 0.088, 0.093, 0.068]"
59,0.158,0.207,0.093,0.051,"[0.055, 0.12, 0.032, 0.17, 0.047, 0.117, 0.149, 0.087, 0.092, 0.064]"
60,0.159,0.207,0.094,0.052,"[0.053, 0.124, 0.029, 0.176, 0.047, 0.115, 0.15, 0.086, 0.092, 0.064]"
61,0.159,0.210,0.095,0.052,"[0.054, 0.131, 0.033, 0.18, 0.046, 0.116, 0.152, 0.087, 0.092, 0.061]"
62,0.159,0.210,0.094,0.051,"[0.054, 0.12, 0.035, 0.171, 0.047, 0.118, 0.155, 0.087, 0.092, 0.063]"
63,0.158,0.208,0.094,0.051,"[0.055, 0.121, 0.031, 0.169, 0.047, 0.116, 0.151, 0.087, 0.092, 0.066]"
64,0.159,0.211,0.096,0.053,"[0.054, 0.134, 0.033, 0.181, 0.047, 0.117, 0.153, 0.086, 0.093, 0.064]"
65,0.158,0.209,0.095,0.053,"[0.055, 0.125, 0.029, 0.176, 0.048, 0.117, 0.151, 0.087, 0.093, 0.064]"
66,0.156,0.208,0.093,0.051,"[0.054, 0.12, 0.032, 0.168, 0.048, 0.116, 0.152, 0.087, 0.092, 0.065]"
67,0.157,0.209,0.094,0.052,"[0.055, 0.122, 0.03, 0.172, 0.048, 0.117, 0.154, 0.089, 0.093, 0.066]"
68,0.158,0.208,0.094,0.052,"[0.054, 0.12, 0.03, 0.169, 0.047, 0.116, 0.157, 0.091, 0.092, 0.065]"
69,0.158,0.207,0.093,0.051,"[0.054, 0.121, 0.03, 0.171, 0.047, 0.117, 0.149, 0.087, 0.092, 0.065]"
70,0.158,0.209,0.097,0.053,"[0.056, 0.136, 0.031, 0.186, 0.047, 0.117, 0.152, 0.086, 0.092, 0.064]"
71,0.157,0.208,0.094,0.052,"[0.054, 0.126, 0.029, 0.173, 0.047, 0.116, 0.155, 0.086, 0.092, 0.063]"
72,0.160,0.207,0.093,0.052,"[0.054, 0.122, 0.029, 0.17, 0.047, 0.115, 0.149, 0.087, 0.092, 0.066]"
73,0.157,0.210,0.096,0.053,"[0.055, 0.131, 0.031, 0.18, 0.048, 0.116, 0.154, 0.087, 0.093, 0.067]"
74,0.157,0.210,0.096,0.052,"[0.054, 0.131, 0.031, 0.174, 0.048, 0.116, 0.158, 0.087, 0.092, 0.067]"
75,0.157,0.207,0.094,0.051,"[0.053, 0.124, 0.03, 0.175, 0.047, 0.116, 0.153, 0.087, 0.091, 0.066]"
76,0.158,0.210,0.095,0.053,"[0.062, 0.121, 0.031, 0.172, 0.047, 0.116, 0.157, 0.087, 0.092, 0.066]"
77,0.158,0.209,0.094,0.052,"[0.054, 0.121, 0.031, 0.168, 0.048, 0.116, 0.155, 0.088, 0.092, 0.064]"
78,0.156,0.210,0.094,0.052,"[0.055, 0.127, 0.031, 0.171, 0.047, 0.119, 0.149, 0.087, 0.092, 0.066]"
79,0.158,0.211,0.096,0.054,"[0.054, 0.127, 0.029, 0.177, 0.048, 0.126, 0.152, 0.087, 0.093, 0.066]"
80,0.159,0.209,0.095,0.052,"[0.055, 0.12, 0.031, 0.168, 0.048, 0.125, 0.155, 0.088, 0.091, 0.066]"
81,0.157,0.209,0.093,0.051,"[0.055, 0.123, 0.031, 0.166, 0.047, 0.115, 0.148, 0.087, 0.091, 0.066]"
82,0.159,0.210,0.093,0.051,"[0.054, 0.124, 0.029, 0.166, 0.047, 0.115, 0.148, 0.086, 0.092, 0.066]"
83,0.160,0.208,0.094,0.052,"[0.054, 0.121, 0.03, 0.168, 0.047, 0.118, 0.152, 0.091, 0.092, 0.065]"
84,0.158,0.210,0.095,0.052,"[0.054, 0.121, 0.031, 0.174, 0.047, 0.118, 0.155, 0.094, 0.092, 0.066]"
85,0.158,0.209,0.093,0.052,"[0.054, 0.124, 0.031, 0.169, 0.047, 0.115, 0.149, 0.087, 0.092, 0.064]"
86,0.156,0.208,0.093,0.051,"[0.055, 0.119, 0.03, 0.168, 0.047, 0.115, 0.15, 0.087, 0.092, 0.065]"
87,0.156,0.206,0.093,0.051,"[0.054, 0.121, 0.03, 0.167, 0.047, 0.116, 0.15, 0.086, 0.092, 0.067]"
88,0.158,0.207,0.095,0.052,"[0.055, 0.13, 0.031, 0.177, 0.046, 0.117, 0.148, 0.087, 0.092, 0.066]"
89,0.158,0.206,0.094,0.052,"[0.053, 0.122, 0.029, 0.169, 0.046, 0.116, 0.153, 0.087, 0.092, 0.068]"
90,0.158,0.210,0.097,0.054,"[0.055, 0.13, 0.03, 0.183, 0.048, 0.117, 0.159, 0.089, 0.093, 0.067]"
91,0.157,0.210,0.096,0.053,"[0.054, 0.131, 0.03, 0.178, 0.047, 0.119, 0.153, 0.087, 0.094, 0.069]"
92,0.158,0.210,0.097,0.054,"[0.057, 0.128, 0.03, 0.184, 0.048, 0.117, 0.155, 0.088, 0.093, 0.066]"
93,0.156,0.207,0.094,0.051,"[0.054, 0.123, 0.032, 0.169, 0.047, 0.116, 0.151, 0.086, 0.092, 0.066]"
94,0.156,0.207,0.093,0.052,"[0.054, 0.121, 0.03, 0.168, 0.047, 0.116, 0.153, 0.086, 0.093, 0.065]"
