epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.321,0.265,0.132,0.081,"[0.08, 0.18, 0.044, 0.26, 0.055, 0.155, 0.197, 0.096, 0.147, 0.106]"
01,0.219,0.215,0.100,0.061,"[0.066, 0.129, 0.044, 0.175, 0.051, 0.125, 0.151, 0.094, 0.096, 0.071]"
02,0.198,0.211,0.095,0.052,"[0.059, 0.126, 0.041, 0.17, 0.043, 0.114, 0.154, 0.084, 0.09, 0.065]"
03,0.190,0.208,0.093,0.054,"[0.052, 0.109, 0.027, 0.149, 0.042, 0.152, 0.165, 0.083, 0.089, 0.061]"
04,0.183,0.207,0.088,0.049,"[0.05, 0.113, 0.027, 0.154, 0.041, 0.11, 0.149, 0.09, 0.09, 0.057]"
05,0.179,0.203,0.087,0.049,"[0.055, 0.107, 0.027, 0.154, 0.04, 0.111, 0.147, 0.084, 0.089, 0.056]"
06,0.179,0.206,0.090,0.050,"[0.049, 0.123, 0.024, 0.157, 0.04, 0.116, 0.151, 0.088, 0.09, 0.061]"
07,0.177,0.204,0.089,0.049,"[0.048, 0.109, 0.025, 0.152, 0.04, 0.121, 0.144, 0.101, 0.089, 0.06]"
08,0.177,0.210,0.094,0.053,"[0.054, 0.132, 0.026, 0.179, 0.041, 0.113, 0.149, 0.096, 0.091, 0.059]"
09,0.175,0.201,0.086,0.047,"[0.048, 0.11, 0.025, 0.15, 0.04, 0.111, 0.142, 0.083, 0.09, 0.058]"
10,0.173,0.203,0.086,0.048,"[0.049, 0.111, 0.026, 0.146, 0.04, 0.119, 0.14, 0.084, 0.091, 0.056]"
11,0.176,0.202,0.087,0.049,"[0.056, 0.107, 0.025, 0.148, 0.041, 0.112, 0.142, 0.091, 0.089, 0.056]"
12,0.173,0.202,0.086,0.047,"[0.051, 0.106, 0.025, 0.145, 0.041, 0.113, 0.143, 0.085, 0.09, 0.063]"
13,0.172,0.201,0.086,0.047,"[0.05, 0.107, 0.025, 0.147, 0.041, 0.115, 0.14, 0.085, 0.089, 0.058]"
14,0.171,0.200,0.085,0.047,"[0.049, 0.107, 0.027, 0.146, 0.041, 0.113, 0.139, 0.083, 0.09, 0.06]"
15,0.171,0.202,0.088,0.049,"[0.052, 0.108, 0.025, 0.148, 0.041, 0.128, 0.142, 0.087, 0.091, 0.062]"
16,0.171,0.201,0.087,0.048,"[0.049, 0.111, 0.024, 0.146, 0.041, 0.117, 0.139, 0.088, 0.091, 0.068]"
