epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.395,0.307,0.154,0.106,"[0.098, 0.234, 0.044, 0.28, 0.055, 0.179, 0.26, 0.155, 0.133, 0.101]"
01,0.283,0.257,0.142,0.089,"[0.095, 0.204, 0.043, 0.26, 0.055, 0.164, 0.236, 0.138, 0.128, 0.095]"
02,0.252,0.247,0.135,0.087,"[0.091, 0.199, 0.036, 0.258, 0.059, 0.163, 0.222, 0.102, 0.127, 0.095]"
03,0.247,0.244,0.134,0.084,"[0.089, 0.199, 0.034, 0.259, 0.052, 0.159, 0.221, 0.109, 0.127, 0.094]"
04,0.245,0.242,0.131,0.083,"[0.087, 0.19, 0.036, 0.252, 0.052, 0.157, 0.216, 0.095, 0.128, 0.093]"
05,0.244,0.252,0.137,0.086,"[0.096, 0.19, 0.042, 0.281, 0.053, 0.156, 0.241, 0.094, 0.127, 0.093]"
06,0.243,0.243,0.131,0.082,"[0.087, 0.187, 0.035, 0.25, 0.052, 0.159, 0.22, 0.095, 0.128, 0.094]"
07,0.241,0.241,0.131,0.082,"[0.088, 0.193, 0.039, 0.253, 0.052, 0.154, 0.214, 0.094, 0.13, 0.094]"
08,0.240,0.240,0.129,0.081,"[0.087, 0.185, 0.032, 0.249, 0.053, 0.153, 0.214, 0.095, 0.126, 0.093]"
09,0.240,0.241,0.130,0.082,"[0.086, 0.184, 0.032, 0.255, 0.052, 0.156, 0.221, 0.097, 0.128, 0.092]"
10,0.241,0.240,0.131,0.082,"[0.085, 0.183, 0.055, 0.256, 0.052, 0.152, 0.212, 0.09, 0.127, 0.092]"
11,0.238,0.238,0.128,0.081,"[0.086, 0.182, 0.038, 0.247, 0.052, 0.151, 0.212, 0.091, 0.128, 0.092]"
12,0.239,0.242,0.130,0.082,"[0.093, 0.189, 0.033, 0.267, 0.053, 0.151, 0.211, 0.089, 0.126, 0.092]"
13,0.238,0.238,0.127,0.079,"[0.084, 0.183, 0.03, 0.251, 0.052, 0.151, 0.212, 0.09, 0.126, 0.091]"
14,0.237,0.238,0.128,0.079,"[0.092, 0.181, 0.031, 0.247, 0.052, 0.152, 0.214, 0.09, 0.126, 0.091]"
15,0.237,0.239,0.127,0.078,"[0.084, 0.184, 0.03, 0.248, 0.052, 0.15, 0.215, 0.091, 0.129, 0.09]"
16,0.236,0.240,0.129,0.081,"[0.101, 0.19, 0.038, 0.245, 0.052, 0.151, 0.21, 0.09, 0.126, 0.09]"
17,0.237,0.237,0.127,0.079,"[0.087, 0.187, 0.03, 0.247, 0.052, 0.15, 0.21, 0.089, 0.126, 0.09]"
18,0.237,0.241,0.129,0.079,"[0.087, 0.179, 0.03, 0.245, 0.052, 0.156, 0.232, 0.089, 0.129, 0.09]"
19,0.236,0.244,0.130,0.082,"[0.083, 0.178, 0.031, 0.269, 0.052, 0.15, 0.228, 0.091, 0.126, 0.09]"
20,0.237,0.238,0.127,0.079,"[0.085, 0.179, 0.03, 0.252, 0.052, 0.15, 0.216, 0.092, 0.125, 0.091]"
21,0.234,0.236,0.126,0.078,"[0.083, 0.179, 0.033, 0.246, 0.052, 0.149, 0.209, 0.09, 0.125, 0.09]"
22,0.233,0.236,0.126,0.079,"[0.085, 0.178, 0.033, 0.246, 0.052, 0.148, 0.209, 0.093, 0.125, 0.09]"
23,0.235,0.240,0.128,0.080,"[0.098, 0.184, 0.03, 0.247, 0.052, 0.151, 0.211, 0.089, 0.126, 0.09]"
24,0.235,0.240,0.126,0.079,"[0.084, 0.18, 0.03, 0.252, 0.052, 0.15, 0.212, 0.089, 0.125, 0.091]"
25,0.236,0.237,0.126,0.079,"[0.087, 0.179, 0.032, 0.249, 0.052, 0.151, 0.209, 0.089, 0.125, 0.091]"
26,0.234,0.241,0.127,0.079,"[0.082, 0.185, 0.045, 0.246, 0.052, 0.148, 0.212, 0.087, 0.125, 0.089]"
27,0.235,0.248,0.131,0.082,"[0.085, 0.179, 0.037, 0.274, 0.052, 0.155, 0.225, 0.088, 0.127, 0.089]"
28,0.235,0.235,0.125,0.079,"[0.083, 0.178, 0.029, 0.244, 0.052, 0.149, 0.209, 0.089, 0.125, 0.089]"
29,0.232,0.237,0.126,0.078,"[0.083, 0.18, 0.03, 0.251, 0.052, 0.148, 0.209, 0.087, 0.125, 0.09]"
30,0.232,0.240,0.128,0.079,"[0.094, 0.181, 0.029, 0.245, 0.052, 0.149, 0.224, 0.093, 0.126, 0.089]"
31,0.233,0.238,0.125,0.078,"[0.082, 0.18, 0.029, 0.247, 0.052, 0.152, 0.208, 0.087, 0.127, 0.091]"
32,0.232,0.235,0.125,0.079,"[0.086, 0.177, 0.03, 0.244, 0.052, 0.148, 0.211, 0.087, 0.125, 0.089]"
33,0.232,0.236,0.125,0.078,"[0.082, 0.181, 0.029, 0.244, 0.051, 0.147, 0.209, 0.089, 0.125, 0.089]"
34,0.232,0.239,0.126,0.078,"[0.083, 0.187, 0.031, 0.246, 0.052, 0.147, 0.208, 0.087, 0.127, 0.089]"
35,0.233,0.240,0.128,0.080,"[0.082, 0.189, 0.032, 0.247, 0.051, 0.149, 0.22, 0.095, 0.125, 0.088]"
36,0.235,0.241,0.127,0.079,"[0.082, 0.177, 0.033, 0.248, 0.051, 0.156, 0.222, 0.087, 0.124, 0.088]"
37,0.231,0.235,0.124,0.078,"[0.081, 0.176, 0.03, 0.245, 0.051, 0.151, 0.207, 0.087, 0.124, 0.089]"
38,0.231,0.237,0.125,0.077,"[0.088, 0.176, 0.03, 0.243, 0.051, 0.149, 0.21, 0.088, 0.125, 0.088]"
39,0.231,0.240,0.127,0.078,"[0.082, 0.19, 0.029, 0.249, 0.051, 0.148, 0.214, 0.091, 0.125, 0.088]"
40,0.231,0.236,0.124,0.077,"[0.084, 0.175, 0.031, 0.248, 0.051, 0.148, 0.206, 0.087, 0.124, 0.088]"
41,0.231,0.236,0.125,0.077,"[0.085, 0.175, 0.029, 0.244, 0.051, 0.156, 0.207, 0.086, 0.125, 0.089]"
42,0.229,0.238,0.127,0.080,"[0.099, 0.18, 0.031, 0.248, 0.051, 0.15, 0.207, 0.092, 0.125, 0.089]"
43,0.229,0.235,0.124,0.077,"[0.083, 0.175, 0.031, 0.244, 0.051, 0.147, 0.209, 0.086, 0.123, 0.088]"
44,0.231,0.242,0.128,0.079,"[0.089, 0.177, 0.031, 0.254, 0.051, 0.149, 0.231, 0.087, 0.124, 0.088]"
45,0.229,0.238,0.127,0.078,"[0.081, 0.188, 0.034, 0.254, 0.051, 0.149, 0.206, 0.09, 0.124, 0.088]"
46,0.231,0.239,0.126,0.079,"[0.081, 0.179, 0.039, 0.245, 0.051, 0.149, 0.211, 0.089, 0.126, 0.089]"
47,0.229,0.238,0.126,0.077,"[0.082, 0.185, 0.034, 0.247, 0.051, 0.148, 0.206, 0.091, 0.126, 0.087]"
48,0.229,0.238,0.126,0.079,"[0.082, 0.178, 0.03, 0.262, 0.051, 0.148, 0.21, 0.087, 0.125, 0.09]"
49,0.231,0.238,0.124,0.078,"[0.085, 0.174, 0.03, 0.252, 0.051, 0.147, 0.207, 0.086, 0.124, 0.087]"
50,0.229,0.235,0.124,0.076,"[0.081, 0.175, 0.031, 0.244, 0.051, 0.147, 0.206, 0.091, 0.125, 0.088]"
51,0.229,0.239,0.126,0.078,"[0.088, 0.181, 0.029, 0.25, 0.051, 0.146, 0.219, 0.087, 0.124, 0.087]"
52,0.229,0.237,0.125,0.077,"[0.081, 0.174, 0.038, 0.25, 0.051, 0.147, 0.211, 0.087, 0.124, 0.087]"
53,0.233,0.239,0.125,0.077,"[0.086, 0.177, 0.029, 0.252, 0.051, 0.148, 0.209, 0.088, 0.123, 0.088]"
54,0.229,0.237,0.125,0.078,"[0.082, 0.182, 0.031, 0.246, 0.051, 0.152, 0.213, 0.086, 0.123, 0.088]"
55,0.228,0.241,0.128,0.080,"[0.081, 0.206, 0.03, 0.266, 0.051, 0.147, 0.205, 0.085, 0.124, 0.088]"
56,0.229,0.235,0.124,0.078,"[0.084, 0.174, 0.029, 0.245, 0.051, 0.146, 0.205, 0.086, 0.13, 0.088]"
57,0.227,0.234,0.123,0.077,"[0.081, 0.175, 0.032, 0.245, 0.051, 0.146, 0.205, 0.087, 0.125, 0.087]"
58,0.227,0.238,0.126,0.077,"[0.082, 0.174, 0.04, 0.244, 0.051, 0.149, 0.206, 0.1, 0.127, 0.087]"
59,0.227,0.237,0.126,0.079,"[0.09, 0.184, 0.029, 0.245, 0.05, 0.147, 0.206, 0.092, 0.127, 0.087]"
60,0.227,0.243,0.128,0.078,"[0.083, 0.18, 0.029, 0.279, 0.051, 0.146, 0.215, 0.087, 0.124, 0.088]"
61,0.230,0.236,0.124,0.077,"[0.086, 0.174, 0.032, 0.245, 0.05, 0.149, 0.207, 0.086, 0.123, 0.087]"
62,0.226,0.236,0.124,0.076,"[0.082, 0.179, 0.029, 0.245, 0.05, 0.146, 0.206, 0.086, 0.125, 0.088]"
63,0.228,0.236,0.124,0.077,"[0.082, 0.179, 0.029, 0.25, 0.05, 0.148, 0.207, 0.087, 0.123, 0.087]"
64,0.228,0.235,0.124,0.076,"[0.085, 0.176, 0.029, 0.245, 0.051, 0.146, 0.211, 0.087, 0.124, 0.088]"
65,0.228,0.238,0.125,0.078,"[0.087, 0.175, 0.031, 0.251, 0.05, 0.152, 0.209, 0.088, 0.124, 0.087]"
66,0.226,0.236,0.124,0.079,"[0.08, 0.175, 0.029, 0.252, 0.051, 0.149, 0.207, 0.086, 0.128, 0.086]"
67,0.226,0.235,0.124,0.078,"[0.09, 0.174, 0.029, 0.25, 0.05, 0.146, 0.204, 0.087, 0.124, 0.086]"
68,0.228,0.235,0.124,0.077,"[0.082, 0.184, 0.029, 0.246, 0.05, 0.146, 0.205, 0.086, 0.125, 0.086]"
69,0.226,0.235,0.124,0.076,"[0.081, 0.175, 0.031, 0.248, 0.05, 0.146, 0.211, 0.087, 0.123, 0.087]"
70,0.228,0.234,0.123,0.076,"[0.081, 0.175, 0.032, 0.245, 0.05, 0.146, 0.205, 0.086, 0.123, 0.087]"
71,0.225,0.236,0.123,0.077,"[0.087, 0.174, 0.029, 0.244, 0.05, 0.145, 0.209, 0.085, 0.123, 0.086]"
72,0.225,0.238,0.125,0.077,"[0.082, 0.176, 0.029, 0.245, 0.05, 0.146, 0.228, 0.087, 0.125, 0.086]"
73,0.229,0.241,0.126,0.078,"[0.102, 0.178, 0.03, 0.251, 0.05, 0.149, 0.205, 0.091, 0.123, 0.086]"
74,0.225,0.234,0.123,0.077,"[0.081, 0.174, 0.029, 0.244, 0.05, 0.147, 0.205, 0.086, 0.126, 0.086]"
75,0.225,0.238,0.125,0.077,"[0.08, 0.175, 0.029, 0.254, 0.05, 0.147, 0.216, 0.088, 0.122, 0.087]"
76,0.226,0.234,0.123,0.077,"[0.081, 0.177, 0.029, 0.247, 0.05, 0.146, 0.204, 0.086, 0.123, 0.087]"
