epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.263,0.275,0.149,0.086,"[0.098, 0.191, 0.044, 0.325, 0.051, 0.177, 0.217, 0.113, 0.131, 0.142]"
01,0.230,0.229,0.118,0.069,"[0.092, 0.163, 0.044, 0.228, 0.048, 0.131, 0.186, 0.091, 0.118, 0.079]"
02,0.224,0.246,0.133,0.079,"[0.097, 0.213, 0.028, 0.224, 0.049, 0.196, 0.192, 0.108, 0.115, 0.111]"
03,0.219,0.221,0.116,0.067,"[0.099, 0.159, 0.037, 0.217, 0.046, 0.128, 0.167, 0.1, 0.112, 0.089]"
04,0.215,0.217,0.107,0.060,"[0.066, 0.16, 0.028, 0.204, 0.047, 0.126, 0.166, 0.082, 0.106, 0.081]"
05,0.213,0.216,0.105,0.061,"[0.052, 0.163, 0.03, 0.219, 0.044, 0.124, 0.164, 0.087, 0.097, 0.07]"
06,0.210,0.217,0.107,0.063,"[0.075, 0.136, 0.025, 0.224, 0.043, 0.123, 0.18, 0.097, 0.101, 0.067]"
07,0.210,0.219,0.105,0.059,"[0.056, 0.145, 0.028, 0.233, 0.045, 0.119, 0.169, 0.087, 0.098, 0.067]"
08,0.208,0.215,0.103,0.061,"[0.059, 0.157, 0.027, 0.211, 0.044, 0.118, 0.167, 0.082, 0.105, 0.064]"
09,0.206,0.212,0.100,0.057,"[0.058, 0.133, 0.025, 0.196, 0.041, 0.133, 0.175, 0.082, 0.091, 0.065]"
10,0.203,0.215,0.104,0.057,"[0.062, 0.13, 0.026, 0.19, 0.042, 0.118, 0.172, 0.124, 0.106, 0.068]"
11,0.201,0.204,0.090,0.051,"[0.053, 0.126, 0.023, 0.171, 0.04, 0.115, 0.146, 0.078, 0.09, 0.059]"
12,0.201,0.207,0.096,0.055,"[0.052, 0.134, 0.034, 0.185, 0.045, 0.127, 0.151, 0.083, 0.093, 0.06]"
13,0.198,0.203,0.090,0.050,"[0.049, 0.121, 0.021, 0.172, 0.039, 0.11, 0.149, 0.087, 0.088, 0.06]"
14,0.196,0.213,0.100,0.055,"[0.057, 0.145, 0.023, 0.21, 0.039, 0.122, 0.154, 0.092, 0.097, 0.059]"
15,0.194,0.204,0.091,0.052,"[0.049, 0.127, 0.022, 0.174, 0.039, 0.124, 0.148, 0.084, 0.091, 0.056]"
16,0.192,0.202,0.088,0.050,"[0.052, 0.125, 0.021, 0.176, 0.04, 0.107, 0.144, 0.076, 0.088, 0.054]"
17,0.190,0.203,0.091,0.051,"[0.05, 0.117, 0.022, 0.171, 0.039, 0.119, 0.162, 0.083, 0.096, 0.055]"
18,0.188,0.205,0.093,0.052,"[0.049, 0.123, 0.023, 0.174, 0.04, 0.123, 0.161, 0.077, 0.1, 0.055]"
19,0.186,0.216,0.106,0.059,"[0.05, 0.15, 0.022, 0.185, 0.043, 0.145, 0.197, 0.091, 0.114, 0.067]"
20,0.186,0.202,0.089,0.049,"[0.05, 0.122, 0.021, 0.169, 0.04, 0.112, 0.153, 0.08, 0.09, 0.054]"
21,0.184,0.207,0.094,0.053,"[0.071, 0.124, 0.021, 0.181, 0.042, 0.114, 0.154, 0.081, 0.096, 0.054]"
22,0.182,0.205,0.090,0.052,"[0.065, 0.123, 0.019, 0.172, 0.039, 0.114, 0.151, 0.077, 0.091, 0.054]"
