epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.289,0.243,0.133,0.085,"[0.088, 0.202, 0.039, 0.252, 0.053, 0.159, 0.213, 0.101, 0.128, 0.093]"
01,0.249,0.242,0.132,0.085,"[0.091, 0.198, 0.036, 0.253, 0.053, 0.151, 0.208, 0.095, 0.142, 0.092]"
02,0.247,0.248,0.131,0.082,"[0.086, 0.195, 0.036, 0.268, 0.053, 0.151, 0.211, 0.09, 0.126, 0.092]"
03,0.244,0.237,0.126,0.078,"[0.091, 0.183, 0.031, 0.246, 0.052, 0.146, 0.203, 0.088, 0.126, 0.091]"
04,0.241,0.237,0.126,0.078,"[0.087, 0.179, 0.031, 0.247, 0.052, 0.149, 0.216, 0.087, 0.128, 0.089]"
05,0.240,0.235,0.124,0.078,"[0.09, 0.177, 0.032, 0.244, 0.052, 0.146, 0.202, 0.086, 0.128, 0.088]"
06,0.241,0.235,0.125,0.077,"[0.092, 0.18, 0.03, 0.247, 0.051, 0.147, 0.201, 0.087, 0.124, 0.088]"
07,0.239,0.232,0.122,0.077,"[0.08, 0.174, 0.03, 0.242, 0.051, 0.143, 0.199, 0.088, 0.124, 0.086]"
08,0.240,0.234,0.123,0.077,"[0.081, 0.184, 0.029, 0.243, 0.051, 0.142, 0.203, 0.085, 0.124, 0.087]"
09,0.239,0.232,0.121,0.075,"[0.079, 0.174, 0.029, 0.241, 0.051, 0.141, 0.199, 0.085, 0.124, 0.085]"
10,0.237,0.233,0.122,0.076,"[0.078, 0.175, 0.031, 0.242, 0.051, 0.145, 0.202, 0.087, 0.124, 0.088]"
11,0.238,0.235,0.123,0.076,"[0.088, 0.174, 0.03, 0.248, 0.051, 0.142, 0.199, 0.091, 0.125, 0.085]"
12,0.236,0.234,0.123,0.076,"[0.082, 0.175, 0.033, 0.242, 0.05, 0.143, 0.211, 0.086, 0.123, 0.084]"
13,0.237,0.236,0.123,0.077,"[0.079, 0.176, 0.029, 0.244, 0.05, 0.145, 0.21, 0.091, 0.122, 0.085]"
14,0.237,0.232,0.121,0.075,"[0.078, 0.172, 0.029, 0.241, 0.05, 0.147, 0.199, 0.085, 0.123, 0.084]"
15,0.236,0.235,0.122,0.077,"[0.08, 0.17, 0.034, 0.25, 0.05, 0.147, 0.2, 0.084, 0.123, 0.084]"
16,0.235,0.235,0.121,0.076,"[0.079, 0.172, 0.03, 0.247, 0.05, 0.147, 0.196, 0.084, 0.124, 0.084]"
17,0.237,0.237,0.124,0.078,"[0.078, 0.195, 0.031, 0.243, 0.05, 0.143, 0.196, 0.086, 0.135, 0.083]"
18,0.236,0.231,0.120,0.075,"[0.078, 0.174, 0.029, 0.239, 0.05, 0.14, 0.197, 0.085, 0.122, 0.084]"
19,0.235,0.234,0.122,0.077,"[0.083, 0.169, 0.03, 0.247, 0.049, 0.14, 0.195, 0.084, 0.141, 0.083]"
20,0.235,0.232,0.121,0.075,"[0.079, 0.18, 0.03, 0.243, 0.05, 0.143, 0.197, 0.084, 0.122, 0.083]"
21,0.235,0.231,0.119,0.075,"[0.077, 0.17, 0.03, 0.239, 0.049, 0.141, 0.196, 0.084, 0.123, 0.083]"
22,0.234,0.237,0.122,0.075,"[0.081, 0.182, 0.029, 0.239, 0.05, 0.141, 0.211, 0.087, 0.123, 0.082]"
23,0.235,0.235,0.121,0.075,"[0.077, 0.173, 0.029, 0.242, 0.05, 0.14, 0.206, 0.086, 0.122, 0.082]"
24,0.235,0.231,0.120,0.074,"[0.08, 0.171, 0.03, 0.239, 0.049, 0.146, 0.199, 0.084, 0.122, 0.083]"
25,0.235,0.244,0.126,0.079,"[0.077, 0.174, 0.029, 0.268, 0.049, 0.156, 0.213, 0.085, 0.122, 0.083]"
26,0.234,0.231,0.119,0.075,"[0.077, 0.171, 0.03, 0.24, 0.049, 0.14, 0.196, 0.087, 0.122, 0.082]"
27,0.235,0.231,0.119,0.075,"[0.078, 0.173, 0.029, 0.239, 0.049, 0.14, 0.196, 0.084, 0.122, 0.082]"
28,0.236,0.232,0.120,0.074,"[0.077, 0.178, 0.032, 0.24, 0.049, 0.14, 0.195, 0.085, 0.123, 0.083]"
29,0.233,0.234,0.121,0.076,"[0.08, 0.169, 0.028, 0.24, 0.049, 0.14, 0.211, 0.092, 0.121, 0.082]"
30,0.233,0.231,0.119,0.074,"[0.077, 0.174, 0.031, 0.237, 0.049, 0.139, 0.196, 0.088, 0.121, 0.081]"
31,0.233,0.233,0.121,0.074,"[0.083, 0.174, 0.028, 0.25, 0.049, 0.141, 0.196, 0.085, 0.121, 0.082]"
32,0.234,0.230,0.119,0.074,"[0.077, 0.169, 0.032, 0.238, 0.049, 0.141, 0.196, 0.084, 0.12, 0.082]"
33,0.234,0.232,0.120,0.074,"[0.078, 0.181, 0.028, 0.239, 0.049, 0.139, 0.198, 0.084, 0.121, 0.082]"
34,0.234,0.231,0.120,0.075,"[0.086, 0.171, 0.029, 0.241, 0.049, 0.139, 0.198, 0.085, 0.122, 0.081]"
35,0.234,0.237,0.123,0.076,"[0.088, 0.169, 0.032, 0.249, 0.049, 0.142, 0.216, 0.085, 0.12, 0.081]"
36,0.234,0.232,0.120,0.074,"[0.077, 0.171, 0.029, 0.245, 0.049, 0.141, 0.203, 0.087, 0.12, 0.082]"
37,0.234,0.235,0.123,0.077,"[0.09, 0.171, 0.029, 0.261, 0.049, 0.144, 0.194, 0.085, 0.12, 0.083]"
38,0.234,0.234,0.121,0.075,"[0.079, 0.19, 0.028, 0.242, 0.049, 0.142, 0.195, 0.084, 0.121, 0.082]"
