epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.271,0.250,0.135,0.084,"[0.089, 0.182, 0.031, 0.281, 0.052, 0.158, 0.246, 0.092, 0.127, 0.092]"
01,0.245,0.240,0.128,0.080,"[0.107, 0.181, 0.031, 0.246, 0.052, 0.15, 0.211, 0.09, 0.126, 0.089]"
02,0.242,0.241,0.127,0.081,"[0.082, 0.178, 0.029, 0.259, 0.051, 0.149, 0.222, 0.088, 0.127, 0.088]"
03,0.241,0.235,0.124,0.077,"[0.084, 0.177, 0.03, 0.241, 0.051, 0.146, 0.211, 0.088, 0.122, 0.086]"
04,0.240,0.235,0.124,0.079,"[0.081, 0.175, 0.029, 0.241, 0.051, 0.145, 0.214, 0.086, 0.135, 0.086]"
05,0.239,0.237,0.125,0.078,"[0.081, 0.181, 0.033, 0.242, 0.051, 0.154, 0.208, 0.092, 0.121, 0.087]"
06,0.238,0.234,0.122,0.076,"[0.078, 0.175, 0.029, 0.247, 0.051, 0.145, 0.206, 0.087, 0.121, 0.086]"
07,0.238,0.237,0.124,0.078,"[0.085, 0.172, 0.029, 0.254, 0.049, 0.151, 0.206, 0.085, 0.12, 0.087]"
08,0.239,0.242,0.127,0.079,"[0.081, 0.182, 0.029, 0.274, 0.05, 0.142, 0.222, 0.085, 0.12, 0.084]"
09,0.239,0.234,0.123,0.075,"[0.079, 0.181, 0.029, 0.243, 0.05, 0.145, 0.201, 0.094, 0.121, 0.085]"
10,0.237,0.235,0.123,0.077,"[0.084, 0.17, 0.029, 0.248, 0.049, 0.143, 0.219, 0.09, 0.118, 0.082]"
11,0.237,0.232,0.120,0.075,"[0.079, 0.176, 0.028, 0.238, 0.05, 0.142, 0.2, 0.087, 0.119, 0.082]"
12,0.237,0.231,0.119,0.073,"[0.077, 0.168, 0.029, 0.236, 0.049, 0.143, 0.198, 0.086, 0.119, 0.082]"
13,0.236,0.233,0.121,0.076,"[0.077, 0.17, 0.028, 0.237, 0.049, 0.141, 0.213, 0.091, 0.118, 0.082]"
14,0.236,0.232,0.121,0.076,"[0.081, 0.169, 0.03, 0.237, 0.049, 0.142, 0.211, 0.093, 0.118, 0.082]"
