epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.362,0.487,0.189,0.118,"[0.401, 0.243, 0.044, 0.362, 0.055, 0.174, 0.238, 0.145, 0.132, 0.099]"
01,0.287,0.343,0.149,0.090,"[0.1, 0.211, 0.044, 0.321, 0.055, 0.172, 0.242, 0.12, 0.133, 0.096]"
02,0.251,0.269,0.140,0.084,"[0.093, 0.2, 0.044, 0.257, 0.055, 0.168, 0.231, 0.124, 0.13, 0.095]"
03,0.238,0.255,0.137,0.084,"[0.09, 0.202, 0.044, 0.25, 0.053, 0.176, 0.225, 0.104, 0.131, 0.093]"
04,0.232,0.246,0.133,0.082,"[0.089, 0.19, 0.044, 0.263, 0.055, 0.158, 0.209, 0.11, 0.127, 0.092]"
05,0.229,0.245,0.132,0.081,"[0.087, 0.209, 0.037, 0.27, 0.052, 0.155, 0.204, 0.091, 0.127, 0.092]"
06,0.224,0.246,0.135,0.085,"[0.104, 0.201, 0.046, 0.261, 0.052, 0.161, 0.209, 0.094, 0.126, 0.092]"
07,0.220,0.254,0.139,0.087,"[0.135, 0.175, 0.06, 0.305, 0.052, 0.145, 0.197, 0.098, 0.134, 0.093]"
08,0.218,0.250,0.132,0.081,"[0.085, 0.178, 0.037, 0.275, 0.052, 0.151, 0.223, 0.095, 0.128, 0.09]"
09,0.217,0.254,0.137,0.079,"[0.169, 0.179, 0.042, 0.271, 0.05, 0.142, 0.205, 0.098, 0.125, 0.086]"
10,0.212,0.256,0.135,0.084,"[0.099, 0.174, 0.043, 0.321, 0.051, 0.149, 0.202, 0.089, 0.132, 0.087]"
11,0.210,0.254,0.133,0.077,"[0.092, 0.179, 0.044, 0.294, 0.049, 0.148, 0.204, 0.093, 0.128, 0.098]"
12,0.205,0.233,0.123,0.073,"[0.078, 0.178, 0.032, 0.228, 0.049, 0.154, 0.187, 0.099, 0.124, 0.102]"
13,0.203,0.231,0.122,0.071,"[0.089, 0.179, 0.038, 0.236, 0.049, 0.136, 0.192, 0.098, 0.119, 0.082]"
14,0.201,0.238,0.132,0.080,"[0.085, 0.173, 0.032, 0.24, 0.048, 0.152, 0.198, 0.11, 0.141, 0.136]"
15,0.200,0.230,0.120,0.072,"[0.074, 0.19, 0.037, 0.23, 0.048, 0.138, 0.186, 0.094, 0.125, 0.078]"
16,0.196,0.238,0.128,0.074,"[0.073, 0.177, 0.036, 0.249, 0.047, 0.137, 0.195, 0.115, 0.118, 0.136]"
17,0.193,0.243,0.131,0.077,"[0.13, 0.175, 0.057, 0.264, 0.048, 0.143, 0.213, 0.089, 0.121, 0.075]"
18,0.192,0.228,0.115,0.067,"[0.069, 0.183, 0.029, 0.243, 0.047, 0.128, 0.175, 0.092, 0.108, 0.074]"
19,0.190,0.277,0.134,0.074,"[0.08, 0.175, 0.044, 0.313, 0.049, 0.179, 0.211, 0.089, 0.12, 0.079]"
20,0.191,0.231,0.118,0.069,"[0.079, 0.18, 0.033, 0.244, 0.047, 0.14, 0.179, 0.087, 0.116, 0.077]"
21,0.188,0.242,0.128,0.077,"[0.111, 0.161, 0.05, 0.292, 0.049, 0.128, 0.179, 0.107, 0.13, 0.078]"
22,0.191,0.257,0.129,0.074,"[0.077, 0.204, 0.028, 0.305, 0.048, 0.147, 0.197, 0.096, 0.106, 0.08]"
23,0.190,0.232,0.118,0.071,"[0.086, 0.155, 0.041, 0.234, 0.049, 0.152, 0.188, 0.091, 0.111, 0.078]"
24,0.189,0.269,0.134,0.075,"[0.067, 0.187, 0.03, 0.311, 0.047, 0.166, 0.207, 0.101, 0.12, 0.105]"
25,0.183,0.251,0.125,0.069,"[0.075, 0.175, 0.039, 0.3, 0.049, 0.133, 0.185, 0.099, 0.116, 0.083]"
26,0.181,0.256,0.124,0.068,"[0.062, 0.178, 0.041, 0.297, 0.047, 0.137, 0.193, 0.096, 0.108, 0.076]"
27,0.180,0.242,0.138,0.081,"[0.085, 0.181, 0.039, 0.228, 0.05, 0.161, 0.207, 0.124, 0.121, 0.183]"
28,0.180,0.224,0.113,0.065,"[0.062, 0.155, 0.032, 0.231, 0.047, 0.143, 0.194, 0.089, 0.104, 0.072]"
29,0.182,0.273,0.133,0.075,"[0.071, 0.188, 0.034, 0.337, 0.048, 0.162, 0.214, 0.093, 0.103, 0.081]"
30,0.183,0.234,0.122,0.073,"[0.089, 0.174, 0.038, 0.252, 0.049, 0.144, 0.188, 0.091, 0.113, 0.082]"
31,0.177,0.238,0.127,0.073,"[0.065, 0.164, 0.029, 0.248, 0.047, 0.153, 0.2, 0.099, 0.152, 0.112]"
32,0.178,0.229,0.114,0.064,"[0.065, 0.171, 0.036, 0.242, 0.045, 0.128, 0.179, 0.086, 0.108, 0.078]"
33,0.175,0.226,0.115,0.065,"[0.074, 0.155, 0.027, 0.246, 0.047, 0.134, 0.194, 0.091, 0.111, 0.075]"
34,0.173,0.225,0.113,0.065,"[0.07, 0.158, 0.027, 0.237, 0.047, 0.13, 0.18, 0.094, 0.109, 0.075]"
35,0.172,0.226,0.113,0.065,"[0.061, 0.164, 0.028, 0.24, 0.047, 0.133, 0.181, 0.091, 0.108, 0.08]"
36,0.170,0.224,0.111,0.065,"[0.066, 0.163, 0.03, 0.233, 0.048, 0.124, 0.181, 0.089, 0.102, 0.074]"
37,0.169,0.243,0.123,0.069,"[0.063, 0.186, 0.029, 0.295, 0.047, 0.145, 0.199, 0.088, 0.105, 0.075]"
38,0.171,0.227,0.114,0.068,"[0.068, 0.161, 0.026, 0.234, 0.048, 0.145, 0.191, 0.089, 0.101, 0.074]"
39,0.171,0.227,0.116,0.065,"[0.067, 0.162, 0.033, 0.242, 0.052, 0.13, 0.193, 0.09, 0.112, 0.076]"
40,0.171,0.226,0.114,0.065,"[0.073, 0.164, 0.027, 0.239, 0.047, 0.129, 0.185, 0.088, 0.109, 0.075]"
41,0.170,0.232,0.120,0.068,"[0.069, 0.192, 0.032, 0.238, 0.047, 0.133, 0.19, 0.11, 0.115, 0.079]"
42,0.170,0.229,0.118,0.068,"[0.101, 0.161, 0.029, 0.235, 0.046, 0.132, 0.184, 0.1, 0.116, 0.08]"
43,0.168,0.239,0.120,0.068,"[0.065, 0.189, 0.03, 0.295, 0.046, 0.13, 0.184, 0.088, 0.103, 0.073]"
44,0.167,0.227,0.113,0.065,"[0.072, 0.173, 0.03, 0.235, 0.049, 0.127, 0.177, 0.089, 0.104, 0.073]"
45,0.168,0.227,0.113,0.065,"[0.063, 0.178, 0.028, 0.234, 0.048, 0.13, 0.179, 0.093, 0.106, 0.075]"
46,0.165,0.229,0.115,0.065,"[0.06, 0.156, 0.035, 0.232, 0.047, 0.132, 0.216, 0.091, 0.107, 0.074]"
47,0.168,0.231,0.117,0.069,"[0.072, 0.166, 0.027, 0.251, 0.051, 0.145, 0.19, 0.089, 0.105, 0.075]"
48,0.167,0.234,0.118,0.071,"[0.065, 0.182, 0.027, 0.254, 0.047, 0.137, 0.19, 0.092, 0.115, 0.075]"
49,0.166,0.229,0.116,0.066,"[0.064, 0.167, 0.029, 0.235, 0.049, 0.131, 0.201, 0.09, 0.104, 0.09]"
50,0.166,0.223,0.113,0.064,"[0.069, 0.155, 0.029, 0.227, 0.048, 0.129, 0.19, 0.096, 0.107, 0.076]"
51,0.164,0.227,0.114,0.066,"[0.059, 0.163, 0.028, 0.233, 0.048, 0.137, 0.195, 0.092, 0.106, 0.081]"
52,0.165,0.227,0.114,0.066,"[0.083, 0.163, 0.027, 0.235, 0.049, 0.127, 0.178, 0.097, 0.101, 0.074]"
53,0.164,0.224,0.111,0.063,"[0.062, 0.162, 0.028, 0.238, 0.047, 0.127, 0.18, 0.093, 0.101, 0.074]"
54,0.163,0.227,0.112,0.063,"[0.065, 0.166, 0.028, 0.233, 0.047, 0.127, 0.188, 0.089, 0.101, 0.075]"
55,0.165,0.237,0.120,0.072,"[0.067, 0.158, 0.027, 0.268, 0.05, 0.154, 0.202, 0.091, 0.111, 0.075]"
56,0.167,0.232,0.117,0.068,"[0.062, 0.175, 0.033, 0.252, 0.047, 0.126, 0.19, 0.104, 0.107, 0.078]"
57,0.166,0.228,0.116,0.066,"[0.073, 0.165, 0.028, 0.232, 0.048, 0.142, 0.187, 0.104, 0.106, 0.076]"
58,0.164,0.237,0.122,0.067,"[0.064, 0.163, 0.036, 0.262, 0.048, 0.141, 0.216, 0.096, 0.114, 0.078]"
59,0.164,0.228,0.116,0.066,"[0.071, 0.169, 0.031, 0.242, 0.048, 0.127, 0.188, 0.091, 0.104, 0.087]"
60,0.167,0.226,0.113,0.064,"[0.066, 0.167, 0.031, 0.24, 0.047, 0.127, 0.177, 0.091, 0.105, 0.076]"
61,0.165,0.226,0.114,0.068,"[0.062, 0.175, 0.027, 0.236, 0.047, 0.138, 0.181, 0.094, 0.107, 0.073]"
62,0.164,0.227,0.115,0.067,"[0.063, 0.168, 0.028, 0.233, 0.048, 0.148, 0.187, 0.089, 0.109, 0.079]"
63,0.163,0.228,0.115,0.067,"[0.086, 0.167, 0.028, 0.232, 0.049, 0.128, 0.178, 0.102, 0.108, 0.074]"
64,0.165,0.230,0.115,0.064,"[0.065, 0.176, 0.029, 0.251, 0.048, 0.127, 0.188, 0.089, 0.104, 0.076]"
65,0.163,0.226,0.112,0.064,"[0.062, 0.162, 0.026, 0.233, 0.049, 0.132, 0.182, 0.092, 0.107, 0.076]"
66,0.161,0.227,0.113,0.066,"[0.074, 0.157, 0.028, 0.246, 0.048, 0.126, 0.184, 0.089, 0.101, 0.075]"
67,0.162,0.230,0.115,0.067,"[0.063, 0.185, 0.028, 0.246, 0.048, 0.127, 0.184, 0.089, 0.103, 0.078]"
68,0.163,0.229,0.115,0.068,"[0.065, 0.159, 0.026, 0.251, 0.051, 0.135, 0.186, 0.093, 0.106, 0.075]"
69,0.163,0.227,0.113,0.066,"[0.063, 0.154, 0.029, 0.233, 0.046, 0.146, 0.185, 0.089, 0.109, 0.076]"
70,0.163,0.231,0.116,0.065,"[0.062, 0.178, 0.031, 0.259, 0.047, 0.128, 0.184, 0.093, 0.106, 0.073]"
71,0.160,0.229,0.116,0.065,"[0.072, 0.173, 0.027, 0.24, 0.049, 0.135, 0.192, 0.09, 0.103, 0.074]"
72,0.163,0.227,0.113,0.065,"[0.068, 0.165, 0.03, 0.24, 0.048, 0.127, 0.184, 0.091, 0.104, 0.073]"
73,0.161,0.226,0.112,0.064,"[0.063, 0.159, 0.028, 0.235, 0.048, 0.127, 0.19, 0.089, 0.106, 0.075]"
74,0.161,0.226,0.114,0.064,"[0.066, 0.173, 0.027, 0.233, 0.048, 0.129, 0.194, 0.09, 0.103, 0.075]"
75,0.161,0.230,0.114,0.064,"[0.065, 0.161, 0.027, 0.245, 0.047, 0.131, 0.187, 0.093, 0.109, 0.073]"
76,0.162,0.231,0.119,0.067,"[0.096, 0.171, 0.028, 0.243, 0.048, 0.134, 0.197, 0.092, 0.102, 0.078]"
77,0.161,0.229,0.113,0.066,"[0.069, 0.159, 0.026, 0.248, 0.049, 0.135, 0.181, 0.088, 0.104, 0.075]"
78,0.159,0.227,0.113,0.065,"[0.065, 0.165, 0.028, 0.239, 0.048, 0.132, 0.179, 0.093, 0.101, 0.076]"
79,0.162,0.230,0.114,0.065,"[0.069, 0.174, 0.026, 0.242, 0.047, 0.126, 0.188, 0.09, 0.104, 0.076]"
80,0.164,0.232,0.116,0.065,"[0.062, 0.165, 0.031, 0.245, 0.051, 0.146, 0.185, 0.093, 0.103, 0.078]"
81,0.161,0.227,0.115,0.067,"[0.086, 0.164, 0.029, 0.246, 0.048, 0.128, 0.177, 0.093, 0.108, 0.075]"
82,0.161,0.225,0.112,0.064,"[0.068, 0.161, 0.029, 0.23, 0.048, 0.125, 0.183, 0.092, 0.109, 0.076]"
83,0.164,0.233,0.114,0.065,"[0.065, 0.167, 0.028, 0.248, 0.048, 0.133, 0.189, 0.09, 0.103, 0.073]"
84,0.160,0.231,0.118,0.066,"[0.084, 0.174, 0.029, 0.248, 0.048, 0.126, 0.184, 0.101, 0.111, 0.077]"
85,0.161,0.227,0.112,0.064,"[0.063, 0.17, 0.029, 0.234, 0.048, 0.128, 0.185, 0.09, 0.103, 0.074]"
86,0.158,0.225,0.113,0.063,"[0.063, 0.163, 0.033, 0.243, 0.049, 0.126, 0.181, 0.091, 0.104, 0.076]"
87,0.158,0.226,0.114,0.064,"[0.066, 0.163, 0.028, 0.24, 0.048, 0.129, 0.194, 0.092, 0.108, 0.076]"
88,0.161,0.227,0.115,0.066,"[0.072, 0.179, 0.029, 0.245, 0.048, 0.124, 0.181, 0.092, 0.104, 0.074]"
89,0.161,0.228,0.116,0.065,"[0.066, 0.174, 0.028, 0.246, 0.049, 0.128, 0.192, 0.094, 0.108, 0.077]"
90,0.161,0.227,0.113,0.065,"[0.065, 0.161, 0.03, 0.242, 0.047, 0.127, 0.187, 0.097, 0.103, 0.073]"
91,0.161,0.232,0.114,0.064,"[0.064, 0.167, 0.027, 0.241, 0.049, 0.127, 0.187, 0.092, 0.107, 0.077]"
92,0.160,0.229,0.114,0.064,"[0.063, 0.167, 0.032, 0.24, 0.049, 0.128, 0.184, 0.097, 0.103, 0.075]"
93,0.159,0.227,0.112,0.064,"[0.068, 0.164, 0.028, 0.234, 0.048, 0.126, 0.185, 0.09, 0.105, 0.074]"
94,0.159,0.226,0.112,0.063,"[0.063, 0.17, 0.026, 0.232, 0.049, 0.125, 0.185, 0.091, 0.104, 0.075]"
95,0.161,0.229,0.113,0.065,"[0.069, 0.162, 0.03, 0.237, 0.049, 0.127, 0.192, 0.091, 0.104, 0.074]"
96,0.159,0.232,0.118,0.068,"[0.064, 0.181, 0.035, 0.254, 0.048, 0.129, 0.195, 0.091, 0.109, 0.077]"
97,0.160,0.227,0.116,0.066,"[0.081, 0.169, 0.034, 0.237, 0.049, 0.127, 0.184, 0.096, 0.103, 0.076]"
98,0.160,0.231,0.116,0.064,"[0.064, 0.166, 0.03, 0.262, 0.049, 0.127, 0.189, 0.089, 0.106, 0.076]"
99,0.162,0.227,0.113,0.064,"[0.063, 0.164, 0.029, 0.24, 0.049, 0.131, 0.18, 0.091, 0.107, 0.074]"
