epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.387,0.307,0.166,0.112,"[0.105, 0.273, 0.044, 0.317, 0.055, 0.245, 0.248, 0.146, 0.131, 0.097]"
01,0.323,0.300,0.159,0.112,"[0.111, 0.259, 0.044, 0.299, 0.055, 0.189, 0.248, 0.14, 0.151, 0.096]"
02,0.292,0.284,0.150,0.099,"[0.096, 0.233, 0.044, 0.274, 0.055, 0.204, 0.246, 0.127, 0.13, 0.095]"
03,0.271,0.276,0.145,0.094,"[0.098, 0.216, 0.044, 0.271, 0.055, 0.19, 0.223, 0.123, 0.129, 0.096]"
04,0.259,0.266,0.141,0.091,"[0.1, 0.221, 0.044, 0.261, 0.055, 0.167, 0.222, 0.117, 0.132, 0.095]"
05,0.248,0.257,0.140,0.091,"[0.097, 0.204, 0.04, 0.268, 0.055, 0.165, 0.225, 0.115, 0.131, 0.097]"
06,0.242,0.252,0.138,0.087,"[0.09, 0.212, 0.044, 0.259, 0.055, 0.163, 0.219, 0.113, 0.13, 0.094]"
07,0.239,0.247,0.136,0.086,"[0.09, 0.201, 0.04, 0.257, 0.054, 0.163, 0.219, 0.11, 0.128, 0.095]"
08,0.237,0.254,0.139,0.090,"[0.088, 0.215, 0.037, 0.28, 0.053, 0.163, 0.221, 0.103, 0.129, 0.097]"
09,0.237,0.246,0.135,0.086,"[0.09, 0.208, 0.039, 0.256, 0.053, 0.16, 0.221, 0.102, 0.128, 0.094]"
10,0.232,0.243,0.133,0.086,"[0.09, 0.194, 0.037, 0.256, 0.053, 0.159, 0.214, 0.103, 0.129, 0.095]"
11,0.234,0.242,0.132,0.084,"[0.087, 0.192, 0.037, 0.254, 0.053, 0.156, 0.215, 0.1, 0.13, 0.093]"
12,0.232,0.243,0.132,0.084,"[0.087, 0.197, 0.036, 0.258, 0.053, 0.156, 0.215, 0.102, 0.128, 0.093]"
13,0.234,0.241,0.131,0.084,"[0.088, 0.191, 0.036, 0.253, 0.053, 0.156, 0.212, 0.1, 0.129, 0.093]"
14,0.233,0.247,0.134,0.086,"[0.088, 0.197, 0.035, 0.277, 0.053, 0.161, 0.211, 0.097, 0.127, 0.093]"
15,0.232,0.246,0.133,0.084,"[0.091, 0.192, 0.036, 0.265, 0.053, 0.153, 0.223, 0.097, 0.128, 0.093]"
16,0.230,0.245,0.133,0.085,"[0.087, 0.186, 0.036, 0.273, 0.053, 0.156, 0.211, 0.104, 0.13, 0.093]"
17,0.231,0.242,0.131,0.083,"[0.088, 0.189, 0.036, 0.255, 0.053, 0.153, 0.221, 0.094, 0.127, 0.093]"
18,0.232,0.244,0.131,0.082,"[0.086, 0.192, 0.034, 0.26, 0.053, 0.153, 0.211, 0.096, 0.128, 0.092]"
19,0.229,0.241,0.130,0.083,"[0.086, 0.187, 0.035, 0.253, 0.053, 0.151, 0.214, 0.099, 0.132, 0.093]"
20,0.229,0.240,0.130,0.082,"[0.091, 0.189, 0.034, 0.255, 0.053, 0.154, 0.209, 0.092, 0.128, 0.092]"
21,0.228,0.243,0.131,0.083,"[0.092, 0.188, 0.036, 0.253, 0.053, 0.153, 0.221, 0.093, 0.128, 0.092]"
22,0.227,0.242,0.131,0.082,"[0.085, 0.189, 0.034, 0.251, 0.053, 0.167, 0.209, 0.097, 0.13, 0.092]"
23,0.226,0.240,0.129,0.082,"[0.087, 0.189, 0.033, 0.261, 0.053, 0.153, 0.208, 0.093, 0.126, 0.092]"
