epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.368,0.280,0.144,0.094,"[0.119, 0.202, 0.043, 0.264, 0.055, 0.171, 0.213, 0.129, 0.146, 0.097]"
01,0.234,0.230,0.115,0.065,"[0.071, 0.181, 0.041, 0.227, 0.053, 0.121, 0.163, 0.098, 0.109, 0.083]"
02,0.203,0.206,0.093,0.053,"[0.055, 0.12, 0.03, 0.165, 0.048, 0.112, 0.147, 0.083, 0.094, 0.077]"
03,0.192,0.204,0.091,0.051,"[0.054, 0.117, 0.026, 0.146, 0.045, 0.11, 0.157, 0.094, 0.093, 0.068]"
04,0.186,0.202,0.088,0.050,"[0.053, 0.11, 0.023, 0.146, 0.043, 0.115, 0.15, 0.085, 0.091, 0.061]"
05,0.181,0.205,0.089,0.050,"[0.05, 0.117, 0.023, 0.159, 0.044, 0.112, 0.149, 0.084, 0.092, 0.061]"
06,0.180,0.202,0.086,0.048,"[0.05, 0.118, 0.022, 0.144, 0.042, 0.11, 0.143, 0.084, 0.091, 0.06]"
07,0.178,0.203,0.088,0.049,"[0.055, 0.115, 0.022, 0.148, 0.041, 0.113, 0.142, 0.09, 0.092, 0.063]"
08,0.175,0.202,0.085,0.047,"[0.052, 0.107, 0.023, 0.144, 0.041, 0.109, 0.145, 0.082, 0.091, 0.057]"
09,0.176,0.201,0.086,0.048,"[0.05, 0.109, 0.022, 0.149, 0.041, 0.113, 0.145, 0.084, 0.091, 0.058]"
10,0.176,0.201,0.086,0.048,"[0.05, 0.107, 0.021, 0.147, 0.042, 0.112, 0.146, 0.084, 0.092, 0.059]"
11,0.174,0.204,0.088,0.048,"[0.054, 0.119, 0.025, 0.145, 0.041, 0.111, 0.146, 0.085, 0.092, 0.058]"
12,0.173,0.203,0.088,0.049,"[0.053, 0.114, 0.021, 0.156, 0.041, 0.114, 0.145, 0.083, 0.091, 0.058]"
13,0.173,0.203,0.088,0.048,"[0.052, 0.109, 0.021, 0.152, 0.04, 0.113, 0.153, 0.091, 0.092, 0.058]"
14,0.173,0.204,0.086,0.047,"[0.051, 0.106, 0.021, 0.14, 0.041, 0.113, 0.155, 0.084, 0.094, 0.058]"
15,0.174,0.207,0.090,0.049,"[0.054, 0.115, 0.02, 0.161, 0.042, 0.112, 0.159, 0.084, 0.092, 0.06]"
16,0.173,0.204,0.087,0.048,"[0.066, 0.108, 0.022, 0.14, 0.042, 0.117, 0.144, 0.084, 0.091, 0.057]"
17,0.173,0.201,0.085,0.046,"[0.053, 0.108, 0.022, 0.141, 0.041, 0.109, 0.144, 0.084, 0.092, 0.055]"
18,0.173,0.202,0.087,0.047,"[0.055, 0.107, 0.021, 0.142, 0.043, 0.115, 0.156, 0.086, 0.091, 0.056]"
19,0.172,0.203,0.086,0.047,"[0.052, 0.114, 0.022, 0.143, 0.041, 0.111, 0.143, 0.085, 0.094, 0.058]"
20,0.172,0.204,0.088,0.048,"[0.061, 0.109, 0.021, 0.15, 0.042, 0.111, 0.152, 0.084, 0.091, 0.058]"
21,0.172,0.201,0.086,0.046,"[0.053, 0.108, 0.023, 0.141, 0.041, 0.111, 0.144, 0.086, 0.092, 0.059]"
22,0.172,0.205,0.086,0.047,"[0.054, 0.108, 0.022, 0.14, 0.042, 0.111, 0.144, 0.086, 0.093, 0.056]"
23,0.172,0.203,0.087,0.048,"[0.05, 0.108, 0.02, 0.142, 0.041, 0.121, 0.15, 0.085, 0.091, 0.057]"
24,0.172,0.203,0.086,0.047,"[0.053, 0.109, 0.023, 0.144, 0.043, 0.114, 0.141, 0.084, 0.094, 0.058]"
25,0.172,0.207,0.091,0.050,"[0.055, 0.127, 0.023, 0.152, 0.043, 0.126, 0.147, 0.086, 0.093, 0.061]"
26,0.172,0.203,0.087,0.047,"[0.052, 0.114, 0.021, 0.144, 0.041, 0.111, 0.147, 0.085, 0.094, 0.057]"
27,0.171,0.204,0.086,0.047,"[0.06, 0.108, 0.022, 0.141, 0.043, 0.112, 0.144, 0.085, 0.091, 0.058]"
28,0.171,0.203,0.088,0.048,"[0.052, 0.114, 0.022, 0.144, 0.041, 0.111, 0.152, 0.09, 0.094, 0.06]"
29,0.171,0.203,0.087,0.047,"[0.052, 0.113, 0.021, 0.144, 0.041, 0.114, 0.143, 0.088, 0.093, 0.057]"
30,0.171,0.205,0.088,0.048,"[0.054, 0.121, 0.021, 0.149, 0.042, 0.11, 0.149, 0.085, 0.093, 0.056]"
31,0.172,0.204,0.087,0.047,"[0.052, 0.115, 0.021, 0.145, 0.042, 0.115, 0.147, 0.085, 0.092, 0.06]"
32,0.171,0.203,0.087,0.047,"[0.05, 0.116, 0.022, 0.152, 0.04, 0.11, 0.143, 0.086, 0.092, 0.056]"
33,0.171,0.202,0.087,0.048,"[0.056, 0.109, 0.023, 0.142, 0.041, 0.12, 0.142, 0.086, 0.092, 0.059]"
34,0.170,0.207,0.092,0.051,"[0.055, 0.135, 0.02, 0.171, 0.042, 0.109, 0.144, 0.089, 0.092, 0.06]"
35,0.171,0.205,0.087,0.048,"[0.054, 0.108, 0.021, 0.146, 0.042, 0.113, 0.145, 0.088, 0.092, 0.059]"
36,0.171,0.202,0.086,0.047,"[0.055, 0.111, 0.021, 0.144, 0.041, 0.11, 0.143, 0.085, 0.092, 0.055]"
37,0.170,0.203,0.086,0.047,"[0.056, 0.108, 0.022, 0.142, 0.042, 0.109, 0.144, 0.088, 0.092, 0.059]"
38,0.170,0.202,0.087,0.047,"[0.05, 0.111, 0.021, 0.148, 0.041, 0.111, 0.144, 0.088, 0.094, 0.059]"
39,0.169,0.204,0.090,0.048,"[0.053, 0.125, 0.023, 0.162, 0.041, 0.11, 0.146, 0.086, 0.092, 0.058]"
40,0.170,0.202,0.087,0.047,"[0.052, 0.113, 0.022, 0.143, 0.041, 0.111, 0.143, 0.086, 0.094, 0.06]"
41,0.170,0.206,0.091,0.050,"[0.057, 0.128, 0.022, 0.161, 0.043, 0.115, 0.145, 0.085, 0.092, 0.06]"
42,0.170,0.203,0.088,0.047,"[0.056, 0.109, 0.023, 0.143, 0.043, 0.115, 0.148, 0.088, 0.093, 0.059]"
43,0.170,0.202,0.087,0.047,"[0.051, 0.115, 0.02, 0.144, 0.041, 0.11, 0.143, 0.086, 0.092, 0.062]"
44,0.170,0.202,0.086,0.047,"[0.052, 0.111, 0.022, 0.143, 0.042, 0.112, 0.142, 0.085, 0.092, 0.057]"
45,0.169,0.202,0.086,0.047,"[0.052, 0.112, 0.021, 0.143, 0.04, 0.111, 0.143, 0.087, 0.092, 0.06]"
46,0.170,0.205,0.090,0.049,"[0.055, 0.122, 0.022, 0.16, 0.042, 0.11, 0.151, 0.088, 0.092, 0.059]"
47,0.169,0.202,0.087,0.047,"[0.05, 0.115, 0.022, 0.15, 0.041, 0.11, 0.145, 0.085, 0.092, 0.061]"
48,0.169,0.205,0.088,0.048,"[0.056, 0.113, 0.021, 0.149, 0.042, 0.113, 0.145, 0.087, 0.093, 0.063]"
49,0.169,0.203,0.086,0.047,"[0.052, 0.114, 0.021, 0.146, 0.04, 0.11, 0.144, 0.085, 0.092, 0.06]"
50,0.169,0.202,0.086,0.047,"[0.052, 0.11, 0.021, 0.146, 0.041, 0.111, 0.141, 0.085, 0.093, 0.058]"
51,0.169,0.203,0.087,0.047,"[0.051, 0.112, 0.021, 0.15, 0.042, 0.11, 0.142, 0.085, 0.095, 0.06]"
52,0.169,0.203,0.086,0.047,"[0.053, 0.11, 0.022, 0.144, 0.042, 0.11, 0.143, 0.085, 0.093, 0.059]"
53,0.169,0.205,0.089,0.049,"[0.058, 0.121, 0.022, 0.153, 0.042, 0.112, 0.142, 0.088, 0.091, 0.058]"
54,0.170,0.205,0.090,0.049,"[0.053, 0.125, 0.021, 0.153, 0.042, 0.119, 0.146, 0.087, 0.092, 0.06]"
55,0.170,0.202,0.087,0.047,"[0.052, 0.113, 0.023, 0.143, 0.043, 0.111, 0.146, 0.088, 0.093, 0.063]"
56,0.169,0.202,0.087,0.047,"[0.05, 0.112, 0.02, 0.15, 0.04, 0.11, 0.142, 0.086, 0.093, 0.062]"
57,0.168,0.202,0.086,0.047,"[0.053, 0.111, 0.021, 0.145, 0.042, 0.111, 0.142, 0.086, 0.092, 0.06]"
58,0.169,0.203,0.087,0.048,"[0.05, 0.113, 0.022, 0.155, 0.041, 0.113, 0.142, 0.088, 0.092, 0.058]"
59,0.168,0.202,0.087,0.047,"[0.056, 0.111, 0.022, 0.145, 0.041, 0.112, 0.141, 0.085, 0.092, 0.06]"
60,0.168,0.203,0.087,0.047,"[0.05, 0.111, 0.022, 0.15, 0.041, 0.112, 0.142, 0.086, 0.093, 0.061]"
61,0.168,0.203,0.087,0.047,"[0.056, 0.111, 0.022, 0.144, 0.041, 0.111, 0.143, 0.085, 0.094, 0.061]"
62,0.168,0.203,0.087,0.048,"[0.052, 0.111, 0.022, 0.149, 0.041, 0.114, 0.143, 0.085, 0.093, 0.062]"
63,0.168,0.202,0.086,0.047,"[0.051, 0.111, 0.021, 0.145, 0.041, 0.11, 0.144, 0.085, 0.092, 0.06]"
64,0.168,0.202,0.087,0.047,"[0.05, 0.112, 0.022, 0.145, 0.043, 0.111, 0.143, 0.087, 0.093, 0.06]"
65,0.169,0.202,0.086,0.047,"[0.05, 0.111, 0.021, 0.143, 0.041, 0.11, 0.141, 0.086, 0.092, 0.062]"
66,0.168,0.202,0.087,0.047,"[0.051, 0.112, 0.023, 0.143, 0.042, 0.11, 0.146, 0.086, 0.093, 0.061]"
67,0.169,0.202,0.087,0.047,"[0.052, 0.113, 0.022, 0.145, 0.041, 0.109, 0.146, 0.086, 0.093, 0.063]"
68,0.168,0.202,0.087,0.047,"[0.051, 0.113, 0.022, 0.143, 0.042, 0.11, 0.145, 0.086, 0.093, 0.062]"
69,0.168,0.203,0.087,0.047,"[0.053, 0.111, 0.022, 0.145, 0.041, 0.112, 0.142, 0.086, 0.094, 0.061]"
70,0.169,0.202,0.087,0.047,"[0.05, 0.112, 0.023, 0.151, 0.041, 0.111, 0.141, 0.086, 0.093, 0.059]"
71,0.169,0.204,0.089,0.048,"[0.053, 0.118, 0.023, 0.162, 0.041, 0.112, 0.143, 0.087, 0.093, 0.062]"
72,0.169,0.203,0.086,0.047,"[0.052, 0.111, 0.021, 0.145, 0.043, 0.111, 0.144, 0.086, 0.093, 0.06]"
73,0.169,0.204,0.087,0.047,"[0.053, 0.111, 0.022, 0.144, 0.041, 0.11, 0.142, 0.087, 0.095, 0.061]"
74,0.168,0.202,0.086,0.047,"[0.051, 0.11, 0.022, 0.143, 0.041, 0.11, 0.145, 0.086, 0.094, 0.06]"
75,0.168,0.203,0.086,0.047,"[0.052, 0.111, 0.022, 0.144, 0.041, 0.114, 0.142, 0.086, 0.092, 0.06]"
76,0.168,0.203,0.087,0.048,"[0.055, 0.111, 0.023, 0.145, 0.042, 0.111, 0.141, 0.086, 0.094, 0.061]"
77,0.168,0.203,0.087,0.047,"[0.05, 0.114, 0.022, 0.145, 0.042, 0.11, 0.143, 0.085, 0.093, 0.06]"
78,0.168,0.203,0.087,0.047,"[0.05, 0.111, 0.022, 0.144, 0.041, 0.11, 0.15, 0.087, 0.094, 0.063]"
79,0.169,0.205,0.088,0.048,"[0.053, 0.112, 0.023, 0.149, 0.04, 0.111, 0.152, 0.086, 0.092, 0.059]"
80,0.168,0.204,0.087,0.048,"[0.053, 0.112, 0.021, 0.145, 0.043, 0.114, 0.141, 0.085, 0.092, 0.059]"
81,0.169,0.203,0.087,0.047,"[0.051, 0.115, 0.022, 0.145, 0.042, 0.111, 0.14, 0.086, 0.093, 0.062]"
82,0.168,0.202,0.086,0.047,"[0.051, 0.111, 0.022, 0.145, 0.041, 0.111, 0.143, 0.085, 0.092, 0.062]"
83,0.168,0.202,0.086,0.047,"[0.052, 0.111, 0.023, 0.143, 0.042, 0.112, 0.142, 0.086, 0.093, 0.062]"
84,0.169,0.203,0.086,0.047,"[0.052, 0.112, 0.021, 0.144, 0.041, 0.111, 0.142, 0.085, 0.093, 0.06]"
85,0.168,0.203,0.087,0.047,"[0.052, 0.112, 0.022, 0.146, 0.041, 0.111, 0.144, 0.086, 0.093, 0.06]"
86,0.168,0.203,0.086,0.048,"[0.054, 0.111, 0.022, 0.144, 0.042, 0.11, 0.14, 0.086, 0.092, 0.059]"
87,0.168,0.203,0.088,0.047,"[0.052, 0.113, 0.024, 0.15, 0.042, 0.112, 0.145, 0.085, 0.092, 0.06]"
88,0.168,0.202,0.086,0.047,"[0.051, 0.111, 0.021, 0.145, 0.042, 0.11, 0.143, 0.085, 0.093, 0.059]"
89,0.168,0.202,0.087,0.047,"[0.051, 0.111, 0.022, 0.146, 0.042, 0.111, 0.143, 0.086, 0.093, 0.062]"
90,0.167,0.202,0.087,0.047,"[0.051, 0.114, 0.022, 0.147, 0.042, 0.111, 0.142, 0.085, 0.093, 0.061]"
