epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.292,0.215,0.105,0.063,"[0.068, 0.124, 0.036, 0.176, 0.053, 0.116, 0.163, 0.126, 0.101, 0.083]"
01,0.206,0.199,0.085,0.049,"[0.047, 0.097, 0.023, 0.134, 0.044, 0.12, 0.138, 0.087, 0.093, 0.067]"
02,0.196,0.202,0.087,0.049,"[0.047, 0.1, 0.028, 0.157, 0.038, 0.112, 0.143, 0.103, 0.086, 0.053]"
03,0.189,0.201,0.082,0.046,"[0.051, 0.099, 0.018, 0.155, 0.037, 0.107, 0.137, 0.079, 0.086, 0.052]"
04,0.186,0.195,0.079,0.043,"[0.053, 0.098, 0.019, 0.127, 0.037, 0.108, 0.131, 0.079, 0.085, 0.05]"
05,0.183,0.197,0.080,0.044,"[0.044, 0.108, 0.022, 0.138, 0.037, 0.104, 0.135, 0.083, 0.085, 0.047]"
06,0.180,0.195,0.078,0.042,"[0.045, 0.094, 0.018, 0.13, 0.037, 0.103, 0.138, 0.079, 0.085, 0.048]"
07,0.179,0.199,0.081,0.045,"[0.042, 0.108, 0.018, 0.148, 0.037, 0.104, 0.134, 0.079, 0.089, 0.047]"
08,0.178,0.200,0.084,0.045,"[0.045, 0.12, 0.019, 0.156, 0.038, 0.104, 0.143, 0.08, 0.084, 0.046]"
09,0.177,0.197,0.081,0.044,"[0.052, 0.111, 0.018, 0.135, 0.037, 0.105, 0.137, 0.081, 0.084, 0.051]"
10,0.176,0.194,0.078,0.042,"[0.048, 0.097, 0.018, 0.128, 0.038, 0.104, 0.132, 0.08, 0.086, 0.046]"
11,0.175,0.195,0.077,0.042,"[0.043, 0.093, 0.018, 0.133, 0.038, 0.105, 0.133, 0.08, 0.083, 0.046]"
12,0.174,0.198,0.081,0.044,"[0.05, 0.095, 0.018, 0.133, 0.038, 0.11, 0.154, 0.08, 0.087, 0.046]"
13,0.176,0.194,0.076,0.041,"[0.042, 0.092, 0.018, 0.125, 0.037, 0.106, 0.13, 0.08, 0.087, 0.045]"
14,0.174,0.195,0.078,0.042,"[0.044, 0.095, 0.019, 0.133, 0.037, 0.105, 0.132, 0.08, 0.088, 0.048]"
15,0.173,0.194,0.077,0.041,"[0.046, 0.092, 0.019, 0.127, 0.038, 0.105, 0.13, 0.079, 0.085, 0.046]"
16,0.173,0.199,0.084,0.046,"[0.049, 0.114, 0.018, 0.143, 0.038, 0.109, 0.14, 0.097, 0.087, 0.05]"
17,0.174,0.197,0.079,0.042,"[0.043, 0.1, 0.017, 0.143, 0.037, 0.105, 0.133, 0.08, 0.086, 0.046]"
18,0.173,0.195,0.077,0.042,"[0.043, 0.093, 0.017, 0.129, 0.038, 0.108, 0.135, 0.079, 0.085, 0.046]"
19,0.172,0.197,0.080,0.043,"[0.043, 0.107, 0.018, 0.134, 0.039, 0.105, 0.132, 0.087, 0.085, 0.047]"
20,0.172,0.196,0.079,0.043,"[0.043, 0.104, 0.017, 0.131, 0.037, 0.108, 0.133, 0.082, 0.085, 0.049]"
21,0.173,0.196,0.079,0.043,"[0.042, 0.093, 0.018, 0.124, 0.037, 0.107, 0.154, 0.085, 0.087, 0.044]"
22,0.172,0.194,0.076,0.041,"[0.042, 0.092, 0.017, 0.123, 0.038, 0.109, 0.132, 0.081, 0.086, 0.045]"
23,0.171,0.194,0.077,0.042,"[0.044, 0.096, 0.017, 0.131, 0.037, 0.106, 0.131, 0.08, 0.085, 0.045]"
24,0.171,0.194,0.077,0.041,"[0.044, 0.092, 0.017, 0.122, 0.036, 0.106, 0.132, 0.084, 0.09, 0.046]"
25,0.171,0.194,0.077,0.042,"[0.044, 0.096, 0.018, 0.128, 0.038, 0.104, 0.128, 0.08, 0.086, 0.047]"
26,0.172,0.194,0.077,0.042,"[0.044, 0.095, 0.017, 0.129, 0.037, 0.105, 0.132, 0.079, 0.084, 0.045]"
27,0.171,0.194,0.078,0.042,"[0.043, 0.097, 0.018, 0.129, 0.038, 0.109, 0.129, 0.081, 0.088, 0.049]"
28,0.171,0.195,0.077,0.042,"[0.044, 0.093, 0.017, 0.125, 0.038, 0.104, 0.135, 0.079, 0.086, 0.046]"
29,0.171,0.194,0.077,0.041,"[0.043, 0.092, 0.018, 0.122, 0.037, 0.114, 0.129, 0.08, 0.087, 0.046]"
30,0.172,0.194,0.078,0.043,"[0.054, 0.096, 0.018, 0.128, 0.037, 0.108, 0.129, 0.08, 0.085, 0.05]"
31,0.171,0.195,0.078,0.042,"[0.045, 0.094, 0.018, 0.122, 0.038, 0.112, 0.133, 0.082, 0.088, 0.05]"
32,0.171,0.194,0.076,0.041,"[0.045, 0.094, 0.017, 0.128, 0.037, 0.104, 0.127, 0.08, 0.087, 0.044]"
33,0.170,0.195,0.078,0.042,"[0.044, 0.1, 0.018, 0.129, 0.039, 0.103, 0.134, 0.08, 0.087, 0.047]"
34,0.170,0.195,0.078,0.042,"[0.042, 0.093, 0.017, 0.124, 0.038, 0.108, 0.136, 0.085, 0.087, 0.046]"
35,0.171,0.195,0.078,0.041,"[0.043, 0.099, 0.019, 0.135, 0.039, 0.104, 0.132, 0.079, 0.088, 0.045]"
36,0.170,0.194,0.077,0.042,"[0.043, 0.094, 0.019, 0.132, 0.037, 0.104, 0.128, 0.079, 0.088, 0.044]"
37,0.171,0.193,0.076,0.042,"[0.041, 0.094, 0.017, 0.123, 0.037, 0.103, 0.128, 0.08, 0.086, 0.048]"
38,0.170,0.194,0.076,0.041,"[0.043, 0.092, 0.018, 0.122, 0.038, 0.103, 0.129, 0.079, 0.088, 0.044]"
39,0.171,0.194,0.076,0.041,"[0.042, 0.094, 0.019, 0.125, 0.038, 0.103, 0.128, 0.079, 0.088, 0.046]"
40,0.170,0.193,0.075,0.041,"[0.043, 0.09, 0.018, 0.123, 0.038, 0.103, 0.13, 0.079, 0.085, 0.045]"
41,0.170,0.194,0.077,0.041,"[0.046, 0.094, 0.019, 0.126, 0.038, 0.105, 0.128, 0.079, 0.087, 0.044]"
42,0.170,0.193,0.076,0.041,"[0.045, 0.093, 0.018, 0.123, 0.036, 0.103, 0.129, 0.08, 0.087, 0.049]"
43,0.169,0.195,0.078,0.042,"[0.044, 0.101, 0.018, 0.134, 0.038, 0.105, 0.127, 0.079, 0.086, 0.043]"
44,0.169,0.193,0.076,0.041,"[0.043, 0.094, 0.018, 0.121, 0.037, 0.102, 0.13, 0.078, 0.088, 0.048]"
45,0.170,0.194,0.078,0.042,"[0.042, 0.103, 0.017, 0.123, 0.039, 0.105, 0.128, 0.078, 0.088, 0.052]"
46,0.169,0.193,0.076,0.041,"[0.043, 0.093, 0.017, 0.124, 0.038, 0.106, 0.128, 0.079, 0.088, 0.046]"
47,0.170,0.195,0.079,0.043,"[0.043, 0.107, 0.019, 0.13, 0.036, 0.109, 0.129, 0.078, 0.09, 0.049]"
48,0.169,0.193,0.076,0.041,"[0.041, 0.094, 0.017, 0.126, 0.037, 0.103, 0.129, 0.078, 0.087, 0.045]"
49,0.169,0.196,0.079,0.043,"[0.043, 0.102, 0.018, 0.132, 0.037, 0.11, 0.131, 0.079, 0.089, 0.048]"
50,0.169,0.194,0.077,0.042,"[0.042, 0.094, 0.018, 0.125, 0.037, 0.105, 0.13, 0.085, 0.086, 0.045]"
51,0.169,0.194,0.077,0.041,"[0.042, 0.093, 0.017, 0.126, 0.038, 0.104, 0.137, 0.081, 0.088, 0.048]"
52,0.169,0.194,0.076,0.042,"[0.046, 0.093, 0.017, 0.123, 0.037, 0.106, 0.126, 0.079, 0.085, 0.045]"
53,0.169,0.194,0.076,0.041,"[0.042, 0.094, 0.017, 0.122, 0.038, 0.103, 0.131, 0.081, 0.089, 0.046]"
54,0.169,0.194,0.077,0.042,"[0.046, 0.091, 0.018, 0.123, 0.038, 0.113, 0.128, 0.08, 0.089, 0.046]"
55,0.169,0.193,0.076,0.041,"[0.043, 0.093, 0.018, 0.124, 0.038, 0.102, 0.128, 0.078, 0.087, 0.049]"
56,0.169,0.194,0.076,0.042,"[0.043, 0.092, 0.018, 0.123, 0.037, 0.104, 0.133, 0.079, 0.087, 0.045]"
57,0.169,0.194,0.076,0.041,"[0.042, 0.096, 0.018, 0.123, 0.038, 0.102, 0.127, 0.079, 0.088, 0.049]"
58,0.169,0.195,0.079,0.043,"[0.044, 0.095, 0.018, 0.137, 0.039, 0.106, 0.135, 0.079, 0.086, 0.045]"
59,0.169,0.194,0.076,0.041,"[0.041, 0.095, 0.018, 0.13, 0.037, 0.104, 0.128, 0.08, 0.088, 0.045]"
60,0.169,0.193,0.076,0.041,"[0.043, 0.092, 0.017, 0.123, 0.038, 0.104, 0.129, 0.079, 0.086, 0.045]"
61,0.169,0.193,0.076,0.041,"[0.042, 0.092, 0.018, 0.125, 0.038, 0.104, 0.128, 0.079, 0.087, 0.045]"
62,0.169,0.193,0.076,0.041,"[0.042, 0.092, 0.018, 0.122, 0.039, 0.104, 0.13, 0.078, 0.086, 0.048]"
63,0.169,0.194,0.077,0.042,"[0.042, 0.097, 0.018, 0.131, 0.038, 0.104, 0.128, 0.079, 0.087, 0.048]"
64,0.169,0.193,0.076,0.041,"[0.043, 0.091, 0.018, 0.122, 0.038, 0.105, 0.131, 0.08, 0.087, 0.046]"
65,0.168,0.195,0.079,0.042,"[0.042, 0.101, 0.018, 0.139, 0.038, 0.103, 0.133, 0.081, 0.085, 0.045]"
66,0.169,0.193,0.075,0.041,"[0.042, 0.092, 0.018, 0.123, 0.038, 0.102, 0.128, 0.081, 0.085, 0.046]"
67,0.169,0.194,0.076,0.041,"[0.042, 0.097, 0.017, 0.123, 0.037, 0.104, 0.128, 0.078, 0.087, 0.047]"
68,0.169,0.193,0.076,0.041,"[0.042, 0.093, 0.018, 0.123, 0.038, 0.103, 0.131, 0.078, 0.089, 0.047]"
69,0.168,0.194,0.076,0.041,"[0.044, 0.094, 0.018, 0.124, 0.038, 0.103, 0.127, 0.079, 0.086, 0.046]"
70,0.168,0.194,0.076,0.042,"[0.042, 0.093, 0.017, 0.127, 0.037, 0.104, 0.128, 0.078, 0.089, 0.045]"
71,0.168,0.193,0.077,0.041,"[0.041, 0.096, 0.017, 0.129, 0.038, 0.105, 0.129, 0.078, 0.088, 0.046]"
72,0.168,0.193,0.075,0.041,"[0.042, 0.093, 0.018, 0.122, 0.037, 0.101, 0.127, 0.078, 0.086, 0.048]"
73,0.168,0.193,0.076,0.041,"[0.041, 0.093, 0.018, 0.126, 0.038, 0.103, 0.128, 0.078, 0.086, 0.047]"
74,0.169,0.194,0.076,0.041,"[0.041, 0.095, 0.017, 0.132, 0.037, 0.105, 0.127, 0.078, 0.086, 0.045]"
75,0.169,0.193,0.076,0.041,"[0.042, 0.093, 0.019, 0.124, 0.037, 0.103, 0.13, 0.078, 0.086, 0.047]"
76,0.169,0.194,0.077,0.042,"[0.043, 0.097, 0.017, 0.139, 0.038, 0.102, 0.126, 0.078, 0.085, 0.047]"
77,0.169,0.193,0.076,0.041,"[0.041, 0.092, 0.019, 0.124, 0.039, 0.101, 0.127, 0.078, 0.088, 0.046]"
78,0.168,0.193,0.075,0.041,"[0.041, 0.092, 0.018, 0.124, 0.038, 0.102, 0.128, 0.078, 0.087, 0.046]"
79,0.168,0.194,0.078,0.042,"[0.044, 0.095, 0.019, 0.128, 0.038, 0.103, 0.134, 0.078, 0.087, 0.051]"
80,0.168,0.194,0.076,0.041,"[0.041, 0.093, 0.017, 0.125, 0.038, 0.103, 0.133, 0.078, 0.088, 0.045]"
81,0.169,0.193,0.076,0.041,"[0.041, 0.094, 0.018, 0.123, 0.038, 0.104, 0.126, 0.078, 0.088, 0.048]"
82,0.168,0.195,0.077,0.042,"[0.041, 0.093, 0.017, 0.128, 0.039, 0.11, 0.13, 0.078, 0.087, 0.045]"
83,0.168,0.194,0.076,0.041,"[0.042, 0.092, 0.018, 0.125, 0.036, 0.102, 0.13, 0.078, 0.089, 0.044]"
84,0.168,0.195,0.078,0.042,"[0.041, 0.098, 0.018, 0.137, 0.038, 0.103, 0.131, 0.079, 0.089, 0.048]"
85,0.168,0.194,0.077,0.041,"[0.042, 0.102, 0.018, 0.125, 0.039, 0.102, 0.128, 0.078, 0.088, 0.047]"
86,0.168,0.193,0.076,0.041,"[0.042, 0.094, 0.018, 0.124, 0.037, 0.103, 0.127, 0.078, 0.087, 0.047]"
87,0.168,0.194,0.078,0.042,"[0.044, 0.1, 0.018, 0.128, 0.038, 0.104, 0.13, 0.077, 0.087, 0.051]"
88,0.168,0.194,0.076,0.042,"[0.043, 0.096, 0.018, 0.128, 0.037, 0.102, 0.13, 0.079, 0.089, 0.043]"
89,0.168,0.193,0.076,0.041,"[0.041, 0.093, 0.017, 0.123, 0.038, 0.103, 0.131, 0.078, 0.086, 0.047]"
90,0.168,0.194,0.077,0.041,"[0.042, 0.098, 0.018, 0.125, 0.038, 0.102, 0.13, 0.077, 0.088, 0.048]"
91,0.168,0.193,0.076,0.041,"[0.042, 0.094, 0.017, 0.122, 0.038, 0.103, 0.127, 0.077, 0.088, 0.05]"
92,0.168,0.193,0.076,0.041,"[0.042, 0.092, 0.017, 0.124, 0.038, 0.102, 0.128, 0.078, 0.087, 0.047]"
93,0.168,0.194,0.077,0.042,"[0.042, 0.094, 0.018, 0.129, 0.037, 0.105, 0.127, 0.078, 0.091, 0.049]"
94,0.168,0.193,0.076,0.041,"[0.042, 0.095, 0.018, 0.124, 0.037, 0.103, 0.128, 0.077, 0.087, 0.046]"
95,0.168,0.194,0.077,0.042,"[0.043, 0.104, 0.019, 0.126, 0.038, 0.103, 0.127, 0.078, 0.088, 0.048]"
96,0.168,0.194,0.077,0.042,"[0.041, 0.097, 0.018, 0.135, 0.036, 0.104, 0.127, 0.078, 0.087, 0.048]"
97,0.168,0.194,0.076,0.041,"[0.041, 0.095, 0.018, 0.123, 0.038, 0.102, 0.128, 0.078, 0.09, 0.045]"
98,0.168,0.193,0.076,0.041,"[0.043, 0.093, 0.018, 0.122, 0.037, 0.102, 0.127, 0.077, 0.088, 0.047]"
99,0.168,0.193,0.076,0.041,"[0.041, 0.092, 0.018, 0.124, 0.038, 0.103, 0.126, 0.079, 0.089, 0.046]"
