epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.219,0.199,0.085,0.049,"[0.044, 0.119, 0.022, 0.151, 0.035, 0.109, 0.147, 0.09, 0.086, 0.047]"
01,0.194,0.195,0.078,0.045,"[0.047, 0.099, 0.018, 0.144, 0.034, 0.113, 0.13, 0.074, 0.081, 0.043]"
02,0.189,0.188,0.068,0.037,"[0.039, 0.08, 0.016, 0.104, 0.033, 0.095, 0.117, 0.069, 0.08, 0.043]"
03,0.186,0.193,0.075,0.041,"[0.042, 0.082, 0.017, 0.118, 0.033, 0.097, 0.143, 0.104, 0.081, 0.036]"
04,0.183,0.190,0.071,0.038,"[0.039, 0.087, 0.016, 0.111, 0.036, 0.102, 0.125, 0.073, 0.082, 0.038]"
05,0.180,0.190,0.070,0.037,"[0.041, 0.087, 0.016, 0.109, 0.034, 0.098, 0.129, 0.071, 0.079, 0.039]"
06,0.178,0.190,0.072,0.039,"[0.039, 0.102, 0.017, 0.116, 0.034, 0.1, 0.118, 0.074, 0.078, 0.037]"
07,0.176,0.189,0.069,0.037,"[0.045, 0.084, 0.015, 0.11, 0.034, 0.097, 0.119, 0.074, 0.078, 0.038]"
08,0.175,0.188,0.068,0.036,"[0.04, 0.082, 0.014, 0.105, 0.035, 0.099, 0.117, 0.073, 0.078, 0.034]"
09,0.175,0.189,0.070,0.037,"[0.044, 0.087, 0.015, 0.109, 0.034, 0.097, 0.125, 0.071, 0.079, 0.037]"
10,0.174,0.195,0.076,0.041,"[0.04, 0.118, 0.014, 0.147, 0.035, 0.097, 0.119, 0.074, 0.08, 0.039]"
11,0.173,0.190,0.070,0.038,"[0.04, 0.087, 0.014, 0.107, 0.036, 0.106, 0.122, 0.073, 0.079, 0.04]"
12,0.173,0.189,0.070,0.037,"[0.043, 0.087, 0.014, 0.108, 0.035, 0.097, 0.117, 0.074, 0.081, 0.039]"
13,0.173,0.188,0.068,0.036,"[0.039, 0.086, 0.015, 0.104, 0.035, 0.098, 0.115, 0.075, 0.078, 0.037]"
14,0.172,0.188,0.068,0.036,"[0.041, 0.082, 0.015, 0.102, 0.035, 0.097, 0.116, 0.072, 0.08, 0.038]"
15,0.171,0.189,0.068,0.036,"[0.04, 0.083, 0.014, 0.103, 0.035, 0.097, 0.118, 0.072, 0.081, 0.039]"
16,0.171,0.190,0.070,0.037,"[0.042, 0.083, 0.014, 0.105, 0.035, 0.098, 0.129, 0.074, 0.079, 0.038]"
17,0.171,0.189,0.069,0.037,"[0.04, 0.084, 0.014, 0.103, 0.035, 0.099, 0.115, 0.08, 0.078, 0.038]"
18,0.171,0.190,0.071,0.038,"[0.046, 0.088, 0.015, 0.112, 0.035, 0.098, 0.126, 0.073, 0.08, 0.038]"
19,0.171,0.188,0.068,0.036,"[0.04, 0.085, 0.014, 0.104, 0.036, 0.098, 0.116, 0.073, 0.079, 0.038]"
20,0.170,0.188,0.069,0.037,"[0.042, 0.083, 0.014, 0.105, 0.036, 0.098, 0.115, 0.074, 0.079, 0.039]"
21,0.170,0.189,0.069,0.037,"[0.041, 0.091, 0.014, 0.106, 0.036, 0.098, 0.116, 0.076, 0.079, 0.037]"
22,0.170,0.189,0.069,0.036,"[0.041, 0.085, 0.014, 0.107, 0.035, 0.099, 0.114, 0.073, 0.079, 0.039]"
23,0.170,0.188,0.068,0.036,"[0.042, 0.082, 0.014, 0.102, 0.035, 0.097, 0.117, 0.072, 0.08, 0.038]"
24,0.170,0.189,0.068,0.036,"[0.041, 0.083, 0.014, 0.103, 0.035, 0.098, 0.122, 0.072, 0.08, 0.037]"
25,0.170,0.189,0.069,0.037,"[0.042, 0.084, 0.014, 0.107, 0.035, 0.097, 0.119, 0.073, 0.079, 0.042]"
26,0.169,0.189,0.068,0.036,"[0.043, 0.083, 0.014, 0.104, 0.035, 0.098, 0.117, 0.072, 0.08, 0.038]"
27,0.169,0.188,0.068,0.036,"[0.04, 0.082, 0.014, 0.103, 0.036, 0.102, 0.114, 0.073, 0.079, 0.039]"
28,0.169,0.188,0.069,0.037,"[0.045, 0.084, 0.014, 0.105, 0.035, 0.097, 0.116, 0.072, 0.079, 0.039]"
29,0.170,0.188,0.068,0.036,"[0.042, 0.082, 0.015, 0.103, 0.035, 0.098, 0.116, 0.073, 0.079, 0.038]"
30,0.169,0.189,0.070,0.037,"[0.044, 0.085, 0.014, 0.104, 0.035, 0.098, 0.116, 0.08, 0.081, 0.039]"
31,0.169,0.189,0.068,0.037,"[0.041, 0.083, 0.014, 0.104, 0.035, 0.099, 0.116, 0.074, 0.08, 0.039]"
32,0.169,0.189,0.069,0.036,"[0.043, 0.084, 0.014, 0.104, 0.035, 0.097, 0.115, 0.075, 0.08, 0.04]"
33,0.169,0.188,0.068,0.036,"[0.041, 0.084, 0.014, 0.105, 0.035, 0.097, 0.114, 0.072, 0.079, 0.039]"
34,0.169,0.189,0.070,0.037,"[0.047, 0.086, 0.015, 0.109, 0.035, 0.097, 0.117, 0.073, 0.079, 0.038]"
35,0.169,0.189,0.070,0.037,"[0.042, 0.086, 0.015, 0.111, 0.035, 0.1, 0.118, 0.075, 0.08, 0.04]"
36,0.169,0.189,0.068,0.036,"[0.041, 0.083, 0.015, 0.107, 0.036, 0.098, 0.115, 0.072, 0.08, 0.038]"
37,0.169,0.189,0.069,0.037,"[0.044, 0.086, 0.015, 0.106, 0.035, 0.102, 0.115, 0.072, 0.08, 0.039]"
38,0.169,0.189,0.069,0.037,"[0.041, 0.085, 0.014, 0.11, 0.036, 0.098, 0.114, 0.073, 0.08, 0.038]"
39,0.168,0.189,0.069,0.037,"[0.042, 0.083, 0.014, 0.107, 0.035, 0.097, 0.116, 0.076, 0.08, 0.038]"
40,0.168,0.189,0.069,0.037,"[0.041, 0.086, 0.015, 0.105, 0.035, 0.101, 0.118, 0.073, 0.08, 0.04]"
41,0.168,0.189,0.069,0.037,"[0.043, 0.086, 0.015, 0.106, 0.035, 0.097, 0.116, 0.071, 0.08, 0.038]"
42,0.168,0.188,0.068,0.036,"[0.042, 0.084, 0.015, 0.105, 0.035, 0.097, 0.116, 0.072, 0.079, 0.039]"
43,0.168,0.189,0.069,0.037,"[0.041, 0.087, 0.015, 0.106, 0.035, 0.099, 0.115, 0.073, 0.081, 0.039]"
44,0.168,0.189,0.069,0.036,"[0.042, 0.084, 0.014, 0.105, 0.036, 0.098, 0.115, 0.073, 0.081, 0.039]"
45,0.168,0.189,0.069,0.036,"[0.043, 0.084, 0.015, 0.104, 0.035, 0.097, 0.118, 0.073, 0.08, 0.039]"
46,0.168,0.189,0.070,0.037,"[0.04, 0.094, 0.015, 0.11, 0.035, 0.097, 0.114, 0.073, 0.079, 0.04]"
47,0.168,0.190,0.070,0.037,"[0.043, 0.09, 0.015, 0.11, 0.035, 0.098, 0.119, 0.072, 0.081, 0.039]"
48,0.168,0.189,0.069,0.037,"[0.044, 0.084, 0.015, 0.106, 0.035, 0.098, 0.115, 0.072, 0.079, 0.039]"
49,0.168,0.188,0.069,0.037,"[0.043, 0.086, 0.014, 0.106, 0.035, 0.098, 0.115, 0.072, 0.079, 0.039]"
