epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.267,0.238,0.128,0.080,"[0.086, 0.184, 0.035, 0.25, 0.053, 0.151, 0.209, 0.091, 0.128, 0.092]"
01,0.244,0.237,0.126,0.079,"[0.09, 0.18, 0.032, 0.247, 0.052, 0.147, 0.205, 0.091, 0.125, 0.089]"
02,0.242,0.233,0.122,0.077,"[0.081, 0.175, 0.031, 0.243, 0.052, 0.143, 0.2, 0.086, 0.124, 0.088]"
03,0.241,0.235,0.123,0.076,"[0.08, 0.183, 0.03, 0.243, 0.051, 0.148, 0.199, 0.085, 0.127, 0.086]"
04,0.238,0.243,0.125,0.080,"[0.079, 0.184, 0.035, 0.245, 0.051, 0.141, 0.197, 0.084, 0.142, 0.089]"
05,0.239,0.232,0.121,0.076,"[0.081, 0.174, 0.029, 0.244, 0.051, 0.143, 0.2, 0.085, 0.123, 0.085]"
06,0.238,0.234,0.121,0.076,"[0.08, 0.169, 0.029, 0.25, 0.05, 0.146, 0.195, 0.086, 0.123, 0.085]"
07,0.237,0.234,0.121,0.074,"[0.09, 0.172, 0.028, 0.241, 0.05, 0.14, 0.195, 0.086, 0.122, 0.085]"
08,0.237,0.232,0.121,0.075,"[0.081, 0.17, 0.029, 0.239, 0.05, 0.141, 0.199, 0.094, 0.122, 0.083]"
09,0.237,0.232,0.121,0.074,"[0.081, 0.173, 0.029, 0.25, 0.05, 0.14, 0.196, 0.083, 0.122, 0.082]"
10,0.237,0.233,0.120,0.075,"[0.082, 0.18, 0.029, 0.238, 0.049, 0.141, 0.196, 0.086, 0.121, 0.082]"
11,0.236,0.233,0.121,0.077,"[0.078, 0.171, 0.029, 0.247, 0.049, 0.148, 0.197, 0.084, 0.127, 0.082]"
12,0.236,0.234,0.121,0.075,"[0.077, 0.181, 0.03, 0.245, 0.05, 0.143, 0.195, 0.084, 0.121, 0.082]"
13,0.236,0.233,0.121,0.075,"[0.077, 0.173, 0.029, 0.252, 0.049, 0.139, 0.196, 0.089, 0.121, 0.082]"
14,0.236,0.232,0.120,0.074,"[0.095, 0.169, 0.028, 0.24, 0.049, 0.14, 0.197, 0.085, 0.12, 0.081]"
15,0.235,0.231,0.120,0.074,"[0.077, 0.176, 0.029, 0.236, 0.049, 0.14, 0.203, 0.088, 0.12, 0.082]"
16,0.234,0.231,0.119,0.072,"[0.077, 0.168, 0.029, 0.237, 0.049, 0.142, 0.197, 0.085, 0.121, 0.082]"
17,0.235,0.230,0.118,0.073,"[0.076, 0.168, 0.03, 0.237, 0.049, 0.141, 0.194, 0.084, 0.121, 0.081]"
18,0.234,0.230,0.119,0.073,"[0.083, 0.168, 0.029, 0.237, 0.049, 0.142, 0.201, 0.083, 0.12, 0.081]"
19,0.234,0.230,0.118,0.073,"[0.075, 0.169, 0.028, 0.24, 0.049, 0.141, 0.197, 0.084, 0.12, 0.081]"
20,0.234,0.231,0.119,0.073,"[0.083, 0.17, 0.028, 0.237, 0.048, 0.14, 0.195, 0.09, 0.12, 0.08]"
21,0.234,0.231,0.119,0.074,"[0.076, 0.172, 0.028, 0.24, 0.049, 0.143, 0.194, 0.085, 0.12, 0.082]"
22,0.234,0.233,0.119,0.073,"[0.08, 0.174, 0.029, 0.236, 0.049, 0.14, 0.2, 0.084, 0.12, 0.083]"
23,0.234,0.237,0.120,0.074,"[0.079, 0.177, 0.028, 0.247, 0.049, 0.138, 0.194, 0.085, 0.122, 0.082]"
24,0.234,0.230,0.119,0.073,"[0.076, 0.171, 0.028, 0.238, 0.048, 0.146, 0.195, 0.084, 0.119, 0.081]"
25,0.234,0.232,0.119,0.073,"[0.076, 0.174, 0.028, 0.248, 0.048, 0.138, 0.197, 0.084, 0.12, 0.08]"
26,0.233,0.230,0.119,0.074,"[0.082, 0.173, 0.028, 0.238, 0.048, 0.139, 0.195, 0.088, 0.12, 0.08]"
27,0.233,0.234,0.120,0.073,"[0.079, 0.175, 0.027, 0.257, 0.048, 0.138, 0.194, 0.083, 0.122, 0.08]"
28,0.234,0.231,0.119,0.073,"[0.08, 0.174, 0.032, 0.241, 0.048, 0.138, 0.193, 0.085, 0.119, 0.08]"
29,0.234,0.231,0.119,0.074,"[0.08, 0.167, 0.032, 0.243, 0.048, 0.139, 0.2, 0.083, 0.119, 0.08]"
30,0.233,0.232,0.119,0.074,"[0.076, 0.171, 0.03, 0.242, 0.048, 0.142, 0.2, 0.085, 0.119, 0.08]"
31,0.233,0.230,0.118,0.073,"[0.076, 0.17, 0.028, 0.243, 0.048, 0.14, 0.191, 0.084, 0.119, 0.08]"
32,0.232,0.229,0.117,0.072,"[0.075, 0.167, 0.028, 0.236, 0.048, 0.138, 0.194, 0.083, 0.119, 0.081]"
33,0.233,0.234,0.121,0.076,"[0.084, 0.167, 0.03, 0.253, 0.048, 0.144, 0.199, 0.083, 0.126, 0.081]"
34,0.233,0.230,0.118,0.073,"[0.077, 0.17, 0.03, 0.236, 0.049, 0.139, 0.2, 0.084, 0.119, 0.08]"
35,0.233,0.230,0.117,0.072,"[0.074, 0.166, 0.027, 0.235, 0.048, 0.139, 0.193, 0.09, 0.119, 0.08]"
36,0.233,0.237,0.120,0.074,"[0.075, 0.185, 0.029, 0.237, 0.048, 0.137, 0.207, 0.086, 0.12, 0.08]"
37,0.233,0.231,0.119,0.074,"[0.076, 0.17, 0.028, 0.235, 0.048, 0.154, 0.192, 0.087, 0.119, 0.08]"
38,0.233,0.231,0.117,0.073,"[0.077, 0.17, 0.027, 0.236, 0.048, 0.138, 0.194, 0.083, 0.119, 0.081]"
39,0.234,0.233,0.118,0.074,"[0.076, 0.167, 0.027, 0.243, 0.048, 0.137, 0.201, 0.083, 0.121, 0.08]"
40,0.233,0.231,0.118,0.072,"[0.076, 0.17, 0.027, 0.243, 0.048, 0.137, 0.195, 0.087, 0.12, 0.08]"
41,0.233,0.231,0.120,0.074,"[0.075, 0.17, 0.029, 0.251, 0.048, 0.138, 0.198, 0.085, 0.122, 0.081]"
42,0.233,0.233,0.119,0.073,"[0.075, 0.183, 0.027, 0.246, 0.048, 0.139, 0.193, 0.084, 0.119, 0.079]"
43,0.233,0.237,0.121,0.075,"[0.08, 0.165, 0.031, 0.258, 0.048, 0.142, 0.199, 0.084, 0.123, 0.08]"
44,0.233,0.231,0.119,0.074,"[0.077, 0.166, 0.029, 0.244, 0.048, 0.146, 0.195, 0.085, 0.12, 0.08]"
45,0.234,0.231,0.120,0.075,"[0.079, 0.168, 0.03, 0.247, 0.048, 0.142, 0.194, 0.083, 0.125, 0.08]"
46,0.233,0.235,0.120,0.075,"[0.077, 0.177, 0.031, 0.237, 0.048, 0.138, 0.209, 0.085, 0.12, 0.081]"
47,0.233,0.232,0.119,0.073,"[0.08, 0.175, 0.028, 0.237, 0.048, 0.139, 0.199, 0.089, 0.118, 0.08]"
48,0.233,0.234,0.121,0.075,"[0.077, 0.175, 0.033, 0.236, 0.048, 0.139, 0.213, 0.085, 0.123, 0.08]"
49,0.233,0.230,0.118,0.072,"[0.076, 0.165, 0.028, 0.238, 0.048, 0.142, 0.197, 0.085, 0.12, 0.082]"
50,0.233,0.233,0.119,0.073,"[0.079, 0.168, 0.027, 0.252, 0.048, 0.139, 0.195, 0.086, 0.119, 0.08]"
51,0.232,0.230,0.118,0.073,"[0.078, 0.166, 0.028, 0.236, 0.047, 0.144, 0.192, 0.084, 0.122, 0.079]"
52,0.232,0.231,0.119,0.073,"[0.08, 0.166, 0.028, 0.236, 0.048, 0.15, 0.195, 0.084, 0.12, 0.079]"
53,0.232,0.231,0.119,0.073,"[0.075, 0.176, 0.028, 0.242, 0.048, 0.141, 0.193, 0.086, 0.12, 0.079]"
54,0.232,0.230,0.118,0.072,"[0.084, 0.168, 0.027, 0.236, 0.048, 0.139, 0.195, 0.083, 0.118, 0.079]"
55,0.232,0.229,0.118,0.073,"[0.08, 0.165, 0.029, 0.238, 0.048, 0.137, 0.193, 0.083, 0.122, 0.08]"
56,0.232,0.230,0.117,0.072,"[0.075, 0.166, 0.027, 0.237, 0.048, 0.141, 0.192, 0.087, 0.118, 0.081]"
57,0.234,0.231,0.119,0.073,"[0.099, 0.167, 0.027, 0.238, 0.048, 0.138, 0.195, 0.084, 0.118, 0.081]"
58,0.232,0.229,0.117,0.072,"[0.077, 0.167, 0.028, 0.235, 0.047, 0.137, 0.193, 0.085, 0.119, 0.079]"
59,0.233,0.229,0.116,0.071,"[0.076, 0.166, 0.027, 0.237, 0.048, 0.137, 0.192, 0.084, 0.119, 0.079]"
60,0.232,0.238,0.123,0.075,"[0.074, 0.192, 0.028, 0.259, 0.048, 0.144, 0.204, 0.084, 0.121, 0.08]"
61,0.233,0.231,0.118,0.073,"[0.078, 0.166, 0.029, 0.236, 0.048, 0.143, 0.193, 0.084, 0.121, 0.079]"
