epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,1.993+-0.062,2.206+-0.108,0.146+-0.055,0.622+-0.085,0.146+-0.055,0.099+-0.007,0.134+-0.052
1,1.185+-0.072,2.036+-0.084,0.186+-0.041,0.79+-0.046,0.186+-0.041,0.113+-0.038,0.165+-0.049
2,0.722+-0.052,1.763+-0.18,0.315+-0.109,0.901+-0.047,0.315+-0.109,0.197+-0.084,0.298+-0.123
3,0.505+-0.103,1.412+-0.131,0.472+-0.054,0.948+-0.007,0.472+-0.054,0.276+-0.015,0.442+-0.04
4,0.334+-0.095,1.256+-0.073,0.516+-0.05,0.957+-0.01,0.516+-0.05,0.306+-0.046,0.484+-0.03
5,0.192+-0.012,1.235+-0.059,0.514+-0.07,0.959+-0.009,0.514+-0.07,0.305+-0.038,0.484+-0.067
6,0.162+-0.082,1.182+-0.03,0.542+-0.052,0.961+-0.007,0.542+-0.052,0.328+-0.042,0.523+-0.051
7,0.111+-0.038,1.12+-0.044,0.59+-0.028,0.962+-0.007,0.59+-0.028,0.336+-0.03,0.563+-0.038
8,0.085+-0.033,1.166+-0.061,0.588+-0.021,0.962+-0.006,0.588+-0.021,0.326+-0.025,0.555+-0.031
9,0.084+-0.057,1.207+-0.074,0.591+-0.009,0.963+-0.006,0.591+-0.009,0.343+-0.038,0.561+-0.018
10,0.042+-0.016,1.234+-0.138,0.588+-0.016,0.963+-0.008,0.588+-0.016,0.35+-0.038,0.561+-0.019
11,0.037+-0.011,1.245+-0.164,0.592+-0.021,0.964+-0.007,0.592+-0.021,0.364+-0.044,0.57+-0.018
12,0.034+-0.025,1.266+-0.167,0.595+-0.023,0.965+-0.007,0.595+-0.023,0.371+-0.049,0.575+-0.021
13,0.013+-0.006,1.293+-0.153,0.6+-0.015,0.965+-0.007,0.6+-0.015,0.375+-0.039,0.579+-0.014
14,0.013+-0.008,1.322+-0.153,0.601+-0.014,0.965+-0.007,0.601+-0.014,0.374+-0.043,0.578+-0.013
15,0.017+-0.02,1.305+-0.206,0.614+-0.002,0.965+-0.008,0.614+-0.002,0.378+-0.05,0.591+-0.004
16,0.007+-0.002,1.326+-0.213,0.612+-0.006,0.966+-0.008,0.612+-0.006,0.371+-0.056,0.586+-0.009
17,0.005+-0.002,1.351+-0.191,0.61+-0.002,0.965+-0.007,0.61+-0.002,0.365+-0.049,0.583+-0.006
18,0.007+-0.004,1.375+-0.176,0.607+-0.005,0.965+-0.007,0.607+-0.005,0.361+-0.043,0.579+-0.007
19,0.006+-0.005,1.386+-0.162,0.606+-0.01,0.965+-0.007,0.606+-0.01,0.364+-0.048,0.577+-0.012
20,0.004+-0.002,1.395+-0.165,0.606+-0.01,0.965+-0.007,0.606+-0.01,0.367+-0.054,0.578+-0.01
21,0.005+-0.003,1.402+-0.168,0.608+-0.011,0.965+-0.007,0.608+-0.011,0.371+-0.054,0.58+-0.011
22,0.003+-0.003,1.42+-0.161,0.61+-0.008,0.965+-0.007,0.61+-0.008,0.371+-0.048,0.582+-0.009
23,0.005+-0.003,1.417+-0.168,0.612+-0.011,0.965+-0.008,0.612+-0.011,0.371+-0.049,0.583+-0.011
24,0.002+-0.001,1.421+-0.172,0.613+-0.009,0.965+-0.007,0.613+-0.009,0.368+-0.045,0.584+-0.009
25,0.001+-0.0,1.417+-0.171,0.617+-0.01,0.965+-0.007,0.617+-0.01,0.367+-0.041,0.588+-0.01
26,0.003+-0.002,1.426+-0.157,0.618+-0.006,0.965+-0.008,0.618+-0.006,0.365+-0.043,0.588+-0.006
27,0.001+-0.001,1.416+-0.171,0.62+-0.01,0.965+-0.008,0.62+-0.01,0.365+-0.042,0.59+-0.009
28,0.002+-0.001,1.411+-0.152,0.62+-0.009,0.966+-0.007,0.62+-0.009,0.365+-0.038,0.59+-0.009
29,0.002+-0.002,1.402+-0.149,0.62+-0.01,0.966+-0.008,0.62+-0.01,0.369+-0.038,0.591+-0.01
30,0.002+-0.001,1.41+-0.135,0.619+-0.011,0.966+-0.009,0.619+-0.011,0.369+-0.039,0.59+-0.012
31,0.002+-0.001,1.422+-0.12,0.616+-0.009,0.967+-0.007,0.616+-0.009,0.365+-0.042,0.586+-0.011
