epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,2.419+-0.368,4.325+-1.089,0.128+-0.072,0.653+-0.047,0.128+-0.072,0.044+-0.011,0.074+-0.042
1,3.907+-1.581,8.815+-4.627,0.184+-0.143,0.65+-0.202,0.184+-0.143,0.088+-0.016,0.106+-0.104
2,8.096+-1.45,14.772+-11.342,0.265+-0.013,0.648+-0.158,0.265+-0.013,0.157+-0.007,0.203+-0.006
3,9.569+-5.308,17.645+-13.158,0.304+-0.099,0.614+-0.165,0.304+-0.099,0.184+-0.05,0.245+-0.096
4,9.451+-3.974,13.406+-10.755,0.341+-0.116,0.795+-0.169,0.341+-0.116,0.204+-0.042,0.276+-0.113
5,3.729+-1.874,10.074+-7.123,0.376+-0.059,0.848+-0.153,0.376+-0.059,0.22+-0.044,0.316+-0.071
6,3.873+-2.778,9.232+-2.241,0.391+-0.121,0.934+-0.017,0.391+-0.121,0.21+-0.061,0.332+-0.142
7,2.337+-0.711,10.788+-3.598,0.448+-0.079,0.929+-0.039,0.448+-0.079,0.222+-0.048,0.375+-0.073
8,4.311+-3.084,12.339+-1.554,0.389+-0.083,0.936+-0.023,0.389+-0.083,0.227+-0.02,0.358+-0.113
9,2.994+-1.964,14.16+-3.49,0.352+-0.008,0.921+-0.028,0.352+-0.008,0.232+-0.066,0.339+-0.02
10,3.487+-1.087,15.736+-5.155,0.414+-0.039,0.9+-0.074,0.414+-0.039,0.269+-0.056,0.381+-0.061
11,2.422+-1.525,14.897+-5.887,0.459+-0.044,0.897+-0.075,0.459+-0.044,0.286+-0.043,0.411+-0.061
12,1.725+-0.693,15.963+-5.114,0.447+-0.021,0.906+-0.062,0.447+-0.021,0.268+-0.02,0.417+-0.02
13,1.64+-1.517,16.481+-3.303,0.473+-0.011,0.911+-0.037,0.473+-0.011,0.264+-0.028,0.444+-0.012
14,1.864+-1.209,17.917+-2.652,0.486+-0.031,0.921+-0.023,0.486+-0.031,0.268+-0.023,0.449+-0.057
15,2.838+-2.074,17.378+-1.797,0.513+-0.024,0.927+-0.024,0.513+-0.024,0.293+-0.042,0.483+-0.035
16,2.093+-1.606,16.444+-3.909,0.54+-0.028,0.928+-0.023,0.54+-0.028,0.309+-0.058,0.52+-0.024
17,1.334+-1.225,19.276+-2.629,0.511+-0.023,0.924+-0.019,0.511+-0.023,0.297+-0.029,0.486+-0.029
18,1.138+-0.834,22.135+-3.405,0.499+-0.03,0.917+-0.013,0.499+-0.03,0.293+-0.018,0.465+-0.063
19,2.069+-1.93,22.218+-1.469,0.5+-0.034,0.919+-0.013,0.5+-0.034,0.301+-0.035,0.472+-0.061
20,1.716+-2.142,20.926+-3.77,0.503+-0.03,0.925+-0.019,0.503+-0.03,0.312+-0.068,0.497+-0.028
