epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,2.419,4.325,0.128,0.653,0.128,0.044,0.074,
1,3.907,8.815,0.184,0.65,0.184,0.088,0.106,
2,8.096,14.772,0.265,0.648,0.265,0.157,0.203,
3,9.569,17.645,0.304,0.614,0.304,0.184,0.245,
4,9.451,13.406,0.341,0.795,0.341,0.204,0.276,
5,3.729,10.074,0.376,0.848,0.376,0.22,0.316,
6,3.873,9.232,0.391,0.934,0.391,0.21,0.332,
7,2.337,10.788,0.448,0.929,0.448,0.222,0.375,
8,4.311,12.339,0.389,0.936,0.389,0.227,0.358,
9,2.994,14.16,0.352,0.921,0.352,0.232,0.339,
10,3.487,15.736,0.414,0.9,0.414,0.269,0.381,
11,2.422,14.897,0.459,0.897,0.459,0.286,0.411,
12,1.725,15.963,0.447,0.906,0.447,0.268,0.417,
13,1.64,16.481,0.473,0.911,0.473,0.264,0.444,
14,1.864,17.917,0.486,0.921,0.486,0.268,0.449,
15,2.838,17.378,0.513,0.927,0.513,0.293,0.483,
16,2.093,16.444,0.54,0.928,0.54,0.309,0.52,
17,1.334,19.276,0.511,0.924,0.511,0.297,0.486,
18,1.138,22.135,0.499,0.917,0.499,0.293,0.465,
19,2.069,22.218,0.5,0.919,0.5,0.301,0.472,
20,1.716,20.926,0.503,0.925,0.503,0.312,0.497,
21,0.897,22.834,0.488,0.924,0.488,0.298,0.478,
22,1.351,25.833,0.48,0.92,0.48,0.282,0.455,
23,2.217,26.8,0.492,0.913,0.492,0.284,0.465,
24,1.528,26.981,0.504,0.909,0.504,0.29,0.481,
25,1.369,27.693,0.508,0.911,0.508,0.294,0.486,
26,1.509,28.548,0.509,0.912,0.509,0.295,0.487,
27,0.521,30.167,0.503,0.914,0.503,0.293,0.479,
28,1.442,31.073,0.504,0.914,0.504,0.297,0.481,
29,1.632,30.485,0.524,0.916,0.524,0.305,0.501,
30,0.786,30.072,0.538,0.917,0.538,0.307,0.515,
31,0.664,31.462,0.533,0.916,0.533,0.301,0.507,
32,0.628,32.154,0.531,0.917,0.531,0.301,0.506,
33,0.506,32.369,0.529,0.916,0.529,0.302,0.505,
34,0.718,33.021,0.528,0.914,0.528,0.306,0.506,
35,0.502,33.773,0.523,0.915,0.523,0.308,0.503,
36,0.438,34.872,0.516,0.913,0.516,0.308,0.496,
37,0.851,36.074,0.514,0.911,0.514,0.307,0.494,
38,1.454,37.394,0.511,0.908,0.511,0.301,0.489,
39,0.963,37.715,0.518,0.906,0.518,0.305,0.495,
40,0.319,37.919,0.523,0.904,0.523,0.31,0.501,
41,0.214,38.772,0.524,0.901,0.524,0.311,0.5,
42,0.493,39.609,0.523,0.896,0.523,0.312,0.497,
43,1.165,39.997,0.526,0.894,0.526,0.313,0.498,
44,0.686,40.866,0.522,0.89,0.522,0.316,0.495,
45,0.438,40.639,0.524,0.892,0.524,0.318,0.499,
46,0.0,40.719,0.523,0.892,0.523,0.318,0.5,
47,0.237,40.547,0.525,0.894,0.525,0.32,0.506,
48,0.034,40.098,0.527,0.896,0.527,0.323,0.511,
49,0.198,39.62,0.532,0.897,0.532,0.326,0.516,
50,0.41,40.124,0.53,0.897,0.53,0.319,0.514,
51,0.165,40.726,0.529,0.895,0.529,0.324,0.512,
52,0.36,41.318,0.526,0.895,0.526,0.32,0.509,
53,0.72,41.86,0.527,0.894,0.527,0.321,0.509,
54,0.188,42.186,0.527,0.894,0.527,0.321,0.509,
55,0.442,42.15,0.53,0.893,0.53,0.326,0.514,
56,0.568,41.5,0.536,0.896,0.536,0.332,0.52,
57,0.375,41.086,0.542,0.897,0.542,0.338,0.525,
58,0.218,40.739,0.547,0.9,0.547,0.344,0.531,
59,0.106,40.726,0.549,0.902,0.549,0.343,0.533,
60,0.388,41.221,0.546,0.901,0.546,0.342,0.53,
61,0.05,42.412,0.543,0.898,0.543,0.342,0.526,
62,0.134,43.638,0.54,0.893,0.54,0.34,0.522,
63,0.246,45.53,0.535,0.89,0.535,0.338,0.515,
64,0.159,47.671,0.524,0.886,0.524,0.333,0.502,
65,0.34,48.799,0.519,0.881,0.519,0.331,0.495,
66,0.729,49.731,0.517,0.88,0.517,0.331,0.492,
67,0.53,49.514,0.519,0.881,0.519,0.335,0.495,
68,0.167,49.906,0.521,0.88,0.521,0.334,0.498,
69,0.852,49.515,0.523,0.88,0.523,0.336,0.501,
70,0.354,49.01,0.527,0.881,0.527,0.336,0.505,
71,0.145,48.051,0.533,0.883,0.533,0.341,0.512,
72,0.228,48.589,0.531,0.88,0.531,0.341,0.511,
73,0.138,48.74,0.528,0.879,0.528,0.339,0.508,
74,0.554,49.121,0.528,0.876,0.528,0.336,0.508,
75,0.033,48.896,0.529,0.875,0.529,0.341,0.509,
76,0.253,49.256,0.53,0.874,0.53,0.343,0.511,
77,0.0,49.195,0.531,0.875,0.531,0.347,0.512,
78,0.019,49.275,0.533,0.875,0.533,0.345,0.514,
79,0.088,49.696,0.532,0.874,0.532,0.347,0.513,
80,0.108,49.884,0.533,0.874,0.533,0.347,0.515,
81,0.105,50.245,0.532,0.875,0.532,0.347,0.514,
82,0.057,50.398,0.531,0.876,0.531,0.348,0.514,
83,0.091,50.425,0.529,0.876,0.529,0.345,0.513,
84,0.165,50.008,0.53,0.876,0.53,0.352,0.516,
85,0.262,49.479,0.533,0.879,0.533,0.352,0.52,
86,0.402,49.205,0.534,0.883,0.534,0.351,0.52,
87,0.018,48.759,0.539,0.886,0.539,0.353,0.526,
88,0.012,48.618,0.541,0.886,0.541,0.355,0.528,
89,0.0,48.787,0.543,0.887,0.543,0.355,0.531,
90,0.0,49.165,0.545,0.887,0.545,0.356,0.533,
91,0.0,49.157,0.544,0.886,0.544,0.359,0.533,
92,0.0,49.824,0.544,0.886,0.544,0.357,0.532,
93,0.0,50.456,0.543,0.885,0.543,0.358,0.531,
94,0.116,51.582,0.539,0.886,0.539,0.353,0.526,
95,0.055,51.909,0.537,0.883,0.537,0.352,0.524,
96,0.059,52.404,0.537,0.882,0.537,0.35,0.523,
97,0.0,52.74,0.535,0.882,0.535,0.348,0.521,
98,0.123,53.094,0.535,0.88,0.535,0.344,0.521,
99,0.0,53.432,0.536,0.88,0.536,0.342,0.521,"[0.271, 0.571, 0.228, 0.586, 0.045, 0.438, 0.577, 0.398, 0.174, 0.128]"
