epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.073,0.056,0.063,0.106,0.063,0.017,0.036,
1,0.079,0.057,0.041,0.115,0.041,0.014,0.006,
2,0.028,0.05,0.03,0.091,0.03,0.023,0.031,
3,0.052,0.05,0.024,0.043,0.024,0.015,0.025,
4,0.038,0.074,0.037,0.043,0.037,0.022,0.036,
5,0.064,0.106,0.084,0.057,0.084,0.043,0.095,
6,0.044,0.138,0.112,0.07,0.112,0.047,0.129,
7,0.053,0.149,0.13,0.068,0.13,0.054,0.145,
8,0.07,0.155,0.138,0.054,0.138,0.052,0.142,
9,0.118,0.143,0.122,0.039,0.122,0.042,0.12,
10,0.06,0.129,0.103,0.023,0.103,0.028,0.1,
11,0.045,0.11,0.084,0.012,0.084,0.024,0.08,
12,0.072,0.086,0.068,0.002,0.068,0.034,0.067,
13,0.059,0.056,0.052,0.003,0.052,0.039,0.056,
14,0.024,0.033,0.041,0.007,0.041,0.046,0.05,
15,0.07,0.027,0.032,0.009,0.032,0.044,0.042,
16,0.029,0.031,0.024,0.007,0.024,0.033,0.027,
17,0.03,0.033,0.024,0.006,0.024,0.031,0.023,
18,0.072,0.042,0.027,0.007,0.027,0.024,0.023,
19,0.042,0.053,0.03,0.009,0.03,0.022,0.027,
20,0.079,0.064,0.035,0.011,0.035,0.021,0.031,
21,0.033,0.064,0.032,0.012,0.032,0.03,0.025,
22,0.036,0.048,0.028,0.011,0.028,0.032,0.022,
23,0.052,0.029,0.025,0.009,0.025,0.03,0.02,
24,0.035,0.02,0.027,0.009,0.027,0.033,0.023,
25,0.051,0.021,0.023,0.008,0.023,0.032,0.02,
26,0.046,0.035,0.017,0.008,0.017,0.041,0.012,
27,0.041,0.046,0.014,0.008,0.014,0.048,0.013,
28,0.015,0.057,0.013,0.01,0.013,0.054,0.014,
29,0.049,0.056,0.014,0.009,0.014,0.055,0.015,
30,0.018,0.053,0.019,0.009,0.019,0.054,0.02,
31,0.046,0.054,0.019,0.009,0.019,0.054,0.021,
32,0.021,0.056,0.022,0.009,0.022,0.053,0.024,
33,0.007,0.058,0.017,0.008,0.017,0.044,0.022,
34,0.035,0.059,0.017,0.008,0.017,0.047,0.023,
35,0.047,0.055,0.015,0.008,0.015,0.044,0.024,
36,0.025,0.054,0.021,0.008,0.021,0.045,0.029,
37,0.043,0.037,0.021,0.008,0.021,0.043,0.027,
38,0.054,0.03,0.024,0.006,0.024,0.036,0.028,
39,0.009,0.023,0.023,0.006,0.023,0.029,0.025,
40,0.076,0.017,0.029,0.006,0.029,0.03,0.031,
41,0.044,0.009,0.036,0.006,0.036,0.027,0.036,
42,0.074,0.007,0.042,0.007,0.042,0.027,0.039,
43,0.025,0.001,0.041,0.007,0.041,0.028,0.038,
44,0.023,0.019,0.039,0.008,0.039,0.019,0.036,
45,0.042,0.041,0.037,0.008,0.037,0.012,0.035,
46,0.005,0.056,0.029,0.008,0.029,0.014,0.026,
47,0.041,0.065,0.015,0.009,0.015,0.021,0.014,
48,0.043,0.078,0.007,0.009,0.007,0.028,0.005,
49,0.072,0.095,0.002,0.009,0.002,0.034,0.005,
50,0.019,0.097,0.001,0.009,0.001,0.03,0.005,
51,0.014,0.095,0.003,0.009,0.003,0.025,0.005,
52,0.027,0.095,0.001,0.009,0.001,0.025,0.004,
53,0.018,0.087,0.006,0.008,0.006,0.028,0.006,
54,0.026,0.096,0.007,0.008,0.007,0.031,0.009,
55,0.012,0.102,0.007,0.008,0.007,0.034,0.01,
56,0.064,0.105,0.004,0.008,0.004,0.041,0.007,
57,0.062,0.091,0.01,0.008,0.01,0.042,0.012,
58,0.038,0.073,0.015,0.008,0.015,0.034,0.016,
59,0.016,0.059,0.023,0.007,0.023,0.035,0.022,
60,0.071,0.06,0.024,0.007,0.024,0.036,0.023,
61,0.051,0.068,0.018,0.007,0.018,0.043,0.017,
62,0.017,0.076,0.017,0.007,0.017,0.038,0.017,
63,0.041,0.07,0.015,0.007,0.015,0.043,0.015,
64,0.033,0.063,0.017,0.007,0.017,0.041,0.016,
65,0.029,0.067,0.014,0.007,0.014,0.031,0.011,
66,0.027,0.074,0.017,0.007,0.017,0.033,0.014,
67,0.045,0.075,0.018,0.007,0.018,0.035,0.016,
68,0.043,0.072,0.015,0.006,0.015,0.035,0.014,
69,0.031,0.073,0.017,0.007,0.017,0.038,0.016,
70,0.028,0.083,0.017,0.006,0.017,0.039,0.015,
71,0.048,0.092,0.014,0.006,0.014,0.04,0.011,
72,0.053,0.1,0.017,0.006,0.017,0.037,0.015,
73,0.051,0.1,0.019,0.007,0.019,0.032,0.017,
74,0.053,0.098,0.017,0.008,0.017,0.025,0.016,
75,0.027,0.095,0.011,0.006,0.011,0.029,0.011,
76,0.055,0.1,0.006,0.006,0.006,0.033,0.004,
77,0.027,0.109,0.002,0.005,0.002,0.036,0.003,
78,0.021,0.124,0.007,0.005,0.007,0.038,0.007,
79,0.031,0.135,0.006,0.005,0.006,0.039,0.006,
80,0.062,0.143,0.004,0.006,0.004,0.04,0.005,
