epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.368,1.089,0.072,0.047,0.072,0.011,0.042,
1,1.581,4.627,0.143,0.202,0.143,0.016,0.104,
2,1.45,11.342,0.013,0.158,0.013,0.007,0.006,
3,5.308,13.158,0.099,0.165,0.099,0.05,0.096,
4,3.974,10.755,0.116,0.169,0.116,0.042,0.113,
5,1.874,7.123,0.059,0.153,0.059,0.044,0.071,
6,2.778,2.241,0.121,0.017,0.121,0.061,0.142,
7,0.711,3.598,0.079,0.039,0.079,0.048,0.073,
8,3.084,1.554,0.083,0.023,0.083,0.02,0.113,
9,1.964,3.49,0.008,0.028,0.008,0.066,0.02,
10,1.087,5.155,0.039,0.074,0.039,0.056,0.061,
11,1.525,5.887,0.044,0.075,0.044,0.043,0.061,
12,0.693,5.114,0.021,0.062,0.021,0.02,0.02,
13,1.517,3.303,0.011,0.037,0.011,0.028,0.012,
14,1.209,2.652,0.031,0.023,0.031,0.023,0.057,
15,2.074,1.797,0.024,0.024,0.024,0.042,0.035,
16,1.606,3.909,0.028,0.023,0.028,0.058,0.024,
17,1.225,2.629,0.023,0.019,0.023,0.029,0.029,
18,0.834,3.405,0.03,0.013,0.03,0.018,0.063,
19,1.93,1.469,0.034,0.013,0.034,0.035,0.061,
20,2.142,3.77,0.03,0.019,0.03,0.068,0.028,
21,0.398,4.381,0.032,0.019,0.032,0.069,0.03,
22,0.688,2.282,0.037,0.01,0.037,0.053,0.05,
23,1.347,2.218,0.02,0.011,0.02,0.053,0.034,
24,0.608,2.815,0.007,0.016,0.007,0.051,0.017,
25,1.018,2.747,0.016,0.019,0.016,0.042,0.022,
26,1.015,2.564,0.023,0.024,0.023,0.037,0.025,
27,0.496,3.098,0.025,0.025,0.025,0.038,0.024,
28,0.942,5.478,0.019,0.029,0.019,0.061,0.006,
29,0.611,6.453,0.017,0.029,0.017,0.069,0.014,
30,0.334,7.48,0.016,0.029,0.016,0.076,0.024,
31,0.559,7.759,0.014,0.026,0.014,0.082,0.028,
32,0.195,6.353,0.007,0.02,0.007,0.082,0.02,
33,0.091,3.754,0.02,0.011,0.02,0.067,0.022,
34,0.648,2.004,0.029,0.008,0.029,0.055,0.027,
35,0.277,1.343,0.028,0.009,0.028,0.052,0.026,
36,0.516,1.875,0.031,0.015,0.031,0.045,0.027,
37,1.035,3.122,0.029,0.019,0.029,0.044,0.025,
38,1.501,3.935,0.03,0.019,0.03,0.047,0.027,
39,0.43,5.678,0.027,0.024,0.027,0.054,0.023,
40,0.164,7.44,0.025,0.031,0.025,0.051,0.018,
41,0.191,8.718,0.026,0.032,0.026,0.053,0.02,
42,0.372,9.588,0.021,0.032,0.021,0.057,0.023,
43,1.697,10.057,0.025,0.033,0.025,0.066,0.033,
44,0.81,10.036,0.025,0.033,0.025,0.072,0.042,
45,0.399,9.342,0.021,0.03,0.021,0.073,0.039,
46,0.0,9.205,0.016,0.027,0.016,0.07,0.036,
47,0.404,8.609,0.009,0.025,0.009,0.066,0.026,
48,0.03,8.147,0.005,0.023,0.005,0.061,0.015,
49,0.184,6.953,0.014,0.019,0.014,0.056,0.002,
50,3.51,77.325,0.203,0.11,0.203,0.13,0.222,
51,77.464,9355453153013.688,0.093,0.088,0.093,0.029,0.045,
52,31.998,58039071380554.75,0.147,0.042,0.147,0.03,0.068,
53,42.468,110714012229.145,0.13,0.138,0.13,0.02,0.061,
54,8.892,931101396.657,0.149,0.149,0.149,0.023,0.07,
55,8.743,121238530.926,0.131,0.151,0.131,0.02,0.064,
56,9.98,3182142.561,0.131,0.151,0.131,0.02,0.064,
57,9.386,473945.383,0.076,0.031,0.076,0.013,0.025,
58,8.307,106486.479,0.084,0.026,0.084,0.016,0.028,
59,8.56,45006.361,0.008,0.008,0.008,0.002,0.001,
60,1.869,7480.821,0.01,0.009,0.01,0.007,0.011,
61,3.339,2193.986,0.026,0.01,0.026,0.015,0.029,
62,5.944,1180.04,0.105,0.111,0.105,0.019,0.054,
63,2.038,1106.522,0.13,0.205,0.13,0.023,0.061,
64,5.102,728.206,0.129,0.223,0.129,0.022,0.062,
65,4.234,495.785,0.105,0.149,0.105,0.01,0.05,
66,4.354,285.445,0.106,0.076,0.106,0.029,0.087,
67,3.503,174.658,0.051,0.105,0.051,0.022,0.087,
68,4.734,112.902,0.117,0.081,0.117,0.02,0.106,
69,1.697,72.984,0.088,0.055,0.088,0.017,0.09,
70,3.52,59.455,0.121,0.032,0.121,0.012,0.086,
71,2.664,48.064,0.046,0.019,0.046,0.018,0.013,
72,4.921,39.114,0.032,0.068,0.032,0.03,0.005,
73,3.752,27.936,0.098,0.095,0.098,0.022,0.068,
74,2.835,23.202,0.058,0.133,0.058,0.02,0.071,
75,2.639,15.857,0.147,0.164,0.147,0.032,0.121,
76,4.843,14.821,0.097,0.207,0.097,0.026,0.093,
77,2.748,13.075,0.154,0.136,0.154,0.06,0.163,
78,3.4,16.972,0.041,0.012,0.041,0.043,0.059,
79,1.659,15.384,0.066,0.047,0.066,0.033,0.025,
80,2.003,14.214,0.072,0.074,0.072,0.092,0.128,
81,3.411,10.631,0.118,0.137,0.118,0.064,0.123,
82,2.86,9.191,0.078,0.121,0.078,0.068,0.085,
83,3.316,7.162,0.08,0.15,0.08,0.071,0.109,
84,3.834,8.437,0.073,0.148,0.073,0.074,0.07,
85,3.662,9.785,0.076,0.043,0.076,0.103,0.15,
86,3.96,11.467,0.043,0.032,0.043,0.039,0.054,
87,2.619,11.194,0.009,0.032,0.009,0.064,0.025,
88,3.358,13.123,0.14,0.178,0.14,0.097,0.14,
89,3.155,12.826,0.126,0.189,0.126,0.081,0.151,
90,5.157,10.776,0.087,0.158,0.087,0.021,0.094,
91,3.157,10.567,0.035,0.069,0.035,0.036,0.052,
92,2.97,9.794,0.081,0.006,0.081,0.027,0.107,
93,2.199,11.485,0.048,0.092,0.048,0.034,0.04,
94,3.937,12.7,0.066,0.122,0.066,0.032,0.078,
95,3.539,10.778,0.102,0.066,0.102,0.031,0.116,
96,3.704,19.254,0.069,0.173,0.069,0.053,0.062,
97,2.362,26.238,0.057,0.179,0.057,0.056,0.057,
98,2.965,27.495,0.062,0.161,0.062,0.018,0.079,
99,3.196,27.275,0.093,0.129,0.093,0.011,0.062,"[0.011, 0.188, 0.293, 0.076, 0.034, 0.013, 0.002, 0.082, 0.013, 0.098]"
