epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,2.108+-0.018,2.162+-0.055,0.169+-0.081,0.672+-0.05,0.169+-0.081,0.118+-0.048,0.147+-0.071
1,1.704+-0.08,1.889+-0.005,0.358+-0.018,0.865+-0.028,0.358+-0.018,0.283+-0.054,0.34+-0.034
2,1.375+-0.082,1.668+-0.015,0.415+-0.015,0.92+-0.005,0.415+-0.015,0.356+-0.01,0.405+-0.029
3,1.149+-0.096,1.487+-0.05,0.47+-0.008,0.938+-0.009,0.47+-0.008,0.426+-0.024,0.473+-0.009
4,1.032+-0.095,1.413+-0.031,0.494+-0.011,0.945+-0.007,0.494+-0.011,0.455+-0.024,0.495+-0.018
5,0.918+-0.043,1.324+-0.032,0.511+-0.017,0.959+-0.009,0.511+-0.017,0.468+-0.004,0.518+-0.021
6,0.813+-0.032,1.293+-0.027,0.511+-0.011,0.963+-0.005,0.511+-0.011,0.478+-0.004,0.516+-0.009
7,0.761+-0.022,1.239+-0.054,0.535+-0.023,0.969+-0.008,0.535+-0.023,0.49+-0.011,0.54+-0.023
8,0.712+-0.029,1.265+-0.036,0.52+-0.016,0.969+-0.006,0.52+-0.016,0.493+-0.004,0.525+-0.019
9,0.653+-0.009,1.194+-0.019,0.542+-0.002,0.973+-0.004,0.542+-0.002,0.502+-0.004,0.546+-0.003
10,0.589+-0.028,1.176+-0.033,0.538+-0.022,0.975+-0.004,0.538+-0.022,0.498+-0.022,0.54+-0.022
11,0.615+-0.005,1.181+-0.025,0.54+-0.013,0.976+-0.006,0.54+-0.013,0.511+-0.01,0.542+-0.018
12,0.578+-0.027,1.162+-0.009,0.546+-0.005,0.978+-0.004,0.546+-0.005,0.507+-0.009,0.556+-0.007
13,0.524+-0.047,1.098+-0.033,0.563+-0.019,0.981+-0.004,0.563+-0.019,0.528+-0.006,0.565+-0.022
14,0.504+-0.024,1.07+-0.04,0.579+-0.016,0.98+-0.006,0.579+-0.016,0.535+-0.008,0.58+-0.014
15,0.487+-0.014,1.067+-0.023,0.575+-0.002,0.981+-0.005,0.575+-0.002,0.531+-0.017,0.581+-0.002
16,0.458+-0.048,1.095+-0.076,0.565+-0.031,0.98+-0.003,0.565+-0.031,0.516+-0.015,0.566+-0.033
17,0.444+-0.024,1.112+-0.045,0.554+-0.006,0.981+-0.005,0.554+-0.006,0.521+-0.002,0.558+-0.008
18,0.432+-0.052,1.018+-0.022,0.596+-0.018,0.983+-0.004,0.596+-0.018,0.545+-0.014,0.597+-0.02
19,0.403+-0.015,1.034+-0.041,0.596+-0.012,0.983+-0.002,0.596+-0.012,0.538+-0.019,0.6+-0.007
20,0.377+-0.047,1.036+-0.065,0.591+-0.025,0.984+-0.004,0.591+-0.025,0.545+-0.023,0.593+-0.024
21,0.375+-0.023,1.036+-0.018,0.587+-0.006,0.983+-0.002,0.587+-0.006,0.534+-0.005,0.59+-0.004
22,0.378+-0.022,1.009+-0.021,0.6+-0.005,0.982+-0.002,0.6+-0.005,0.522+-0.025,0.596+-0.006
23,0.356+-0.042,1.093+-0.085,0.563+-0.048,0.984+-0.004,0.563+-0.048,0.517+-0.02,0.568+-0.048
24,0.346+-0.02,1.033+-0.047,0.58+-0.023,0.983+-0.004,0.58+-0.023,0.53+-0.011,0.581+-0.021
25,0.336+-0.023,0.99+-0.066,0.611+-0.025,0.983+-0.002,0.611+-0.025,0.538+-0.013,0.613+-0.022
26,0.301+-0.01,0.993+-0.058,0.606+-0.031,0.984+-0.004,0.606+-0.031,0.548+-0.017,0.609+-0.024
27,0.305+-0.041,0.972+-0.064,0.617+-0.032,0.985+-0.004,0.617+-0.032,0.554+-0.026,0.616+-0.031
28,0.283+-0.036,1.004+-0.02,0.605+-0.013,0.984+-0.003,0.605+-0.013,0.55+-0.016,0.607+-0.012
29,0.283+-0.039,1.07+-0.128,0.585+-0.047,0.984+-0.003,0.585+-0.047,0.541+-0.029,0.583+-0.045
30,0.279+-0.004,0.949+-0.022,0.63+-0.017,0.984+-0.002,0.63+-0.017,0.545+-0.019,0.629+-0.016
