epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.977,1.807,0.3,0.844,0.3,0.22,0.225,
1,1.41,1.578,0.466,0.917,0.466,0.381,0.462,
2,1.35,1.8,0.451,0.926,0.451,0.38,0.448,
3,1.208,1.969,0.463,0.946,0.463,0.4,0.453,
4,1.304,1.958,0.471,0.947,0.471,0.398,0.48,
5,1.226,2.096,0.447,0.955,0.447,0.377,0.426,
6,1.144,2.292,0.425,0.956,0.425,0.365,0.395,
7,1.078,1.982,0.487,0.968,0.487,0.411,0.484,
8,1.04,2.536,0.424,0.952,0.424,0.371,0.396,
9,1.084,2.266,0.469,0.959,0.469,0.399,0.458,
10,1.093,2.991,0.435,0.917,0.435,0.359,0.39,
11,1.276,2.607,0.483,0.958,0.483,0.385,0.461,
12,1.174,3.107,0.417,0.941,0.417,0.367,0.393,
13,1.18,2.577,0.481,0.953,0.481,0.368,0.474,
14,1.212,2.829,0.448,0.95,0.448,0.36,0.435,
15,1.353,2.812,0.482,0.956,0.482,0.384,0.466,
16,1.145,3.082,0.474,0.949,0.474,0.382,0.459,
17,1.186,3.06,0.451,0.939,0.451,0.379,0.45,
18,1.235,2.897,0.455,0.97,0.455,0.384,0.436,
19,1.114,2.786,0.494,0.963,0.494,0.408,0.485,
20,1.062,3.544,0.464,0.931,0.464,0.382,0.421,
21,1.143,2.657,0.521,0.967,0.521,0.425,0.491,
22,1.206,2.735,0.47,0.964,0.47,0.385,0.454,
23,0.982,2.699,0.489,0.965,0.489,0.395,0.478,
24,1.003,2.759,0.496,0.961,0.496,0.398,0.473,
25,0.937,2.567,0.526,0.972,0.526,0.415,0.518,
26,0.82,2.516,0.51,0.97,0.51,0.419,0.51,
27,0.93,2.692,0.51,0.968,0.51,0.417,0.497,
28,0.919,3.104,0.467,0.968,0.467,0.403,0.449,
29,0.912,2.731,0.504,0.962,0.504,0.405,0.477,
30,1.013,2.934,0.484,0.965,0.484,0.413,0.483,
31,0.9,2.999,0.485,0.969,0.485,0.381,0.471,
32,0.927,2.576,0.542,0.961,0.542,0.427,0.531,
33,0.799,2.924,0.48,0.968,0.48,0.388,0.463,
34,0.816,2.602,0.543,0.968,0.543,0.428,0.54,
35,0.793,3.074,0.475,0.958,0.475,0.4,0.463,
36,0.731,2.765,0.51,0.973,0.51,0.429,0.501,
37,0.806,2.64,0.495,0.972,0.495,0.428,0.499,
38,0.729,2.846,0.483,0.968,0.483,0.405,0.486,
39,0.703,2.764,0.486,0.96,0.486,0.405,0.474,
40,0.743,2.429,0.542,0.973,0.542,0.421,0.53,
41,0.772,2.739,0.485,0.975,0.485,0.402,0.482,
42,0.679,2.584,0.527,0.971,0.527,0.431,0.523,
43,0.909,3.439,0.438,0.958,0.438,0.38,0.419,
44,0.979,2.748,0.517,0.973,0.517,0.423,0.511,
45,0.854,2.698,0.547,0.972,0.547,0.438,0.531,
46,0.95,2.866,0.498,0.966,0.498,0.416,0.501,
47,0.894,2.736,0.541,0.965,0.541,0.4,0.534,
48,0.656,2.667,0.522,0.973,0.522,0.432,0.508,
49,0.678,2.552,0.559,0.97,0.559,0.442,0.542,
50,0.716,3.073,0.473,0.964,0.473,0.395,0.468,
51,0.716,2.766,0.498,0.972,0.498,0.41,0.486,
52,0.681,2.555,0.551,0.972,0.551,0.436,0.539,
53,0.626,3.045,0.493,0.972,0.493,0.417,0.473,
54,0.515,2.7,0.525,0.973,0.525,0.428,0.517,
55,0.499,2.535,0.526,0.971,0.526,0.431,0.516,
56,0.519,2.462,0.545,0.971,0.545,0.434,0.538,
57,0.531,2.595,0.511,0.972,0.511,0.433,0.512,
58,0.594,2.358,0.565,0.976,0.565,0.447,0.559,
59,0.423,2.72,0.494,0.969,0.494,0.414,0.488,
60,0.525,2.438,0.561,0.974,0.561,0.443,0.554,
61,0.535,2.937,0.498,0.962,0.498,0.412,0.5,
62,0.682,2.874,0.511,0.969,0.511,0.412,0.51,
63,0.493,2.625,0.546,0.972,0.546,0.421,0.542,
64,0.573,2.801,0.52,0.973,0.52,0.404,0.507,
65,0.438,2.545,0.531,0.971,0.531,0.425,0.54,
66,0.527,2.789,0.509,0.966,0.509,0.421,0.515,
67,0.487,2.534,0.546,0.972,0.546,0.43,0.534,
68,0.45,2.46,0.546,0.973,0.546,0.422,0.534,
69,0.479,2.456,0.525,0.975,0.525,0.418,0.52,
70,0.461,2.549,0.538,0.969,0.538,0.445,0.528,
71,0.521,2.402,0.557,0.972,0.557,0.465,0.554,
72,0.463,2.532,0.544,0.973,0.544,0.446,0.545,
73,0.462,2.466,0.539,0.972,0.539,0.454,0.541,
74,0.452,2.385,0.538,0.974,0.538,0.461,0.535,
75,0.347,2.271,0.569,0.975,0.569,0.462,0.566,
76,0.374,2.366,0.535,0.976,0.535,0.45,0.537,
77,0.367,2.408,0.541,0.972,0.541,0.432,0.539,
78,0.424,2.298,0.55,0.974,0.55,0.431,0.543,
79,0.388,2.706,0.505,0.973,0.505,0.416,0.489,
80,0.459,2.751,0.518,0.967,0.518,0.42,0.49,
81,0.427,3.09,0.47,0.97,0.47,0.378,0.443,
82,0.44,2.77,0.502,0.969,0.502,0.394,0.484,
83,0.399,2.391,0.539,0.972,0.539,0.425,0.526,
84,0.417,2.525,0.529,0.972,0.529,0.437,0.521,
85,0.386,2.323,0.576,0.973,0.576,0.437,0.57,
86,0.365,2.616,0.508,0.971,0.508,0.41,0.504,
87,0.331,2.292,0.558,0.972,0.558,0.44,0.557,
88,0.325,2.267,0.573,0.973,0.573,0.444,0.562,
89,0.298,2.539,0.535,0.973,0.535,0.435,0.519,
90,0.275,2.367,0.554,0.975,0.554,0.443,0.538,
91,0.274,2.562,0.519,0.976,0.519,0.426,0.511,
92,0.317,2.471,0.541,0.975,0.541,0.43,0.524,
93,0.376,2.324,0.551,0.974,0.551,0.448,0.55,
94,0.404,2.566,0.532,0.972,0.532,0.441,0.531,
95,0.331,2.368,0.546,0.974,0.546,0.439,0.538,
96,0.293,2.798,0.523,0.969,0.523,0.424,0.503,
97,0.295,2.341,0.561,0.974,0.561,0.44,0.555,
98,0.309,2.439,0.529,0.971,0.529,0.434,0.523,
99,0.309,2.276,0.546,0.974,0.546,0.44,0.543,"[0.394, 0.643, 0.499, 0.545, 0.142, 0.479, 0.589, 0.408, 0.312, 0.384]"
