epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,2.086,2.215,0.183,0.614,0.183,0.093,0.121,
1,1.899,2.191,0.201,0.736,0.201,0.102,0.125,
2,1.853,2.211,0.306,0.795,0.306,0.218,0.294,
3,1.871,1.982,0.325,0.882,0.325,0.225,0.264,
4,1.78,2.081,0.32,0.867,0.32,0.26,0.352,
5,1.665,2.244,0.366,0.854,0.366,0.258,0.32,
6,1.678,2.693,0.308,0.822,0.308,0.246,0.257,
7,1.716,2.332,0.352,0.834,0.352,0.262,0.362,
8,1.544,2.393,0.383,0.833,0.383,0.317,0.358,
9,1.578,2.54,0.341,0.841,0.341,0.291,0.358,
10,1.632,2.652,0.361,0.837,0.361,0.28,0.328,
11,1.653,2.198,0.416,0.897,0.416,0.306,0.414,
12,1.573,3.365,0.328,0.825,0.328,0.293,0.306,
13,1.502,2.1,0.434,0.918,0.434,0.341,0.443,
14,1.446,2.718,0.402,0.886,0.402,0.302,0.39,
15,1.475,2.5,0.399,0.9,0.399,0.302,0.376,
16,1.5,3.0,0.395,0.856,0.395,0.31,0.369,
17,1.567,3.049,0.359,0.857,0.359,0.283,0.328,
18,1.486,2.248,0.434,0.917,0.434,0.329,0.405,
19,1.461,3.189,0.316,0.854,0.316,0.266,0.296,
20,1.441,2.742,0.406,0.897,0.406,0.311,0.358,
21,1.459,2.697,0.347,0.891,0.347,0.282,0.342,
22,1.377,2.434,0.448,0.935,0.448,0.347,0.425,
23,1.439,3.159,0.375,0.912,0.375,0.314,0.382,
24,1.51,2.823,0.383,0.891,0.383,0.281,0.344,
25,1.431,3.039,0.388,0.936,0.388,0.281,0.341,
26,1.472,2.732,0.434,0.891,0.434,0.35,0.415,
27,1.465,2.302,0.415,0.93,0.415,0.332,0.408,
28,1.202,3.731,0.333,0.855,0.333,0.29,0.323,
29,1.158,2.628,0.44,0.922,0.44,0.335,0.399,
30,1.353,3.405,0.353,0.866,0.353,0.312,0.339,
31,1.163,2.5,0.414,0.926,0.414,0.326,0.398,
32,1.197,2.356,0.43,0.927,0.43,0.339,0.442,
33,0.95,2.267,0.453,0.947,0.453,0.339,0.442,
34,1.161,2.494,0.399,0.929,0.399,0.315,0.396,
35,0.935,2.169,0.461,0.951,0.461,0.365,0.466,
36,0.833,2.07,0.45,0.946,0.45,0.36,0.443,
37,0.872,2.357,0.408,0.924,0.408,0.301,0.407,
38,0.883,2.492,0.416,0.949,0.416,0.325,0.389,
39,0.951,2.207,0.432,0.943,0.432,0.314,0.425,
40,1.033,2.536,0.374,0.929,0.374,0.329,0.386,
41,0.939,2.384,0.451,0.933,0.451,0.341,0.448,
42,0.997,2.606,0.415,0.942,0.415,0.333,0.388,
43,1.091,2.291,0.423,0.936,0.423,0.347,0.428,
44,1.106,2.82,0.404,0.905,0.404,0.315,0.363,
45,0.862,2.565,0.393,0.95,0.393,0.303,0.365,
46,0.868,2.661,0.407,0.899,0.407,0.305,0.393,
47,1.041,2.268,0.493,0.943,0.493,0.358,0.496,
48,0.88,2.374,0.438,0.944,0.438,0.319,0.41,
49,0.956,2.357,0.45,0.918,0.45,0.339,0.451,
50,0.74,2.128,0.45,0.952,0.45,0.345,0.447,
51,0.8,2.624,0.416,0.939,0.416,0.303,0.397,
52,0.889,2.694,0.409,0.939,0.409,0.318,0.396,
53,0.792,2.692,0.469,0.902,0.469,0.338,0.429,
54,1.018,2.683,0.42,0.915,0.42,0.313,0.392,
55,0.896,3.365,0.417,0.891,0.417,0.3,0.374,
56,1.077,2.417,0.451,0.924,0.451,0.324,0.424,
57,0.912,2.805,0.423,0.922,0.423,0.318,0.397,
58,0.909,2.968,0.391,0.922,0.391,0.308,0.355,
59,1.0,2.352,0.433,0.945,0.433,0.345,0.425,
60,0.857,3.387,0.41,0.864,0.41,0.322,0.364,
61,0.886,2.314,0.493,0.953,0.493,0.34,0.456,
62,0.813,2.805,0.411,0.899,0.411,0.343,0.4,
63,0.852,2.375,0.45,0.937,0.45,0.33,0.444,
64,0.717,2.524,0.426,0.928,0.426,0.326,0.433,
65,0.866,2.226,0.475,0.946,0.475,0.37,0.457,
66,0.899,2.019,0.511,0.963,0.511,0.373,0.493,
67,0.762,2.537,0.41,0.948,0.41,0.334,0.4,
68,0.685,2.486,0.464,0.937,0.464,0.351,0.45,
69,0.699,2.263,0.469,0.948,0.469,0.382,0.469,
70,0.775,2.436,0.455,0.957,0.455,0.364,0.432,
71,0.615,2.642,0.453,0.923,0.453,0.366,0.44,
72,0.723,2.308,0.426,0.952,0.426,0.338,0.396,
73,0.645,2.058,0.479,0.962,0.479,0.369,0.476,
74,0.667,2.778,0.431,0.884,0.431,0.342,0.41,
75,0.755,2.66,0.432,0.951,0.432,0.314,0.387,
76,0.708,3.194,0.404,0.893,0.404,0.322,0.378,
77,0.838,2.437,0.444,0.94,0.444,0.352,0.423,
78,0.817,2.985,0.436,0.917,0.436,0.335,0.385,
79,0.841,2.887,0.4,0.93,0.4,0.289,0.345,
80,0.691,2.801,0.451,0.948,0.451,0.33,0.404,
81,0.727,3.711,0.366,0.868,0.366,0.275,0.297,
82,0.707,2.866,0.427,0.951,0.427,0.316,0.383,
83,0.685,2.732,0.449,0.919,0.449,0.323,0.406,
84,0.629,2.405,0.477,0.935,0.477,0.355,0.446,
85,0.614,2.24,0.484,0.949,0.484,0.35,0.463,
86,0.622,2.693,0.433,0.939,0.433,0.365,0.413,
87,0.633,2.231,0.481,0.958,0.481,0.357,0.463,
