epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.074,0.096,0.01,0.038,0.01,0.038,0.025,
1,0.022,0.035,0.028,0.005,0.028,0.031,0.025,
2,0.017,0.127,0.042,0.006,0.042,0.045,0.045,
3,0.024,0.075,0.023,0.003,0.023,0.03,0.02,
4,0.007,0.077,0.036,0.009,0.036,0.063,0.043,
5,0.009,0.058,0.019,0.005,0.019,0.05,0.019,
6,0.012,0.104,0.038,0.005,0.038,0.047,0.033,
7,0.012,0.108,0.025,0.003,0.025,0.038,0.019,
8,0.016,0.058,0.012,0.005,0.012,0.034,0.006,
9,0.008,0.139,0.013,0.003,0.013,0.024,0.009,
10,0.004,0.063,0.003,0.004,0.003,0.043,0.005,
11,0.002,0.077,0.013,0.005,0.013,0.042,0.008,
12,0.01,0.039,0.004,0.006,0.004,0.038,0.002,
13,0.007,0.115,0.008,0.007,0.008,0.057,0.018,
14,0.002,0.139,0.027,0.004,0.027,0.039,0.023,
15,0.008,0.082,0.006,0.004,0.006,0.037,0.007,
16,0.001,0.078,0.007,0.007,0.007,0.046,0.011,
17,0.008,0.036,0.009,0.005,0.009,0.048,0.01,
18,0.003,0.037,0.01,0.004,0.01,0.051,0.017,
19,0.001,0.042,0.016,0.006,0.016,0.053,0.023,
20,0.0,0.02,0.009,0.006,0.009,0.055,0.016,
21,0.001,0.025,0.01,0.006,0.01,0.049,0.016,
22,0.006,0.055,0.017,0.006,0.017,0.056,0.024,
23,0.002,0.035,0.008,0.006,0.008,0.045,0.014,
24,0.001,0.068,0.015,0.005,0.015,0.051,0.021,
25,0.001,0.069,0.009,0.004,0.009,0.051,0.015,
26,0.001,0.064,0.01,0.004,0.01,0.048,0.015,
27,0.0,0.071,0.011,0.004,0.011,0.045,0.016,
28,0.0,0.069,0.01,0.004,0.01,0.042,0.014,
29,0.0,0.061,0.008,0.005,0.008,0.042,0.013,
30,0.0,0.075,0.002,0.004,0.002,0.039,0.006,
31,0.0,0.042,0.007,0.005,0.007,0.048,0.014,
32,0.0,0.04,0.008,0.004,0.008,0.045,0.013,
33,0.001,0.063,0.011,0.004,0.011,0.05,0.016,
34,0.0,0.076,0.011,0.004,0.011,0.047,0.017,
