epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.386,2.092,0.366,0.964,0.366,0.31,0.367,
1,0.842,1.645,0.444,0.956,0.444,0.416,0.436,
2,0.692,1.572,0.434,0.972,0.434,0.415,0.448,
3,0.597,1.895,0.419,0.948,0.419,0.376,0.392,
4,0.527,1.782,0.479,0.969,0.479,0.396,0.477,
5,0.459,1.233,0.575,0.976,0.575,0.505,0.556,
6,0.399,1.28,0.565,0.981,0.565,0.533,0.573,
7,0.366,1.207,0.592,0.978,0.592,0.506,0.584,
8,0.346,1.455,0.538,0.974,0.538,0.501,0.528,
9,0.319,1.508,0.509,0.972,0.509,0.43,0.502,
10,0.322,1.857,0.482,0.977,0.482,0.447,0.479,
11,0.281,1.038,0.64,0.978,0.64,0.53,0.631,
12,0.237,1.296,0.583,0.979,0.583,0.535,0.576,
13,0.227,1.287,0.583,0.976,0.583,0.53,0.576,
14,0.177,1.309,0.581,0.983,0.581,0.536,0.58,
15,0.193,1.755,0.536,0.969,0.536,0.481,0.529,
16,0.17,1.707,0.516,0.966,0.516,0.481,0.504,
17,0.137,1.642,0.551,0.975,0.551,0.488,0.527,
18,0.115,1.468,0.571,0.977,0.571,0.523,0.558,
19,0.159,1.48,0.598,0.968,0.598,0.512,0.586,
20,0.115,1.314,0.616,0.977,0.616,0.547,0.608,
21,0.117,1.721,0.555,0.968,0.555,0.482,0.539,
22,0.094,1.44,0.619,0.98,0.619,0.527,0.609,
23,0.082,1.437,0.596,0.977,0.596,0.529,0.587,
24,0.093,1.957,0.553,0.968,0.553,0.475,0.559,
25,0.088,1.881,0.582,0.977,0.582,0.523,0.573,
26,0.053,1.312,0.632,0.976,0.632,0.554,0.627,
27,0.051,1.685,0.601,0.981,0.601,0.527,0.589,
28,0.04,1.39,0.639,0.977,0.639,0.556,0.631,
29,0.034,1.602,0.626,0.979,0.626,0.549,0.615,
30,0.034,1.585,0.623,0.977,0.623,0.568,0.616,
31,0.028,1.711,0.626,0.977,0.626,0.54,0.615,
32,0.029,1.942,0.595,0.97,0.595,0.552,0.589,
33,0.042,1.851,0.627,0.973,0.627,0.524,0.606,
34,0.017,1.677,0.623,0.977,0.623,0.551,0.612,
35,0.028,1.589,0.638,0.975,0.638,0.58,0.634,
36,0.027,2.119,0.6,0.964,0.6,0.5,0.579,
37,0.019,1.577,0.635,0.976,0.635,0.544,0.631,
38,0.011,1.739,0.645,0.978,0.645,0.562,0.636,
39,0.018,1.526,0.664,0.978,0.664,0.587,0.66,
40,0.014,1.486,0.663,0.978,0.663,0.589,0.656,
41,0.009,1.504,0.669,0.98,0.669,0.578,0.659,
42,0.007,1.522,0.66,0.979,0.66,0.58,0.651,
43,0.003,1.375,0.679,0.984,0.679,0.601,0.674,
44,0.002,1.359,0.69,0.982,0.69,0.608,0.684,
45,0.001,1.343,0.691,0.983,0.691,0.614,0.685,
46,0.001,1.374,0.692,0.982,0.692,0.608,0.685,
47,0.002,1.327,0.694,0.983,0.694,0.618,0.689,
48,0.005,1.369,0.687,0.981,0.687,0.606,0.682,
49,0.002,1.412,0.689,0.98,0.689,0.597,0.68,
50,0.001,1.399,0.69,0.982,0.69,0.612,0.684,
51,0.001,1.392,0.693,0.98,0.693,0.61,0.687,
52,0.001,1.37,0.693,0.981,0.693,0.616,0.687,
53,0.001,1.387,0.694,0.981,0.694,0.611,0.688,
54,0.001,1.366,0.696,0.981,0.696,0.623,0.691,
55,0.001,1.401,0.69,0.98,0.69,0.601,0.684,
56,0.002,1.44,0.693,0.98,0.693,0.604,0.686,
57,0.011,1.503,0.676,0.977,0.676,0.582,0.669,
58,0.005,1.503,0.689,0.98,0.689,0.591,0.682,
59,0.014,1.804,0.634,0.966,0.634,0.554,0.621,
60,0.021,2.223,0.638,0.96,0.638,0.55,0.625,
61,0.021,1.871,0.621,0.97,0.621,0.56,0.618,
62,0.013,1.466,0.664,0.975,0.664,0.57,0.657,
63,0.006,1.496,0.686,0.982,0.686,0.597,0.68,
64,0.008,1.527,0.675,0.974,0.675,0.579,0.669,
65,0.006,1.704,0.658,0.972,0.658,0.577,0.649,
66,0.012,1.931,0.635,0.971,0.635,0.564,0.626,
67,0.012,1.664,0.66,0.974,0.66,0.575,0.651,
68,0.007,1.535,0.663,0.979,0.663,0.602,0.66,
69,0.002,1.54,0.675,0.977,0.675,0.602,0.667,
70,0.002,1.484,0.676,0.981,0.676,0.609,0.67,
71,0.001,1.42,0.688,0.981,0.688,0.612,0.684,
72,0.001,1.453,0.692,0.981,0.692,0.599,0.685,
73,0.001,1.441,0.696,0.98,0.696,0.617,0.69,
74,0.0,1.433,0.693,0.981,0.693,0.615,0.688,
75,0.0,1.448,0.693,0.981,0.693,0.613,0.687,
76,0.001,1.459,0.692,0.98,0.692,0.606,0.686,
77,0.0,1.456,0.692,0.98,0.692,0.61,0.688,
78,0.0,1.457,0.693,0.981,0.693,0.61,0.687,
79,0.001,1.438,0.694,0.981,0.694,0.614,0.69,
80,0.0,1.455,0.691,0.981,0.691,0.609,0.685,
81,0.0,1.435,0.693,0.98,0.693,0.613,0.688,
82,0.0,1.429,0.694,0.98,0.694,0.612,0.689,
83,0.0,1.45,0.694,0.981,0.694,0.617,0.689,
84,0.0,1.446,0.688,0.98,0.688,0.607,0.683,
85,0.0,1.459,0.692,0.981,0.692,0.613,0.686,
86,0.0,1.464,0.694,0.982,0.694,0.609,0.688,
87,0.0,1.476,0.693,0.981,0.693,0.606,0.686,
88,0.0,1.454,0.694,0.981,0.694,0.616,0.688,
89,0.0,1.466,0.692,0.981,0.692,0.614,0.687,
90,0.0,1.458,0.693,0.981,0.693,0.612,0.687,
91,0.0,1.47,0.694,0.981,0.694,0.614,0.689,
92,0.0,1.492,0.695,0.981,0.695,0.606,0.688,
93,0.0,1.456,0.693,0.981,0.693,0.61,0.689,
94,0.0,1.466,0.694,0.981,0.694,0.608,0.689,
95,0.0,1.446,0.694,0.981,0.694,0.615,0.689,
96,0.0,1.48,0.694,0.98,0.694,0.61,0.688,
97,0.0,1.488,0.693,0.98,0.693,0.611,0.687,
98,0.0,1.472,0.695,0.98,0.695,0.612,0.689,
99,0.0,1.473,0.694,0.98,0.694,0.612,0.688,"[0.645, 0.731, 0.74, 0.72, 0.415, 0.61, 0.734, 0.545, 0.417, 0.568]"
