epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.081,1.296,0.528,0.97,0.528,0.499,0.531,
1,0.395,1.119,0.606,0.984,0.606,0.566,0.599,
2,0.23,0.93,0.672,0.988,0.672,0.584,0.662,
3,0.151,1.071,0.649,0.987,0.649,0.594,0.641,
4,0.13,1.091,0.656,0.986,0.656,0.569,0.644,
5,0.086,0.946,0.69,0.991,0.69,0.609,0.686,
6,0.069,1.021,0.681,0.988,0.681,0.607,0.678,
7,0.045,1.019,0.706,0.989,0.706,0.604,0.699,
8,0.029,1.003,0.706,0.988,0.706,0.62,0.702,
9,0.025,1.131,0.708,0.987,0.708,0.599,0.695,
10,0.018,1.19,0.693,0.989,0.693,0.615,0.687,
11,0.02,1.012,0.721,0.989,0.721,0.621,0.712,
12,0.017,1.264,0.686,0.981,0.686,0.612,0.678,
13,0.014,1.043,0.709,0.988,0.709,0.624,0.704,
14,0.011,1.133,0.71,0.987,0.71,0.611,0.701,
15,0.007,1.052,0.721,0.988,0.721,0.629,0.715,
16,0.007,1.059,0.726,0.988,0.726,0.631,0.72,
17,0.004,1.069,0.728,0.989,0.728,0.632,0.721,
18,0.002,1.084,0.727,0.988,0.727,0.636,0.72,
19,0.002,1.068,0.735,0.988,0.735,0.639,0.728,
20,0.001,1.111,0.731,0.988,0.731,0.638,0.725,
21,0.001,1.08,0.734,0.988,0.734,0.634,0.727,
22,0.001,1.09,0.737,0.988,0.737,0.643,0.73,
23,0.001,1.061,0.74,0.988,0.74,0.648,0.734,
24,0.001,1.081,0.737,0.988,0.737,0.64,0.731,
25,0.001,1.106,0.735,0.988,0.735,0.64,0.729,
26,0.001,1.103,0.738,0.988,0.738,0.643,0.732,
27,0.002,1.099,0.734,0.988,0.734,0.639,0.729,
28,0.001,1.123,0.733,0.988,0.733,0.643,0.728,
29,0.002,1.158,0.732,0.988,0.732,0.64,0.726,
30,0.001,1.126,0.736,0.988,0.736,0.644,0.73,
31,0.0,1.111,0.737,0.988,0.737,0.649,0.731,
32,0.0,1.127,0.736,0.988,0.736,0.643,0.73,
33,0.0,1.137,0.737,0.987,0.737,0.644,0.73,
34,0.0,1.134,0.738,0.987,0.738,0.643,0.731,
35,0.001,1.129,0.738,0.988,0.738,0.642,0.732,
36,0.0,1.123,0.736,0.988,0.736,0.643,0.731,
37,0.0,1.125,0.737,0.988,0.737,0.643,0.731,
38,0.0,1.112,0.738,0.988,0.738,0.648,0.732,
39,0.0,1.119,0.738,0.987,0.738,0.648,0.732,
40,0.0,1.134,0.739,0.988,0.739,0.646,0.733,
41,0.0,1.129,0.74,0.988,0.74,0.65,0.735,
42,0.0,1.145,0.738,0.988,0.738,0.645,0.733,
43,0.0,1.138,0.74,0.987,0.74,0.65,0.735,
44,0.0,1.15,0.74,0.988,0.74,0.647,0.733,
45,0.0,1.139,0.74,0.987,0.74,0.65,0.734,
46,0.0,1.127,0.739,0.988,0.739,0.649,0.734,
47,0.0,1.137,0.74,0.988,0.74,0.645,0.734,
48,0.0,1.145,0.741,0.988,0.741,0.649,0.735,
49,0.0,1.149,0.739,0.988,0.739,0.645,0.733,
50,0.0,1.146,0.739,0.988,0.739,0.648,0.733,
51,0.0,1.156,0.739,0.988,0.739,0.646,0.733,
52,0.0,1.151,0.74,0.988,0.74,0.647,0.734,
53,0.0,1.147,0.741,0.988,0.741,0.65,0.736,
54,0.0,1.171,0.739,0.988,0.739,0.645,0.732,
55,0.0,1.163,0.74,0.987,0.74,0.646,0.734,
56,0.0,1.155,0.739,0.988,0.739,0.648,0.733,
57,0.0,1.168,0.74,0.988,0.74,0.648,0.734,
58,0.0,1.155,0.739,0.988,0.739,0.65,0.733,
59,0.0,1.155,0.74,0.988,0.74,0.651,0.735,
60,0.0,1.165,0.741,0.987,0.741,0.65,0.734,
61,0.0,1.163,0.74,0.987,0.74,0.65,0.734,
62,0.0,1.16,0.74,0.987,0.74,0.65,0.734,
63,0.0,1.166,0.74,0.987,0.74,0.649,0.734,
64,0.0,1.164,0.74,0.987,0.74,0.652,0.734,
65,0.0,1.18,0.739,0.988,0.739,0.644,0.733,
66,0.0,1.174,0.74,0.988,0.74,0.65,0.734,
67,0.0,1.181,0.741,0.988,0.741,0.651,0.734,
68,0.0,1.173,0.739,0.987,0.739,0.647,0.733,
69,0.0,1.166,0.741,0.988,0.741,0.647,0.735,
70,0.0,1.149,0.743,0.988,0.743,0.652,0.737,
71,0.0,1.171,0.74,0.988,0.74,0.65,0.734,
72,0.0,1.159,0.74,0.988,0.74,0.651,0.735,
73,0.0,1.167,0.742,0.988,0.742,0.649,0.736,
74,0.0,1.187,0.739,0.988,0.739,0.643,0.733,
75,0.0,1.19,0.74,0.988,0.74,0.649,0.733,
76,0.0,1.17,0.741,0.987,0.741,0.653,0.736,
77,0.0,1.157,0.741,0.988,0.741,0.65,0.736,
78,0.0,1.201,0.739,0.988,0.739,0.643,0.732,
79,0.0,1.184,0.742,0.987,0.742,0.652,0.735,
80,0.0,1.179,0.741,0.988,0.741,0.649,0.735,
81,0.0,1.192,0.74,0.988,0.74,0.648,0.734,
82,0.0,1.186,0.741,0.988,0.741,0.653,0.736,
83,0.0,1.174,0.742,0.988,0.742,0.65,0.736,
84,0.0,1.181,0.741,0.988,0.741,0.649,0.735,
85,0.0,1.187,0.739,0.987,0.739,0.648,0.733,
86,0.0,1.179,0.741,0.988,0.741,0.648,0.735,
87,0.0,1.166,0.742,0.987,0.742,0.653,0.736,
88,0.0,1.182,0.741,0.988,0.741,0.649,0.735,
89,0.0,1.179,0.741,0.987,0.741,0.651,0.735,
90,0.0,1.183,0.743,0.988,0.743,0.654,0.737,
91,0.0,1.198,0.739,0.988,0.739,0.647,0.732,
92,0.0,1.18,0.741,0.987,0.741,0.652,0.735,
93,0.0,1.203,0.74,0.987,0.74,0.648,0.734,
94,0.0,1.181,0.741,0.988,0.741,0.652,0.735,
95,0.0,1.177,0.741,0.988,0.741,0.651,0.736,
96,0.0,1.18,0.742,0.987,0.742,0.653,0.736,
97,0.0,1.188,0.742,0.988,0.742,0.652,0.736,
98,0.0,1.204,0.742,0.988,0.742,0.648,0.735,
99,0.0,1.179,0.742,0.987,0.742,0.654,0.736,"[0.687, 0.778, 0.741, 0.783, 0.352, 0.652, 0.771, 0.581, 0.505, 0.692]"
