epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.022,0.046,0.09,0.089,0.09,0.043,0.034,
1,0.024,0.095,0.01,0.069,0.01,0.042,0.033,
2,0.042,0.092,0.072,0.021,0.072,0.034,0.056,
3,0.023,0.054,0.042,0.041,0.042,0.011,0.04,
4,0.032,0.157,0.118,0.019,0.118,0.067,0.128,
5,0.038,0.009,0.013,0.012,0.013,0.046,0.012,
6,0.026,0.087,0.034,0.023,0.034,0.004,0.066,
7,0.014,0.144,0.084,0.02,0.084,0.035,0.078,
8,0.035,0.077,0.073,0.013,0.073,0.037,0.099,
9,0.035,0.081,0.075,0.017,0.075,0.03,0.084,
10,0.033,0.114,0.031,0.031,0.031,0.035,0.06,
11,0.074,0.126,0.041,0.021,0.041,0.042,0.111,
12,0.054,0.229,0.133,0.029,0.133,0.069,0.148,
13,0.012,0.067,0.041,0.009,0.041,0.029,0.043,
14,0.026,0.117,0.065,0.018,0.065,0.034,0.069,
15,0.044,0.165,0.112,0.023,0.112,0.067,0.129,
16,0.038,0.079,0.037,0.026,0.037,0.024,0.022,
17,0.011,0.102,0.057,0.016,0.057,0.036,0.048,
18,0.046,0.29,0.137,0.062,0.137,0.099,0.161,
19,0.061,0.055,0.028,0.007,0.028,0.022,0.04,
20,0.013,0.081,0.032,0.009,0.032,0.017,0.018,
21,0.031,0.083,0.044,0.007,0.044,0.018,0.04,
22,0.035,0.12,0.072,0.034,0.072,0.065,0.073,
23,0.05,0.076,0.011,0.008,0.011,0.013,0.021,
24,0.044,0.031,0.016,0.003,0.016,0.026,0.043,
25,0.035,0.133,0.049,0.019,0.049,0.024,0.032,
26,0.06,0.085,0.056,0.011,0.056,0.047,0.077,
27,0.033,0.115,0.041,0.021,0.041,0.045,0.021,
28,0.014,0.045,0.018,0.007,0.018,0.021,0.014,
29,0.071,0.183,0.09,0.02,0.09,0.038,0.082,
30,0.008,0.031,0.05,0.008,0.05,0.02,0.049,
31,0.043,0.012,0.009,0.003,0.009,0.022,0.04,
32,0.026,0.089,0.028,0.013,0.028,0.023,0.03,
33,0.031,0.125,0.075,0.009,0.075,0.049,0.097,
34,0.036,0.043,0.011,0.015,0.011,0.011,0.026,
35,0.037,0.043,0.018,0.014,0.018,0.028,0.042,
36,0.042,0.128,0.037,0.028,0.037,0.043,0.067,
37,0.011,0.219,0.09,0.024,0.09,0.056,0.104,
38,0.019,0.083,0.067,0.008,0.067,0.041,0.093,
39,0.044,0.191,0.084,0.018,0.084,0.042,0.09,
40,0.051,0.064,0.027,0.014,0.027,0.021,0.026,
41,0.048,0.048,0.011,0.01,0.011,0.008,0.002,
42,0.035,0.123,0.05,0.017,0.05,0.032,0.091,
43,0.045,0.094,0.037,0.022,0.037,0.01,0.066,
44,0.021,0.133,0.046,0.011,0.046,0.026,0.02,
45,0.046,0.056,0.024,0.008,0.024,0.01,0.024,
46,0.045,0.071,0.037,0.003,0.037,0.016,0.043,
47,0.056,0.018,0.035,0.004,0.035,0.023,0.029,
48,0.004,0.047,0.018,0.005,0.018,0.007,0.022,
49,0.041,0.19,0.083,0.025,0.083,0.039,0.087,
50,0.083,20.107,0.062,0.115,0.062,0.064,0.072,
51,0.057,0.183,0.068,0.015,0.068,0.027,0.065,
52,0.046,0.378,0.086,0.03,0.086,0.069,0.104,
53,0.019,0.628,0.125,0.02,0.125,0.07,0.142,
54,0.037,0.222,0.023,0.017,0.023,0.01,0.029,
55,0.02,0.348,0.065,0.017,0.065,0.051,0.057,
56,0.026,0.034,0.025,0.005,0.025,0.033,0.027,
57,0.019,0.61,0.061,0.018,0.061,0.052,0.056,
58,0.087,0.143,0.038,0.011,0.038,0.02,0.048,
59,0.093,0.246,0.038,0.004,0.038,0.055,0.026,
60,0.13,0.186,0.078,0.009,0.078,0.022,0.079,
61,0.075,0.328,0.064,0.004,0.064,0.049,0.074,
62,0.09,0.056,0.012,0.008,0.012,0.014,0.01,
63,0.063,0.046,0.003,0.003,0.003,0.026,0.007,
64,0.05,0.154,0.049,0.009,0.049,0.064,0.059,
65,0.076,0.192,0.044,0.006,0.044,0.008,0.043,
66,0.054,0.143,0.036,0.011,0.036,0.048,0.044,
67,0.068,0.494,0.069,0.003,0.069,0.038,0.068,
68,0.09,0.016,0.021,0.006,0.021,0.007,0.012,
69,0.042,0.041,0.022,0.005,0.022,0.018,0.027,
70,0.068,0.167,0.048,0.002,0.048,0.056,0.049,
71,0.016,0.066,0.021,0.004,0.021,0.022,0.024,
72,0.067,0.168,0.006,0.004,0.006,0.03,0.006,
73,0.069,0.103,0.017,0.007,0.017,0.037,0.017,
74,0.057,0.268,0.047,0.005,0.047,0.057,0.063,
75,0.072,0.301,0.007,0.007,0.007,0.074,0.018,
76,0.019,0.137,0.041,0.002,0.041,0.04,0.044,
77,0.082,0.35,0.04,0.004,0.04,0.054,0.047,
78,0.065,0.214,0.002,0.003,0.002,0.012,0.008,
79,0.036,0.172,0.019,0.003,0.019,0.038,0.019,
80,0.037,0.062,0.004,0.006,0.004,0.013,0.008,
81,0.02,0.177,0.02,0.004,0.02,0.023,0.025,
82,0.023,0.395,0.036,0.012,0.036,0.064,0.041,
83,0.019,0.146,0.037,0.009,0.037,0.015,0.036,
84,0.039,0.209,0.046,0.007,0.046,0.039,0.046,
85,0.059,0.113,0.04,0.007,0.04,0.033,0.032,
86,0.025,0.589,0.054,0.008,0.054,0.056,0.052,
87,0.017,0.217,0.023,0.01,0.023,0.02,0.027,
88,0.011,0.137,0.014,0.006,0.014,0.005,0.014,
89,0.045,2.352,0.038,0.009,0.038,0.061,0.034,
90,0.081,0.13,0.046,0.009,0.046,0.071,0.056,
91,0.055,0.288,0.031,0.005,0.031,0.038,0.026,
92,0.049,0.181,0.033,0.004,0.033,0.017,0.027,
93,0.044,0.137,0.019,0.005,0.019,0.007,0.023,
94,0.019,0.082,0.011,0.006,0.011,0.019,0.013,
95,0.018,0.2,0.005,0.009,0.005,0.042,0.007,
96,0.012,0.137,0.013,0.007,0.013,0.028,0.01,
97,0.007,0.134,0.003,0.005,0.003,0.034,0.006,
98,0.013,0.129,0.019,0.002,0.019,0.017,0.016,
99,0.005,0.029,0.006,0.005,0.006,0.008,0.008,"[0.045, 0.002, 0.082, 0.014, 0.076, 0.052, 0.015, 0.045, 0.058, 0.066]"
