epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.068,0.113,0.035,0.083,0.035,0.02,0.038,
1,0.038,0.074,0.028,0.007,0.028,0.028,0.034,
2,0.016,0.117,0.016,0.022,0.016,0.011,0.019,
3,0.032,0.121,0.026,0.013,0.026,0.031,0.023,
4,0.004,0.096,0.016,0.007,0.016,0.006,0.018,
5,0.038,0.042,0.016,0.004,0.016,0.019,0.014,
6,0.049,0.06,0.018,0.005,0.018,0.033,0.018,
7,0.022,0.077,0.025,0.003,0.025,0.015,0.024,
8,0.008,0.089,0.023,0.001,0.023,0.027,0.028,
9,0.029,0.054,0.02,0.003,0.02,0.02,0.017,
10,0.05,0.052,0.015,0.001,0.015,0.021,0.022,
11,0.04,0.066,0.023,0.003,0.023,0.011,0.025,
12,0.057,0.01,0.018,0.002,0.018,0.036,0.021,
13,0.049,0.018,0.004,0.002,0.004,0.023,0.001,
14,0.038,0.021,0.011,0.002,0.011,0.022,0.015,
15,0.023,0.023,0.005,0.003,0.005,0.017,0.004,
16,0.025,0.051,0.016,0.002,0.016,0.019,0.011,
17,0.026,0.031,0.006,0.002,0.006,0.025,0.006,
18,0.021,0.062,0.017,0.001,0.017,0.021,0.016,
19,0.031,0.065,0.023,0.002,0.023,0.03,0.02,
20,0.017,0.053,0.023,0.003,0.023,0.02,0.022,
21,0.008,0.016,0.009,0.001,0.009,0.026,0.007,
22,0.027,0.047,0.013,0.001,0.013,0.023,0.014,
23,0.062,0.041,0.01,0.002,0.01,0.023,0.007,
24,0.022,0.043,0.013,0.002,0.013,0.026,0.012,
25,0.027,0.09,0.037,0.001,0.037,0.043,0.035,
26,0.015,0.109,0.037,0.001,0.037,0.033,0.032,
27,0.025,0.092,0.034,0.003,0.034,0.037,0.037,
28,0.022,0.049,0.019,0.003,0.019,0.023,0.024,
29,0.007,0.048,0.018,0.001,0.018,0.022,0.017,
30,0.015,0.081,0.021,0.001,0.021,0.017,0.023,
31,0.028,0.033,0.002,0.001,0.002,0.016,0.004,
32,0.019,0.061,0.017,0.002,0.017,0.017,0.019,
33,0.031,0.047,0.009,0.001,0.009,0.019,0.008,
34,0.037,0.113,0.023,0.002,0.023,0.01,0.028,
35,0.046,0.02,0.004,0.001,0.004,0.015,0.002,
36,0.019,0.075,0.019,0.002,0.019,0.014,0.021,
37,0.023,0.023,0.007,0.001,0.007,0.021,0.005,
38,0.015,0.066,0.013,0.001,0.013,0.016,0.013,
39,0.022,0.025,0.015,0.001,0.015,0.03,0.013,
40,0.035,0.049,0.016,0.001,0.016,0.015,0.015,
41,0.012,0.043,0.014,0.001,0.014,0.023,0.014,
42,0.011,0.046,0.011,0.001,0.011,0.019,0.008,
43,0.027,0.079,0.025,0.001,0.025,0.037,0.027,
44,0.008,0.034,0.016,0.002,0.016,0.017,0.013,
45,0.015,0.032,0.015,0.001,0.015,0.026,0.015,
46,0.01,0.044,0.008,0.001,0.008,0.015,0.007,
47,0.002,0.043,0.011,0.001,0.011,0.023,0.012,
48,0.004,0.1,0.025,0.002,0.025,0.024,0.027,
49,0.022,0.042,0.006,0.001,0.006,0.028,0.004,
50,0.025,0.065,0.013,0.001,0.013,0.015,0.017,
51,0.011,0.03,0.009,0.002,0.009,0.022,0.009,
52,0.008,0.05,0.017,0.002,0.017,0.021,0.013,
53,0.02,0.025,0.021,0.002,0.021,0.023,0.022,
54,0.008,0.133,0.031,0.002,0.031,0.031,0.037,
55,0.017,0.019,0.015,0.001,0.015,0.027,0.015,
56,0.024,0.089,0.018,0.001,0.018,0.035,0.022,
57,0.026,0.099,0.031,0.001,0.031,0.036,0.036,
58,0.031,0.081,0.01,0.003,0.01,0.032,0.017,
59,0.034,0.065,0.019,0.002,0.019,0.027,0.022,
60,0.033,0.096,0.027,0.001,0.027,0.015,0.028,
61,0.009,0.112,0.04,0.001,0.04,0.034,0.038,
62,0.006,0.074,0.025,0.001,0.025,0.014,0.021,
63,0.021,0.05,0.019,0.001,0.019,0.032,0.018,
64,0.029,0.067,0.018,0.002,0.018,0.016,0.017,
65,0.01,0.012,0.013,0.001,0.013,0.022,0.013,
66,0.016,0.071,0.017,0.001,0.017,0.019,0.018,
67,0.002,0.025,0.008,0.001,0.008,0.026,0.009,
68,0.017,0.028,0.008,0.001,0.008,0.025,0.008,
69,0.014,0.027,0.001,0.002,0.001,0.021,0.001,
70,0.009,0.026,0.014,0.002,0.014,0.037,0.016,
71,0.021,0.032,0.005,0.0,0.005,0.022,0.004,
72,0.011,0.053,0.013,0.001,0.013,0.019,0.013,
73,0.01,0.032,0.006,0.001,0.006,0.026,0.007,
74,0.015,0.045,0.009,0.001,0.009,0.009,0.009,
75,0.025,0.052,0.007,0.002,0.007,0.021,0.007,
76,0.017,0.053,0.009,0.002,0.009,0.019,0.007,
77,0.008,0.033,0.001,0.001,0.001,0.023,0.001,
78,0.009,0.018,0.011,0.001,0.011,0.024,0.011,
79,0.008,0.079,0.011,0.002,0.011,0.021,0.008,
80,0.004,0.028,0.011,0.001,0.011,0.025,0.01,
81,0.022,0.07,0.015,0.001,0.015,0.019,0.014,
82,0.01,0.06,0.009,0.001,0.009,0.012,0.008,
83,0.015,0.054,0.007,0.001,0.007,0.016,0.006,
84,0.021,0.042,0.006,0.001,0.006,0.016,0.007,
85,0.014,0.053,0.014,0.001,0.014,0.017,0.013,
86,0.027,0.024,0.008,0.001,0.008,0.026,0.008,
87,0.026,0.061,0.017,0.001,0.017,0.029,0.016,
88,0.026,0.021,0.007,0.002,0.007,0.024,0.007,
89,0.016,0.033,0.009,0.001,0.009,0.032,0.01,
90,0.018,0.034,0.006,0.001,0.006,0.017,0.005,
91,0.037,0.048,0.02,0.002,0.02,0.026,0.018,
92,0.028,0.067,0.013,0.002,0.013,0.022,0.013,
93,0.022,0.031,0.004,0.002,0.004,0.029,0.005,
94,0.025,0.068,0.011,0.001,0.011,0.015,0.009,
95,0.025,0.102,0.022,0.002,0.022,0.015,0.024,
96,0.023,0.037,0.017,0.002,0.017,0.033,0.017,
97,0.026,0.032,0.005,0.002,0.005,0.016,0.006,
98,0.007,0.039,0.02,0.001,0.02,0.03,0.022,
99,0.015,0.048,0.009,0.001,0.009,0.02,0.005,"[0.031, 0.004, 0.011, 0.004, 0.128, 0.018, 0.025, 0.035, 0.034, 0.063]"
