epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,1.553+-0.02,5.25+-4.174,0.184+-0.106,0.709+-0.147,0.184+-0.106,0.185+-0.119,0.163+-0.097
1,1.244+-0.034,1.939+-0.207,0.314+-0.044,0.945+-0.007,0.314+-0.044,0.273+-0.052,0.319+-0.053
2,1.09+-0.047,1.643+-0.254,0.41+-0.08,0.956+-0.015,0.41+-0.08,0.35+-0.065,0.406+-0.087
3,1.024+-0.047,1.688+-0.218,0.434+-0.015,0.962+-0.009,0.434+-0.015,0.381+-0.009,0.465+-0.005
4,0.861+-0.038,1.253+-0.038,0.514+-0.021,0.978+-0.004,0.514+-0.021,0.482+-0.034,0.517+-0.031
5,0.832+-0.067,2.222+-1.555,0.414+-0.138,0.951+-0.039,0.414+-0.138,0.366+-0.107,0.428+-0.114
6,0.738+-0.056,1.374+-0.215,0.485+-0.048,0.98+-0.003,0.485+-0.048,0.476+-0.009,0.49+-0.051
7,0.659+-0.043,1.428+-0.329,0.511+-0.062,0.977+-0.007,0.511+-0.062,0.461+-0.095,0.525+-0.048
8,0.568+-0.018,1.276+-0.252,0.545+-0.067,0.977+-0.005,0.545+-0.067,0.476+-0.055,0.547+-0.048
9,0.539+-0.051,1.465+-0.304,0.54+-0.073,0.967+-0.017,0.54+-0.073,0.455+-0.06,0.548+-0.076
10,0.472+-0.025,1.072+-0.092,0.608+-0.036,0.977+-0.007,0.608+-0.036,0.531+-0.045,0.6+-0.046
11,0.431+-0.061,1.213+-0.165,0.571+-0.058,0.979+-0.004,0.571+-0.058,0.509+-0.038,0.569+-0.052
12,0.419+-0.021,1.199+-0.037,0.576+-0.023,0.979+-0.008,0.576+-0.023,0.523+-0.009,0.578+-0.023
13,0.371+-0.047,1.223+-0.149,0.578+-0.062,0.977+-0.005,0.578+-0.062,0.517+-0.052,0.576+-0.071
14,0.34+-0.042,1.39+-0.213,0.548+-0.059,0.977+-0.007,0.548+-0.059,0.498+-0.045,0.544+-0.058
15,0.3+-0.02,1.293+-0.049,0.588+-0.018,0.976+-0.006,0.588+-0.018,0.493+-0.054,0.589+-0.014
16,0.251+-0.037,1.809+-0.382,0.519+-0.046,0.964+-0.011,0.519+-0.046,0.447+-0.06,0.506+-0.03
17,0.253+-0.025,1.362+-0.102,0.594+-0.019,0.975+-0.004,0.594+-0.019,0.536+-0.028,0.587+-0.02
18,0.205+-0.024,1.348+-0.08,0.6+-0.038,0.975+-0.009,0.6+-0.038,0.519+-0.029,0.592+-0.04
19,0.176+-0.033,1.499+-0.119,0.564+-0.007,0.965+-0.014,0.564+-0.007,0.473+-0.029,0.554+-0.005
20,0.14+-0.031,1.507+-0.31,0.569+-0.06,0.976+-0.009,0.569+-0.06,0.522+-0.04,0.553+-0.076
