epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,2.185+-0.026,2.254+-0.685,0.295+-0.139,0.85+-0.141,0.295+-0.139,0.249+-0.051,0.284+-0.155
1,2.055+-0.313,2.297+-0.561,0.336+-0.134,0.879+-0.05,0.336+-0.134,0.3+-0.097,0.344+-0.114
2,2.057+-0.3,1.91+-0.579,0.415+-0.1,0.937+-0.045,0.415+-0.1,0.331+-0.071,0.42+-0.075
3,2.129+-0.301,2.375+-0.228,0.386+-0.064,0.909+-0.033,0.386+-0.064,0.314+-0.03,0.379+-0.046
4,1.929+-0.205,1.894+-0.136,0.46+-0.049,0.941+-0.022,0.46+-0.049,0.389+-0.048,0.455+-0.047
5,1.703+-0.233,2.474+-0.385,0.381+-0.126,0.9+-0.045,0.381+-0.126,0.352+-0.105,0.358+-0.128
6,1.933+-0.019,3.278+-1.002,0.294+-0.064,0.837+-0.02,0.294+-0.064,0.279+-0.061,0.273+-0.039
7,2.028+-0.115,2.539+-0.38,0.393+-0.044,0.929+-0.012,0.393+-0.044,0.335+-0.033,0.382+-0.029
8,1.797+-0.059,2.668+-0.677,0.388+-0.069,0.894+-0.074,0.388+-0.069,0.346+-0.049,0.375+-0.062
9,1.723+-0.232,2.47+-0.527,0.39+-0.053,0.938+-0.02,0.39+-0.053,0.36+-0.041,0.368+-0.023
10,1.629+-0.283,2.669+-0.182,0.345+-0.028,0.931+-0.034,0.345+-0.028,0.336+-0.02,0.31+-0.049
11,1.623+-0.05,2.635+-0.629,0.371+-0.048,0.917+-0.051,0.371+-0.048,0.325+-0.037,0.373+-0.043
12,1.586+-0.226,2.126+-0.402,0.419+-0.053,0.94+-0.039,0.419+-0.053,0.372+-0.011,0.425+-0.043
13,1.53+-0.332,2.063+-0.15,0.45+-0.086,0.946+-0.02,0.45+-0.086,0.367+-0.047,0.421+-0.102
14,1.381+-0.246,1.943+-0.295,0.47+-0.052,0.957+-0.017,0.47+-0.052,0.396+-0.045,0.458+-0.077
15,1.357+-0.13,1.882+-0.433,0.459+-0.085,0.949+-0.02,0.459+-0.085,0.392+-0.052,0.459+-0.096
16,1.209+-0.114,2.229+-0.675,0.437+-0.081,0.919+-0.061,0.437+-0.081,0.376+-0.039,0.422+-0.11
17,1.338+-0.268,2.577+-1.101,0.429+-0.101,0.877+-0.138,0.429+-0.101,0.37+-0.044,0.419+-0.1
18,1.312+-0.198,1.858+-0.4,0.465+-0.066,0.955+-0.016,0.465+-0.066,0.367+-0.076,0.441+-0.083
19,1.321+-0.182,2.075+-0.555,0.46+-0.062,0.956+-0.022,0.46+-0.062,0.392+-0.039,0.462+-0.048
20,1.283+-0.222,2.016+-0.253,0.465+-0.035,0.95+-0.003,0.465+-0.035,0.407+-0.033,0.48+-0.019
21,1.321+-0.133,2.408+-0.469,0.391+-0.091,0.903+-0.054,0.391+-0.091,0.353+-0.051,0.382+-0.073
22,1.405+-0.162,2.517+-0.368,0.381+-0.072,0.925+-0.031,0.381+-0.072,0.324+-0.014,0.364+-0.078
23,1.651+-0.421,2.116+-0.487,0.469+-0.074,0.948+-0.018,0.469+-0.074,0.386+-0.062,0.452+-0.09
24,1.557+-0.508,2.288+-0.663,0.472+-0.102,0.94+-0.029,0.472+-0.102,0.355+-0.033,0.478+-0.051
25,1.548+-0.233,2.219+-0.91,0.486+-0.051,0.947+-0.04,0.486+-0.051,0.395+-0.032,0.457+-0.097
26,1.562+-0.395,2.328+-0.564,0.409+-0.096,0.953+-0.006,0.409+-0.096,0.369+-0.046,0.434+-0.072
27,1.644+-0.495,2.653+-1.228,0.398+-0.13,0.928+-0.041,0.398+-0.13,0.355+-0.058,0.401+-0.137
28,1.514+-0.245,2.767+-0.548,0.369+-0.077,0.93+-0.011,0.369+-0.077,0.315+-0.023,0.358+-0.098
