epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.553,5.25,0.184,0.709,0.184,0.185,0.163,
1,1.244,1.939,0.314,0.945,0.314,0.273,0.319,
2,1.09,1.643,0.41,0.956,0.41,0.35,0.406,
3,1.024,1.688,0.434,0.962,0.434,0.381,0.465,
4,0.861,1.253,0.514,0.978,0.514,0.482,0.517,
5,0.832,2.222,0.414,0.951,0.414,0.366,0.428,
6,0.738,1.374,0.485,0.98,0.485,0.476,0.49,
7,0.659,1.428,0.511,0.977,0.511,0.461,0.525,
8,0.568,1.276,0.545,0.977,0.545,0.476,0.547,
9,0.539,1.465,0.54,0.967,0.54,0.455,0.548,
10,0.472,1.072,0.608,0.977,0.608,0.531,0.6,
11,0.431,1.213,0.571,0.979,0.571,0.509,0.569,
12,0.419,1.199,0.576,0.979,0.576,0.523,0.578,
13,0.371,1.223,0.578,0.977,0.578,0.517,0.576,
14,0.34,1.39,0.548,0.977,0.548,0.498,0.544,
15,0.3,1.293,0.588,0.976,0.588,0.493,0.589,
16,0.251,1.809,0.519,0.964,0.519,0.447,0.506,
17,0.253,1.362,0.594,0.975,0.594,0.536,0.587,
18,0.205,1.348,0.6,0.975,0.6,0.519,0.592,
19,0.176,1.499,0.564,0.965,0.564,0.473,0.554,
20,0.14,1.507,0.569,0.976,0.569,0.522,0.553,
21,0.124,1.531,0.573,0.972,0.573,0.502,0.565,
22,0.105,1.621,0.58,0.968,0.58,0.502,0.57,
23,0.107,1.704,0.579,0.971,0.579,0.492,0.574,
24,0.091,1.85,0.576,0.971,0.576,0.492,0.573,
25,0.092,1.646,0.589,0.975,0.589,0.506,0.585,
26,0.072,1.735,0.583,0.968,0.583,0.506,0.576,
27,0.071,1.753,0.581,0.97,0.581,0.52,0.57,
28,0.049,1.87,0.592,0.967,0.592,0.501,0.574,
29,0.049,1.916,0.588,0.957,0.588,0.49,0.586,
30,0.044,1.799,0.581,0.971,0.581,0.489,0.569,
