epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.241,1.33,0.513,0.961,0.513,0.485,0.513,
1,0.759,1.164,0.569,0.974,0.569,0.513,0.572,
2,0.657,1.146,0.573,0.979,0.573,0.527,0.577,
3,0.591,1.055,0.599,0.982,0.599,0.537,0.604,
4,0.534,1.147,0.572,0.98,0.572,0.526,0.571,
5,0.508,1.027,0.621,0.985,0.621,0.549,0.631,
6,0.489,1.077,0.607,0.983,0.607,0.543,0.616,
7,0.502,1.044,0.611,0.984,0.611,0.551,0.62,
8,0.46,1.02,0.632,0.983,0.632,0.561,0.637,
9,0.461,1.025,0.623,0.985,0.623,0.56,0.63,
10,0.444,1.034,0.632,0.985,0.632,0.559,0.637,
11,0.458,1.033,0.634,0.985,0.634,0.563,0.636,
12,0.436,1.04,0.62,0.985,0.62,0.559,0.627,
13,0.429,1.066,0.615,0.985,0.615,0.553,0.62,
14,0.411,1.065,0.615,0.987,0.615,0.553,0.622,
15,0.397,1.102,0.609,0.984,0.609,0.548,0.614,
16,0.408,1.123,0.613,0.981,0.613,0.541,0.612,
17,0.428,1.111,0.61,0.986,0.61,0.552,0.613,
18,0.394,1.002,0.649,0.987,0.649,0.57,0.653,
19,0.411,1.136,0.604,0.985,0.604,0.546,0.611,
20,0.372,0.985,0.652,0.987,0.652,0.568,0.654,
21,0.382,1.08,0.622,0.987,0.622,0.563,0.623,
22,0.382,1.065,0.631,0.985,0.631,0.561,0.632,
23,0.368,1.079,0.629,0.986,0.629,0.558,0.634,
24,0.373,1.077,0.633,0.984,0.633,0.554,0.632,
25,0.364,1.082,0.627,0.986,0.627,0.558,0.634,
26,0.364,1.077,0.626,0.986,0.626,0.553,0.63,
27,0.357,1.107,0.62,0.987,0.62,0.555,0.626,
28,0.356,1.087,0.625,0.987,0.625,0.564,0.629,
29,0.351,1.087,0.632,0.984,0.632,0.563,0.636,
30,0.336,1.172,0.603,0.985,0.603,0.543,0.604,
31,0.345,1.194,0.599,0.985,0.599,0.545,0.599,
32,0.358,1.174,0.612,0.984,0.612,0.55,0.608,
33,0.342,1.143,0.614,0.986,0.614,0.55,0.622,
34,0.357,1.103,0.622,0.987,0.622,0.559,0.626,
35,0.336,1.142,0.617,0.985,0.617,0.554,0.623,
36,0.346,1.091,0.63,0.986,0.63,0.558,0.635,
37,0.345,1.072,0.646,0.987,0.646,0.568,0.649,
38,0.337,1.053,0.649,0.988,0.649,0.567,0.651,
39,0.33,1.049,0.651,0.986,0.651,0.573,0.654,
40,0.352,1.14,0.624,0.985,0.624,0.553,0.627,
41,0.324,1.033,0.647,0.986,0.647,0.565,0.649,
42,0.335,1.05,0.643,0.987,0.643,0.563,0.646,
43,0.333,1.092,0.637,0.987,0.637,0.562,0.637,
44,0.335,1.215,0.597,0.985,0.597,0.541,0.597,
45,0.337,1.19,0.603,0.986,0.603,0.542,0.608,
46,0.319,1.16,0.61,0.986,0.61,0.555,0.612,
47,0.317,1.096,0.634,0.986,0.634,0.563,0.638,
48,0.321,1.228,0.598,0.986,0.598,0.544,0.604,
49,0.319,1.085,0.643,0.986,0.643,0.566,0.647,
50,0.274,1.09,0.637,0.987,0.637,0.57,0.64,
51,0.203,1.019,0.664,0.988,0.664,0.588,0.667,
52,0.145,0.986,0.691,0.988,0.691,0.609,0.69,
53,0.108,0.968,0.691,0.989,0.691,0.612,0.69,
54,0.07,0.956,0.704,0.988,0.704,0.618,0.7,
55,0.058,0.968,0.707,0.989,0.707,0.626,0.704,
56,0.045,0.952,0.714,0.988,0.714,0.627,0.71,
57,0.034,0.94,0.717,0.988,0.717,0.633,0.714,
58,0.026,0.951,0.72,0.988,0.72,0.631,0.717,
59,0.019,0.967,0.725,0.988,0.725,0.631,0.719,
60,0.016,0.958,0.722,0.988,0.722,0.627,0.716,
61,0.011,0.975,0.724,0.989,0.724,0.637,0.72,
62,0.009,0.982,0.728,0.989,0.728,0.639,0.723,
63,0.008,0.988,0.73,0.988,0.73,0.636,0.725,
64,0.007,0.989,0.731,0.989,0.731,0.637,0.727,
65,0.008,0.999,0.73,0.989,0.73,0.633,0.725,
66,0.005,1.009,0.728,0.989,0.728,0.635,0.724,
67,0.005,1.007,0.729,0.989,0.729,0.637,0.724,
68,0.005,1.008,0.727,0.989,0.727,0.636,0.723,
69,0.004,1.006,0.731,0.989,0.731,0.637,0.727,
70,0.003,1.013,0.731,0.989,0.731,0.636,0.726,
71,0.003,1.018,0.732,0.988,0.732,0.637,0.727,
72,0.003,1.024,0.731,0.988,0.731,0.636,0.727,
73,0.003,1.019,0.732,0.99,0.732,0.639,0.727,
74,0.002,1.02,0.732,0.989,0.732,0.642,0.727,
75,0.002,1.022,0.734,0.989,0.734,0.639,0.73,
76,0.002,1.021,0.735,0.989,0.735,0.64,0.73,
77,0.002,1.033,0.735,0.989,0.735,0.638,0.73,
78,0.002,1.029,0.732,0.989,0.732,0.637,0.727,
79,0.002,1.035,0.734,0.989,0.734,0.64,0.729,
80,0.002,1.026,0.734,0.989,0.734,0.642,0.729,
81,0.002,1.025,0.734,0.989,0.734,0.644,0.73,
82,0.002,1.033,0.735,0.989,0.735,0.642,0.73,
83,0.002,1.038,0.734,0.988,0.734,0.642,0.73,
84,0.001,1.047,0.737,0.989,0.737,0.645,0.732,
85,0.002,1.043,0.735,0.989,0.735,0.642,0.73,
86,0.002,1.044,0.733,0.989,0.733,0.634,0.729,
87,0.001,1.046,0.733,0.989,0.733,0.643,0.729,
88,0.001,1.045,0.735,0.99,0.735,0.637,0.731,
89,0.001,1.049,0.734,0.989,0.734,0.644,0.73,
90,0.001,1.049,0.734,0.989,0.734,0.638,0.729,
91,0.001,1.05,0.734,0.989,0.734,0.644,0.73,
92,0.001,1.053,0.737,0.989,0.737,0.642,0.732,
93,0.001,1.05,0.737,0.989,0.737,0.645,0.732,
94,0.001,1.048,0.736,0.989,0.736,0.648,0.732,
95,0.001,1.057,0.736,0.989,0.736,0.64,0.731,
96,0.001,1.061,0.737,0.99,0.737,0.645,0.732,
97,0.001,1.059,0.737,0.989,0.737,0.645,0.732,
98,0.001,1.057,0.737,0.989,0.737,0.644,0.732,
99,0.001,1.07,0.736,0.989,0.736,0.644,0.731,"[0.667, 0.788, 0.729, 0.785, 0.38, 0.638, 0.758, 0.569, 0.49, 0.637]"
