epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.522,0.279,0.023,0.02,0.023,0.041,0.019,
1,0.11,2.322,0.026,0.127,0.026,0.046,0.038,
2,0.167,0.773,0.033,0.035,0.033,0.054,0.064,
3,0.083,0.22,0.028,0.008,0.028,0.04,0.032,
4,0.148,1.407,0.113,0.045,0.113,0.089,0.145,
5,0.044,1.277,0.051,0.068,0.051,0.013,0.081,
6,0.138,0.698,0.069,0.004,0.069,0.017,0.073,
7,0.204,1.185,0.088,0.032,0.088,0.08,0.098,
8,0.261,0.734,0.086,0.055,0.086,0.056,0.088,
9,0.373,0.32,0.033,0.004,0.033,0.014,0.029,
10,0.316,0.318,0.035,0.006,0.035,0.018,0.045,
11,0.271,0.487,0.088,0.011,0.088,0.043,0.11,
12,0.319,0.561,0.076,0.012,0.076,0.027,0.091,
13,0.281,0.506,0.054,0.009,0.054,0.048,0.06,
14,0.104,0.252,0.016,0.005,0.016,0.023,0.011,
15,0.012,0.834,0.068,0.015,0.068,0.06,0.089,
16,0.216,0.362,0.064,0.006,0.064,0.05,0.077,
17,0.141,0.073,0.039,0.007,0.039,0.038,0.016,
18,0.095,0.648,0.029,0.018,0.029,0.031,0.062,
19,0.231,0.983,0.08,0.018,0.08,0.06,0.085,
20,0.162,0.427,0.077,0.02,0.077,0.051,0.106,
21,0.227,0.869,0.064,0.032,0.064,0.053,0.058,
22,0.117,0.544,0.069,0.019,0.069,0.043,0.084,
23,0.112,0.37,0.063,0.014,0.063,0.054,0.057,
24,0.259,1.173,0.113,0.064,0.113,0.074,0.119,
25,0.375,0.934,0.073,0.021,0.073,0.044,0.078,
26,0.281,0.551,0.06,0.009,0.06,0.042,0.094,
27,0.187,0.387,0.035,0.021,0.035,0.015,0.042,
28,0.088,0.292,0.067,0.015,0.067,0.032,0.071,
29,0.074,0.17,0.044,0.019,0.044,0.031,0.046,
30,0.092,0.387,0.07,0.006,0.07,0.039,0.081,
31,0.077,0.306,0.042,0.017,0.042,0.032,0.065,
32,0.046,0.619,0.065,0.007,0.065,0.032,0.083,
33,0.121,0.066,0.01,0.003,0.01,0.012,0.016,
34,0.056,0.179,0.044,0.007,0.044,0.014,0.045,
35,0.153,0.413,0.034,0.008,0.034,0.021,0.052,
36,0.286,0.144,0.032,0.006,0.032,0.016,0.029,
37,0.166,0.325,0.054,0.004,0.054,0.05,0.052,
38,0.176,0.869,0.076,0.031,0.076,0.058,0.091,
39,0.247,0.282,0.022,0.003,0.022,0.036,0.02,
40,0.227,0.128,0.018,0.005,0.018,0.037,0.023,
41,0.149,0.256,0.031,0.003,0.031,0.01,0.042,
42,0.043,0.341,0.051,0.006,0.051,0.029,0.066,
43,0.106,0.675,0.072,0.012,0.072,0.026,0.079,
44,0.096,0.681,0.085,0.009,0.085,0.06,0.093,
45,0.183,0.303,0.03,0.002,0.03,0.018,0.022,
46,0.022,0.329,0.041,0.004,0.041,0.009,0.028,
47,0.193,0.317,0.031,0.022,0.031,0.01,0.016,
48,0.183,0.523,0.022,0.02,0.022,0.015,0.062,
49,0.072,0.355,0.044,0.007,0.044,0.03,0.01,
50,0.222,0.221,0.035,0.003,0.035,0.008,0.04,
51,0.113,0.362,0.031,0.008,0.031,0.012,0.045,
52,0.227,1.025,0.069,0.018,0.069,0.048,0.08,
53,0.075,0.44,0.028,0.019,0.028,0.02,0.016,
54,0.226,0.386,0.025,0.005,0.025,0.042,0.035,
55,0.137,0.254,0.024,0.006,0.024,0.02,0.026,
56,0.096,0.494,0.068,0.014,0.068,0.045,0.075,
57,0.075,0.576,0.059,0.022,0.059,0.036,0.085,
58,0.1,0.273,0.02,0.005,0.02,0.042,0.039,
59,0.066,0.517,0.066,0.012,0.066,0.049,0.067,
60,0.297,0.349,0.034,0.003,0.034,0.012,0.023,
61,0.092,0.833,0.08,0.013,0.08,0.053,0.099,
62,0.068,0.126,0.045,0.003,0.045,0.024,0.051,
63,0.099,0.237,0.018,0.001,0.018,0.007,0.016,
64,0.063,0.215,0.008,0.005,0.008,0.007,0.016,
65,0.076,0.589,0.064,0.017,0.064,0.058,0.065,
66,0.1,0.31,0.032,0.005,0.032,0.032,0.035,
67,0.231,0.803,0.084,0.017,0.084,0.053,0.09,
68,0.022,0.443,0.042,0.009,0.042,0.031,0.051,
69,0.149,0.712,0.059,0.011,0.059,0.034,0.063,
70,0.106,0.351,0.042,0.007,0.042,0.033,0.039,
71,0.254,0.678,0.061,0.011,0.061,0.041,0.085,
72,0.073,0.317,0.021,0.004,0.021,0.016,0.029,
73,0.17,0.466,0.069,0.011,0.069,0.044,0.061,
74,0.123,0.92,0.077,0.016,0.077,0.049,0.101,
75,0.041,0.607,0.07,0.013,0.07,0.026,0.073,
76,0.025,0.433,0.018,0.004,0.018,0.015,0.029,
77,0.147,0.332,0.045,0.015,0.045,0.021,0.065,
78,0.119,0.28,0.029,0.005,0.029,0.021,0.038,
79,0.118,0.073,0.018,0.004,0.018,0.003,0.013,
80,0.08,0.612,0.04,0.016,0.04,0.043,0.06,
81,0.075,0.174,0.024,0.003,0.024,0.02,0.018,
82,0.196,0.563,0.05,0.02,0.05,0.036,0.049,
83,0.196,0.705,0.053,0.019,0.053,0.019,0.054,
84,0.147,0.351,0.016,0.009,0.016,0.004,0.021,
85,0.079,0.453,0.056,0.011,0.056,0.038,0.056,
86,0.234,0.578,0.04,0.012,0.04,0.033,0.056,
87,0.126,0.075,0.028,0.002,0.028,0.011,0.03,
88,0.308,1.079,0.06,0.012,0.06,0.041,0.095,
89,0.136,0.401,0.015,0.023,0.015,0.008,0.028,
90,0.064,0.352,0.021,0.003,0.021,0.015,0.042,
91,0.073,0.784,0.085,0.003,0.085,0.036,0.089,
92,0.066,1.636,0.086,0.067,0.086,0.064,0.113,
93,0.15,0.144,0.035,0.01,0.035,0.027,0.027,
94,0.053,0.484,0.025,0.009,0.025,0.029,0.036,
95,0.129,0.678,0.075,0.023,0.075,0.066,0.075,
96,0.159,0.931,0.077,0.01,0.077,0.047,0.078,
97,0.109,0.22,0.042,0.004,0.042,0.035,0.034,
98,0.012,0.11,0.014,0.004,0.014,0.016,0.013,
99,0.083,0.627,0.033,0.009,0.033,0.011,0.03,"[0.033, 0.023, 0.034, 0.064, 0.031, 0.13, 0.049, 0.03, 0.043, 0.052]"
