epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.02,4.174,0.106,0.147,0.106,0.119,0.097,
1,0.034,0.207,0.044,0.007,0.044,0.052,0.053,
2,0.047,0.254,0.08,0.015,0.08,0.065,0.087,
3,0.047,0.218,0.015,0.009,0.015,0.009,0.005,
4,0.038,0.038,0.021,0.004,0.021,0.034,0.031,
5,0.067,1.555,0.138,0.039,0.138,0.107,0.114,
6,0.056,0.215,0.048,0.003,0.048,0.009,0.051,
7,0.043,0.329,0.062,0.007,0.062,0.095,0.048,
8,0.018,0.252,0.067,0.005,0.067,0.055,0.048,
9,0.051,0.304,0.073,0.017,0.073,0.06,0.076,
10,0.025,0.092,0.036,0.007,0.036,0.045,0.046,
11,0.061,0.165,0.058,0.004,0.058,0.038,0.052,
12,0.021,0.037,0.023,0.008,0.023,0.009,0.023,
13,0.047,0.149,0.062,0.005,0.062,0.052,0.071,
14,0.042,0.213,0.059,0.007,0.059,0.045,0.058,
15,0.02,0.049,0.018,0.006,0.018,0.054,0.014,
16,0.037,0.382,0.046,0.011,0.046,0.06,0.03,
17,0.025,0.102,0.019,0.004,0.019,0.028,0.02,
18,0.024,0.08,0.038,0.009,0.038,0.029,0.04,
19,0.033,0.119,0.007,0.014,0.007,0.029,0.005,
20,0.031,0.31,0.06,0.009,0.06,0.04,0.076,
21,0.02,0.04,0.036,0.008,0.036,0.019,0.035,
22,0.005,0.063,0.033,0.008,0.033,0.049,0.031,
23,0.036,0.314,0.034,0.005,0.034,0.063,0.042,
24,0.014,0.529,0.044,0.007,0.044,0.044,0.043,
25,0.017,0.115,0.03,0.003,0.03,0.023,0.03,
26,0.012,0.19,0.018,0.002,0.018,0.007,0.02,
27,0.01,0.033,0.025,0.002,0.025,0.021,0.029,
28,0.005,0.27,0.033,0.007,0.033,0.037,0.051,
29,0.015,0.445,0.06,0.015,0.06,0.072,0.052,
30,0.022,0.135,0.04,0.004,0.04,0.041,0.051,
31,0.009,0.08,0.006,0.004,0.006,0.011,0.007,
32,0.005,0.112,0.007,0.006,0.007,0.023,0.006,
33,0.019,0.199,0.012,0.006,0.012,0.027,0.016,
34,0.006,0.181,0.038,0.005,0.038,0.029,0.042,
35,0.007,0.117,0.021,0.011,0.021,0.034,0.022,
36,0.005,0.108,0.027,0.002,0.027,0.036,0.026,
37,0.003,0.168,0.018,0.003,0.018,0.022,0.018,
38,0.011,0.162,0.012,0.007,0.012,0.024,0.015,
39,0.008,0.076,0.024,0.005,0.024,0.039,0.021,
40,0.003,0.116,0.02,0.006,0.02,0.018,0.022,
41,0.003,0.157,0.013,0.004,0.013,0.014,0.01,
42,0.004,0.088,0.018,0.004,0.018,0.025,0.018,
43,0.004,0.093,0.023,0.004,0.023,0.012,0.019,
44,0.008,0.144,0.035,0.005,0.035,0.018,0.032,
45,0.016,0.578,0.036,0.015,0.036,0.054,0.041,
46,0.007,0.254,0.008,0.013,0.008,0.027,0.006,
47,0.014,0.205,0.027,0.011,0.027,0.037,0.025,
48,0.004,0.129,0.015,0.005,0.015,0.018,0.015,
49,0.003,0.126,0.003,0.006,0.003,0.017,0.003,
50,0.002,0.124,0.003,0.006,0.003,0.024,0.004,
51,0.003,0.053,0.011,0.007,0.011,0.033,0.012,
52,0.008,0.137,0.022,0.006,0.022,0.035,0.024,
53,0.008,0.091,0.011,0.003,0.011,0.005,0.009,
54,0.003,0.07,0.011,0.002,0.011,0.009,0.009,
55,0.002,0.065,0.019,0.002,0.019,0.001,0.015,
56,0.002,0.052,0.008,0.003,0.008,0.011,0.007,
57,0.002,0.047,0.017,0.002,0.017,0.012,0.012,
58,0.001,0.067,0.005,0.004,0.005,0.014,0.004,
59,0.008,0.108,0.024,0.006,0.024,0.035,0.022,
60,0.014,0.166,0.015,0.009,0.015,0.034,0.018,
61,0.01,0.077,0.009,0.006,0.009,0.022,0.01,
62,0.005,0.068,0.014,0.007,0.014,0.024,0.013,
63,0.01,0.052,0.007,0.005,0.007,0.026,0.005,
64,0.004,0.156,0.032,0.002,0.032,0.029,0.031,
65,0.006,0.147,0.018,0.005,0.018,0.029,0.019,
66,0.004,0.074,0.009,0.003,0.009,0.018,0.01,
67,0.002,0.018,0.006,0.004,0.006,0.021,0.005,
68,0.0,0.064,0.002,0.004,0.002,0.031,0.001,
69,0.001,0.044,0.008,0.006,0.008,0.03,0.008,
70,0.002,0.015,0.012,0.005,0.012,0.035,0.014,
71,0.001,0.092,0.006,0.006,0.006,0.027,0.007,
72,0.001,0.022,0.004,0.004,0.004,0.019,0.004,
73,0.001,0.041,0.004,0.002,0.004,0.014,0.004,
74,0.001,0.026,0.003,0.002,0.003,0.012,0.004,
75,0.002,0.192,0.008,0.002,0.008,0.009,0.007,
76,0.001,0.091,0.009,0.004,0.009,0.016,0.006,
77,0.001,0.062,0.004,0.004,0.004,0.016,0.004,
78,0.001,0.038,0.007,0.003,0.007,0.017,0.007,
79,0.001,0.039,0.011,0.004,0.011,0.03,0.013,
80,0.001,0.034,0.007,0.004,0.007,0.023,0.006,
81,0.0,0.033,0.004,0.003,0.004,0.022,0.006,
82,0.001,0.043,0.006,0.003,0.006,0.027,0.006,
83,0.001,0.058,0.007,0.004,0.007,0.018,0.006,
84,0.0,0.053,0.006,0.005,0.006,0.014,0.007,
85,0.0,0.07,0.007,0.005,0.007,0.028,0.008,
86,0.0,0.032,0.008,0.005,0.008,0.024,0.009,
87,0.001,0.08,0.009,0.008,0.009,0.022,0.009,
88,0.001,0.086,0.006,0.005,0.006,0.019,0.006,
89,0.0,0.056,0.004,0.004,0.004,0.011,0.002,
90,0.001,0.045,0.006,0.006,0.006,0.015,0.007,
91,0.0,0.065,0.01,0.003,0.01,0.021,0.01,
92,0.0,0.037,0.004,0.004,0.004,0.009,0.005,
93,0.001,0.019,0.008,0.009,0.008,0.01,0.006,
94,0.001,0.018,0.004,0.004,0.004,0.021,0.004,
95,0.0,0.023,0.007,0.004,0.007,0.026,0.01,
96,0.001,0.12,0.004,0.005,0.004,0.021,0.004,
97,0.0,0.025,0.009,0.005,0.009,0.016,0.008,
98,0.0,0.044,0.008,0.004,0.008,0.022,0.007,
99,0.0,0.063,0.008,0.003,0.008,0.018,0.006,"[0.031, 0.01, 0.023, 0.012, 0.085, 0.016, 0.01, 0.022, 0.016, 0.081]"
