epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.408,1.381,0.475,0.967,0.475,0.445,0.481,
1,1.074,1.112,0.574,0.974,0.574,0.519,0.575,
2,0.987,1.197,0.543,0.974,0.543,0.482,0.557,
3,0.936,1.119,0.577,0.974,0.577,0.509,0.587,
4,0.904,1.117,0.575,0.972,0.575,0.516,0.589,
5,0.886,1.187,0.557,0.972,0.557,0.516,0.575,
6,0.885,1.321,0.501,0.967,0.501,0.463,0.501,
7,0.865,1.203,0.534,0.972,0.534,0.499,0.546,
8,0.844,1.121,0.571,0.975,0.571,0.514,0.573,
9,0.828,1.273,0.531,0.959,0.531,0.492,0.52,
10,0.809,1.158,0.55,0.973,0.55,0.502,0.555,
11,0.801,1.146,0.56,0.973,0.56,0.519,0.564,
12,0.8,0.991,0.611,0.983,0.611,0.56,0.618,
13,0.797,1.072,0.577,0.98,0.577,0.54,0.58,
14,0.789,1.068,0.584,0.979,0.584,0.538,0.586,
15,0.774,1.115,0.576,0.975,0.576,0.523,0.583,
16,0.765,1.09,0.583,0.977,0.583,0.539,0.586,
17,0.767,1.035,0.604,0.98,0.604,0.556,0.61,
18,0.759,0.998,0.61,0.982,0.61,0.555,0.614,
19,0.751,1.064,0.58,0.98,0.58,0.541,0.589,
20,0.762,1.068,0.584,0.978,0.584,0.522,0.591,
21,0.764,1.107,0.578,0.976,0.578,0.534,0.574,
22,0.758,1.064,0.592,0.979,0.592,0.542,0.597,
23,0.758,1.058,0.592,0.978,0.592,0.54,0.603,
24,0.756,1.099,0.581,0.978,0.581,0.535,0.585,
25,0.721,1.025,0.597,0.983,0.597,0.549,0.597,
26,0.709,1.057,0.597,0.978,0.597,0.537,0.609,
27,0.718,1.116,0.58,0.974,0.58,0.526,0.588,
28,0.734,1.025,0.594,0.98,0.594,0.542,0.597,
29,0.712,1.019,0.599,0.982,0.599,0.554,0.604,
30,0.705,1.0,0.608,0.983,0.608,0.563,0.615,
31,0.701,1.089,0.582,0.979,0.582,0.546,0.594,
32,0.723,1.093,0.585,0.977,0.585,0.532,0.59,
33,0.701,1.098,0.575,0.978,0.575,0.528,0.583,
34,0.702,0.988,0.61,0.984,0.61,0.57,0.615,
35,0.701,1.023,0.6,0.981,0.6,0.543,0.61,
36,0.694,1.136,0.565,0.976,0.565,0.516,0.57,
37,0.685,1.067,0.582,0.979,0.582,0.544,0.584,
38,0.697,1.084,0.571,0.982,0.571,0.544,0.569,
39,0.685,1.182,0.544,0.976,0.544,0.505,0.55,
40,0.692,1.055,0.596,0.979,0.596,0.543,0.601,
41,0.678,1.014,0.606,0.984,0.606,0.558,0.609,
42,0.691,1.022,0.592,0.984,0.592,0.551,0.597,
43,0.671,1.004,0.613,0.981,0.613,0.558,0.617,
44,0.671,1.039,0.6,0.982,0.6,0.544,0.614,
45,0.674,0.953,0.627,0.983,0.627,0.562,0.633,
46,0.684,1.081,0.581,0.979,0.581,0.529,0.589,
47,0.677,1.083,0.585,0.978,0.585,0.536,0.591,
48,0.673,0.997,0.618,0.98,0.618,0.544,0.629,
49,0.662,1.084,0.583,0.979,0.583,0.536,0.596,
50,0.632,1.11,0.6,0.987,0.6,0.558,0.602,
51,0.483,0.938,0.637,0.99,0.637,0.606,0.639,
52,0.349,0.843,0.673,0.993,0.673,0.629,0.675,
53,0.283,0.818,0.693,0.992,0.693,0.65,0.693,
54,0.235,0.866,0.679,0.992,0.679,0.646,0.682,
55,0.202,0.788,0.707,0.992,0.707,0.66,0.708,
56,0.173,0.88,0.683,0.992,0.683,0.647,0.68,
57,0.148,0.767,0.724,0.992,0.724,0.672,0.724,
58,0.127,0.792,0.727,0.991,0.727,0.673,0.725,
59,0.105,0.806,0.725,0.992,0.725,0.67,0.725,
60,0.089,0.815,0.723,0.992,0.723,0.667,0.723,
61,0.076,0.788,0.737,0.992,0.737,0.677,0.735,
62,0.063,0.807,0.735,0.993,0.735,0.675,0.734,
63,0.051,0.85,0.735,0.993,0.735,0.678,0.732,
64,0.048,0.84,0.733,0.992,0.733,0.676,0.731,
65,0.038,0.869,0.734,0.992,0.734,0.68,0.732,
66,0.033,0.872,0.737,0.992,0.737,0.667,0.733,
67,0.029,0.898,0.74,0.992,0.74,0.669,0.737,
68,0.024,0.893,0.738,0.992,0.738,0.673,0.735,
69,0.019,0.897,0.74,0.992,0.74,0.678,0.737,
70,0.018,0.918,0.744,0.992,0.744,0.678,0.741,
71,0.016,0.921,0.743,0.992,0.743,0.681,0.74,
72,0.013,0.944,0.743,0.992,0.743,0.676,0.74,
73,0.011,0.934,0.743,0.992,0.743,0.686,0.741,
74,0.01,0.957,0.741,0.992,0.741,0.682,0.739,
75,0.008,0.977,0.743,0.992,0.743,0.684,0.741,
76,0.007,0.972,0.742,0.993,0.742,0.677,0.739,
77,0.007,0.97,0.745,0.991,0.745,0.68,0.742,
78,0.006,0.998,0.746,0.991,0.746,0.678,0.742,
79,0.005,0.99,0.743,0.993,0.743,0.673,0.74,
80,0.005,1.016,0.741,0.992,0.741,0.678,0.738,
81,0.005,1.017,0.742,0.992,0.742,0.681,0.74,
82,0.004,1.011,0.747,0.992,0.747,0.68,0.744,
83,0.003,1.028,0.745,0.991,0.745,0.68,0.742,
84,0.003,1.022,0.748,0.993,0.748,0.679,0.745,
85,0.003,1.032,0.749,0.992,0.749,0.68,0.746,
86,0.003,1.041,0.747,0.992,0.747,0.681,0.745,
87,0.003,1.049,0.746,0.992,0.746,0.683,0.743,
88,0.003,1.054,0.746,0.992,0.746,0.679,0.743,
89,0.002,1.061,0.748,0.991,0.748,0.681,0.745,
90,0.002,1.07,0.747,0.992,0.747,0.682,0.745,
91,0.002,1.086,0.748,0.992,0.748,0.679,0.745,
92,0.002,1.081,0.746,0.991,0.746,0.685,0.744,
93,0.002,1.078,0.751,0.992,0.751,0.689,0.748,
94,0.002,1.079,0.747,0.992,0.747,0.685,0.745,
95,0.002,1.094,0.748,0.992,0.748,0.68,0.746,
96,0.002,1.089,0.747,0.992,0.747,0.68,0.744,
97,0.002,1.096,0.749,0.992,0.749,0.683,0.746,
98,0.001,1.09,0.746,0.992,0.746,0.681,0.744,
99,0.001,1.109,0.75,0.992,0.75,0.687,0.747,"[0.696, 0.791, 0.842, 0.789, 0.435, 0.654, 0.771, 0.635, 0.549, 0.713]"
