epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.013,2.222,0.149,0.662,0.149,0.038,0.098,"[0.0, 0.052, 0.0, 0.318, 0.0, 0.0, 0.002, 0.0, 0.0, 0.012]"
01,1.895,2.188,0.203,0.682,0.203,0.091,0.134,"[0.112, 0.025, 0.28, 0.38, 0.0, 0.0, 0.06, 0.022, 0.014, 0.02]"
02,1.837,2.154,0.264,0.694,0.264,0.131,0.210,"[0.318, 0.008, 0.174, 0.417, 0.0, 0.0, 0.27, 0.053, 0.025, 0.042]"
03,1.669,2.135,0.262,0.718,0.262,0.133,0.241,"[0.266, 0.0, 0.069, 0.384, 0.0, 0.0, 0.404, 0.083, 0.051, 0.077]"
04,1.602,2.126,0.195,0.747,0.195,0.129,0.203,"[0.215, 0.0, 0.044, 0.313, 0.0, 0.016, 0.322, 0.131, 0.121, 0.126]"
05,1.409,2.121,0.156,0.760,0.156,0.117,0.146,"[0.19, 0.0, 0.042, 0.271, 0.0, 0.046, 0.146, 0.197, 0.155, 0.127]"
06,1.346,2.114,0.142,0.762,0.142,0.120,0.118,"[0.166, 0.0, 0.041, 0.249, 0.111, 0.088, 0.05, 0.219, 0.15, 0.128]"
07,1.256,2.071,0.155,0.778,0.155,0.132,0.131,"[0.172, 0.0, 0.045, 0.289, 0.167, 0.111, 0.045, 0.225, 0.139, 0.123]"
08,1.168,2.009,0.180,0.819,0.180,0.152,0.163,"[0.175, 0.005, 0.053, 0.337, 0.167, 0.191, 0.071, 0.234, 0.148, 0.133]"
09,0.993,1.925,0.231,0.861,0.231,0.180,0.213,"[0.2, 0.027, 0.073, 0.455, 0.165, 0.246, 0.09, 0.239, 0.156, 0.15]"
10,1.030,1.854,0.274,0.894,0.274,0.212,0.257,"[0.22, 0.07, 0.104, 0.509, 0.191, 0.281, 0.141, 0.248, 0.17, 0.185]"
11,0.969,1.775,0.330,0.918,0.330,0.254,0.313,"[0.262, 0.128, 0.185, 0.561, 0.196, 0.321, 0.222, 0.268, 0.18, 0.217]"
12,0.883,1.703,0.377,0.935,0.377,0.304,0.367,"[0.317, 0.251, 0.271, 0.583, 0.19, 0.358, 0.281, 0.284, 0.204, 0.302]"
