epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,3.304,2.813,0.469,0.968,0.469,0.435,0.430,"[0.621, 0.526, 0.684, 0.177, 0.327, 0.457, 0.6, 0.534, 0.21, 0.212]"
01,2.536,7.247,0.363,0.681,0.363,0.319,0.332,"[0.345, 0.561, 0.216, 0.506, 0.152, 0.369, 0.0, 0.498, 0.348, 0.195]"
02,2.097,2.270,0.451,0.960,0.451,0.422,0.466,"[0.257, 0.586, 0.667, 0.462, 0.261, 0.418, 0.468, 0.418, 0.289, 0.398]"
03,2.005,1.933,0.571,0.976,0.571,0.529,0.577,"[0.568, 0.599, 0.667, 0.649, 0.419, 0.532, 0.566, 0.514, 0.273, 0.5]"
04,1.831,1.877,0.562,0.969,0.562,0.488,0.564,"[0.374, 0.447, 0.594, 0.648, 0.25, 0.493, 0.631, 0.535, 0.326, 0.579]"
05,1.680,4.331,0.469,0.844,0.469,0.453,0.405,"[0.508, 0.54, 0.731, 0.0, 0.152, 0.495, 0.639, 0.511, 0.379, 0.574]"
06,1.926,2.297,0.533,0.962,0.533,0.465,0.535,"[0.285, 0.636, 0.667, 0.478, 0.286, 0.486, 0.622, 0.474, 0.157, 0.559]"
07,1.937,3.874,0.437,0.916,0.437,0.426,0.413,"[0.268, 0.578, 0.711, 0.283, 0.227, 0.486, 0.41, 0.513, 0.308, 0.481]"
08,1.766,2.858,0.434,0.979,0.434,0.460,0.426,"[0.609, 0.66, 0.708, 0.428, 0.367, 0.353, 0.343, 0.204, 0.382, 0.545]"
09,1.886,2.347,0.516,0.968,0.516,0.458,0.521,"[0.522, 0.655, 0.526, 0.597, 0.188, 0.458, 0.447, 0.46, 0.289, 0.439]"
10,1.296,2.845,0.462,0.962,0.462,0.448,0.426,"[0.388, 0.609, 0.711, 0.642, 0.441, 0.442, 0.112, 0.481, 0.34, 0.308]"
11,1.185,2.464,0.500,0.956,0.500,0.474,0.472,"[0.413, 0.321, 0.766, 0.648, 0.388, 0.492, 0.385, 0.582, 0.332, 0.411]"
12,1.825,3.357,0.392,0.962,0.392,0.422,0.362,"[0.62, 0.562, 0.769, 0.302, 0.349, 0.377, 0.268, 0.494, 0.193, 0.283]"
13,1.769,2.325,0.556,0.965,0.556,0.466,0.558,"[0.446, 0.604, 0.615, 0.675, 0.173, 0.294, 0.589, 0.455, 0.34, 0.467]"
14,1.267,2.232,0.536,0.978,0.536,0.512,0.533,"[0.579, 0.645, 0.75, 0.633, 0.344, 0.49, 0.44, 0.404, 0.286, 0.551]"
15,1.194,2.240,0.535,0.977,0.535,0.497,0.507,"[0.605, 0.64, 0.594, 0.31, 0.311, 0.531, 0.628, 0.467, 0.341, 0.54]"
16,1.621,1.981,0.561,0.982,0.561,0.547,0.545,"[0.564, 0.656, 0.773, 0.605, 0.477, 0.534, 0.447, 0.557, 0.343, 0.517]"
17,1.164,2.112,0.545,0.971,0.545,0.476,0.565,"[0.218, 0.53, 0.773, 0.591, 0.34, 0.517, 0.656, 0.55, 0.211, 0.374]"
18,1.057,2.706,0.492,0.967,0.492,0.496,0.432,"[0.578, 0.566, 0.739, 0.645, 0.341, 0.452, 0.105, 0.569, 0.417, 0.543]"
19,1.009,1.892,0.570,0.975,0.570,0.530,0.568,"[0.599, 0.67, 0.744, 0.631, 0.382, 0.55, 0.516, 0.426, 0.321, 0.457]"
20,0.914,2.496,0.456,0.959,0.456,0.463,0.403,"[0.602, 0.621, 0.655, 0.486, 0.34, 0.502, 0.142, 0.444, 0.319, 0.519]"
21,0.950,1.711,0.578,0.979,0.578,0.551,0.572,"[0.528, 0.689, 0.756, 0.644, 0.384, 0.537, 0.483, 0.531, 0.411, 0.547]"
22,1.015,2.199,0.515,0.975,0.515,0.502,0.524,"[0.596, 0.398, 0.7, 0.627, 0.429, 0.456, 0.565, 0.452, 0.235, 0.559]"
23,1.034,2.596,0.496,0.955,0.496,0.466,0.497,"[0.597, 0.664, 0.723, 0.668, 0.199, 0.347, 0.346, 0.337, 0.318, 0.458]"
24,0.894,1.636,0.569,0.983,0.569,0.533,0.567,"[0.588, 0.656, 0.667, 0.629, 0.352, 0.538, 0.503, 0.514, 0.388, 0.495]"
25,0.846,2.055,0.521,0.977,0.521,0.513,0.511,"[0.592, 0.672, 0.723, 0.573, 0.381, 0.495, 0.39, 0.453, 0.355, 0.497]"
26,0.777,1.798,0.566,0.979,0.566,0.513,0.578,"[0.297, 0.608, 0.714, 0.645, 0.374, 0.541, 0.574, 0.512, 0.365, 0.5]"
27,0.914,2.652,0.498,0.944,0.498,0.459,0.483,"[0.52, 0.199, 0.667, 0.624, 0.3, 0.466, 0.528, 0.559, 0.313, 0.411]"
28,1.133,2.124,0.562,0.983,0.562,0.528,0.544,"[0.603, 0.63, 0.711, 0.616, 0.304, 0.496, 0.463, 0.547, 0.373, 0.538]"
29,1.275,2.344,0.516,0.974,0.516,0.511,0.510,"[0.424, 0.596, 0.723, 0.654, 0.414, 0.446, 0.355, 0.568, 0.393, 0.536]"
30,1.012,1.656,0.594,0.986,0.594,0.551,0.588,"[0.598, 0.685, 0.735, 0.549, 0.392, 0.483, 0.647, 0.537, 0.389, 0.491]"
31,0.932,2.512,0.486,0.967,0.486,0.474,0.457,"[0.483, 0.585, 0.638, 0.247, 0.392, 0.562, 0.551, 0.449, 0.326, 0.512]"
32,0.996,2.166,0.542,0.976,0.542,0.509,0.545,"[0.607, 0.535, 0.667, 0.668, 0.381, 0.495, 0.487, 0.531, 0.311, 0.41]"
33,1.005,1.811,0.613,0.977,0.613,0.520,0.607,"[0.409, 0.688, 0.667, 0.614, 0.375, 0.535, 0.687, 0.301, 0.404, 0.519]"
34,1.088,1.948,0.584,0.981,0.584,0.525,0.585,"[0.629, 0.672, 0.683, 0.628, 0.352, 0.454, 0.597, 0.505, 0.324, 0.409]"
35,1.112,2.862,0.482,0.980,0.482,0.511,0.475,"[0.63, 0.66, 0.683, 0.633, 0.458, 0.38, 0.243, 0.542, 0.335, 0.549]"
36,1.428,2.423,0.569,0.968,0.569,0.492,0.544,"[0.412, 0.427, 0.683, 0.655, 0.484, 0.231, 0.661, 0.549, 0.341, 0.481]"
37,1.171,2.666,0.462,0.968,0.462,0.426,0.483,"[0.229, 0.647, 0.68, 0.489, 0.219, 0.46, 0.444, 0.44, 0.297, 0.355]"
38,0.875,2.170,0.564,0.973,0.564,0.525,0.548,"[0.571, 0.667, 0.739, 0.434, 0.304, 0.534, 0.634, 0.421, 0.393, 0.553]"
39,0.894,2.385,0.574,0.982,0.574,0.496,0.552,"[0.46, 0.643, 0.739, 0.516, 0.4, 0.503, 0.644, 0.315, 0.198, 0.541]"
40,0.898,1.878,0.593,0.985,0.593,0.528,0.578,"[0.586, 0.672, 0.667, 0.487, 0.432, 0.562, 0.682, 0.392, 0.358, 0.447]"
41,0.906,2.101,0.557,0.982,0.557,0.530,0.537,"[0.614, 0.615, 0.745, 0.413, 0.357, 0.565, 0.619, 0.512, 0.346, 0.515]"
42,0.967,2.556,0.476,0.971,0.476,0.478,0.458,"[0.618, 0.562, 0.698, 0.351, 0.348, 0.531, 0.479, 0.423, 0.347, 0.426]"
43,0.788,2.589,0.487,0.977,0.487,0.478,0.505,"[0.378, 0.623, 0.739, 0.597, 0.348, 0.395, 0.437, 0.404, 0.336, 0.526]"
44,1.002,2.351,0.561,0.978,0.561,0.520,0.544,"[0.591, 0.645, 0.634, 0.617, 0.347, 0.526, 0.453, 0.486, 0.404, 0.5]"
45,1.147,2.353,0.523,0.975,0.523,0.492,0.533,"[0.444, 0.647, 0.711, 0.503, 0.328, 0.537, 0.533, 0.548, 0.281, 0.383]"
46,0.969,2.817,0.497,0.980,0.497,0.503,0.494,"[0.626, 0.681, 0.632, 0.615, 0.351, 0.398, 0.309, 0.518, 0.387, 0.51]"
47,0.921,2.699,0.541,0.937,0.541,0.471,0.505,"[0.496, 0.138, 0.698, 0.627, 0.35, 0.43, 0.652, 0.496, 0.362, 0.462]"
48,0.906,2.398,0.526,0.967,0.526,0.488,0.522,"[0.352, 0.632, 0.714, 0.526, 0.311, 0.541, 0.477, 0.558, 0.332, 0.439]"
49,1.086,2.293,0.542,0.982,0.542,0.523,0.506,"[0.583, 0.669, 0.727, 0.627, 0.405, 0.556, 0.293, 0.484, 0.332, 0.555]"
50,0.968,1.884,0.600,0.978,0.600,0.524,0.601,"[0.599, 0.592, 0.554, 0.657, 0.429, 0.448, 0.665, 0.531, 0.36, 0.411]"
51,0.870,2.541,0.512,0.965,0.512,0.497,0.495,"[0.593, 0.642, 0.655, 0.335, 0.364, 0.512, 0.568, 0.466, 0.336, 0.5]"
52,1.272,3.750,0.520,0.945,0.520,0.471,0.477,"[0.556, 0.148, 0.727, 0.635, 0.43, 0.467, 0.541, 0.456, 0.269, 0.486]"
53,0.963,2.458,0.493,0.977,0.493,0.490,0.489,"[0.658, 0.626, 0.708, 0.463, 0.349, 0.423, 0.487, 0.374, 0.315, 0.5]"
54,0.819,1.714,0.627,0.981,0.627,0.547,0.626,"[0.61, 0.68, 0.548, 0.648, 0.468, 0.533, 0.686, 0.421, 0.419, 0.455]"
55,0.813,2.141,0.553,0.980,0.553,0.511,0.531,"[0.616, 0.438, 0.711, 0.631, 0.36, 0.544, 0.515, 0.537, 0.205, 0.551]"
56,0.970,3.384,0.439,0.941,0.439,0.415,0.406,"[0.478, 0.542, 0.698, 0.117, 0.279, 0.519, 0.569, 0.401, 0.278, 0.264]"
57,0.881,3.039,0.488,0.943,0.488,0.478,0.425,"[0.632, 0.644, 0.667, 0.602, 0.344, 0.519, 0.079, 0.459, 0.339, 0.5]"
58,0.786,2.594,0.497,0.960,0.497,0.433,0.486,"[0.352, 0.602, 0.357, 0.348, 0.364, 0.525, 0.57, 0.468, 0.332, 0.413]"
59,0.885,3.012,0.453,0.955,0.453,0.446,0.443,"[0.267, 0.647, 0.706, 0.51, 0.387, 0.449, 0.272, 0.496, 0.338, 0.384]"
60,1.417,2.743,0.522,0.974,0.522,0.495,0.543,"[0.5, 0.609, 0.683, 0.633, 0.301, 0.498, 0.481, 0.549, 0.216, 0.477]"
61,0.970,2.428,0.536,0.968,0.536,0.495,0.515,"[0.584, 0.604, 0.682, 0.356, 0.33, 0.49, 0.647, 0.483, 0.349, 0.425]"
62,0.976,2.275,0.557,0.979,0.557,0.529,0.548,"[0.596, 0.645, 0.727, 0.656, 0.4, 0.531, 0.418, 0.544, 0.378, 0.393]"
63,0.986,2.210,0.566,0.978,0.566,0.534,0.584,"[0.608, 0.671, 0.7, 0.603, 0.412, 0.524, 0.604, 0.455, 0.258, 0.505]"
64,1.033,2.067,0.556,0.980,0.556,0.536,0.550,"[0.562, 0.671, 0.783, 0.634, 0.3, 0.488, 0.439, 0.584, 0.368, 0.532]"
65,0.843,1.865,0.603,0.978,0.603,0.544,0.610,"[0.5, 0.625, 0.714, 0.666, 0.253, 0.559, 0.623, 0.529, 0.418, 0.552]"
66,0.742,1.729,0.614,0.983,0.614,0.563,0.620,"[0.63, 0.697, 0.667, 0.619, 0.429, 0.566, 0.65, 0.551, 0.353, 0.465]"
67,0.852,3.344,0.465,0.950,0.465,0.443,0.442,"[0.447, 0.655, 0.667, 0.529, 0.211, 0.491, 0.243, 0.401, 0.299, 0.492]"
68,1.025,2.959,0.515,0.970,0.515,0.464,0.491,"[0.395, 0.648, 0.756, 0.334, 0.267, 0.423, 0.61, 0.455, 0.301, 0.447]"
69,1.183,3.384,0.456,0.960,0.456,0.451,0.450,"[0.493, 0.66, 0.638, 0.484, 0.298, 0.481, 0.319, 0.353, 0.278, 0.507]"
70,1.080,2.324,0.545,0.976,0.545,0.534,0.534,"[0.58, 0.677, 0.667, 0.62, 0.442, 0.502, 0.397, 0.528, 0.381, 0.549]"
71,0.804,2.622,0.537,0.982,0.537,0.522,0.512,"[0.601, 0.562, 0.667, 0.621, 0.424, 0.494, 0.39, 0.534, 0.371, 0.56]"
72,0.826,2.555,0.538,0.971,0.538,0.497,0.517,"[0.486, 0.682, 0.65, 0.581, 0.324, 0.496, 0.387, 0.553, 0.352, 0.455]"
73,0.879,3.196,0.465,0.975,0.465,0.485,0.473,"[0.597, 0.495, 0.7, 0.632, 0.406, 0.503, 0.303, 0.562, 0.18, 0.472]"
74,0.968,1.859,0.611,0.979,0.611,0.551,0.607,"[0.595, 0.646, 0.714, 0.654, 0.354, 0.434, 0.655, 0.524, 0.372, 0.563]"
75,0.966,2.495,0.539,0.985,0.539,0.484,0.524,"[0.596, 0.673, 0.714, 0.419, 0.256, 0.468, 0.614, 0.344, 0.353, 0.405]"
