epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.576,1.662,0.424,0.938,0.424,0.402,0.442,"[0.413, 0.54, 0.566, 0.383, 0.13, 0.468, 0.457, 0.496, 0.207, 0.358]"
01,1.201,1.325,0.511,0.970,0.511,0.451,0.531,"[0.432, 0.591, 0.618, 0.555, 0.149, 0.39, 0.58, 0.472, 0.345, 0.38]"
02,1.055,1.416,0.482,0.963,0.482,0.441,0.489,"[0.46, 0.64, 0.455, 0.503, 0.123, 0.455, 0.415, 0.551, 0.4, 0.41]"
03,0.985,1.245,0.525,0.965,0.525,0.453,0.539,"[0.561, 0.497, 0.432, 0.649, 0.149, 0.487, 0.531, 0.472, 0.36, 0.391]"
04,0.944,1.277,0.524,0.959,0.524,0.458,0.545,"[0.433, 0.607, 0.482, 0.602, 0.145, 0.49, 0.529, 0.516, 0.359, 0.413]"
05,0.911,1.381,0.485,0.955,0.485,0.447,0.511,"[0.398, 0.656, 0.559, 0.452, 0.084, 0.464, 0.54, 0.501, 0.362, 0.456]"
06,0.891,1.074,0.591,0.977,0.591,0.534,0.598,"[0.542, 0.689, 0.621, 0.645, 0.24, 0.549, 0.57, 0.525, 0.399, 0.559]"
07,0.879,1.238,0.530,0.968,0.530,0.480,0.537,"[0.604, 0.669, 0.396, 0.572, 0.277, 0.531, 0.471, 0.485, 0.315, 0.478]"
08,0.836,1.101,0.588,0.973,0.588,0.512,0.599,"[0.58, 0.671, 0.532, 0.636, 0.233, 0.497, 0.615, 0.534, 0.405, 0.422]"
09,0.860,1.073,0.602,0.974,0.602,0.542,0.610,"[0.583, 0.686, 0.615, 0.624, 0.343, 0.565, 0.628, 0.503, 0.386, 0.489]"
10,0.794,1.117,0.581,0.976,0.581,0.530,0.591,"[0.549, 0.683, 0.679, 0.647, 0.237, 0.543, 0.556, 0.535, 0.354, 0.514]"
11,0.794,1.312,0.501,0.962,0.501,0.484,0.524,"[0.432, 0.669, 0.717, 0.536, 0.249, 0.471, 0.507, 0.414, 0.257, 0.594]"
12,0.843,1.443,0.479,0.955,0.479,0.452,0.493,"[0.473, 0.64, 0.667, 0.554, 0.178, 0.51, 0.389, 0.43, 0.286, 0.393]"
13,0.821,1.140,0.580,0.972,0.580,0.505,0.599,"[0.346, 0.65, 0.58, 0.6, 0.186, 0.558, 0.645, 0.57, 0.404, 0.511]"
14,0.801,1.108,0.579,0.975,0.579,0.521,0.595,"[0.403, 0.654, 0.667, 0.642, 0.236, 0.547, 0.592, 0.527, 0.395, 0.551]"
15,0.769,1.158,0.562,0.976,0.562,0.511,0.580,"[0.584, 0.656, 0.597, 0.645, 0.224, 0.548, 0.542, 0.506, 0.311, 0.497]"
16,0.765,1.248,0.524,0.967,0.524,0.492,0.523,"[0.595, 0.663, 0.541, 0.507, 0.28, 0.503, 0.484, 0.532, 0.371, 0.45]"
17,0.738,1.083,0.593,0.976,0.593,0.534,0.598,"[0.519, 0.685, 0.625, 0.66, 0.355, 0.565, 0.553, 0.538, 0.407, 0.431]"
18,0.759,1.124,0.581,0.975,0.581,0.517,0.596,"[0.59, 0.675, 0.476, 0.612, 0.178, 0.558, 0.602, 0.524, 0.392, 0.562]"
19,0.715,1.078,0.595,0.972,0.595,0.540,0.606,"[0.539, 0.675, 0.769, 0.638, 0.257, 0.512, 0.631, 0.519, 0.373, 0.485]"
20,0.732,1.275,0.519,0.970,0.519,0.499,0.535,"[0.614, 0.693, 0.606, 0.605, 0.186, 0.529, 0.428, 0.42, 0.304, 0.602]"
21,0.745,1.238,0.544,0.970,0.544,0.503,0.552,"[0.456, 0.617, 0.727, 0.662, 0.255, 0.55, 0.461, 0.504, 0.324, 0.473]"
