epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.443,1.191,0.559,0.969,0.559,0.514,0.570,"[0.502, 0.646, 0.655, 0.602, 0.265, 0.527, 0.556, 0.545, 0.328, 0.519]"
01,0.845,1.007,0.600,0.984,0.600,0.566,0.600,"[0.615, 0.661, 0.689, 0.661, 0.453, 0.578, 0.551, 0.542, 0.44, 0.469]"
02,0.699,1.041,0.621,0.987,0.621,0.588,0.628,"[0.587, 0.746, 0.71, 0.694, 0.381, 0.57, 0.568, 0.51, 0.479, 0.637]"
03,0.628,0.838,0.679,0.990,0.679,0.623,0.682,"[0.623, 0.756, 0.759, 0.715, 0.343, 0.592, 0.687, 0.618, 0.506, 0.631]"
04,0.551,0.872,0.663,0.992,0.663,0.609,0.677,"[0.593, 0.772, 0.731, 0.747, 0.34, 0.619, 0.65, 0.516, 0.445, 0.681]"
05,0.482,0.850,0.671,0.993,0.671,0.621,0.679,"[0.657, 0.775, 0.764, 0.744, 0.338, 0.611, 0.645, 0.56, 0.481, 0.639]"
06,0.462,0.768,0.703,0.992,0.703,0.644,0.711,"[0.581, 0.772, 0.8, 0.754, 0.42, 0.641, 0.724, 0.615, 0.49, 0.64]"
07,0.399,0.697,0.734,0.995,0.734,0.672,0.738,"[0.679, 0.8, 0.778, 0.78, 0.432, 0.656, 0.748, 0.649, 0.525, 0.671]"
08,0.365,0.730,0.716,0.993,0.716,0.662,0.718,"[0.679, 0.776, 0.75, 0.737, 0.471, 0.663, 0.735, 0.653, 0.514, 0.639]"
09,0.342,0.895,0.652,0.993,0.652,0.633,0.655,"[0.677, 0.794, 0.778, 0.756, 0.506, 0.572, 0.548, 0.546, 0.508, 0.644]"
10,0.319,0.736,0.726,0.993,0.726,0.679,0.727,"[0.68, 0.797, 0.815, 0.737, 0.508, 0.673, 0.746, 0.645, 0.543, 0.645]"
11,0.294,0.843,0.677,0.994,0.677,0.648,0.681,"[0.705, 0.81, 0.8, 0.772, 0.451, 0.605, 0.595, 0.525, 0.56, 0.661]"
12,0.292,0.721,0.721,0.995,0.721,0.646,0.724,"[0.685, 0.788, 0.816, 0.783, 0.386, 0.63, 0.738, 0.565, 0.529, 0.538]"
13,0.280,0.711,0.722,0.991,0.722,0.658,0.723,"[0.641, 0.776, 0.723, 0.764, 0.475, 0.64, 0.736, 0.655, 0.537, 0.629]"
14,0.252,0.771,0.705,0.993,0.705,0.667,0.707,"[0.693, 0.802, 0.783, 0.776, 0.492, 0.641, 0.661, 0.595, 0.522, 0.707]"
15,0.240,0.868,0.674,0.993,0.674,0.652,0.668,"[0.66, 0.776, 0.75, 0.731, 0.508, 0.609, 0.592, 0.613, 0.567, 0.711]"
16,0.213,0.669,0.753,0.992,0.753,0.685,0.751,"[0.685, 0.808, 0.824, 0.798, 0.457, 0.641, 0.775, 0.617, 0.592, 0.649]"
17,0.189,0.741,0.726,0.993,0.726,0.670,0.729,"[0.655, 0.775, 0.826, 0.791, 0.451, 0.677, 0.72, 0.61, 0.575, 0.619]"
18,0.179,0.786,0.728,0.992,0.728,0.669,0.729,"[0.671, 0.759, 0.809, 0.775, 0.429, 0.68, 0.742, 0.605, 0.558, 0.661]"
19,0.162,0.897,0.692,0.993,0.692,0.642,0.698,"[0.693, 0.771, 0.816, 0.781, 0.375, 0.618, 0.669, 0.517, 0.573, 0.605]"
20,0.172,0.795,0.715,0.992,0.715,0.657,0.719,"[0.693, 0.804, 0.755, 0.784, 0.423, 0.655, 0.694, 0.559, 0.559, 0.643]"
21,0.137,0.764,0.728,0.992,0.728,0.674,0.729,"[0.71, 0.787, 0.816, 0.767, 0.423, 0.658, 0.737, 0.611, 0.571, 0.655]"
22,0.134,0.871,0.707,0.991,0.707,0.665,0.708,"[0.648, 0.777, 0.809, 0.746, 0.483, 0.634, 0.705, 0.613, 0.556, 0.677]"
23,0.117,0.743,0.752,0.991,0.752,0.683,0.749,"[0.639, 0.809, 0.84, 0.798, 0.429, 0.667, 0.761, 0.623, 0.571, 0.696]"
24,0.103,0.835,0.718,0.991,0.718,0.660,0.717,"[0.671, 0.8, 0.808, 0.773, 0.383, 0.665, 0.693, 0.585, 0.543, 0.683]"
25,0.083,0.782,0.745,0.991,0.745,0.684,0.744,"[0.67, 0.804, 0.83, 0.788, 0.453, 0.669, 0.753, 0.612, 0.574, 0.685]"
26,0.081,0.967,0.688,0.993,0.688,0.653,0.685,"[0.667, 0.781, 0.826, 0.779, 0.444, 0.618, 0.611, 0.543, 0.584, 0.679]"
27,0.081,0.958,0.736,0.990,0.736,0.654,0.728,"[0.655, 0.782, 0.851, 0.78, 0.375, 0.65, 0.766, 0.44, 0.562, 0.681]"
28,0.098,0.878,0.723,0.992,0.723,0.674,0.723,"[0.632, 0.775, 0.837, 0.756, 0.5, 0.621, 0.75, 0.614, 0.551, 0.705]"
29,0.070,0.827,0.733,0.991,0.733,0.673,0.733,"[0.608, 0.797, 0.8, 0.786, 0.542, 0.639, 0.745, 0.599, 0.551, 0.667]"
30,0.052,0.937,0.740,0.990,0.740,0.673,0.733,"[0.678, 0.793, 0.851, 0.785, 0.449, 0.592, 0.764, 0.594, 0.549, 0.673]"
31,0.048,0.923,0.735,0.990,0.735,0.681,0.733,"[0.692, 0.777, 0.857, 0.769, 0.36, 0.661, 0.748, 0.615, 0.595, 0.736]"
32,0.040,0.947,0.739,0.989,0.739,0.677,0.737,"[0.679, 0.771, 0.864, 0.781, 0.423, 0.662, 0.761, 0.604, 0.567, 0.661]"
33,0.037,0.993,0.736,0.990,0.736,0.680,0.733,"[0.689, 0.763, 0.864, 0.775, 0.435, 0.648, 0.754, 0.65, 0.57, 0.655]"
34,0.033,0.939,0.744,0.991,0.744,0.699,0.744,"[0.647, 0.788, 0.889, 0.774, 0.548, 0.667, 0.765, 0.66, 0.578, 0.679]"
35,0.031,0.957,0.736,0.991,0.736,0.678,0.735,"[0.656, 0.793, 0.864, 0.77, 0.44, 0.658, 0.754, 0.61, 0.589, 0.648]"
36,0.030,1.038,0.726,0.991,0.726,0.658,0.722,"[0.652, 0.76, 0.864, 0.768, 0.392, 0.584, 0.766, 0.616, 0.534, 0.641]"
37,0.020,1.026,0.743,0.991,0.743,0.679,0.739,"[0.679, 0.788, 0.889, 0.784, 0.4, 0.662, 0.761, 0.582, 0.531, 0.709]"
38,0.018,1.049,0.744,0.990,0.744,0.683,0.743,"[0.674, 0.791, 0.833, 0.785, 0.431, 0.669, 0.758, 0.619, 0.573, 0.698]"
39,0.017,1.038,0.741,0.990,0.741,0.678,0.741,"[0.682, 0.789, 0.816, 0.78, 0.423, 0.66, 0.762, 0.619, 0.574, 0.673]"
40,0.018,1.099,0.730,0.989,0.730,0.667,0.727,"[0.649, 0.745, 0.87, 0.774, 0.431, 0.639, 0.762, 0.619, 0.536, 0.648]"
41,0.016,1.087,0.734,0.988,0.734,0.670,0.729,"[0.694, 0.778, 0.889, 0.776, 0.367, 0.608, 0.762, 0.572, 0.581, 0.673]"
42,0.013,1.069,0.736,0.990,0.736,0.682,0.733,"[0.684, 0.773, 0.837, 0.765, 0.5, 0.646, 0.768, 0.584, 0.587, 0.673]"
43,0.009,1.117,0.740,0.990,0.740,0.681,0.739,"[0.674, 0.796, 0.889, 0.782, 0.431, 0.648, 0.758, 0.619, 0.534, 0.673]"
44,0.009,1.096,0.744,0.990,0.744,0.692,0.743,"[0.659, 0.807, 0.889, 0.786, 0.471, 0.648, 0.753, 0.621, 0.595, 0.691]"
45,0.009,1.137,0.751,0.988,0.751,0.685,0.748,"[0.687, 0.806, 0.889, 0.788, 0.415, 0.655, 0.772, 0.621, 0.538, 0.678]"
46,0.007,1.088,0.738,0.988,0.738,0.669,0.736,"[0.645, 0.778, 0.87, 0.779, 0.333, 0.651, 0.759, 0.636, 0.57, 0.673]"
47,0.007,1.147,0.740,0.989,0.740,0.663,0.734,"[0.621, 0.784, 0.844, 0.786, 0.392, 0.626, 0.762, 0.595, 0.569, 0.654]"
48,0.010,1.131,0.736,0.991,0.736,0.683,0.736,"[0.667, 0.779, 0.87, 0.781, 0.478, 0.651, 0.754, 0.62, 0.567, 0.667]"
49,0.008,1.170,0.738,0.990,0.738,0.666,0.735,"[0.642, 0.775, 0.837, 0.782, 0.4, 0.613, 0.769, 0.63, 0.574, 0.635]"
50,0.007,1.127,0.741,0.989,0.741,0.675,0.738,"[0.643, 0.794, 0.889, 0.782, 0.391, 0.654, 0.763, 0.577, 0.558, 0.696]"
51,0.005,1.143,0.744,0.991,0.744,0.678,0.741,"[0.696, 0.795, 0.889, 0.785, 0.311, 0.645, 0.76, 0.623, 0.575, 0.705]"
52,0.005,1.182,0.735,0.990,0.735,0.666,0.733,"[0.706, 0.77, 0.889, 0.784, 0.304, 0.634, 0.758, 0.612, 0.556, 0.641]"
53,0.004,1.172,0.736,0.990,0.736,0.671,0.734,"[0.652, 0.799, 0.844, 0.773, 0.4, 0.642, 0.754, 0.609, 0.553, 0.679]"
54,0.003,1.158,0.742,0.990,0.742,0.684,0.740,"[0.693, 0.772, 0.87, 0.784, 0.415, 0.664, 0.763, 0.624, 0.562, 0.698]"
55,0.003,1.163,0.744,0.990,0.744,0.674,0.743,"[0.682, 0.793, 0.87, 0.789, 0.34, 0.659, 0.763, 0.619, 0.537, 0.692]"
56,0.003,1.198,0.744,0.989,0.744,0.669,0.740,"[0.674, 0.787, 0.87, 0.781, 0.327, 0.643, 0.774, 0.599, 0.553, 0.684]"
57,0.005,1.202,0.727,0.990,0.727,0.662,0.725,"[0.655, 0.774, 0.851, 0.784, 0.423, 0.624, 0.748, 0.557, 0.523, 0.686]"
58,0.008,1.236,0.728,0.988,0.728,0.671,0.726,"[0.667, 0.774, 0.87, 0.779, 0.453, 0.643, 0.742, 0.568, 0.539, 0.68]"
59,0.006,1.208,0.737,0.990,0.737,0.670,0.733,"[0.689, 0.787, 0.87, 0.778, 0.333, 0.608, 0.762, 0.606, 0.548, 0.717]"
60,0.005,1.170,0.742,0.989,0.742,0.681,0.741,"[0.678, 0.791, 0.87, 0.779, 0.375, 0.642, 0.765, 0.643, 0.57, 0.692]"
61,0.003,1.211,0.740,0.989,0.740,0.671,0.737,"[0.678, 0.79, 0.87, 0.779, 0.333, 0.642, 0.764, 0.6, 0.558, 0.697]"
62,0.003,1.210,0.740,0.988,0.740,0.683,0.737,"[0.686, 0.786, 0.87, 0.779, 0.449, 0.628, 0.763, 0.616, 0.553, 0.697]"
63,0.002,1.247,0.741,0.990,0.741,0.682,0.736,"[0.679, 0.77, 0.889, 0.783, 0.44, 0.609, 0.774, 0.622, 0.573, 0.679]"
64,0.002,1.222,0.740,0.989,0.740,0.669,0.738,"[0.697, 0.79, 0.889, 0.781, 0.292, 0.65, 0.762, 0.612, 0.536, 0.679]"
65,0.002,1.230,0.742,0.989,0.742,0.670,0.739,"[0.659, 0.77, 0.889, 0.789, 0.318, 0.642, 0.768, 0.625, 0.566, 0.679]"
66,0.002,1.201,0.740,0.990,0.740,0.678,0.738,"[0.652, 0.783, 0.889, 0.783, 0.4, 0.633, 0.764, 0.619, 0.564, 0.692]"
67,0.001,1.244,0.738,0.990,0.738,0.674,0.734,"[0.686, 0.772, 0.87, 0.781, 0.4, 0.634, 0.765, 0.599, 0.547, 0.685]"
68,0.001,1.261,0.736,0.990,0.736,0.681,0.734,"[0.682, 0.776, 0.889, 0.781, 0.423, 0.636, 0.757, 0.605, 0.554, 0.705]"
69,0.002,1.284,0.736,0.989,0.736,0.669,0.734,"[0.671, 0.764, 0.889, 0.784, 0.36, 0.644, 0.765, 0.604, 0.539, 0.673]"
70,0.002,1.266,0.741,0.990,0.741,0.678,0.739,"[0.678, 0.785, 0.889, 0.783, 0.392, 0.645, 0.763, 0.626, 0.543, 0.679]"
71,0.002,1.275,0.740,0.989,0.740,0.673,0.736,"[0.632, 0.794, 0.87, 0.782, 0.431, 0.605, 0.765, 0.617, 0.58, 0.653]"
72,0.001,1.266,0.740,0.989,0.740,0.674,0.738,"[0.65, 0.782, 0.87, 0.778, 0.392, 0.641, 0.767, 0.635, 0.548, 0.673]"
73,0.001,1.251,0.745,0.990,0.745,0.676,0.743,"[0.678, 0.797, 0.87, 0.78, 0.367, 0.653, 0.769, 0.633, 0.552, 0.667]"
74,0.001,1.276,0.746,0.989,0.746,0.670,0.744,"[0.667, 0.79, 0.87, 0.787, 0.298, 0.658, 0.769, 0.624, 0.562, 0.679]"
75,0.001,1.322,0.742,0.990,0.742,0.663,0.736,"[0.639, 0.791, 0.87, 0.789, 0.375, 0.614, 0.769, 0.592, 0.541, 0.654]"
76,0.001,1.258,0.744,0.990,0.744,0.668,0.741,"[0.652, 0.798, 0.87, 0.782, 0.304, 0.646, 0.767, 0.615, 0.568, 0.679]"
77,0.001,1.275,0.745,0.990,0.745,0.670,0.742,"[0.663, 0.792, 0.87, 0.789, 0.311, 0.645, 0.767, 0.618, 0.551, 0.692]"
78,0.001,1.292,0.743,0.990,0.743,0.671,0.740,"[0.651, 0.78, 0.889, 0.786, 0.311, 0.659, 0.765, 0.614, 0.555, 0.699]"
79,0.001,1.259,0.741,0.990,0.741,0.675,0.739,"[0.663, 0.781, 0.889, 0.788, 0.367, 0.64, 0.762, 0.631, 0.554, 0.679]"
80,0.001,1.284,0.742,0.989,0.742,0.674,0.738,"[0.667, 0.78, 0.87, 0.786, 0.375, 0.634, 0.768, 0.618, 0.553, 0.693]"
81,0.001,1.280,0.746,0.990,0.746,0.686,0.743,"[0.667, 0.791, 0.889, 0.787, 0.44, 0.637, 0.771, 0.614, 0.569, 0.692]"
82,0.001,1.279,0.744,0.989,0.744,0.679,0.742,"[0.659, 0.798, 0.87, 0.784, 0.423, 0.648, 0.765, 0.605, 0.565, 0.679]"
83,0.001,1.276,0.743,0.990,0.743,0.675,0.740,"[0.667, 0.779, 0.87, 0.785, 0.392, 0.655, 0.767, 0.615, 0.557, 0.66]"
84,0.001,1.304,0.745,0.990,0.745,0.682,0.742,"[0.667, 0.784, 0.889, 0.787, 0.408, 0.64, 0.772, 0.613, 0.564, 0.692]"
85,0.001,1.279,0.743,0.989,0.743,0.671,0.740,"[0.659, 0.786, 0.87, 0.788, 0.392, 0.646, 0.767, 0.604, 0.546, 0.648]"
86,0.001,1.267,0.743,0.989,0.743,0.672,0.741,"[0.652, 0.795, 0.87, 0.783, 0.36, 0.649, 0.767, 0.617, 0.544, 0.679]"
87,0.001,1.290,0.745,0.990,0.745,0.675,0.743,"[0.682, 0.791, 0.87, 0.786, 0.353, 0.653, 0.767, 0.616, 0.562, 0.673]"
88,0.001,1.307,0.743,0.990,0.743,0.681,0.741,"[0.667, 0.787, 0.87, 0.785, 0.423, 0.631, 0.769, 0.627, 0.563, 0.686]"
89,0.001,1.315,0.744,0.990,0.744,0.672,0.741,"[0.682, 0.787, 0.87, 0.787, 0.326, 0.644, 0.767, 0.613, 0.56, 0.686]"
90,0.001,1.302,0.740,0.989,0.740,0.671,0.738,"[0.667, 0.786, 0.87, 0.78, 0.34, 0.646, 0.763, 0.613, 0.553, 0.691]"
