epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.972,2.092,0.209,0.705,0.209,0.106,0.179,"[0.067, 0.434, 0.0, 0.058, 0.0, 0.009, 0.251, 0.141, 0.092, 0.011]"
01,1.268,2.060,0.183,0.740,0.183,0.138,0.189,"[0.128, 0.282, 0.0, 0.002, 0.0, 0.125, 0.344, 0.219, 0.205, 0.077]"
02,0.731,1.655,0.426,0.918,0.426,0.282,0.433,"[0.459, 0.297, 0.0, 0.552, 0.0, 0.207, 0.554, 0.333, 0.242, 0.178]"
03,0.405,1.356,0.520,0.944,0.520,0.293,0.465,"[0.409, 0.229, 0.0, 0.587, 0.0, 0.173, 0.66, 0.476, 0.233, 0.161]"
04,0.224,1.233,0.555,0.956,0.555,0.301,0.512,"[0.354, 0.373, 0.0, 0.603, 0.0, 0.325, 0.681, 0.419, 0.258, 0.0]"
05,0.179,1.173,0.582,0.958,0.582,0.334,0.553,"[0.42, 0.491, 0.0, 0.622, 0.0, 0.447, 0.684, 0.404, 0.271, 0.0]"
06,0.093,1.152,0.599,0.959,0.599,0.364,0.582,"[0.503, 0.58, 0.0, 0.638, 0.0, 0.521, 0.668, 0.447, 0.279, 0.0]"
07,0.068,1.165,0.611,0.959,0.611,0.371,0.595,"[0.487, 0.62, 0.0, 0.651, 0.0, 0.572, 0.665, 0.414, 0.301, 0.0]"
08,0.048,1.215,0.604,0.958,0.604,0.352,0.584,"[0.484, 0.642, 0.0, 0.656, 0.0, 0.554, 0.651, 0.276, 0.255, 0.0]"
09,0.023,1.284,0.599,0.958,0.599,0.340,0.577,"[0.455, 0.649, 0.0, 0.657, 0.0, 0.549, 0.64, 0.19, 0.256, 0.0]"
10,0.035,1.359,0.596,0.956,0.596,0.333,0.572,"[0.433, 0.656, 0.0, 0.653, 0.0, 0.548, 0.633, 0.15, 0.253, 0.0]"
11,0.025,1.376,0.607,0.957,0.607,0.336,0.581,"[0.449, 0.656, 0.0, 0.657, 0.0, 0.562, 0.657, 0.139, 0.244, 0.0]"
12,0.009,1.399,0.613,0.959,0.613,0.340,0.588,"[0.409, 0.645, 0.0, 0.657, 0.0, 0.574, 0.672, 0.201, 0.244, 0.0]"
13,0.008,1.438,0.617,0.959,0.617,0.352,0.594,"[0.409, 0.637, 0.0, 0.649, 0.0, 0.579, 0.68, 0.331, 0.235, 0.0]"
14,0.004,1.488,0.615,0.958,0.615,0.346,0.593,"[0.35, 0.63, 0.0, 0.647, 0.0, 0.574, 0.682, 0.356, 0.224, 0.0]"
15,0.004,1.520,0.616,0.958,0.616,0.345,0.593,"[0.325, 0.63, 0.0, 0.646, 0.0, 0.567, 0.684, 0.379, 0.224, 0.0]"
16,0.010,1.548,0.608,0.959,0.608,0.337,0.584,"[0.288, 0.629, 0.0, 0.638, 0.0, 0.524, 0.68, 0.387, 0.224, 0.0]"
17,0.004,1.547,0.611,0.959,0.611,0.341,0.587,"[0.294, 0.631, 0.0, 0.638, 0.0, 0.53, 0.683, 0.397, 0.235, 0.0]"
18,0.012,1.568,0.612,0.959,0.612,0.339,0.587,"[0.264, 0.635, 0.0, 0.639, 0.0, 0.524, 0.684, 0.397, 0.245, 0.0]"
