epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.995,3.175,0.053,0.667,0.053,0.038,0.027,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026, 0.288, 0.067, 0.0]"
01,2.644,4.130,0.348,0.818,0.348,0.107,0.223,"[0.0, 0.375, 0.095, 0.002, 0.061, 0.0, 0.523, 0.016, 0.0, 0.0]"
02,7.249,8.435,0.255,0.627,0.255,0.150,0.202,"[0.306, 0.454, 0.091, 0.37, 0.056, 0.004, 0.0, 0.219, 0.0, 0.0]"
03,6.249,9.577,0.252,0.714,0.252,0.169,0.190,"[0.335, 0.0, 0.078, 0.471, 0.245, 0.298, 0.0, 0.261, 0.0, 0.0]"
04,6.677,5.700,0.475,0.937,0.475,0.252,0.406,"[0.431, 0.117, 0.245, 0.497, 0.17, 0.388, 0.636, 0.039, 0.0, 0.0]"
05,2.195,5.322,0.441,0.932,0.441,0.254,0.398,"[0.339, 0.353, 0.148, 0.563, 0.19, 0.112, 0.458, 0.376, 0.0, 0.0]"
06,0.944,11.035,0.366,0.915,0.366,0.174,0.263,"[0.22, 0.403, 0.0, 0.574, 0.0, 0.043, 0.0, 0.319, 0.182, 0.0]"
07,2.824,10.648,0.362,0.885,0.362,0.197,0.297,"[0.165, 0.353, 0.0, 0.564, 0.0, 0.328, 0.038, 0.363, 0.164, 0.0]"
08,1.612,11.418,0.362,0.957,0.362,0.230,0.397,"[0.147, 0.306, 0.0, 0.481, 0.0, 0.432, 0.446, 0.364, 0.121, 0.0]"
09,1.368,15.165,0.344,0.951,0.344,0.172,0.317,"[0.147, 0.244, 0.0, 0.234, 0.0, 0.44, 0.51, 0.016, 0.133, 0.0]"
10,4.742,11.296,0.459,0.954,0.459,0.237,0.451,"[0.126, 0.433, 0.0, 0.502, 0.0, 0.484, 0.561, 0.109, 0.156, 0.0]"
11,0.703,10.196,0.497,0.945,0.497,0.278,0.478,"[0.087, 0.498, 0.0, 0.608, 0.0, 0.489, 0.446, 0.448, 0.207, 0.0]"
12,1.033,13.318,0.465,0.938,0.465,0.254,0.430,"[0.066, 0.491, 0.0, 0.596, 0.0, 0.466, 0.32, 0.381, 0.215, 0.0]"
13,0.692,14.135,0.477,0.936,0.477,0.253,0.457,"[0.066, 0.548, 0.0, 0.599, 0.0, 0.365, 0.424, 0.352, 0.174, 0.0]"
14,0.579,14.855,0.499,0.934,0.499,0.252,0.478,"[0.044, 0.564, 0.0, 0.593, 0.0, 0.255, 0.534, 0.371, 0.156, 0.0]"
15,0.841,15.750,0.522,0.932,0.522,0.258,0.495,"[0.044, 0.581, 0.0, 0.581, 0.0, 0.255, 0.592, 0.39, 0.132, 0.0]"
16,0.540,16.272,0.533,0.931,0.533,0.269,0.509,"[0.066, 0.581, 0.0, 0.581, 0.0, 0.348, 0.6, 0.403, 0.108, 0.0]"
17,0.136,17.116,0.532,0.929,0.532,0.274,0.514,"[0.044, 0.564, 0.0, 0.588, 0.0, 0.468, 0.581, 0.41, 0.082, 0.0]"
18,0.206,18.309,0.533,0.928,0.533,0.274,0.516,"[0.044, 0.569, 0.0, 0.597, 0.0, 0.485, 0.567, 0.413, 0.069, 0.0]"
19,0.116,20.920,0.509,0.928,0.509,0.260,0.495,"[0.022, 0.544, 0.0, 0.587, 0.0, 0.463, 0.533, 0.413, 0.042, 0.0]"
20,0.243,24.156,0.479,0.928,0.479,0.244,0.469,"[0.022, 0.505, 0.0, 0.573, 0.0, 0.418, 0.505, 0.406, 0.014, 0.0]"
